Organism Name,Citation,Type
Coccomyxa pringsheimii SAG 216-7,"Puginier C et al., 2024",Chlorophyta
Apatococcus lobatus SAG 2145,"Puginier C et al., 2024",Chlorophyta
Myrmecia bisecta SAG 2043,"Puginier C et al., 2024",Chlorophyta
Elliptochloris bilobata SAG 245.80,"Puginier C et al., 2024",Chlorophyta
Mesotaenium kramstae Lemmermann NIES-658 v2.0,NA,Chlorophyta
Desmodesmus armatus isolate SE107 v1.0,"Knoshaug Eric P. et al., 2020",Chlorophyta
Trebouxia sp. A1-2,"Greshake Tzovaras B et al., 2020",Chlorophyta
Limnomonas spitsbergensis CCryo_02-99_CH,"Hulatt CJ et al., 2024",Chlorophyta
Tetrabaena socialis NIES-571,"Featherston J et al., 2018",Chlorophyta
Chloropicon primus CCMP1205,"Lemieux C et al., 2019",Chlorophyta
Chromochloris zofingiensis var. SAG 211-14 v6.0,NA,Chlorophyta
Scenedesmus obliquus UTEX 3031 haplotype 1,"Biondi Thomas C. et al., 2024",Chlorophyta
Scenedesmus obliquus UTEX 3031 haplotype 2,"Biondi Thomas C. et al., 2024",Chlorophyta
Scenedesmus obliquus SAG 2326 v1.0,NA,Chlorophyta
Scenedesmus sp. WC-1 v1.0,NA,Chlorophyta
Scenedesmus dimorphus UTEX 1237 v1.0,NA,Chlorophyta
Haematococcus lacustris Liv1 v1.2,NA,Chlorophyta
Haematococcus lacustris NIES-144,"Morimoto D et al., 2020",Chlorophyta
Volvox reticuliferus NIES-3786,"Yamamoto K et al., 2021",Chlorophyta
Volvox africanus NIES-3780,"Yamamoto K et al., 2021",Chlorophyta
Volvox reticuliferus NIES-3785,"Yamamoto K et al., 2021",Chlorophyta
Chlorella sorokiniana DOE1412,"Hovde Blake T. et al., 2018",Chlorophyta
Chlorella sorokiniana UTEX 1602,"Arriola MB et al., 2018",Chlorophyta
Chlorella sorokiniana UTEX 1230,"Hovde Blake T. et al., 2018",Chlorophyta
Chlorella sorokiniana strain 1228,"Hovde Blake T. et al., 2018",Chlorophyta
Micractinium conductrix SAG 241.80,"Arriola MB et al., 2018",Chlorophyta
Auxenochlorella protothecoides UTEX 25,"Vogler Brian W. et al., 2018",Chlorophyta
Chlamydomonas eustigma NIES-2499,"Hirooka S et al., 2017",Chlorophyta
Trebouxiophyceae sp. bin 3300059473_978 v1.0,"Oliver T et al., 2024",Chlorophyta
Trebouxiophyceae sp. bin 3300059473_6682 v1.0,"Oliver T et al., 2024",Chlorophyta
Chlorellaceae sp. bin 3300059473_4402 v1.0,"Oliver T et al., 2024",Chlorophyta
Chlorellaceae sp. bin 3300059473_4966 v1.0,"Oliver T et al., 2024",Chlorophyta
Prasinoderma coloniale CCMP1413,https://www.ncbi.nlm.nih.gov/pubmed/32572216,Chlorophyta
Chloromonas remiasii CCCryo 005-99 v1.0,NA,Chlorophyta
Chlorokybus atmophyticus CCAC 0220,https://www.ncbi.nlm.nih.gov/pubmed/31844283,Chlorophyta
Mesostigma viride NIES-296,"Liang Z et al., 2020",Chlorophyta
Mesotaenium endlicherianum SAG 12.97,"Cheng S et al., 2019",Chlorophyta
Raphidocelis subcapitata NIES-35,"Suzuki S et al., 2018",Chlorophyta
Botryococcus braunii Showa,"Browne DR et al., 2017",Chlorophyta
Mesostigma viride CCAC 1140,"Wang S et al., 2020",Chlorophyta
Spirogloea muscicola CCAC 0214,"Cheng S et al., 2019",Chlorophyta
Klebsormidium nitens NIES-2285 v1.1,"Hori K et al., 2014",Chlorophyta
Astrephomene gubernaculifera NIES-4017,"Yamashita S et al., 2021",Chlorophyta
Chlamydomonas reinhardtii CC-4532 v6.1,"Craig RJ et al., 2023",Chlorophyta
Ostreobium quekettii SAG 6.99,"Iha Cintia et al., 2021",Chlorophyta
Nannochloris desiccata UTEX 2526,"Sanders CK et al., 2022",Chlorophyta
Helicosporidium sp. ATCC 50920,"Pombert JF et al., 2014",Chlorophyta
Nannochloris desiccata UTEX 2437,"Sanders CK et al., 2022",Chlorophyta
Pedinomonas minor SAG 1965-3,"Xu Y et al., 2022",Chlorophyta
Pedinophyceae sp. YPF-701,"Repetti SI et al., 2022",Chlorophyta
Zygnema cf. cylindricum SAG 698-1a,"Feng Xuehuan et al., 2023",Chlorophyta
Zygnema circumcarinatum UTEX 1559,"Feng Xuehuan et al., 2023",Chlorophyta
Zygnema circumcarinatum UTEX 1560,"Feng Xuehuan et al., 2023",Chlorophyta
Scenedesmus obliquus UTEX 3031,"Biondi Thomas C. et al., 2024",Chlorophyta
Coccomyxa subellipsoidea C-169 v3.0,"Blanc G et al., 2012",Chlorophyta
Microglena sp. YARC,"Ye N et al., 2022",Chlorophyta
Micromonas sp. AD1 metagenome extracted assembly,"Duncan A et al., 2022",Chlorophyta
Mesotaenium kramstae Lemmermann NIES-657 v3.0,NA,Chlorophyta
Scenedesmus obliquus UTEX 393 v2.0,NA,Chlorophyta
Chlamydomonas priscuii UWO241,"Stahl-Rommel S et al., 2022",Chlorophyta
Monoraphidium minutum 26B-AM v1.0,"Calhoun Sara et al., 2022",Chlorophyta
Tetradesmus deserticola SNI-2 v1.1,NA,Chlorophyta
Flechtneria rotunda SEV3VF49 v1.1,NA,Chlorophyta
Tetradesmus obliquus UTEX 72 v1.1,NA,Chlorophyta
Enallax costatus CCAP 276/31 v1.1,NA,Chlorophyta
Desmodesmus armatus UTEX B 2533 v2.0,NA,Chlorophyta
Scenedesmus obliquus var. DOE0013 v1.0,NA,Chlorophyta
Scenedesmus obliquus var. UTEX 1450 v1.0,NA,Chlorophyta
Scenedesmus obliquus var. UTEX2630 v1.0,NA,Chlorophyta
Chlamydomonas schloesseri CCAP 11/173,"Craig RJ et al., 2021",Chlorophyta
Picocystis sp. ML,"Junkins EN et al., 2019",Chlorophyta
Chlamydomonas incerta SAG 7.73,"Craig RJ et al., 2021",Chlorophyta
Edaphochlamys debaryana CCAP 11/70,"Craig RJ et al., 2021",Chlorophyta
Picochlorum renovo,"Dahlin LR et al., 2019",Chlorophyta
Picochlorum soloecismus DOE101,"Gonzalez-Esquer CR et al., 2018",Chlorophyta
Chlorella sp. A99,"Hamada M et al., 2018",Chlorophyta
Tetraselmis striata,"Steadman Tyler CR et al., 2019",Chlorophyta
Chara braunii S276,"Nishiyama T et al., 2018",Chlorophyta
Scenedesmus sp. NREL 46B-D3 v1.0,"Calhoun S et al., 2021",Chlorophyta
Caulerpa lentillifera,"Arimoto A et al., 2019",Chlorophyta
Chlamydomonas reinhardtii CC-503 v5.6,"Merchant SS et al., 2007",Chlorophyta
Volvox carteri v2.1,"Prochnik SE et al., 2010",Chlorophyta
Scenedesmus obliquus EN0004 v1.0,NA,Chlorophyta
Symbiochloris reticulata Scotland extracted metagenome v1.0,NA,Chlorophyta
Symbiochloris reticulata Switzerland extracted metagenome v1.0,NA,Chlorophyta
Symbiochloris reticulata Spain extracted metagenome v1.0,NA,Chlorophyta
Symbiochloris reticulata Africa extracted metagenome v1.0,NA,Chlorophyta
Auxenochlorella protothecoides 0710,"Gao C et al., 2014",Chlorophyta
Sorghum bicolor,"Paterson AH et al., 2009",Chlorophyta
Ostreococcus tauri RCC4221 v3.0,"Blanc-Mathieu R et al., 2014",Chlorophyta
Ostreococcus tauri RCC1115 v1.0,"Blanc-Mathieu R et al., 2017",Chlorophyta
Symbiochloris reticulata Spain reference genome v1.0,NA,Chlorophyta
Micromonas commoda NOUM17 (RCC 299),"Worden AZ et al., 2009",Chlorophyta
Micromonas pusilla CCMP1545,"Worden AZ et al., 2009",Chlorophyta
Asterochloris glomerata Cgr/DA1pho v2.0,"Armaleo D et al., 2019",Chlorophyta
Chlorella variabilis NC64A v1.0,"Blanc G et al., 2010",Chlorophyta
Selaginella moellendorffii v1.0,"Banks JA et al., 2011",Chlorophyta
Ostreococcus sp. RCC809,NA,Chlorophyta
Ostreococcus lucimarinus,"Palenik B et al., 2007",Chlorophyta
Physcomitrium patens v1.1,"Rensing SA et al., 2008",Chlorophyta
Arabidopsis lyrata,"Hu TT et al., 2011",Chlorophyta
Gonium pectorale NIES-2863,"Hanschen ER et al., 2016",Chlorophyta
Monoraphidium neglectum SAG 48.87,"Bogen C et al., 2013",Chlorophyta
Zygnema circumcarinatum SAG 698-1b,"Feng Xuehuan et al., 2023",Chlorophyta
Bathycoccus prasinos RCC1105,"Moreau H et al., 2012",Chlorophyta
Ulva mutabilis Foyn,"De Clerck O et al., 2018",Chlorophyta
Dunaliella salina CCAP19/18,"Polle Juergen E. W. et al., 2017",Chlorophyta
Populus trichocarpa v1.1,"Tuskan GA et al., 2006",Chlorophyta
Bremia lactucae SF5,"Fletcher K et al., 2019",Heterokonta
Peronosclerospora sorghi P6,"Fletcher K et al., 2023",Heterokonta
Peronospora effusa UA202013,"Fletcher K et al., 2022",Heterokonta
Parmales sp. scaly parma v1.0,"Ban H et al., 2023",Heterokonta
Triparma laevis f. inornata v1.0,"Ban H et al., 2023",Heterokonta
Cylindrotheca closterium,"Audoor S et al., 2024",Heterokonta
Nannochloropsis salina CCMP1776,"Ohan JA et al., 2019",Heterokonta
Nannochloropsis oceanica C018 v1.0,"Estrada-Graf A et al., 2024",Heterokonta
Bacillariophyceae sp. bin 90 v1.0,NA,Heterokonta
Conticribra weissflogii CCMP 1336,"Li L et al., 2021",Heterokonta
Entomoneis sp. UTEX 11IV18-2A FL v1.0,NA,Heterokonta
Sargassum fusiforme,"Wang S et al., 2020",Heterokonta
Nannochloropsis oceanica CCAP849/10,NA,Heterokonta
Seminavis robusta D6,"Osuna-Cruz CM et al., 2020",Heterokonta
Undaria pinnatifida M23,"Shan T et al., 2020",Heterokonta
Fistulifera solaris JPCC DA0580,"Tanaka T et al., 2015",Heterokonta
Cyclotella cryptica CCMP332 v2.0,"Traller JC et al., 2016",Heterokonta
Mayamaea pseudoterrestris NIES-4280,"Suzuki S et al., 2022",Heterokonta
Fragilaria crotonensis SAG 28.96,"Zepernick BN et al., 2022",Heterokonta
Chaetoceros tenuissimus NIES-3715,"Hongo Y et al., 2021",Heterokonta
Nitzschia putrida NIES-4239,"Kamikawa R et al., 2022",Heterokonta
Nannochloropsis gaditana CCMP1894,"Schwartz AS et al., 2018",Heterokonta
Alaria esculenta A1,"Bringloe TT et al., 2022",Heterokonta
Monodopsis strain C73,"Yang HP et al., 2021",Heterokonta
Monodopsis strain C141,"Yang HP et al., 2021",Heterokonta
Vischeria strain C74,"Yang HP et al., 2021",Heterokonta
Macrocystis pyrifera CI_03 v1.0,"Diesel J et al., 2023",Heterokonta
Cafeteria roenbergensis BVI,"Hackl T et al., 2020",Heterokonta
Hyphochytrium catenoides ATCC 18719,"Leonard G et al., 2018",Heterokonta
Labyrinthula sp. SR_Ha_C,"Tan MH et al., 2021",Heterokonta
Hondaea fermentalgiana CCAP_4062/3,"Seddiki K et al., 2018",Heterokonta
Nitzschia inconspicua GAI-293 v2.0,"Oliver A et al., 2021",Heterokonta
Tribonema minus UTEX B 3156 v1.0,"Mahan KM et al., 2021",Heterokonta
Hyaloperonospora arabidopsidis Emoy2 v2.0,"Baxter L et al., 2010",Heterokonta
Nemacystus decipiens Onna-1,"Nishitsuji K et al., 2019",Heterokonta
Cladosiphon okamuranus S strain,"Nishitsuji K et al., 2016",Heterokonta
Ochromonas sp. CCMP1393 v1.4,NA,Heterokonta
Paraphysomonas imperforata CCMP1604 v1.4,NA,Heterokonta
Minidiscus variabilis CCMP495 v1.0,NA,Heterokonta
Nannochloropsis oceanica CCMP1779 v2.0,NA,Heterokonta
Nannochloropsis gaditana B-31,"Corteggiani Carpinelli E et al., 2014",Heterokonta
Blastocystis hominis Singapore isolate B (sub-type 7),"Denoeud F et al., 2011",Heterokonta
Saprolegnia parasitica CBS 223.65,"Jiang RH et al., 2013",Heterokonta
Ectocarpus siliculosus Ec 32,"Cock JM et al., 2010",Heterokonta
Phytophthora infestans T30-4,"Haas BJ et al., 2009",Heterokonta
Thalassiosira oceanica CCMP1005,"Lommer M et al., 2012",Heterokonta
Pelagophyceae sp. CCMP2097 v1.0,"Dorrell RG et al., 2023",Heterokonta
Ochromonadaceae sp. CCMP2298 v1.0,"Dorrell RG et al., 2023",Heterokonta
Phytophthora sojae v3.0,"Tyler BM et al., 2006",Heterokonta
Phytophthora ramorum v1.1,"Tyler BM et al., 2006",Heterokonta
Phaeodactylum tricornutum,"Bowler C et al., 2008",Heterokonta
Aureococcus anophagefferens clone 1984 v1.0,"Gobler CJ et al., 2011",Heterokonta
Schizochytrium aggregatum ATCC 28209 v1.0,NA,Heterokonta
Aplanochytrium kerguelense PBS07 v1.0,NA,Heterokonta
Phytophthora cinnamomi var cinnamomi v1.0,NA,Heterokonta
Aurantiochytrium limacinum ATCC MYA-1381 v1.0,NA,Heterokonta
Pseudo-nitzschia multiseries CLN-47,NA,Heterokonta
Phytophthora capsici LT1534 v11.0,"Lamour KH et al., 2012",Heterokonta
Fragilariopsis cylindrus CCMP 1102,"Mock T et al., 2017",Heterokonta
Thalassiosira pseudonana CCMP 1335,"Bowler C et al., 2008",Heterokonta
Phaeodactylum tricornutum CCAP 1055/1 v2.0,"Bowler C et al., 2008",Heterokonta
Thalassiosira pseudonana CCMP 1335 v3.0,"Armbrust EV et al., 2004",Heterokonta
Saccharina japonica str. Ja,"Ye N et al., 2015",Heterokonta
Paulinella micropora KR01,"Lhee D et al., 2021",Rhizaria
Reticulomyxa filosa,"Gl̦ckner G et al., 2014",Rhizaria
Bigelowiella natans CCMP2755 v1.0,"Curtis BA et al., 2012",Rhizaria
Euglena gracilis CCAP 1224/5Z v1.0,https://pubmed.ncbi.nlm.nih.gov/39013888/,Excavata
Giardia intestinalis ATCC 50803,"Morrison HG et al., 2007",Excavata
Naegleria gruberi v1.0,"Fritz-Laylin LK et al., 2010",Excavata
Trichomonas vaginalis G3,"Carlton JM et al., 2007",Excavata
Trypanosoma brucei brucei TREU927,"Berriman M et al., 2005",Excavata
Amoebophrya ceratii AT5.2,"John U et al., 2019",Alveolata
Polarella glacialis CCMP2088,"Stephens TG et al., 2020",Alveolata
Polarella glacialis CCMP1383,"Stephens TG et al., 2020",Alveolata
Chromera velia CCMP2878,"Woo YH et al., 2015",Alveolata
Fugacium kawagutii CCMP2468,"Lin S et al., 2015",Alveolata
Cladocopium goreaui SCF055-01,"Liu H et al., 2018",Alveolata
Breviolum minutum,"Shoguchi E et al., 2013",Alveolata
Vitrella brassicaformis CCMP3155,"Woo YH et al., 2015",Alveolata
Tetrahymena thermophila SB210,"Eisen JA et al., 2006",Alveolata
Plasmodium falciparum 3D7,"Gardner MJ et al., 2002",Alveolata
Toxoplasma gondii ME49,"Kissinger JC et al., 2003",Alveolata
Oxytricha trifallax JRB310,"Swart EC et al., 2013",Alveolata
Paramecium tetraurelia d4_2,"Aury JM et al., 2006",Alveolata
Symbiodinium microadriaticum CCMP2467,"Aranda M et al., 2016",Alveolata
