Organism.Name	Super.Group
Chromera velia CCMP2878	Alveolata
Coccomyxa subellipsoidea C-169	Chlorophyta
Apatococcus lobatus	Chlorophyta
[Myrmecia] bisecta	Chlorophyta
Elliptochloris bilobata	Chlorophyta
Desmodesmus armatus	Chlorophyta
Trebouxia sp. A1-2	Chlorophyta
Limnomonas spitsbergensis	Chlorophyta
Tetrabaena socialis	Chlorophyta
Chromochloris zofingiensis	Chlorophyta
Scenedesmus	Chlorophyta
Haematococcus lacustris	Chlorophyta
Volvox reticuliferus	Chlorophyta
Volvox africanus	Chlorophyta
Chlorella sorokiniana	Chlorophyta
Chlorella	Chlorophyta
Micractinium conductrix	Chlorophyta
Auxenochlorella protothecoides	Chlorophyta
Chlamydomonas eustigma	Chlorophyta
Trebouxiophyceae	Chlorophyta
Chlorellaceae sp.	Chlorophyta
Chloromonas remiasii	Chlorophyta
Raphidocelis subcapitata	Chlorophyta
Botryococcus braunii Showa	Chlorophyta
Astrephomene gubernaculifera	Chlorophyta
Ostreobium quekettii	Chlorophyta
Chlorella desiccata (nom. nud.)	Chlorophyta
Helicosporidium sp. ATCC 50920	Chlorophyta
Pedinomonas minor	Chlorophyta
Pedinophyceae sp. YPF-701	Chlorophyta
Microglena sp. YARC	Chlorophyta
Micromonas	Chlorophyta
Chlamydomonas sp. UWO 241	Chlorophyta
Monoraphidium minutum	Chlorophyta
Tetradesmus deserticola	Chlorophyta
Flechtneria rotunda	Chlorophyta
Enallax costatus	Chlorophyta
Chlamydomonas schloesseri	Chlorophyta
Picocystis sp. ML	Chlorophyta
Chlamydomonas incerta	Chlorophyta
Edaphochlamys debaryana	Chlorophyta
Picochlorum sp. BH-2019	Chlorophyta
Picochlorum sp. 'soloecismus'	Chlorophyta
Chlorella sp. A99	Chlorophyta
Tetraselmis striata	Chlorophyta
Caulerpa lentillifera	Chlorophyta
Volvox carteri	Chlorophyta
Symbiochloris reticulata	Chlorophyta
Ostreococcus tauri	Chlorophyta
Asterochloris sp. Cgr/DA1pho	Chlorophyta
Gonium pectorale	Chlorophyta
Monoraphidium neglectum	Chlorophyta
Bathycoccus prasinos RCC1105	Chlorophyta
Ulva mutabilis	Chlorophyta
Dunaliella salina	Chlorophyta
Micromonas commoda	Chlorophyta
Ostreococcus lucimarinus CCE9901	Chlorophyta
Volvox carteri f. nagariensis	Chlorophyta
Chlorella variabilis	Chlorophyta
Micromonas pusilla CCMP1545	Chlorophyta
Bathycoccus prasinos	Chlorophyta
Scenedesmus sp. NREL 46B-D3	Chlorophyta
Scenedesmus sp. PABB004	Chlorophyta
Pycnococcus provasolii	Chlorophyta
Coccomyxa sp. Obi	Chlorophyta
Chlorella vulgaris	Chlorophyta
Chlorella ohadii	Chlorophyta
Picochlorum sp. BPE23	Chlorophyta
Pleodorina starrii	Chlorophyta
Bryopsis sp. KO-2023	Chlorophyta
Prototheca wickerhamii	Chlorophyta
Picochlorum sp. SENEW3	Chlorophyta
Apatococcus fuscideae	Chlorophyta
Symbiochloris irregularis	Chlorophyta
Coccomyxa subellipsoidea	Chlorophyta
Trebouxia sp. C0004	Chlorophyta
Trebouxia sp. C0006	Chlorophyta
Trebouxia sp. C0005	Chlorophyta
Sanguina aurantia	Chlorophyta
Trebouxia sp. C0009 RCD-2024	Chlorophyta
Trebouxia sp. C0010 RCD-2024	Chlorophyta
Coccomyxa viridis	Chlorophyta
Coccomyxa elongata	Chlorophyta
Cyanidioschyzon merolae strain 10D	Rhodophyta
Chondrus crispus	Rhodophyta
Porphyra umbilicalis	Rhodophyta
Gracilariopsis chorda	Rhodophyta
Porphyridium purpureum	Rhodophyta
Pyropia yezoensis	Rhodophyta
Cyanidiococcus yangmingshanensis	Rhodophyta
Gracilaria domingensis	Rhodophyta
Cyanidium caldarium	Rhodophyta
Rhodosorus marinus	Rhodophyta
Pyropia vietnamensis	Rhodophyta
Cylindrotheca closterium	Stramenopiles
Bacillariaceae	Stramenopiles
Conticribra weissflogii	Stramenopiles
Entomoneis	Stramenopiles
Seminavis robusta	Stramenopiles
Fistulifera solaris	Stramenopiles
Cyclotella cryptica	Stramenopiles
Mayamaea pseudoterrestris	Stramenopiles
Fragilaria crotonensis	Stramenopiles
Chaetoceros tenuissimus	Stramenopiles
Nitzschia putrida	Stramenopiles
Nitzschia	Stramenopiles
