Organism.Name	Super.Group
Polarella glacialis	Alveolata
Nannochloropsis sp.	Stramenopiles
Nannochloropsis oceanica	Stramenopiles
Undaria pinnatifida	Stramenopiles
Alaria esculenta	Stramenopiles
Monodopsis	Stramenopiles
Vischeria	Stramenopiles
Macrocystis pyrifera	Stramenopiles
Nemacystus decipiens	Stramenopiles
Cladosiphon okamuranus	Stramenopiles
Ectocarpus siliculosus	Stramenopiles
Saccharina japonica	Stramenopiles
Ectocarpus sp. CCAP 1310/34	Stramenopiles
Paulinella micropora	Rhizaria
Nannochloropsis gaditana	Stramenopiles
Nannochloropsis gaditana CCMP526	Stramenopiles
