Organism.Name	Super.Group
Tetrahymena thermophila SB210	Alveolata
Oxytricha trifallax	Alveolata
Paramecium tetraurelia strain d4-2	Alveolata
Paramecium tetraurelia	Alveolata
Stylonychia lemnae	Alveolata
Pseudocohnilembus persalinus	Alveolata
Paramecium sonneborni	Alveolata
Paramecium octaurelia	Alveolata
Paramecium pentaurelia	Alveolata
Blepharisma stoltei	Alveolata
Anaeramoeba flamelloides	Metamonada
Anaeramoeba ignava	Metamonada
Blattamonas nauphoetae	Metamonada
Tritrichomonas musculus	Metamonada
Barthelona sp. PCE	Metamonada
Naegleria gruberi	Discoba
Bodo saltans	Discoba
Naegleria lovaniensis	Discoba
Naegleria fowleri	Discoba
Acrasis kona	Discoba
Diplonema papillatum	Discoba
Reticulomyxa filosa	Rhizaria
Plasmodiophora brassicae	Rhizaria
Bremia lactucae	Stramenopiles
Peronosclerospora sorghi	Stramenopiles
Peronospora effusa	Stramenopiles
Hyphochytrium catenoides	Stramenopiles
Labyrinthula sp. Ha	Stramenopiles
Hondaea fermentalgiana	Stramenopiles
Hyaloperonospora arabidopsidis Emoy2	Stramenopiles
Saprolegnia parasitica CBS 223.65	Stramenopiles
Phytophthora infestans T30-4	Stramenopiles
Phytophthora sojae	Stramenopiles
Schizochytrium aggregatum ATCC 28209	Stramenopiles
Aplanochytrium kerguelense	Stramenopiles
Phytophthora cinnamomi var. cinnamomi	Stramenopiles
Aurantiochytrium limacinum ATCC MYA-1381	Stramenopiles
Saprolegnia diclina VS20	Stramenopiles
Phytophthora kernoviae 00238/432	Stramenopiles
Phytophthora nicotianae P1569	Stramenopiles
Phytophthora nicotianae P1976	Stramenopiles
Phytophthora nicotianae CJ01A1	Stramenopiles
Phytophthora nicotianae P10297	Stramenopiles
Phytophthora nicotianae	Stramenopiles
Aphanomyces astaci	Stramenopiles
Aphanomyces invadans	Stramenopiles
Phytophthora kernoviae	Stramenopiles
Pythium insidiosum	Stramenopiles
Albugo candida	Stramenopiles
Nothophytophthora sp. Chile5	Stramenopiles
Thraustotheca clavata	Stramenopiles
Achlya hypogyna	Stramenopiles
Phytophthora palmivora	Stramenopiles
Phytophthora cactorum	Stramenopiles
Pythium oligandrum	Stramenopiles
Globisporangium splendens	Stramenopiles
[Pythium] brassicae (nom. inval.)	Stramenopiles
Phytophthora fragariae	Stramenopiles
Phytophthora rubi	Stramenopiles
Aphanomyces euteiches	Stramenopiles
Phytophthora infestans	Stramenopiles
Phytophthora capsici	Stramenopiles
Phytophthora idaei	Stramenopiles
Phytophthora cinnamomi	Stramenopiles
Phytophthora aleatoria	Stramenopiles
Phytophthora boehmeriae	Stramenopiles
Phytophthora ramorum	Stramenopiles
Lagenidium giganteum	Stramenopiles
Phytophthora lilii	Stramenopiles
Phytophthora fragariaefolia	Stramenopiles
Phytophthora citrophthora	Stramenopiles
Plasmopara halstedii	Stramenopiles
Peronospora belbahrii	Stramenopiles
Peronospora farinosa	Stramenopiles
Peronospora matthiolae	Stramenopiles
Hyaloperonospora brassicae	Stramenopiles
Peronospora destructor	Stramenopiles
Paramecium primaurelia	Alveolata
Phytophthora megakarya	Stramenopiles
Aphanomyces cochlioides	Stramenopiles
