Organism.Name	Super.Group
Vitrella brassicaformis CCMP3155	Alveolata
Bigelowiella natans CCMP2755	Rhizaria
Parmales sp. scaly parma	Stramenopiles
Triparma laevis f. inornata	Stramenopiles
Nannochloropsis salina CCMP1776	Stramenopiles
Sargassum fusiforme	Stramenopiles
Tribonema minus	Stramenopiles
Ochromonas sp. CCMP1393	Stramenopiles
Paraphysomonas imperforata	Stramenopiles
Tetraparma gracilis	Stramenopiles
Triparma retinervis	Stramenopiles
Triparma laevis f. longispina	Stramenopiles
Triparma verrucosa	Stramenopiles
Triparma strigata	Stramenopiles
Triparma columacea	Stramenopiles
Lotharella oceanica	Rhizaria
