Organism.Name	Super.Group
Amoebophrya sp. AT5.2	Alveolata
Toxoplasma gondii ME49	Alveolata
Plasmodium vivax	Alveolata
Plasmodium falciparum 3D7	Alveolata
Plasmodium yoelii yoelii	Alveolata
Theileria annulata	Alveolata
Plasmodium knowlesi strain H	Alveolata
Cryptosporidium muris RN66	Alveolata
Plasmodium falciparum HB3	Alveolata
Toxoplasma gondii GT1	Alveolata
Plasmodium falciparum Dd2	Alveolata
Toxoplasma gondii VEG	Alveolata
Plasmodium falciparum 7G8	Alveolata
Cryptosporidium parvum Iowa II	Alveolata
Theileria parva strain Muguga	Alveolata
Babesia bovis T2Bo	Alveolata
Plasmodium falciparum RAJ116	Alveolata
Plasmodium falciparum IGH-CR14	Alveolata
Neospora caninum Liverpool	Alveolata
Cryptosporidium parvum	Alveolata
Gregarina niphandrodes	Alveolata
Toxoplasma gondii RUB	Alveolata
Toxoplasma gondii VAND	Alveolata
Toxoplasma gondii MAS	Alveolata
Toxoplasma gondii p89	Alveolata
Toxoplasma gondii FOU	Alveolata
Toxoplasma gondii ARI	Alveolata
Toxoplasma gondii CAST	Alveolata
Toxoplasma gondii TgCatPRC2	Alveolata
Hammondia hammondi	Alveolata
Plasmodium vivax India VII	Alveolata
Plasmodium vivax Brazil I	Alveolata
Plasmodium vivax Mauritania I	Alveolata
Plasmodium vivax North Korean	Alveolata
Plasmodium cynomolgi strain B	Alveolata
Toxoplasma gondii GAB2-2007-GAL-DOM2	Alveolata
Theileria equi strain WA	Alveolata
Plasmodium falciparum NF54	Alveolata
Plasmodium falciparum UGT5.1	Alveolata
Eimeria necatrix	Alveolata
Eimeria acervulina	Alveolata
Eimeria praecox	Alveolata
Eimeria tenella	Alveolata
Eimeria maxima	Alveolata
Eimeria brunetti	Alveolata
Eimeria mitis	Alveolata
Plasmodium yoelii 17X	Alveolata
Plasmodium falciparum Vietnam Oak-Knoll (FVO)	Alveolata
Plasmodium falciparum MaliPS096_E11	Alveolata
Plasmodium falciparum Tanzania (2000708)	Alveolata
Plasmodium falciparum NF135/5.C10	Alveolata
Plasmodium falciparum Palo Alto/Uganda	Alveolata
Plasmodium falciparum CAMP/Malaysia	Alveolata
Plasmodium falciparum FCH/4	Alveolata
Plasmodium inui San Antonio 1	Alveolata
Plasmodium vinckei petteri	Alveolata
Babesia microti strain RI	Alveolata
Plasmodium vinckei vinckei	Alveolata
Plasmodium reichenowi	Alveolata
Theileria orientalis strain Shintoku	Alveolata
Cyclospora cayetanensis	Alveolata
Plasmodium fragile	Alveolata
Babesia bigemina	Alveolata
Cryptosporidium hominis	Alveolata
Cryptosporidium meleagridis	Alveolata
Plasmodium gaboni	Alveolata
Cryptosporidium ubiquitum	Alveolata
Cryptosporidium andersoni	Alveolata
Babesia sp. Xinjiang	Alveolata
Plasmodium knowlesi	Alveolata
Plasmodium gonderi	Alveolata
Besnoitia besnoiti	Alveolata
Cystoisospora suis	Alveolata
Babesia ovata	Alveolata
Theileria orientalis	Alveolata
Cryptosporidium sp. chipmunk genotype I	Alveolata
Cryptosporidium tyzzeri	Alveolata
Cryptosporidium bovis	Alveolata
Cryptosporidium ryanae	Alveolata
Toxoplasma gondii	Alveolata
Cryptosporidium felis	Alveolata
Cardiosporidium cionae	Alveolata
Porospora cf. gigantea A	Alveolata
Babesia ovis	Alveolata
Plasmodium brasilianum	Alveolata
Cryptosporidium canis	Alveolata
Babesia duncani	Alveolata
Babesia gibsoni	Alveolata
Cryptosporidium sp. 43IA8	Alveolata
Cryptosporidium xiaoi	Alveolata
Plasmodium chabaudi chabaudi	Alveolata
Plasmodium berghei ANKA	Alveolata
Plasmodium yoelii	Alveolata
Plasmodium relictum	Alveolata
Plasmodium gallinaceum	Alveolata
Plasmodium berghei	Alveolata
Plasmodium ovale wallikeri	Alveolata
Plasmodium ovale curtisi	Alveolata
Plasmodium malariae	Alveolata
Plasmodium ovale	Alveolata
Plasmodium chabaudi adami	Alveolata
Plasmodium sp. gorilla clade G1	Alveolata
Plasmodium sp. gorilla clade G2	Alveolata
Plasmodium sp. gorilla clade G3	Alveolata
Plasmodium sp. DRC-Itaito	Alveolata
Hepatocystis sp. ex Piliocolobus tephrosceles	Alveolata
Plasmodium vinckei brucechwatti	Alveolata
Plasmodium vinckei lentum	Alveolata
Plasmodium vinckei	Alveolata
Amoebophrya sp. A120	Alveolata
Giardia lamblia ATCC 50803	Metamonada
Spironucleus salmonicida	Metamonada
Strigomonas culicis	Discoba
Perkinsela sp. CCAP 1560/4	Discoba
Novymonas esmeraldas	Discoba
Marteilia pararefringens	Rhizaria
Paramarteilia canceri	Rhizaria
Cuscuta australis	Streptophyta
Rehmannia glutinosa	Streptophyta
Cuscuta campestris	Streptophyta
Cuscuta europaea	Streptophyta
Cuscuta epithymum	Streptophyta
Babesia caballi	Alveolata
