Organism.Name	Super.Group
Perkinsus marinus ATCC 50983	Alveolata
Ichthyophthirius multifiliis	Alveolata
Perkinsus olseni	Alveolata
Perkinsus chesapeaki	Alveolata
Trichomonas vaginalis G3	Metamonada
Trypanosoma brucei brucei TREU927	Discoba
Giardia intestinalis	Metamonada
Giardia intestinalis ATCC 50581	Metamonada
Giardia lamblia P15	Metamonada
Giardia intestinalis assemblage B	Metamonada
Tritrichomonas foetus	Metamonada
Kipferlia bialata	Metamonada
Giardia muris	Metamonada
Carpediemonas membranifera	Metamonada
Histomonas meleagridis	Metamonada
Leishmania major strain Friedlin	Discoba
Leishmania braziliensis MHOM/BR/75/M2904	Discoba
Leishmania infantum JPCM5	Discoba
Trypanosoma cruzi	Discoba
Trypanosoma brucei gambiense DAL972	Discoba
Leishmania donovani	Discoba
Leishmania mexicana MHOM/GT/2001/U1103	Discoba
Trypanosoma cruzi marinkellei	Discoba
Angomonas deanei	Discoba
Trypanosoma rangeli SC58	Discoba
Trypanosoma cruzi Dm28c	Discoba
Phytomonas sp. EM1	Discoba
Trypanosoma grayi	Discoba
Leishmania panamensis	Discoba
Phytomonas sp. Hart1	Discoba
Leptomonas pyrrhocoris	Discoba
Leptomonas seymouri	Discoba
Trypanosoma equiperdum	Discoba
Trypanosoma theileri	Discoba
Trypanosoma cruzi cruzi	Discoba
Trypanosoma brucei equiperdum	Discoba
Trypanosoma rangeli	Discoba
Trypanosoma conorhini	Discoba
Leishmania tarentolae	Discoba
Leishmania enriettii	Discoba
Leishmania martiniquensis	Discoba
Leishmania orientalis	Discoba
Leishmania sp. Ghana 2012 LV757	Discoba
Leishmania sp. Namibia	Discoba
Porcisia hertigi	Discoba
Trypanosoma vivax	Discoba
Trypanosoma melophagium	Discoba
Leishmania braziliensis	Discoba
Leishmania utingensis	Discoba
Leishmania shawi	Discoba
Leishmania naiffi	Discoba
Leishmania lindenbergi	Discoba
Leishmania infantum	Discoba
Blastocystis hominis	Stramenopiles
Blastocystis sp. subtype 4	Stramenopiles
Blastocystis sp. ATCC 50177/Nand II	Stramenopiles
Blastocystis sp. BT1	Stramenopiles
Blastocystis sp. NMH	Stramenopiles
Blastocystis sp. Blastoise	Stramenopiles
Blastocystis sp. JDR	Stramenopiles
Blastocystis sp. DL	Stramenopiles
Bonamia ostreae	Rhizaria
