tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EEY66154.1, -, PTHR33149.orig.30.pi, -,0.0082,15.0,0.4,0.012,14.5,0.4,GCA_000142945.1
EED86140.1, -, PTHR33149.orig.30.pi, -,1e-78,263.7,8.3,1.4e-78,263.3,8.3,GCA_000149405.2
EGZ28540.1, -, PTHR33149.orig.30.pi, -,0.079,12.4,0.2,0.12,11.8,0.2,GCA_000149755.2
KDO34125.1, -, PTHR33149.orig.30.pi, -,0.11,11.5,0.1,0.21,10.6,0.1,GCA_000151545.2
KDO20418.1, -, PTHR33149.orig.30.pi, -,6.7,5.6,7.4,9.8,5.1,7.4,GCA_000151545.2
ETN21335.1, -, PTHR33149.orig.30.pi, -,1.9,7.9,4.0,2.3,7.6,4.0,GCA_000247585.2
EQC28802.1, -, PTHR33149.orig.30.pi, -,0.046,12.6,0.0,0.048,12.5,0.0,GCA_000281045.1
ADB27561.1, -, PTHR33149.orig.30.pi, -,3.6e-156,519.7,10.3,2e-157,519.5,10.3,GCA_000296195.2
ADB27608.1, -, PTHR33149.orig.30.pi, -,3.6e-156,519.7,10.3,2e-157,519.5,10.3,GCA_000296195.2
ADB27516.1, -, PTHR33149.orig.30.pi, -,1.8e-133,445.1,10.6,3e-134,444.8,10.6,GCA_000296195.2
EJK52340.1, -, PTHR33149.orig.30.pi, -,1.8e-133,445.1,10.6,3e-134,444.8,10.6,GCA_000296195.2
EJK54216.1, -, PTHR33149.orig.30.pi, -,1.8e-133,445.1,10.6,3e-134,444.8,10.6,GCA_000296195.2
EJK55847.1, -, PTHR33149.orig.30.pi, -,1.8e-133,445.1,10.6,3e-134,444.8,10.6,GCA_000296195.2
EJK47289.1, -, PTHR33149.orig.30.pi, -,0.015,15.1,0.0,0.02,14.7,0.0,GCA_000296195.2
EJK69186.1, -, PTHR33149.orig.30.pi, -,0.04,13.7,0.0,0.051,13.4,0.0,GCA_000296195.2
KAF4316334.1, -, PTHR33149.orig.30.pi, -,0.069,11.4,0.7,0.11,10.8,0.7,GCA_000333075.3
KAF4322880.1, -, PTHR33149.orig.30.pi, -,3.3,5.9,7.0,1.2,7.4,3.7,GCA_000333075.3
ETI45347.1, -, PTHR33149.orig.30.pi, -,1.9,7.9,4.0,2.3,7.7,4.0,GCA_000365505.1
ETO73989.1, -, PTHR33149.orig.30.pi, -,1.7,8.1,3.8,2.0,7.8,3.8,GCA_000365525.1
ETP15163.1, -, PTHR33149.orig.30.pi, -,1.7,8.1,3.8,2.0,7.8,3.8,GCA_000365545.1
ETP43188.1, -, PTHR33149.orig.30.pi, -,1.7,8.1,3.8,2.0,7.8,3.8,GCA_000367145.1
ETK85270.1, -, PTHR33149.orig.30.pi, -,1.6,8.1,3.8,1.9,7.8,3.8,GCA_000509465.1
ETL38697.1, -, PTHR33149.orig.30.pi, -,1.6,8.1,3.8,1.9,7.8,3.8,GCA_000509485.1
ETL91818.1, -, PTHR33149.orig.30.pi, -,1.6,8.1,3.8,1.9,7.8,3.8,GCA_000509505.1
ETM45140.1, -, PTHR33149.orig.30.pi, -,1.8,7.9,4.0,2.1,7.7,4.0,GCA_000509525.1
ETV98114.1, -, PTHR33149.orig.30.pi, -,1.8,7.6,3.2,0.79,8.7,0.9,GCA_000520115.1
AFZ64238.1, -, PTHR33149.orig.30.pi, -,2.6e-159,528.4,10.1,2e-160,528.1,10.1,GCA_000569095.1
AFZ64239.1, -, PTHR33149.orig.30.pi, -,3.2e-133,442.7,11.7,8e-134,442.4,11.7,GCA_000569095.1
KAG2512423.1, -, PTHR33149.orig.30.pi, -,0.058,11.4,0.7,0.09,10.8,0.7,GCA_000785725.3
KAG2522549.1, -, PTHR33149.orig.30.pi, -,0.051,11.6,0.0,0.051,11.6,0.0,GCA_000785735.3
KAG2510436.1, -, PTHR33149.orig.30.pi, -,0.058,11.4,0.7,0.09,10.8,0.7,GCA_000785735.3
GLD95017.1, -, PTHR33149.orig.30.pi, -,0.041,12.9,0.0,0.056,12.5,0.0,GCA_001029375.2
GLD99562.1, -, PTHR33149.orig.30.pi, -,0.073,12.1,9.0,0.1,11.6,9.0,GCA_001029375.2
GLD94834.1, -, PTHR33149.orig.30.pi, -,7.0,5.6,9.2,0.16,11.0,2.0,GCA_001029375.2
RLN10371.1, -, PTHR33149.orig.30.pi, -,0.051,11.6,0.0,0.051,11.6,0.0,GCA_001707905.2
RLN38180.1, -, PTHR33149.orig.30.pi, -,0.058,11.4,0.7,0.091,10.8,0.7,GCA_001707905.2
RLN45250.1, -, PTHR33149.orig.30.pi, -,0.064,11.3,0.7,0.1,10.7,0.7,GCA_001712645.2
RLN54369.1, -, PTHR33149.orig.30.pi, -,0.064,11.3,0.7,0.099,10.7,0.7,GCA_001712705.2
RLN78445.1, -, PTHR33149.orig.30.pi, -,0.051,11.6,0.0,0.051,11.6,0.0,GCA_001712715.2
RLN74797.1, -, PTHR33149.orig.30.pi, -,0.058,11.4,0.7,0.09,10.8,0.7,GCA_001712715.2
OEU18573.1, -, PTHR33149.orig.30.pi, -,0.13,11.2,2.2,0.24,10.2,2.1,GCA_001750085.1
GAX29461.1, -, PTHR33149.orig.30.pi, -,0.062,12.3,0.5,0.078,12.0,0.5,GCA_002217885.1
GAX17909.1, -, PTHR33149.orig.30.pi, -,0.091,11.8,0.2,8.7,5.3,0.1,GCA_002217885.1
GAX17496.1, -, PTHR33149.orig.30.pi, -,1.1,8.2,2.6,4.9,6.1,2.4,GCA_002217885.1
GAX14547.1, -, PTHR33149.orig.30.pi, -,2.2,7.3,10.7,4.3,6.3,10.7,GCA_002217885.1
GBG27636.1, -, PTHR33149.orig.30.pi, -,0.033,12.5,0.5,0.064,11.5,0.5,GCA_002897355.1
POM65081.1, -, PTHR33149.orig.30.pi, -,0.0099,15.2,0.2,0.012,15.0,0.2,GCA_002911725.1
POM70982.1, -, PTHR33149.orig.30.pi, -,0.14,11.5,0.3,0.15,11.3,0.3,GCA_002911725.1
POM62760.1, -, PTHR33149.orig.30.pi, -,0.14,11.4,0.3,0.15,11.4,0.3,GCA_002911725.1
RAW25962.1, -, PTHR33149.orig.30.pi, -,0.032,13.5,0.2,0.048,13.0,0.2,GCA_003287315.1
RAW23332.1, -, PTHR33149.orig.30.pi, -,0.11,11.8,0.3,0.13,11.6,0.3,GCA_003287315.1
RAW38289.1, -, PTHR33149.orig.30.pi, -,0.72,9.1,2.1,1.4,8.1,2.1,GCA_003287315.1
RHY28770.1, -, PTHR33149.orig.30.pi, -,0.52,8.4,2.5,0.33,9.1,0.7,GCA_003546525.1
RHY83829.1, -, PTHR33149.orig.30.pi, -,0.16,10.5,0.2,0.18,10.3,0.2,GCA_003546765.1
RHZ17594.1, -, PTHR33149.orig.30.pi, -,0.16,10.5,0.2,0.19,10.2,0.2,GCA_003546825.1
RMX62383.1, -, PTHR33149.orig.30.pi, -,0.0046,14.8,0.3,0.01,13.7,0.2,GCA_003704535.1
RMX69620.1, -, PTHR33149.orig.30.pi, -,0.0081,14.0,2.8,0.013,13.3,2.8,GCA_003704535.1
RMX65731.1, -, PTHR33149.orig.30.pi, -,0.037,11.8,0.9,0.039,11.8,0.9,GCA_003704535.1
RQM14114.1, -, PTHR33149.orig.30.pi, -,0.0081,14.0,2.8,0.014,13.3,2.8,GCA_003843895.1
RQM15698.1, -, PTHR33149.orig.30.pi, -,0.037,11.8,0.9,0.039,11.8,0.9,GCA_003843895.1
TMW66825.1, -, PTHR33149.orig.30.pi, -,0.022,13.4,0.2,0.02,13.5,0.2,GCA_005966545.1
TMW68611.1, -, PTHR33149.orig.30.pi, -,0.022,13.4,1.1,0.049,12.2,1.1,GCA_005966545.1
TMW68715.1, -, PTHR33149.orig.30.pi, -,0.035,12.7,0.1,0.051,12.2,0.1,GCA_005966545.1
TMW57005.1, -, PTHR33149.orig.30.pi, -,6.3,5.3,7.9,8.6,4.9,7.9,GCA_005966545.1
KAF1318918.1, -, PTHR33149.orig.30.pi, -,0.02,13.7,0.1,0.03,13.1,0.1,GCA_006386115.1
KAF1332091.1, -, PTHR33149.orig.30.pi, -,0.023,13.5,0.1,0.034,13.0,0.1,GCA_006386115.1
KAE8884938.1, -, PTHR33149.orig.30.pi, -,0.022,14.8,0.1,0.04,14.0,0.1,GCA_009729455.1
KAE9036684.1, -, PTHR33149.orig.30.pi, -,0.019,14.8,0.1,0.033,14.0,0.1,GCA_009732905.1
KAE8974803.1, -, PTHR33149.orig.30.pi, -,0.7,9.6,3.6,0.45,10.3,1.4,GCA_009732905.1
KAE9028195.1, -, PTHR33149.orig.30.pi, -,0.018,14.8,0.1,0.033,14.0,0.1,GCA_009732925.1
KAE8984098.1, -, PTHR33149.orig.30.pi, -,0.22,11.2,0.8,0.24,11.2,0.8,GCA_009732925.1
KAE9048876.1, -, PTHR33149.orig.30.pi, -,0.018,14.8,0.1,0.033,14.0,0.1,GCA_009732945.1
KAE8973667.1, -, PTHR33149.orig.30.pi, -,0.68,9.6,3.6,0.44,10.3,1.4,GCA_009732945.1
KAE9233254.1, -, PTHR33149.orig.30.pi, -,0.019,14.8,0.1,0.034,14.0,0.1,GCA_009732985.1
KAE9173752.1, -, PTHR33149.orig.30.pi, -,1.0,9.1,4.2,0.32,10.7,1.3,GCA_009732985.1
KAE9135774.1, -, PTHR33149.orig.30.pi, -,0.019,14.8,0.1,0.033,14.0,0.1,GCA_009733005.1
KAE9082562.1, -, PTHR33149.orig.30.pi, -,0.21,11.3,0.7,0.22,11.2,0.7,GCA_009733005.1
KAE9103388.1, -, PTHR33149.orig.30.pi, -,0.29,10.9,1.8,0.33,10.7,1.8,GCA_009733005.1
KAE9154174.1, -, PTHR33149.orig.30.pi, -,0.019,14.8,0.1,0.034,14.0,0.1,GCA_009733025.1
KAE9252817.1, -, PTHR33149.orig.30.pi, -,0.018,14.8,0.1,0.033,14.0,0.1,GCA_009733045.1
KAE9192754.1, -, PTHR33149.orig.30.pi, -,0.21,11.3,0.7,0.22,11.2,0.7,GCA_009733045.1
KAE9136013.1, -, PTHR33149.orig.30.pi, -,0.018,14.8,0.1,0.033,14.0,0.1,GCA_009733065.1
