tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EME28465.1, -, PTHR33149.orig.30.pi, -,9.6e-157,519.4,11.8,2e-157,519.1,11.8,GCA_000341285.1
EME28470.1, -, PTHR33149.orig.30.pi, -,7.7e-129,427.7,16.3,3e-129,426.9,16.3,GCA_000341285.1
CCP38060.1, -, PTHR33149.orig.30.pi, -,5.3e-158,523.9,10.7,4e-159,523.7,10.7,GCA_000350225.2
CCP38069.1, -, PTHR33149.orig.30.pi, -,4.2e-135,448.7,9.9,3e-136,448.4,9.9,GCA_000350225.2
ASN78686.1, -, PTHR33149.orig.30.pi, -,3e-157,521.9,9.3,7e-158,521.6,9.3,GCA_002049455.2
ASN78829.1, -, PTHR33149.orig.30.pi, -,6.9e-134,445.2,9.8,7e-135,444.9,9.8,GCA_002049455.2
PXF45035.1, -, PTHR33149.orig.30.pi, -,0.024,12.8,0.1,0.026,12.7,0.1,GCA_003194525.1
KAI0556390.1, -, PTHR33149.orig.30.pi, -,2.6e-158,525.2,10.4,1e-159,524.9,10.4,GCA_022539475.1
KAI0556387.1, -, PTHR33149.orig.30.pi, -,1.1e-119,398.3,10.1,3e-120,398.1,10.1,GCA_022539475.1
KAI0562990.1, -, PTHR33149.orig.30.pi, -,0.15,10.2,1.0,0.2,9.9,1.0,GCA_022539475.1
KAI0561096.1, -, PTHR33149.orig.30.pi, -,0.3,9.3,3.3,2.1,6.5,0.7,GCA_022539475.1
BDE17623.1, -, PTHR33149.orig.30.pi, -,5.1e-157,520.4,12.0,1e-158,520.2,12.0,GCA_025991245.1
BDE17614.1, -, PTHR33149.orig.30.pi, -,3.3e-133,442.2,12.6,1e-134,441.9,12.6,GCA_025991245.1
GJQ09793.1, -, PTHR33149.orig.30.pi, -,0.034,11.9,0.1,0.052,11.3,0.1,GCA_025991245.1
KAK4527625.1, -, PTHR33149.orig.30.pi, -,0.18,9.3,3.9,0.39,8.2,3.9,GCA_026122205.1
