"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_933822405.4","CAJ1946433.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-97,326.2,1.6,3.6e-97,325.5,1.6,"NCBI",2856,"Cylindrotheca closterium"
"2","GCA_000310025.1","CBJ29578.1"," -"," PTHR19842.orig.30.pi"," -",4.6e-110,367.3,6.4,6e-111,367,6.4,"NCBI",2880,"Ectocarpus siliculosus"
"3","GCA_004359215.2","TDH67041.1"," -"," PTHR19842.orig.30.pi"," -",1.3e-116,388.1,0.7,6e-117,387.9,0.7,"NCBI",4779,"Bremia lactucae"
"4","GCA_900000015.1","CEG47596.1"," -"," PTHR19842.orig.30.pi"," -",1.7e-115,385.1,0.4,9e-116,384.9,0.4,"NCBI",4781,"Plasmopara halstedii"
"5","GCA_016618375.1","KAG1687754.1"," -"," PTHR19842.orig.30.pi"," -",2.5e-114,381.9,0.3,9e-115,381.7,0.3,"NCBI",4784,"Phytophthora capsici"
"6","GCA_018691715.1","KAG6623410.1"," -"," PTHR19842.orig.30.pi"," -",5e-115,384,0.3,5e-116,383.9,0.3,"NCBI",4785,"Phytophthora cinnamomi"
"7","GCA_012295175.1","KAF4033892.1"," -"," PTHR19842.orig.30.pi"," -",1.6e-115,385.6,0.3,8e-116,385.4,0.3,"NCBI",4787,"Phytophthora infestans"
"8","GCA_001483015.1","KUF82275.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-116,388.8,0.3,6e-117,388.7,0.3,"NCBI",4792,"Phytophthora nicotianae"
"9","GCA_002911725.1","POM62580.1"," -"," PTHR19842.orig.30.pi"," -",2.4e-115,385.3,0.4,8e-116,385.1,0.4,"NCBI",4796,"Phytophthora palmivora"
"10","GCA_027925865.1","DAZ97773.1"," -"," PTHR19842.orig.30.pi"," -",4.9e-123,409.7,1.4,4e-124,409.5,1.4,"NCBI",4803,"Lagenidium giganteum"
"11","GCA_000151665.1","CBK21028.2"," -"," PTHR19842.orig.30.pi"," -",3.7e-55,185.5,1.6,4.2e-55,185.3,1.6,"NCBI",12968,"Blastocystis hominis"
"12","GCA_016864655.1","KAG2778039.1"," -"," PTHR19842.orig.30.pi"," -",6.2e-115,384.2,0.3,9e-116,384,0.3,"NCBI",29920,"Phytophthora cactorum"
"13","GCA_008330645.1","KAA0153930.1"," -"," PTHR19842.orig.30.pi"," -",3.8e-69,232,0,4.7e-69,231.7,0,"NCBI",33653,"Cafeteria roenbergensis"
"14","GCA_918797485.1","CAH0368372.1"," -"," PTHR19842.orig.30.pi"," -",8.9e-98,327,1.7,9.9e-98,326.8,1.7,"NCBI",35677,"Pelagomonas calceolata"
"15","GCA_005966545.1","TMW55293.1"," -"," PTHR19842.orig.30.pi"," -",3.5e-118,393.9,2.9,3e-119,393.6,2.9,"NCBI",41045,"Pythium oligandrum"
"16","GCA_000186865.1","EGB03167.1"," -"," PTHR19842.orig.30.pi"," -",7.9e-104,346.3,1,8e-105,346.2,1,"NCBI",44056,"Aureococcus anophagefferens"
"17","GCA_009729455.1","KAE8907605.1"," -"," PTHR19842.orig.30.pi"," -",1.7e-115,386.5,0.2,8e-116,386.4,0.2,"NCBI",53985,"Phytophthora fragariae"
"18","GCA_016880175.1","KAG3159931.1"," -"," PTHR19842.orig.30.pi"," -",5.7e-115,384.1,0.3,5e-116,383.9,0.3,"NCBI",53986,"Phytophthora idaei"
"19","GCA_040437565.1","KAL0582449.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-113,377.9,3,6e-114,377.8,3,"NCBI",65357,"Albugo candida"
"20","GCA_000149755.2","EGZ06427.1"," -"," PTHR19842.orig.30.pi"," -",1.7e-72,244.6,0,1.9e-72,244.4,0,"NCBI",67593,"Phytophthora sojae"
"21","GCA_000569095.1","EWM28213.1"," -"," PTHR19842.orig.30.pi"," -",5.8e-115,382.8,0.9,5e-116,382.7,0.9,"NCBI",72520,"Nannochloropsis gaditana"
"22","GCA_002081575.1","OQR89602.1"," -"," PTHR19842.orig.30.pi"," -",2.6e-119,397.4,4.9,2e-120,397.1,4.9,"NCBI",74557,"Thraustotheca clavata"
"23","GCA_006386115.1","KAF1328432.1"," -"," PTHR19842.orig.30.pi"," -",5.2e-112,373.8,0.4,8e-113,373.7,0.4,"NCBI",82926,"Globisporangium splendens"
"24","GCA_947650345.1","CAI5744146.1"," -"," PTHR19842.orig.30.pi"," -",2.2e-114,381.2,2.3,5e-115,381,2.3,"NCBI",86335,"Peronospora destructor"
"25","GCA_021527785.1","KAH9137549.1"," -"," PTHR19842.orig.30.pi"," -",6e-123,410.1,7,7e-123,409.8,7,"NCBI",100861,"Aphanomyces euteiches"
"26","GCA_019155685.1","KAG7395484.1"," -"," PTHR19842.orig.30.pi"," -",1.9e-114,381.3,0.3,1e-115,381.2,0.3,"NCBI",109152,"Phytophthora boehmeriae"
"27","GCA_000520075.1","ETV89450.1"," -"," PTHR19842.orig.30.pi"," -",8.4e-121,403.3,7.7,1e-120,403,7.7,"NCBI",112090,"Aphanomyces astaci"
"28","GCA_019828595.1","KAG9400183.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-56,190.5,9.2,1e-28,100.3,0.9,"NCBI",112091,"Aphanomyces cochlioides"
"29","GCA_026401375.1","KAJ0412397.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-119,398.6,0.6,2e-120,398.4,0.6,"NCBI",114742,"Pythium insidiosum"
"30","GCA_009835185.1","KAF0698003.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-122,409.4,6.5,3e-123,409.2,6.5,"NCBI",120398,"Aphanomyces stellatus"
"31","GCA_009732945.1","KAE9034240.1"," -"," PTHR19842.orig.30.pi"," -",3.6e-115,385.1,0.2,4e-115,385,0.2,"NCBI",129364,"Phytophthora rubi"
"32","GCA_947646735.1","CAI5735715.1"," -"," PTHR19842.orig.30.pi"," -",5.2e-110,366.5,0.7,9e-111,366.3,0.7,"NCBI",134698,"Peronospora farinosa"
"33","GCA_003546525.1","RHY32028.1"," -"," PTHR19842.orig.30.pi"," -",4.2e-124,412.9,5.7,5e-124,412.6,5.7,"NCBI",157072,"Aphanomyces invadans"
"34","GCA_000296195.2","EJK59527.1"," -"," PTHR19842.orig.30.pi"," -",2.9e-85,286.9,0.6,3.3e-85,286.7,0.6,"NCBI",159749,"Thalassiosira oceanica"
"35","GCA_947650285.1","CAI5719752.1"," -"," PTHR19842.orig.30.pi"," -",6.7e-116,385.8,0.5,5e-117,385.7,0.5,"NCBI",162125,"Hyaloperonospora brassicae"
"36","GCA_020800235.1","KAH7496411.1"," -"," PTHR19842.orig.30.pi"," -",7.3e-116,386.3,0.6,3e-117,386.1,0.6,"NCBI",164328,"Phytophthora ramorum"
"37","GCA_022925895.1","KAI2499874.1"," -"," PTHR19842.orig.30.pi"," -",1.9e-101,339.7,0.6,1e-102,339.6,0.6,"NCBI",210448,"Fragilaria crotonensis"
"38","GCA_019155715.1","KAG7383733.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-111,372.5,0.3,3e-112,372.3,0.3,"NCBI",221518,"Phytophthora pseudosyringae"
"39","GCA_026184515.1","KAI9920532.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-108,363,0.3,3e-109,362.8,0.3,"NCBI",230839,"Peronosclerospora sorghi"
"40","GCA_030871285.1","KAK1732588.1"," -"," PTHR19842.orig.30.pi"," -",3e-101,338.4,2,3e-102,338.3,2,"NCBI",267567,"Skeletonema marinoi"
"41","GCA_000149405.2","EED92757.1"," -"," PTHR19842.orig.30.pi"," -",2.1e-109,364.7,1.1,3e-110,364.5,1.1,"NCBI",296543,"Thalassiosira pseudonana CCMP1335"
"42","GCA_017506865.1","KAG5176558.1"," -"," PTHR19842.orig.30.pi"," -",7.3e-116,386.6,0.3,1e-117,386.4,0.3,"NCBI",303371,"Tribonema minus"
"43","GCA_019154785.2","KAG7363790.1"," -"," PTHR19842.orig.30.pi"," -",6.6e-99,331.9,1.2,8e-99,331.6,1.2,"NCBI",303405,"Nitzschia inconspicua"
"44","GCA_000785725.3","KAG2510645.1"," -"," PTHR19842.orig.30.pi"," -",7e-114,379.2,0.3,9e-115,379,0.3,"NCBI",325452,"Phytophthora kernoviae"
"45","GCA_000142945.1","EEY60868.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-115,385.6,0.3,6e-116,385.4,0.3,"NCBI",403677,"Phytophthora infestans T30-4"
"46","GCA_021927905.1","GFH51933.1"," -"," PTHR19842.orig.30.pi"," -",1.8e-92,309.7,0.2,2e-92,309.5,0.2,"NCBI",426638,"Chaetoceros tenuissimus"
"47","GCA_039096935.1","KAK8821731.1"," -"," PTHR19842.orig.30.pi"," -",5.3e-75,250.9,2.8,5.9e-75,250.8,2.8,"NCBI",478820,"Blastocystis sp. ATCC 50177/Nand II"
"48","GCA_026770575.1","KAJ1460973.1"," -"," PTHR19842.orig.30.pi"," -",4.9e-112,374.1,3.8,4e-113,373.9,3.8,"NCBI",483370,"Pelagophyceae sp. CCMP2097"
"49","GCA_026770595.1","KAJ1421020.1"," -"," PTHR19842.orig.30.pi"," -",6.3e-107,357.3,5,9e-108,357.2,5,"NCBI",483371,"Ochromonadaceae sp. CCMP2298"
"50","GCA_003843895.1","RQM16758.1"," -"," PTHR19842.orig.30.pi"," -",6.3e-110,366,0.7,2e-111,365.8,0.7,"NCBI",542832,"Peronospora effusa"
"51","GCA_000150955.2","EEC47889.1"," -"," PTHR19842.orig.30.pi"," -",4e-100,334,0.3,5e-101,333.9,0.3,"NCBI",556484,"Phaeodactylum tricornutum CCAP 1055/1"
"52","GCA_903772945.1","CAB9514425.1"," -"," PTHR19842.orig.30.pi"," -",4.6e-92,309.3,0.8,5.1e-92,309.2,0.8,"NCBI",568900,"Seminavis robusta"
"53","GCA_920618645.1","CAH0475198.1"," -"," PTHR19842.orig.30.pi"," -",6.8e-117,389.1,0.9,5e-118,388.9,0.9,"NCBI",622444,"Peronospora belbahrii"
"54","GCA_001750085.1","OEU16380.1"," -"," PTHR19842.orig.30.pi"," -",3.8e-101,338.2,0.1,3e-102,338,0.1,"NCBI",635003,"Fragilariopsis cylindrus CCMP1102"
"55","GCA_000151545.2","KDO32806.1"," -"," PTHR19842.orig.30.pi"," -",5.4e-123,410.1,4,5e-124,409.9,4,"NCBI",695850,"Saprolegnia parasitica CBS 223.65"
"56","GCA_030267965.1","GMI36836.1"," -"," PTHR19842.orig.30.pi"," -",8.8e-110,366.2,0.1,8e-111,366.1,0.1,"NCBI",722753,"Triparma columacea"
"57","GCA_000247585.2","ETN10378.1"," -"," PTHR19842.orig.30.pi"," -",2.3e-116,388.8,0.3,5e-117,388.7,0.3,"NCBI",761204,"Phytophthora nicotianae INRA-310"
"58","GCA_902602495.3","CAB1106108.1"," -"," PTHR19842.orig.30.pi"," -",5.8e-41,140.9,0.1,5.4e-33,114.7,0,"NCBI",867726,"Ectocarpus sp. CCAP 1310/34"
"59","GCA_000743755.1","KNB45728.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-64,216.3,0.4,1.7e-64,216.1,0.4,"NCBI",944170,"Blastocystis sp. subtype 4"
