tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
KFG64803.1, -, PTHR12848.orig.30.pi, -,2.3e-19,68.2,0.7,1.2e-12,45.9,0.1,GCA_000224805.2
KFG58757.1, -, PTHR12848.orig.30.pi, -,1.2e-16,59.1,0.1,3.7e-10,37.7,0.0,GCA_000224805.2
KFG63792.1, -, PTHR12848.orig.30.pi, -,1.2e-16,59.1,0.0,6.8e-10,36.8,0.0,GCA_000224805.2
KFG65844.1, -, PTHR12848.orig.30.pi, -,1.9e-15,55.2,0.1,1.5e-14,52.2,0.1,GCA_000224805.2
KFG59783.1, -, PTHR12848.orig.30.pi, -,1.3e-14,52.4,0.0,6.3e-09,33.6,0.0,GCA_000224805.2
KFG65950.1, -, PTHR12848.orig.30.pi, -,4.3e-14,50.7,0.0,6.2e-14,50.2,0.0,GCA_000224805.2
KFG64132.1, -, PTHR12848.orig.30.pi, -,2.3e-12,45.0,0.3,2.6e-12,44.8,0.3,GCA_000224805.2
KFG58573.1, -, PTHR12848.orig.30.pi, -,3.5e-12,44.4,0.0,1.8e-05,22.1,0.0,GCA_000224805.2
KFG58541.1, -, PTHR12848.orig.30.pi, -,1.1e-11,42.7,0.0,1.5e-11,42.3,0.0,GCA_000224805.2
KFG62053.1, -, PTHR12848.orig.30.pi, -,1.1e-11,42.7,0.1,1.4e-11,42.4,0.1,GCA_000224805.2
KFG60248.1, -, PTHR12848.orig.30.pi, -,1.3e-11,42.5,18.1,1.8e-11,42.1,18.1,GCA_000224805.2
KFG58460.1, -, PTHR12848.orig.30.pi, -,1.9e-11,41.9,3.5,5e-09,33.9,2.0,GCA_000224805.2
KFG64673.1, -, PTHR12848.orig.30.pi, -,2.8e-11,41.4,0.0,6.5e-11,40.2,0.0,GCA_000224805.2
KFG57061.1, -, PTHR12848.orig.30.pi, -,4.2e-11,40.8,6.5,2e-06,25.3,0.0,GCA_000224805.2
KFG60007.1, -, PTHR12848.orig.30.pi, -,1.3e-10,39.2,0.6,8.8e-09,33.1,0.2,GCA_000224805.2
KFG65120.1, -, PTHR12848.orig.30.pi, -,1.8e-10,38.7,0.0,7.2e-09,33.4,0.0,GCA_000224805.2
KFG60083.1, -, PTHR12848.orig.30.pi, -,2.2e-10,38.4,0.0,4.4e-09,34.1,0.0,GCA_000224805.2
