tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
O_transcript/14288, -, PTHR19842.orig.30.pi, -,4.8e-141,469.2,3.0,8e-142,468.9,3.0,Acuobl2326_1_LST8
, -, PTHR19842.orig.30.pi, -,1.5e-53,181.7,0.0,1.2e-30,106.4,0.0,Acuobl2326_1_LST8
_transcript/1270, -, PTHR19842.orig.30.pi, -,3.8e-51,173.8,0.2,1.9e-27,95.9,0.1,Acuobl2326_1_LST8
, -, PTHR19842.orig.30.pi, -,7e-49,166.3,0.2,3.1e-28,98.5,0.0,Acuobl2326_1_LST8
, -, PTHR19842.orig.30.pi, -,1.2e-45,155.7,21.1,5.5e-15,54.9,0.2,Acuobl2326_1_LST8
, -, PTHR19842.orig.30.pi, -,4.4e-45,153.9,8.4,4.5e-12,45.4,0.1,Acuobl2326_1_LST8
, -, PTHR19842.orig.30.pi, -,2.7e-41,141.4,8.7,7.2e-16,57.8,0.1,Acuobl2326_1_LST8
148, -, PTHR19842.orig.30.pi, -,1e-40,139.5,0.2,2.3e-15,56.2,0.0,Acuobl2326_1_LST8
, -, PTHR19842.orig.30.pi, -,4.5e-40,137.4,4.6,2.3e-09,36.5,0.1,Acuobl2326_1_LST8
TY_DN16_c8_g1_i1, -, PTHR19842.orig.30.pi, -,6.3e-40,136.9,5.5,1.5e-18,66.6,0.9,Acuobl2326_1_LST8
473, -, PTHR19842.orig.30.pi, -,1e-38,132.9,0.3,9.4e-12,44.3,0.3,Acuobl2326_1_LST8
TY_DN132_c4_g2_i1, -, PTHR19842.orig.30.pi, -,3.4e-38,131.2,0.5,9.9e-18,64.0,0.1,Acuobl2326_1_LST8
, -, PTHR19842.orig.30.pi, -,1e-37,129.7,0.0,1.1e-08,34.2,0.0,Acuobl2326_1_LST8
8, -, PTHR19842.orig.30.pi, -,8.1e-37,126.7,0.0,5.2e-15,55.0,0.0,Acuobl2326_1_LST8
ITY_DN6539_c1_g2_i1, -, PTHR19842.orig.30.pi, -,1.7e-36,125.6,0.1,1.6e-22,79.7,0.0,Acuobl2326_1_LST8
O_transcript/8890, -, PTHR19842.orig.30.pi, -,7.1e-36,123.6,3.8,6.3e-17,61.3,0.2,Acuobl2326_1_LST8
