Clade,Name,BUSCO_Status,Completed_Single_Copy,Completed_Duplicated_Copy,Fragmented,Missing,Orthologs searched,C_score,Frag_score,Notes,links ,TBLASTN,SIN1,RICTOR,RAPTOR,LST8,TOR,,
Alveolata,Oxytricha_trifallax,Done,143,23,3,2,171,97.08%,1.75%,,,,Y,Y,N,Y,Y,,Indicates Discrepancy between Kyle Data and Shiozaki
Alveolata,Paramecium_tetraurelia,Done,53,116,1,1,171,98.83%,0.58%,,,,Y,Y,N,Y,Y,,
Alveolata,Plasmodium_falciparum,Done,443,3,0,0,446,100.00%,0.00%,,,,N,N,N,N,N,,
Alveolata,Tetrahymena_thermophila,Done,165,4,0,2,171,98.83%,0.00%,,,,Y,Y,N,Y,Y,,
Alveolata,Vitrella_brassicaformis,Done,168,3,0,0,171,100.00%,0.00%,,,,Y,Y,Y,Y,Y,,
Alveolata,Toxoplasma_gondii,Done,444,0,2,0,446,99.55%,0.45%,,,,N,N,N,N,Y,,
Alveolata,Cryptosporidium_pavrum,Done,421,0,7,18,446,94.39%,1.57%,,,,N,N,N,N,N,,
Alveolata,Cyclospora_cayetanensis,Done,412,0,23,11,446,92.38%,5.16%,,,,N,N,N,N,N,,
Alveolata,Eimeria_maxima1,Done,387,2,55,58,502,77.49%,10.96%,Is TOR actually missing?,,TBLASTN using Hammondia_hammondi_str.H.H.34 shows low evalues with 40%+ identity. Transcript is much larger than the genes found ,N,N,N,N,N,,
Alveolata,Stylonychia_lemnae,Done ,162,5,2,2,171,97.66%,1.17%,,,,N,Y,N,Y,Y,,
Alveolata,Theileria_annulata,Done,435,0,6,5,446,97.53%,1.35%,,,,N,N,N,N,N,,
Alveolata,Hammondia_hammondi_str.H.H.34,Done,444,0,1,1,446,99.55%,0.22%,,,,N,N,N,N,Y,,
Amoebozoa,Acanthamoeba_castellanii_str_Neff,Done,189,5,18,43,255,76.08%,7.06%,,,,Y,Y,Y,Y,Y,,
Amoebozoa,Dictyostelium_discoideum_AX4,Done,229,10,4,12,255,93.73%,1.57%,,,,Y,Y,Y,Y,Y,,
Amoebozoa,Entamoeba_histolytica_HM1_IMSS,Done,118,16,13,108,255,52.55%,5.10%,is SIN1 (possible) and LST8 actually missing? ,,Can find the match of SIN1 with tblastn using the whole transcript but no match for LST8 or SIN1 using Dictyostelium_discoideum_AX4. Was able to find proteins all from ncbi. ,Y,Y,Y,N,Y,,
Chlorophyta,Ostreococcus_lucimarinus_CCE9901,,1437,41,22,19,1519,97.30%,1.45%,,,,N,N,Y,Y,Y,,
Excavata,Spironucleus_salmonicida,Done,42,4,20,189,255,18.04%,7.84%,is SIN1 and LST8 actually missing? ,,,N,Y,Y,N,Y,,
Excavata,Angomonas_deanei,Done,100,0,24,6,130,76.92%,18.46%,,,,N,Y,Y,Y,Y,,
Excavata,Bodo_saltans,Done,112,3,12,3,130,88.46%,9.23%,,,,Y,Y,Y,Y,Y,,
Excavata,Giardia_intestinalis,Done,59,1,16,179,255,23.53%,6.27%,Giardiadb shows little difference,https://giardiadb.org/giardiadb/app/search/organism/GenomeDataTypes/result,4965 proteins from ncbi found in genbank transcript data with only coding sequances. Was able to find 4960 with complete transcrpit which is much larger. Using Naegleria_gruberi sin1 file no significant hits were found ,N,Y,Y,Y,Y,,
Excavata,Leishmania_major,Done,130,0,0,0,130,100.00%,0.00%,,,,Y,Y,Y,Y,Y,,
Excavata,Naegleria_gruberi,Done ,192,4,28,31,255,76.86%,10.98%,,,,Y,Y,Y,Y,Y,,
Excavata,Trypanosoma_brucei_brucei_TREU927,Done,127,0,2,1,130,97.69%,1.54%,,,,N,Y,Y,Y,Y,,
Fungi,Mitosporidium_daphniae,Done,196,7,38.30%,-18.60%,253,80.24%,38.30%,Parasiticly-reduced genome. Are SIN1 and RICTOR actually missing? Many orthologs not in the modified search of fungi_od10 were found,,3291 genes found with complete transcript. SIN1 and RICTOR not found using ,N,N,Y,Y,Y,,
Fungi,Encephalitozoon_intestinalis_ATCC_50506,Done,595,1,1,3,600,99.33%,0.17%,,,,N,N,N,N,N,,
Fungi,Rozella_allomycis_CSF55,Done(Bad),470,1,52,235,758,62.14%,6.86%,,,,Y,Y,Y,Y,Y,,
Fungi,Allomyces_macrogynus_ATCC_38327,Done(Bad),167,487,21,83,758,86.28%,2.77%,,,,Y,Y,Y,Y,Y,,
Fungi,Batrachochytrium_dandrobatidis_JAM81,Done,660,15,22,61,758,89.05%,2.90%,,,,Y,Y,Y,Y,Y,,
Fungi,Gonapodya_prolifera_JEL478,Done(meh),608,19,32,99,758,82.72%,4.22%,,,,Y,Y,Y,Y,Y,,
Fungi,Conidiobolus_coronatus_NRRL_28638,Done(Meh),594,10,38,116,758,79.68%,5.01%,,,,Y,Y,Y,Y,Y,,
Fungi,Smittium_culicis,Done(Bad),281,165,68,244,758,58.84%,8.97%,,,,Y,Y,Y,Y,Y,,
Fungi,Rhizophagus_irregularis_DAOM_181602,Done,702,19,11,26,758,95.12%,1.45%,,,,Y,Y,Y,Y,Y,,
Fungi,Lobosporangium_transversale_str_NRRL_3116,Done ,1525,35,23,31,1614,96.65%,1.43%,,,,Y,Y,Y,Y,Y,,
Fungi,Mortierella_elongata,Done,2,1598,3,11,1614,99.13%,0.19%,High Duplicated BUSCO,,,Y,Y,Y,Y,Y,,
Fungi,Mucor_circinelloides,Done(Meh),651,94,7,6,758,98.28%,0.92%,,,,Y,Y,Y,Y,Y,,
Fungi,Neocallimastic_californiae_str_G1,Done(Bad),353,290,17,98,758,84.83%,2.24%,,,,Y,Y,Y,Y,Y,,
Fungi,Puccinia_sorghi_str_RO10H11247,Done(decent),1510,8,72,174,1764,86.05%,4.08%,,,,Y,Y,Y,Y,Y,,
Fungi,Schizophyllum_commune_H48_GCA_000143185,Done,1683,16,32,33,1764,96.32%,1.81%,,,,Y,Y,Y,Y,Y,,
Fungi,Cutaneotrichosporon_oleaginosum_GCA_0080653501.1,Done,1601,13,20,130,1764,91.50%,1.13%,,,,Y,Y,Y,Y,Y,,
Fungi,Cutaneotrichosporon_oleaginosum_str_IBC0246,Done,1728,13,10,13,1764,98.70%,0.57%,,,,Y,Y,Y,Y,Y,,
Fungi,Tilletiaria_anomala,Done ,707,1,11,39,758,93.40%,1.45%,,,,Y,Y,Y,Y,Y,,
Fungi,Ustilago_maydis,Done ,1751,2,5,6,1764,99.38%,0.28%,,,,Y,Y,Y,Y,Y,,
Fungi,Dothistroma_septosporum,Done,3473,4,95,6,3578,97.18%,2.66%,,,,Y,Y,Y,Y,Y,,
