"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_002284615.2","KAF5842964.1"," -"," PTHR11139.orig.30.pi"," -",9.6e-275,915.9,28,6e-240,797.2,23.2,"NCBI",3046,"Dunaliella salina"
"2","GCA_000002595.3","PNW79096.1"," -"," PTHR11139.orig.30.pi"," -",0,1697.3,0,0,1697,0,"NCBI",3055,"Chlamydomonas reinhardtii"
"3","GCA_000143455.1","EFJ44271.1"," -"," PTHR11139.orig.30.pi"," -",0,1671,34.6,0,1670.7,34.6,"NCBI",3068,"Volvox carteri f. nagariensis"
"4","GCA_000733215.1","KFM25104.1"," -"," PTHR11139.orig.30.pi"," -",0,1562.4,40.3,0,1562.1,40.3,"NCBI",3075,"Auxenochlorella protothecoides"
"5","GCA_002245835.2","PRW60020.1"," -"," PTHR11139.orig.30.pi"," -",0,1625.5,40.5,0,1625.2,40.5,"NCBI",3076,"Chlorella sorokiniana"
"6","GCA_023343905.1","KAI3435635.1"," -"," PTHR11139.orig.30.pi"," -",0,1624.3,36.7,0,1624,36.7,"NCBI",3077,"Chlorella vulgaris"
"7","GCA_030272155.1","WIA33838.1"," -"," PTHR11139.orig.30.pi"," -",0,1619.5,36.2,0,1618.8,36.2,"NCBI",3088,"Tetradesmus obliquus"
"8","GCA_031763795.1","KAK2076505.1"," -"," PTHR11139.orig.30.pi"," -",0,1560.1,46.9,0,1559.9,46.9,"NCBI",3111,"Prototheca wickerhamii"
"9","GCA_001584585.1","KXZ42819.1"," -"," PTHR11139.orig.30.pi"," -",2.7e-286,954,2.6,8e-179,596.3,0.1,"NCBI",33097,"Gonium pectorale"
"10","GCA_001247695.2","KAK3265868.1"," -"," PTHR11139.orig.30.pi"," -",0,1349,16.3,0,1348.7,16.3,"NCBI",36881,"Cymbomonas tetramitiformis"
"11","GCA_025201885.1","KAI8476693.1"," -"," PTHR11139.orig.30.pi"," -",1.3e-281,938.4,0.1,5e-282,938.2,0.1,"NCBI",39955,"Monoraphidium minutum"
"12","GCA_040144395.1","KAK9806197.1"," -"," PTHR11139.orig.30.pi"," -",0,1077.6,15.3,0,1077.3,15.3,"NCBI",41462,"[Myrmecia] bisecta"
"13","GCA_002220235.1","CCO19885.1"," -"," PTHR11139.orig.30.pi"," -",0,1502.1,0.8,0,1501.3,0.8,"NCBI",41875,"Bathycoccus prasinos"
"14","GCA_015473125.1","GHP06934.1"," -"," PTHR11139.orig.30.pi"," -",0,1453.4,1.5,0,1453.1,1.5,"NCBI",41880,"Pycnococcus provasolii"
"15","GCA_011766145.1","GFH29936.1"," -"," PTHR11139.orig.30.pi"," -",1e-114,385.6,0.4,1e-115,385.4,0.4,"NCBI",44745,"Haematococcus lacustris"
"16","GCA_016858145.1","KAG2491268.1"," -"," PTHR11139.orig.30.pi"," -",0,1550.6,4.3,0,1550.5,4.3,"NCBI",47281,"Edaphochlamys debaryana"
"17","GCA_021605115.1","GFR40173.1"," -"," PTHR11139.orig.30.pi"," -",0,1203.6,42.2,0,1203.2,42.2,"NCBI",47775,"Astrephomene gubernaculifera"
"18","GCA_002891735.1","PNG99208.1"," -"," PTHR11139.orig.30.pi"," -",5e-50,170,0.1,6.3e-50,169.7,0.1,"NCBI",47790,"Tetrabaena socialis"
"19","GCA_016834605.1","KAG2429636.1"," -"," PTHR11139.orig.30.pi"," -",0,1693.7,0,0,1693.4,0,"NCBI",51695,"Chlamydomonas incerta"
"20","GCA_019650175.1","GIL44136.1"," -"," PTHR11139.orig.30.pi"," -",0,1682.7,26.4,0,1682.4,26.4,"NCBI",51714,"Volvox africanus"
"21","GCA_000214015.2","CEF96840.1"," -"," PTHR11139.orig.30.pi"," -",0,1444.3,26,0,1444,26,"NCBI",70448,"Ostreococcus tauri"
"22","GCA_905146915.1","CAD7701599.1"," -"," PTHR11139.orig.30.pi"," -",0,1312.6,29.6,0,1312.3,29.6,"NCBI",121088,"Ostreobium quekettii"
"23","GCA_000611645.1","KIZ01533.1"," -"," PTHR11139.orig.30.pi"," -",1.7e-173,579.8,2.3,1e-174,579.5,2.3,"NCBI",145388,"Monoraphidium neglectum"
"24","GCA_040182555.1","KAK9909803.1"," -"," PTHR11139.orig.30.pi"," -",0,1692.4,38.6,0,1692.1,38.6,"NCBI",248742,"Coccomyxa subellipsoidea"
"25","GCA_000090985.2","ACO68161.1"," -"," PTHR11139.orig.30.pi"," -",0,1600.2,0.1,0,1600,0.1,"NCBI",296587,"Micromonas commoda"
