tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
PNW85562.1, -, PTHR13335.orig.30.pi, -,2.2e-61,208.8,0.0,2.7e-61,208.5,0.0,GCA_000002595.3
PNW70855.1, -, PTHR13335.orig.30.pi, -,4.8e-10,39.1,1.1,4.7e-06,25.9,0.4,GCA_000002595.3
PNW69949.1, -, PTHR13335.orig.30.pi, -,4.3e-09,36.0,13.0,6.4e-09,35.4,13.0,GCA_000002595.3
PNW80557.1, -, PTHR13335.orig.30.pi, -,1e-08,34.7,10.2,1.4e-08,34.3,10.2,GCA_000002595.3
PNW70856.1, -, PTHR13335.orig.30.pi, -,1.2e-08,34.5,5.7,1.1e-06,28.0,2.3,GCA_000002595.3
PNW72623.1, -, PTHR13335.orig.30.pi, -,1.6e-08,34.1,4.5,2.1e-08,33.7,4.5,GCA_000002595.3
PNW87562.1, -, PTHR13335.orig.30.pi, -,3.1e-08,33.2,6.4,3.1e-08,33.2,6.4,GCA_000002595.3
PNW86542.1, -, PTHR13335.orig.30.pi, -,5.2e-08,32.4,8.4,0.0052,15.9,3.3,GCA_000002595.3
PNW79609.1, -, PTHR13335.orig.30.pi, -,1.9e-07,30.6,33.2,2.2e-05,23.7,24.4,GCA_000002595.3
PNW83802.1, -, PTHR13335.orig.30.pi, -,1e-06,28.1,6.4,0.0036,16.4,6.6,GCA_000002595.3
PNW78574.1, -, PTHR13335.orig.30.pi, -,1.5e-06,27.6,27.0,1.5e-06,27.6,27.0,GCA_000002595.3
PNW83490.1, -, PTHR13335.orig.30.pi, -,2.3e-06,27.0,0.7,3.5e-06,26.4,0.7,GCA_000002595.3
PNW81196.1, -, PTHR13335.orig.30.pi, -,6.3e-06,25.5,1.3,8.8e-06,25.1,1.3,GCA_000002595.3
PNW77072.1, -, PTHR13335.orig.30.pi, -,8.7e-06,25.1,22.8,1.9e-05,24.0,7.0,GCA_000002595.3
PNW70372.1, -, PTHR13335.orig.30.pi, -,1.6e-05,24.2,31.5,0.0074,15.4,4.8,GCA_000002595.3
PNW78291.1, -, PTHR13335.orig.30.pi, -,1.9e-05,24.0,25.4,4.1e-05,22.8,25.4,GCA_000002595.3
PNW74336.1, -, PTHR13335.orig.30.pi, -,2.8e-05,23.4,9.6,2.8e-05,23.4,9.6,GCA_000002595.3
PNW88596.1, -, PTHR13335.orig.30.pi, -,3e-05,23.3,1.3,4.2e-05,22.8,1.3,GCA_000002595.3
PNW82927.1, -, PTHR13335.orig.30.pi, -,4e-05,22.9,0.1,4.4e-05,22.7,0.1,GCA_000002595.3
PNW81370.1, -, PTHR13335.orig.30.pi, -,4.4e-05,22.7,17.5,4.4e-05,22.7,17.5,GCA_000002595.3
PNW71924.1, -, PTHR13335.orig.30.pi, -,0.00011,21.5,4.5,0.00012,21.4,4.5,GCA_000002595.3
PNW71632.1, -, PTHR13335.orig.30.pi, -,0.00015,21.0,4.7,0.17,10.9,0.6,GCA_000002595.3
PNW74247.1, -, PTHR13335.orig.30.pi, -,0.00017,20.8,0.5,0.00017,20.8,0.5,GCA_000002595.3
PNW79971.1, -, PTHR13335.orig.30.pi, -,0.00018,20.7,0.0,0.00023,20.4,0.0,GCA_000002595.3
PNW85700.1, -, PTHR13335.orig.30.pi, -,0.00021,20.5,2.2,0.00024,20.3,2.2,GCA_000002595.3
PNW83447.1, -, PTHR13335.orig.30.pi, -,0.00025,20.3,0.1,0.001,18.2,0.0,GCA_000002595.3
PNW84949.1, -, PTHR13335.orig.30.pi, -,0.00034,19.8,1.9,0.00034,19.8,1.9,GCA_000002595.3
PNW87296.1, -, PTHR13335.orig.30.pi, -,0.00035,19.8,11.8,0.00035,19.8,11.8,GCA_000002595.3
PNW79270.1, -, PTHR13335.orig.30.pi, -,0.00038,19.7,3.6,0.00038,19.7,3.6,GCA_000002595.3
PNW74087.1, -, PTHR13335.orig.30.pi, -,0.00046,19.4,23.5,0.00085,18.5,18.8,GCA_000002595.3
PNW83798.1, -, PTHR13335.orig.30.pi, -,0.00051,19.2,3.1,0.00064,18.9,3.1,GCA_000002595.3
PNW77256.1, -, PTHR13335.orig.30.pi, -,0.00061,19.0,8.5,0.0009,18.4,8.5,GCA_000002595.3
PNW71806.1, -, PTHR13335.orig.30.pi, -,0.00076,18.7,2.3,0.00076,18.7,2.3,GCA_000002595.3
PNW80918.1, -, PTHR13335.orig.30.pi, -,0.00087,18.5,5.9,0.00087,18.5,5.9,GCA_000002595.3
PNW74490.1, -, PTHR13335.orig.30.pi, -,0.00093,18.4,1.8,0.00093,18.4,1.8,GCA_000002595.3
PNW73673.1, -, PTHR13335.orig.30.pi, -,0.00098,18.3,12.6,0.0013,17.9,12.6,GCA_000002595.3
PNW75215.1, -, PTHR13335.orig.30.pi, -,0.0011,18.2,15.7,17.0,4.3,0.0,GCA_000002595.3
PNW77178.1, -, PTHR13335.orig.30.pi, -,0.0011,18.2,19.4,0.0011,18.2,19.4,GCA_000002595.3
PNW69897.1, -, PTHR13335.orig.30.pi, -,0.0011,18.2,11.5,0.0013,17.9,11.5,GCA_000002595.3
PNW77177.1, -, PTHR13335.orig.30.pi, -,0.0013,17.9,19.6,0.0013,17.9,19.6,GCA_000002595.3
PNW72207.1, -, PTHR13335.orig.30.pi, -,0.0013,17.8,0.5,0.0015,17.7,0.5,GCA_000002595.3
PNW76937.1, -, PTHR13335.orig.30.pi, -,0.0014,17.8,0.0,0.013,14.6,0.0,GCA_000002595.3
PNW80677.1, -, PTHR13335.orig.30.pi, -,0.0014,17.8,0.2,0.011,14.9,0.1,GCA_000002595.3
PNW73681.1, -, PTHR13335.orig.30.pi, -,0.0015,17.7,10.8,0.0015,17.7,10.8,GCA_000002595.3
PNW86746.1, -, PTHR13335.orig.30.pi, -,0.0017,17.5,32.4,0.0017,17.5,32.4,GCA_000002595.3
PNW83602.1, -, PTHR13335.orig.30.pi, -,0.002,17.3,1.0,0.002,17.3,1.0,GCA_000002595.3
PNW82697.1, -, PTHR13335.orig.30.pi, -,0.002,17.2,2.6,0.1,11.6,0.7,GCA_000002595.3
PNW75800.1, -, PTHR13335.orig.30.pi, -,0.0023,17.1,30.4,0.0041,16.2,30.4,GCA_000002595.3
PNW75600.1, -, PTHR13335.orig.30.pi, -,0.0024,17.0,12.6,0.0024,17.0,12.6,GCA_000002595.3
PNW85789.1, -, PTHR13335.orig.30.pi, -,0.0027,16.9,4.6,0.0038,16.3,4.6,GCA_000002595.3
PNW82838.1, -, PTHR13335.orig.30.pi, -,0.0029,16.8,14.1,0.0051,15.9,9.0,GCA_000002595.3
PNW77138.1, -, PTHR13335.orig.30.pi, -,0.0034,16.5,0.0,0.0046,16.1,0.0,GCA_000002595.3
PNW82413.1, -, PTHR13335.orig.30.pi, -,0.0037,16.4,0.4,0.0037,16.4,0.4,GCA_000002595.3
PNW78894.1, -, PTHR13335.orig.30.pi, -,0.0042,16.2,1.0,0.013,14.6,0.3,GCA_000002595.3
PNW88572.1, -, PTHR13335.orig.30.pi, -,0.0044,16.2,0.2,0.0044,16.2,0.2,GCA_000002595.3
PNW83951.1, -, PTHR13335.orig.30.pi, -,0.0044,16.1,2.0,0.25,10.4,1.3,GCA_000002595.3
PNW85505.1, -, PTHR13335.orig.30.pi, -,0.0045,16.1,10.4,0.0071,15.5,10.4,GCA_000002595.3
PNW84104.1, -, PTHR13335.orig.30.pi, -,0.0047,16.1,0.2,0.0077,15.3,0.2,GCA_000002595.3
PNW82503.1, -, PTHR13335.orig.30.pi, -,0.0048,16.0,3.4,0.0055,15.8,3.4,GCA_000002595.3
PNW72507.1, -, PTHR13335.orig.30.pi, -,0.0049,16.0,0.4,0.0081,15.3,0.4,GCA_000002595.3
PNW83052.1, -, PTHR13335.orig.30.pi, -,0.0055,15.8,14.3,0.0072,15.4,14.3,GCA_000002595.3
PNW85663.1, -, PTHR13335.orig.30.pi, -,0.0055,15.8,0.8,0.0063,15.6,0.8,GCA_000002595.3
PNW88987.1, -, PTHR13335.orig.30.pi, -,0.0057,15.8,11.9,0.0084,15.2,11.9,GCA_000002595.3
PNW80723.1, -, PTHR13335.orig.30.pi, -,0.0062,15.7,2.3,0.0088,15.1,2.3,GCA_000002595.3
PNW73305.1, -, PTHR13335.orig.30.pi, -,0.0068,15.5,2.1,0.013,14.6,2.1,GCA_000002595.3
PNW74622.1, -, PTHR13335.orig.30.pi, -,0.0083,15.2,0.4,0.014,14.5,0.4,GCA_000002595.3
PNW77748.1, -, PTHR13335.orig.30.pi, -,0.0094,15.1,13.3,0.042,12.9,13.4,GCA_000002595.3
PNW84618.1, -, PTHR13335.orig.30.pi, -,0.0098,15.0,0.2,0.0098,15.0,0.2,GCA_000002595.3
PNW81446.1, -, PTHR13335.orig.30.pi, -,0.01,14.9,0.7,0.15,11.0,0.4,GCA_000002595.3
PNW73084.1, -, PTHR13335.orig.30.pi, -,0.01,14.9,1.0,0.014,14.5,1.0,GCA_000002595.3
PNW79289.1, -, PTHR13335.orig.30.pi, -,0.011,14.8,2.1,0.016,14.3,2.1,GCA_000002595.3
PNW87088.1, -, PTHR13335.orig.30.pi, -,0.012,14.8,0.9,0.018,14.1,0.9,GCA_000002595.3
PNW79941.1, -, PTHR13335.orig.30.pi, -,0.012,14.7,0.0,0.013,14.6,0.0,GCA_000002595.3
PNW76479.1, -, PTHR13335.orig.30.pi, -,0.012,14.7,39.2,0.019,14.1,21.9,GCA_000002595.3
PNW76035.1, -, PTHR13335.orig.30.pi, -,0.012,14.7,42.3,0.0051,15.9,16.6,GCA_000002595.3
PNW77016.1, -, PTHR13335.orig.30.pi, -,0.015,14.4,17.3,0.0087,15.2,6.5,GCA_000002595.3
PNW75101.1, -, PTHR13335.orig.30.pi, -,0.017,14.2,6.4,0.029,13.4,0.2,GCA_000002595.3
PNW88543.1, -, PTHR13335.orig.30.pi, -,0.019,14.0,0.2,0.021,13.9,0.2,GCA_000002595.3
PNW84208.1, -, PTHR13335.orig.30.pi, -,0.02,14.0,8.1,0.032,13.3,8.1,GCA_000002595.3
PNW85840.1, -, PTHR13335.orig.30.pi, -,0.022,13.8,0.2,0.022,13.8,0.2,GCA_000002595.3
