tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EEY63188.1, -, PTHR11139.orig.30.pi, -,0.0,2086.7,17.4,0.0,2085.1,17.4,GCA_000142945.1
EEY59643.1, -, PTHR11139.orig.30.pi, -,0.0,1504.3,27.5,0.0,1504.1,27.5,GCA_000142945.1
EEY63983.1, -, PTHR11139.orig.30.pi, -,1.9e-234,782.2,39.6,4e-235,781.8,39.6,GCA_000142945.1
EEY66032.1, -, PTHR11139.orig.30.pi, -,4.2e-228,761.1,59.0,2e-229,760.5,59.0,GCA_000142945.1
EEY58194.1, -, PTHR11139.orig.30.pi, -,4e-176,588.6,14.9,4e-176,588.6,14.9,GCA_000142945.1
EEY59985.1, -, PTHR11139.orig.30.pi, -,5.7e-139,465.4,45.4,1e-138,464.5,20.8,GCA_000142945.1
EEY69219.1, -, PTHR11139.orig.30.pi, -,7.2e-121,405.3,73.2,8e-121,405.2,67.9,GCA_000142945.1
EEY59733.1, -, PTHR11139.orig.30.pi, -,3.2e-20,71.4,0.2,3.4e-12,44.8,0.0,GCA_000142945.1
EEY57970.1, -, PTHR11139.orig.30.pi, -,3.9e-20,71.1,0.8,5e-19,67.5,0.0,GCA_000142945.1
EEY58119.1, -, PTHR11139.orig.30.pi, -,1.3e-18,66.1,1.7,1.6e-18,65.8,0.2,GCA_000142945.1
EEY63442.1, -, PTHR11139.orig.30.pi, -,6.2e-18,63.9,0.1,6.2e-18,63.9,0.1,GCA_000142945.1
EEY66290.1, -, PTHR11139.orig.30.pi, -,3.6e-15,54.7,0.0,7.8e-15,53.6,0.0,GCA_000142945.1
EEY61830.1, -, PTHR11139.orig.30.pi, -,6.7e-15,53.8,2.1,1.8e-14,52.3,0.0,GCA_000142945.1
EEY54828.1, -, PTHR11139.orig.30.pi, -,2.8e-13,48.4,0.8,4.3e-13,47.8,0.0,GCA_000142945.1
EEY55051.1, -, PTHR11139.orig.30.pi, -,1.3e-11,42.9,0.1,1.3e-11,42.9,0.1,GCA_000142945.1
EEY53604.1, -, PTHR11139.orig.30.pi, -,2.2e-11,42.1,3.3,1.5e-10,39.3,0.6,GCA_000142945.1
EEY61245.1, -, PTHR11139.orig.30.pi, -,2.4e-11,42.0,7.1,4e-06,24.7,0.0,GCA_000142945.1
EEY66340.1, -, PTHR11139.orig.30.pi, -,1.6e-10,39.2,0.5,2.8e-10,38.4,0.0,GCA_000142945.1
EEY65922.1, -, PTHR11139.orig.30.pi, -,8e-10,36.9,0.0,1.2e-09,36.4,0.0,GCA_000142945.1
EEY67052.1, -, PTHR11139.orig.30.pi, -,9.9e-10,36.6,0.1,1.5e-09,36.0,0.1,GCA_000142945.1
EEY61947.1, -, PTHR11139.orig.30.pi, -,1.8e-09,35.8,15.5,7.7e-09,33.7,4.5,GCA_000142945.1
EEY57127.1, -, PTHR11139.orig.30.pi, -,2e-09,35.6,0.3,2e-09,35.6,0.3,GCA_000142945.1
