tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
KAE8914559.1, -, PTHR12848.orig.30.pi, -,1.6e-87,296.0,0.0,2e-87,295.6,0.0,GCA_009729455.1
KAE8914558.1, -, PTHR12848.orig.30.pi, -,2e-73,249.3,0.1,2.4e-73,249.0,0.1,GCA_009729455.1
KAE8889987.1, -, PTHR12848.orig.30.pi, -,1e-20,74.7,3.0,1.5e-10,41.0,0.1,GCA_009729455.1
KAE8878166.1, -, PTHR12848.orig.30.pi, -,2.8e-20,73.3,4.9,9.6e-11,41.6,0.3,GCA_009729455.1
KAE8902547.1, -, PTHR12848.orig.30.pi, -,6.6e-20,72.0,5.2,8.1e-20,71.7,5.2,GCA_009729455.1
KAE8914883.1, -, PTHR12848.orig.30.pi, -,1.6e-19,70.7,0.6,4.4e-18,66.0,0.6,GCA_009729455.1
KAE8906843.1, -, PTHR12848.orig.30.pi, -,1.1e-18,68.0,0.1,2.3e-11,43.7,0.0,GCA_009729455.1
KAE8897784.1, -, PTHR12848.orig.30.pi, -,7e-18,65.3,29.0,1.6e-17,64.1,29.0,GCA_009729455.1
KAE8897862.1, -, PTHR12848.orig.30.pi, -,7.8e-18,65.1,0.2,3.8e-17,62.9,0.2,GCA_009729455.1
KAE8883446.1, -, PTHR12848.orig.30.pi, -,8.2e-18,65.1,0.0,2.1e-15,57.1,0.0,GCA_009729455.1
KAE8890840.1, -, PTHR12848.orig.30.pi, -,1.1e-17,64.6,1.5,7.2e-11,42.0,0.0,GCA_009729455.1
KAE8888919.1, -, PTHR12848.orig.30.pi, -,1.4e-17,64.3,3.8,1.4e-17,64.3,3.8,GCA_009729455.1
KAE8893828.1, -, PTHR12848.orig.30.pi, -,1.5e-17,64.2,0.2,8.3e-06,25.3,0.1,GCA_009729455.1
KAE8890454.1, -, PTHR12848.orig.30.pi, -,1.3e-15,57.8,6.7,2.5e-15,56.8,6.7,GCA_009729455.1
KAE8897869.1, -, PTHR12848.orig.30.pi, -,1.9e-15,57.2,0.1,6e-15,55.6,0.0,GCA_009729455.1
KAE8912208.1, -, PTHR12848.orig.30.pi, -,2.2e-15,57.0,1.2,5.2e-14,52.5,1.2,GCA_009729455.1
KAE8912207.1, -, PTHR12848.orig.30.pi, -,2.3e-15,57.0,1.1,6.4e-14,52.2,1.2,GCA_009729455.1
KAE8912206.1, -, PTHR12848.orig.30.pi, -,2.6e-15,56.8,1.4,5.3e-14,52.4,1.4,GCA_009729455.1
KAE8895539.1, -, PTHR12848.orig.30.pi, -,4.5e-15,56.0,1.6,3e-14,53.3,1.5,GCA_009729455.1
KAE8915586.1, -, PTHR12848.orig.30.pi, -,8e-15,55.2,1.1,7.5e-11,42.0,1.3,GCA_009729455.1
KAE8877367.1, -, PTHR12848.orig.30.pi, -,8.6e-15,55.1,0.4,1.2e-14,54.6,0.4,GCA_009729455.1
KAE8902985.1, -, PTHR12848.orig.30.pi, -,1.6e-14,54.1,0.1,1.4e-11,44.4,0.1,GCA_009729455.1
KAE8890430.1, -, PTHR12848.orig.30.pi, -,1.9e-14,53.9,0.1,1.5e-08,34.4,0.2,GCA_009729455.1
KAE8911430.1, -, PTHR12848.orig.30.pi, -,4.1e-14,52.8,0.8,1e-13,51.5,0.8,GCA_009729455.1
KAE8894332.1, -, PTHR12848.orig.30.pi, -,6.4e-14,52.2,0.2,7.6e-14,51.9,0.2,GCA_009729455.1
KAE8899164.1, -, PTHR12848.orig.30.pi, -,1.1e-13,51.4,0.6,2.9e-06,26.8,0.0,GCA_009729455.1
KAE8915565.1, -, PTHR12848.orig.30.pi, -,1.3e-13,51.1,0.0,4.2e-09,36.2,0.1,GCA_009729455.1
KAE8911917.1, -, PTHR12848.orig.30.pi, -,1.4e-13,51.0,0.2,2.3e-13,50.3,0.2,GCA_009729455.1
KAE8901892.1, -, PTHR12848.orig.30.pi, -,1.5e-13,50.9,6.3,1.6e-07,31.0,0.7,GCA_009729455.1
KAE8907282.1, -, PTHR12848.orig.30.pi, -,2.2e-13,50.4,3.5,1.9e-06,27.4,0.8,GCA_009729455.1
KAE8908437.1, -, PTHR12848.orig.30.pi, -,2.3e-13,50.3,13.1,4.7e-07,29.4,0.4,GCA_009729455.1
KAE8914126.1, -, PTHR12848.orig.30.pi, -,3.4e-13,49.8,13.5,1.7e-11,44.1,0.3,GCA_009729455.1
KAE8901584.1, -, PTHR12848.orig.30.pi, -,3.7e-13,49.7,0.2,3.7e-13,49.7,0.2,GCA_009729455.1
KAE8914811.1, -, PTHR12848.orig.30.pi, -,5.3e-13,49.1,0.2,7.2e-12,45.4,0.1,GCA_009729455.1
KAE8884167.1, -, PTHR12848.orig.30.pi, -,8e-13,48.5,0.0,5e-09,36.0,0.1,GCA_009729455.1
KAE8888570.1, -, PTHR12848.orig.30.pi, -,8.4e-13,48.5,9.0,0.0035,16.6,0.1,GCA_009729455.1
KAE8886198.1, -, PTHR12848.orig.30.pi, -,1.5e-12,47.6,1.0,3.7e-12,46.3,0.9,GCA_009729455.1
KAE8889889.1, -, PTHR12848.orig.30.pi, -,1.7e-12,47.5,0.2,2.3e-12,47.0,0.2,GCA_009729455.1
KAE8881900.1, -, PTHR12848.orig.30.pi, -,2.6e-12,46.8,0.3,3.5e-12,46.4,0.3,GCA_009729455.1
KAE8895651.1, -, PTHR12848.orig.30.pi, -,3.2e-12,46.5,0.9,5.3e-12,45.8,0.9,GCA_009729455.1
KAE8900029.1, -, PTHR12848.orig.30.pi, -,3.7e-12,46.3,0.0,7.4e-12,45.3,0.0,GCA_009729455.1
KAE8914710.1, -, PTHR12848.orig.30.pi, -,3.9e-12,46.2,0.4,2.5e-06,27.0,0.2,GCA_009729455.1
KAE8888331.1, -, PTHR12848.orig.30.pi, -,4.1e-12,46.2,0.2,4.1e-12,46.2,0.2,GCA_009729455.1
KAE8887955.1, -, PTHR12848.orig.30.pi, -,6.3e-12,45.6,0.0,8.4e-12,45.2,0.0,GCA_009729455.1
KAE8880643.1, -, PTHR12848.orig.30.pi, -,7.7e-12,45.3,0.3,4e-11,42.9,0.3,GCA_009729455.1
KAE8885342.1, -, PTHR12848.orig.30.pi, -,9e-12,45.0,0.0,1.7e-08,34.2,0.0,GCA_009729455.1
KAE8880644.1, -, PTHR12848.orig.30.pi, -,9.2e-12,45.0,0.5,8.4e-11,41.8,0.4,GCA_009729455.1
KAE8891143.1, -, PTHR12848.orig.30.pi, -,9.5e-12,45.0,0.0,1.2e-07,31.4,0.0,GCA_009729455.1
KAE8907605.1, -, PTHR12848.orig.30.pi, -,1.2e-11,44.6,0.5,1.8e-10,40.7,0.5,GCA_009729455.1
KAE8912927.1, -, PTHR12848.orig.30.pi, -,2.2e-11,43.8,12.3,3.3e-07,29.9,0.5,GCA_009729455.1
KAE8890616.1, -, PTHR12848.orig.30.pi, -,2.8e-11,43.4,2.5,8.9e-11,41.8,2.5,GCA_009729455.1
KAE8900474.1, -, PTHR12848.orig.30.pi, -,3.1e-11,43.3,0.1,4.9e-07,29.4,0.3,GCA_009729455.1
KAE8883016.1, -, PTHR12848.orig.30.pi, -,4.1e-11,42.9,0.0,2.1e-10,40.5,0.0,GCA_009729455.1
KAE8910517.1, -, PTHR12848.orig.30.pi, -,4.2e-11,42.8,0.0,6.7e-11,42.2,0.0,GCA_009729455.1
