tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
EEY57262.1,-,PTHR13335.orig.30.pi,-,5.3e-69,233.8,0.4,6.4e-69,233.6,0.4
EEY56907.1,-,PTHR13335.orig.30.pi,-,0.014,14.4,5.7,0.026,13.5,5.7
EEY64132.1,-,PTHR13335.orig.30.pi,-,0.019,13.9,5.6,0.84,8.5,0.0
EED91698.1,-,PTHR13335.orig.30.pi,-,0.078,11.3,7.4,0.13,10.6,7.4
EED89021.1,-,PTHR13335.orig.30.pi,-,0.37,9.0,0.6,0.011,14.0,9.4
EED87739.1,-,PTHR13335.orig.30.pi,-,0.43,8.8,3.9,0.53,8.5,3.9
EGZ24229.1,-,PTHR13335.orig.30.pi,-,1.9e-63,216.1,0.0,2.2e-63,215.9,0.0
EGZ24225.1,-,PTHR13335.orig.30.pi,-,3.4e-40,139.2,1.0,1e-39,137.7,1.0
EGZ21003.1,-,PTHR13335.orig.30.pi,-,4.5e-08,33.1,0.1,4.5e-08,33.1,0.1
EGZ21967.1,-,PTHR13335.orig.30.pi,-,0.00052,19.6,2.4,0.00075,19.1,2.4
EGZ07040.1,-,PTHR13335.orig.30.pi,-,0.0022,17.6,2.9,0.0022,17.6,2.9
EGZ23914.1,-,PTHR13335.orig.30.pi,-,0.014,14.9,4.7,0.014,14.9,4.7
EGZ18901.1,-,PTHR13335.orig.30.pi,-,0.11,12.0,5.2,0.13,11.8,5.2
EGZ09692.1,-,PTHR13335.orig.30.pi,-,0.33,10.4,0.3,0.39,10.1,0.3
EGZ20239.1,-,PTHR13335.orig.30.pi,-,3.3,7.1,1.9,4.4,6.7,1.9
EGZ29712.1,-,PTHR13335.orig.30.pi,-,5.5,6.3,4.9,5.7,6.3,3.9
EGZ23231.1,-,PTHR13335.orig.30.pi,-,10.0,5.5,9.3,13.0,5.2,9.3
EEC50363.1,-,PTHR13335.orig.30.pi,-,0.0069,14.6,5.6,0.0086,14.3,5.6
EEC49875.1,-,PTHR13335.orig.30.pi,-,0.03,12.5,0.5,0.033,12.3,0.5
EEC51986.1,-,PTHR13335.orig.30.pi,-,0.037,12.2,0.4,0.013,13.7,4.3
KDO29708.1,-,PTHR13335.orig.30.pi,-,9e-48,163.9,0.0,1.4e-47,163.2,0.0
KDO27592.1,-,PTHR13335.orig.30.pi,-,0.00019,20.7,8.4,0.00019,20.7,8.4
KDO21638.1,-,PTHR13335.orig.30.pi,-,0.0002,20.6,0.4,0.089,11.9,0.0
