tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
BAA84365.1, -, PTHR33149.orig.30.pi, -,5.4e-170,565.6,11.0,2e-171,565.4,11.0,GCA_000001735.2
BAA84380.1, -, PTHR33149.orig.30.pi, -,2.1e-150,501.3,11.2,6e-151,500.9,11.2,GCA_000001735.2
PNT08278.1, -, PTHR33149.orig.30.pi, -,5.6e-170,565.7,11.0,5e-171,565.4,11.0,GCA_000002775.4
KAI9383977.1, -, PTHR33149.orig.30.pi, -,1.3e-167,557.9,10.2,6e-168,557.6,10.2,GCA_000002775.4
KAI9394900.1, -, PTHR33149.orig.30.pi, -,1.3e-165,551.3,11.2,6e-166,551.0,11.2,GCA_000002775.4
KAI9383976.1, -, PTHR33149.orig.30.pi, -,3.5e-98,329.8,9.7,4e-98,329.6,9.7,GCA_000002775.4
KAI9383993.1, -, PTHR33149.orig.30.pi, -,3.1e-89,300.5,8.6,4.3e-89,300.0,8.6,GCA_000002775.4
KAI9390658.1, -, PTHR33149.orig.30.pi, -,6.4e-77,260.0,6.5,8.5e-67,226.8,8.1,GCA_000002775.4
KAI9377303.1, -, PTHR33149.orig.30.pi, -,3.4e-23,83.5,0.2,3.6e-23,83.4,0.2,GCA_000002775.4
KAI9377302.1, -, PTHR33149.orig.30.pi, -,8.7e-07,29.6,0.0,9.7e-07,29.5,0.0,GCA_000002775.4
KAI9386495.1, -, PTHR33149.orig.30.pi, -,2.7e-05,24.7,0.0,2.7e-05,24.7,0.0,GCA_000002775.4
OQU78852.1, -, PTHR33149.orig.30.pi, -,0.17,12.1,0.1,0.38,11.0,0.0,GCA_000003195.3
CBI31590.3, -, PTHR33149.orig.30.pi, -,3.6e-147,489.8,15.3,1e-137,458.7,8.1,GCA_000003745.2
CBI19990.3, -, PTHR33149.orig.30.pi, -,1.8e-32,113.0,0.1,1.9e-32,113.0,0.1,GCA_000003745.2
CBI40136.3, -, PTHR33149.orig.30.pi, -,1.5e-20,73.8,3.0,9e-20,71.3,4.0,GCA_000003745.2
CBI24529.3, -, PTHR33149.orig.30.pi, -,0.15,11.4,0.4,0.26,10.7,0.4,GCA_000003745.2
CBI20588.3, -, PTHR33149.orig.30.pi, -,0.25,10.7,1.0,20.0,4.5,0.0,GCA_000003745.2
KGN54654.2, -, PTHR33149.orig.30.pi, -,2.6e-69,233.9,13.4,3.7e-69,233.4,13.4,GCA_000004075.3
KAE8652974.1, -, PTHR33149.orig.30.pi, -,1.9e-68,231.1,2.5,2.3e-68,230.8,2.5,GCA_000004075.3
EFH64611.1, -, PTHR33149.orig.30.pi, -,1.4e-150,501.3,11.2,8e-151,500.9,11.2,GCA_000004255.1
EFH63144.1, -, PTHR33149.orig.30.pi, -,7.4e-150,498.9,11.5,4e-151,498.6,11.5,GCA_000004255.1
EFH63362.1, -, PTHR33149.orig.30.pi, -,2.1e-137,458.0,16.5,4e-138,457.8,16.5,GCA_000004255.1
EFH39160.1, -, PTHR33149.orig.30.pi, -,1.1e-20,74.6,1.0,1.4e-20,74.3,1.0,GCA_000004255.1
KRH76460.1, -, PTHR33149.orig.30.pi, -,7.6e-97,326.2,8.7,9.1e-97,325.9,8.7,GCA_000004515.5
KAG4383189.1, -, PTHR33149.orig.30.pi, -,1.6e-90,305.3,10.7,2e-90,305.1,10.7,GCA_000004515.5
KRH54903.1, -, PTHR33149.orig.30.pi, -,3.4e-65,222.2,12.1,5.5e-65,221.5,12.1,GCA_000004515.5
KRH62235.1, -, PTHR33149.orig.30.pi, -,2e-55,190.1,1.1,2.1e-55,190.0,1.1,GCA_000004515.5
KRH74249.1, -, PTHR33149.orig.30.pi, -,0.12,13.5,0.0,0.23,12.5,0.0,GCA_000004515.5
KRH34071.1, -, PTHR33149.orig.30.pi, -,0.78,10.8,0.1,1.1,10.3,0.1,GCA_000004515.5
ONM62939.1, -, PTHR33149.orig.30.pi, -,1e-168,562.8,11.0,2e-169,562.6,11.0,GCA_000005005.6
ONM62968.1, -, PTHR33149.orig.30.pi, -,6.6e-149,497.8,11.8,3e-150,497.4,11.8,GCA_000005005.6
ONM09651.1, -, PTHR33149.orig.30.pi, -,4.3e-25,91.1,0.6,6e-25,90.6,0.6,GCA_000005005.6
AQK39997.1, -, PTHR33149.orig.30.pi, -,0.72,11.5,1.6,0.88,11.2,1.6,GCA_000005005.6
AQK39996.1, -, PTHR33149.orig.30.pi, -,0.96,11.1,2.0,1.1,10.8,1.7,GCA_000005005.6
BAF14210.1, -, PTHR33149.orig.30.pi, -,1.2e-169,563.8,10.9,4e-170,563.5,10.9,GCA_000005425.2
BAH91330.1, -, PTHR33149.orig.30.pi, -,0.00013,21.6,0.0,0.0002,21.0,0.0,GCA_000005425.2
BAH92859.1, -, PTHR33149.orig.30.pi, -,0.16,11.4,0.0,0.2,11.2,0.0,GCA_000005425.2
BAF04269.1, -, PTHR33149.orig.30.pi, -,0.17,11.4,0.5,0.19,11.2,0.5,GCA_000005425.2
BAF27415.2, -, PTHR33149.orig.30.pi, -,0.22,11.0,0.5,0.23,11.0,0.5,GCA_000005425.2
PNT63670.1, -, PTHR33149.orig.30.pi, -,2.8e-168,560.1,10.8,3e-169,559.9,10.8,GCA_000005505.4
KQK20683.1, -, PTHR33149.orig.30.pi, -,8.7e-138,459.9,13.8,2e-138,459.5,13.8,GCA_000005505.4
PNT61161.1, -, PTHR33149.orig.30.pi, -,2e-87,294.5,3.3,6.2e-77,260.1,4.7,GCA_000005505.4
EFJ05022.1, -, PTHR33149.orig.30.pi, -,1.3e-167,557.3,10.7,5e-168,557.1,10.7,GCA_000143415.2
EFJ05007.1, -, PTHR33149.orig.30.pi, -,1.3e-112,376.7,0.0,4e-113,376.6,0.0,GCA_000143415.2
AEJ82535.1, -, PTHR33149.orig.30.pi, -,3.5e-170,565.6,11.0,4e-170,565.4,11.0,GCA_000151685.2
EEF39132.1, -, PTHR33149.orig.30.pi, -,1.8e-161,537.0,12.1,1e-162,536.7,12.1,GCA_000151685.2
AEJ82550.1, -, PTHR33149.orig.30.pi, -,1.6e-152,507.6,11.5,2e-152,507.3,11.5,GCA_000151685.2
EEF36793.1, -, PTHR33149.orig.30.pi, -,1.1e-133,445.7,7.4,1e-119,395.0,3.9,GCA_000151685.2
EEF42578.1, -, PTHR33149.orig.30.pi, -,1.2e-117,393.0,6.5,5e-118,392.7,6.5,GCA_000151685.2
EEF44001.1, -, PTHR33149.orig.30.pi, -,3.8e-97,325.7,9.7,4.4e-97,325.5,9.7,GCA_000151685.2
EEF37404.1, -, PTHR33149.orig.30.pi, -,5.3e-84,282.5,15.8,4e-67,227.1,5.8,GCA_000151685.2
EEF46022.1, -, PTHR33149.orig.30.pi, -,1.2e-83,281.4,11.7,1.3e-83,281.2,11.7,GCA_000151685.2
EEF40439.1, -, PTHR33149.orig.30.pi, -,1.8e-68,231.5,11.8,2.6e-68,231.0,11.8,GCA_000151685.2
EEF23134.1, -, PTHR33149.orig.30.pi, -,2.5e-61,208.1,0.3,2.8e-61,207.9,0.3,GCA_000151685.2
EEF24016.1, -, PTHR33149.orig.30.pi, -,2.5e-61,208.1,0.3,2.8e-61,207.9,0.3,GCA_000151685.2
EEF45092.1, -, PTHR33149.orig.30.pi, -,1.8e-49,169.1,1.1,1.8e-49,169.1,1.1,GCA_000151685.2
EEF44649.1, -, PTHR33149.orig.30.pi, -,3.4e-45,155.0,8.3,3.7e-41,141.8,3.1,GCA_000151685.2
EEF45086.1, -, PTHR33149.orig.30.pi, -,1e-29,104.2,0.1,3.1e-21,76.3,0.1,GCA_000151685.2
EEF45090.1, -, PTHR33149.orig.30.pi, -,1.2e-23,84.3,0.1,1.2e-23,84.3,0.1,GCA_000151685.2
EEF25610.1, -, PTHR33149.orig.30.pi, -,1.4e-22,80.8,0.5,1.5e-22,80.7,0.5,GCA_000151685.2
AES88246.1, -, PTHR33149.orig.30.pi, -,2.9e-169,563.5,11.2,3e-170,563.3,11.2,GCA_000219495.2
KEH17704.1, -, PTHR33149.orig.30.pi, -,3.4e-169,563.2,11.5,9e-170,563.0,11.5,GCA_000219495.2
AES77910.1, -, PTHR33149.orig.30.pi, -,6.6e-169,562.3,11.2,6e-170,562.1,11.2,GCA_000219495.2
KEH17706.1, -, PTHR33149.orig.30.pi, -,2.3e-146,488.2,12.7,3e-147,488.2,12.7,GCA_000219495.2
AES89392.1, -, PTHR33149.orig.30.pi, -,1.2e-132,443.2,17.5,7e-133,442.7,17.5,GCA_000219495.2
AES77815.1, -, PTHR33149.orig.30.pi, -,9.1e-62,210.4,19.7,3.2e-41,142.9,12.2,GCA_000219495.2
AES72305.1, -, PTHR33149.orig.30.pi, -,4.3e-45,155.6,3.4,4.9e-45,155.4,3.4,GCA_000219495.2
AET00699.1, -, PTHR33149.orig.30.pi, -,5.7e-37,128.9,4.0,5.9e-37,128.9,4.0,GCA_000219495.2
KEH41905.1, -, PTHR33149.orig.30.pi, -,2.9e-34,120.0,1.2,3.3e-34,119.9,1.2,GCA_000219495.2
AES88204.1, -, PTHR33149.orig.30.pi, -,4.1e-27,96.5,0.3,4.6e-27,96.4,0.3,GCA_000219495.2
AES86363.1, -, PTHR33149.orig.30.pi, -,6.6e-27,95.9,3.6,2.5e-20,74.2,0.9,GCA_000219495.2
AES67343.1, -, PTHR33149.orig.30.pi, -,2.2e-26,94.2,0.5,2.4e-26,94.0,0.5,GCA_000219495.2
AES68448.2, -, PTHR33149.orig.30.pi, -,5.8e-12,46.8,0.1,7e-12,46.5,0.1,GCA_000219495.2
KEH26877.1, -, PTHR33149.orig.30.pi, -,2.4e-09,38.2,0.0,2.6e-09,38.1,0.0,GCA_000219495.2
KEH25716.1, -, PTHR33149.orig.30.pi, -,8.5e-08,33.1,1.9,1.1e-07,32.7,1.9,GCA_000219495.2
RCU61610.1, -, PTHR33149.orig.30.pi, -,3.2e-169,562.9,10.9,4e-169,562.6,10.9,GCA_000263155.2
RCV34444.1, -, PTHR33149.orig.30.pi, -,3.4e-79,267.2,3.5,4e-79,267.0,3.5,GCA_000263155.2
RCV27291.1, -, PTHR33149.orig.30.pi, -,0.043,13.9,0.0,0.078,13.1,0.0,GCA_000263155.2
KJB15227.1, -, PTHR33149.orig.30.pi, -,1.3e-110,371.2,18.7,1.1e-71,243.4,5.9,GCA_000327365.2
KJB10925.1, -, PTHR33149.orig.30.pi, -,1.8e-77,262.4,9.1,1.9e-76,259.0,9.1,GCA_000327365.2
KJB10644.1, -, PTHR33149.orig.30.pi, -,2.6e-70,238.9,12.3,1.3e-53,184.0,10.0,GCA_000327365.2
KJB22715.1, -, PTHR33149.orig.30.pi, -,2.3e-65,222.6,3.0,2.6e-65,222.4,3.0,GCA_000327365.2
