tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,3.5e-129,434.1,0.0,2e-129,431.4,0.0,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,1.1e-73,250.0,0.0,5.9e-73,247.5,0.0,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,9.6e-23,80.9,0.1,1.1e-22,80.8,0.1,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,4.7e-11,42.1,0.0,7e-11,41.6,0.0,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,1.3e-06,27.4,0.0,1.3e-06,27.4,0.0,Euggra1_TOR
.t1_protein_coding., -, PTHR11139.orig.30.pi, -,5.4e-06,25.4,0.0,6.9e-06,25.0,0.0,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,3.6e-05,22.6,7.9,0.0002,20.1,7.9,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,0.00033,19.5,0.3,0.00041,19.1,0.3,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,0.00095,17.9,0.0,0.0024,16.6,0.0,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,0.0011,17.6,0.0,0.0027,16.4,0.0,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,0.0022,16.7,0.0,0.0051,15.5,0.0,Euggra1_TOR
.t1_protein_coding., -, PTHR11139.orig.30.pi, -,0.24,9.9,2.6,0.27,9.8,2.6,Euggra1_TOR
.t1_protein_coding., -, PTHR11139.orig.30.pi, -,0.95,8.0,8.6,1.6,7.2,8.6,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,4.6,5.7,9.7,6.2,5.3,9.7,Euggra1_TOR
t1_protein_coding.1, -, PTHR11139.orig.30.pi, -,6.0,5.3,8.9,8.3,4.8,8.9,Euggra1_TOR
|6328|XM_001706638., -, PTHR11139.orig.30.pi, -,8.8e-280,931.1,24.1,1e-280,930.8,24.1,Giaint1_TOR
|2790|XM_001707767., -, PTHR11139.orig.30.pi, -,6e-29,98.9,0.0,6e-29,98.9,0.0,Giaint1_TOR
|3070|XM_001708592., -, PTHR11139.orig.30.pi, -,8.3e-14,48.7,0.1,4.4e-07,26.4,0.0,Giaint1_TOR
|4095|XM_001709183., -, PTHR11139.orig.30.pi, -,2.1e-11,40.7,0.1,2.1e-11,40.7,0.1,Giaint1_TOR
|5669|XM_001707919., -, PTHR11139.orig.30.pi, -,0.06,9.3,1.0,0.064,9.3,1.0,Giaint1_TOR
43848|XM_001329725., -, PTHR11139.orig.30.pi, -,7.2e-214,715.6,18.9,6e-215,715.3,18.9,Trivag1_TOR
12292|XM_001322616., -, PTHR11139.orig.30.pi, -,3.5e-208,696.7,12.6,2e-209,696.2,12.6,Trivag1_TOR
53842|XM_001305377., -, PTHR11139.orig.30.pi, -,2.7e-205,687.2,8.3,8e-206,685.8,8.5,Trivag1_TOR
38354|XM_001313976., -, PTHR11139.orig.30.pi, -,3.2e-204,683.6,16.7,2e-205,683.2,16.7,Trivag1_TOR
19075|XM_001581482., -, PTHR11139.orig.30.pi, -,3.7e-201,673.4,38.3,7e-201,669.1,38.3,Trivag1_TOR
44233|XM_001329624., -, PTHR11139.orig.30.pi, -,2.4e-196,657.5,18.9,3e-196,652.8,19.0,Trivag1_TOR
23203|XM_001318767., -, PTHR11139.orig.30.pi, -,2.7e-190,637.4,10.1,7e-191,637.4,10.1,Trivag1_TOR
27940|XM_001316981., -, PTHR11139.orig.30.pi, -,1.3e-188,631.8,16.9,6e-189,631.6,16.9,Trivag1_TOR
49830|XM_001307533., -, PTHR11139.orig.30.pi, -,1.6e-188,631.5,21.6,3e-189,631.0,20.7,Trivag1_TOR
3920|XM_001325281.1, -, PTHR11139.orig.30.pi, -,4.8e-188,629.9,36.0,1e-188,627.8,36.0,Trivag1_TOR
42805|XM_001583740., -, PTHR11139.orig.30.pi, -,1.2e-187,628.6,25.7,3e-187,627.3,25.7,Trivag1_TOR
49756|XM_001328570., -, PTHR11139.orig.30.pi, -,1.9e-187,627.9,18.0,4e-188,627.6,18.0,Trivag1_TOR
29650|XM_001316475., -, PTHR11139.orig.30.pi, -,1.3e-185,621.9,27.3,1e-186,621.2,27.3,Trivag1_TOR
43101|XM_001311333., -, PTHR11139.orig.30.pi, -,1.5e-183,615.0,22.7,3e-184,614.4,22.7,Trivag1_TOR
542|XM_001302569.1, -, PTHR11139.orig.30.pi, -,3.1e-183,614.0,24.1,8e-184,613.7,24.1,Trivag1_TOR
17798|XM_001581624., -, PTHR11139.orig.30.pi, -,2.6e-182,610.9,21.4,2e-181,605.4,21.4,Trivag1_TOR
30332|XM_001316221., -, PTHR11139.orig.30.pi, -,3.5e-180,603.8,2.8,5e-181,603.8,2.8,Trivag1_TOR
39946|XM_001313082., -, PTHR11139.orig.30.pi, -,5.9e-180,603.1,14.6,6e-179,595.8,16.0,Trivag1_TOR
36248|XM_001314438., -, PTHR11139.orig.30.pi, -,3.3e-178,597.3,31.1,7e-179,596.8,31.1,Trivag1_TOR
43934|XM_001310803., -, PTHR11139.orig.30.pi, -,1.1e-175,588.9,9.6,4e-176,588.6,9.6,Trivag1_TOR
56942|XM_001303855., -, PTHR11139.orig.30.pi, -,1.5e-175,588.5,30.8,2e-176,587.9,30.8,Trivag1_TOR
49607|XM_001307629., -, PTHR11139.orig.30.pi, -,2.2e-174,584.6,23.3,8e-175,582.5,22.5,Trivag1_TOR
24986|XM_001318130., -, PTHR11139.orig.30.pi, -,6.1e-174,583.2,31.4,8e-174,582.8,31.4,Trivag1_TOR
8121|XM_001323950.1, -, PTHR11139.orig.30.pi, -,6.5e-173,579.7,15.4,2e-174,579.2,15.4,Trivag1_TOR
23314|XM_001318730., -, PTHR11139.orig.30.pi, -,1e-169,569.1,21.6,5e-170,568.5,21.6,Trivag1_TOR
23390|XM_001318668., -, PTHR11139.orig.30.pi, -,1.5e-169,568.6,12.2,6e-169,564.0,12.1,Trivag1_TOR
44643|XM_001329533., -, PTHR11139.orig.30.pi, -,1.2e-168,565.6,18.2,5e-169,565.2,18.2,Trivag1_TOR
55392|XM_001327293., -, PTHR11139.orig.30.pi, -,3.9e-168,563.9,22.3,4e-167,558.7,22.3,Trivag1_TOR
41158|XM_001312408., -, PTHR11139.orig.30.pi, -,2.7e-162,544.5,17.3,3e-162,542.3,17.5,Trivag1_TOR
2936|XM_001301631.1, -, PTHR11139.orig.30.pi, -,1.4e-159,535.5,44.9,5e-160,534.7,43.1,Trivag1_TOR
53194|XM_001327830., -, PTHR11139.orig.30.pi, -,6.8e-157,526.6,19.9,4e-155,520.7,20.1,Trivag1_TOR
54318|XM_001305180., -, PTHR11139.orig.30.pi, -,1.3e-150,505.7,17.9,6e-151,503.9,17.9,Trivag1_TOR
