tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EAN78248.1, -, PTHR11139.orig.30.pi, -,1.1e-281,937.8,34.6,9e-282,937.1,34.6,GCA_000002445.1
AAZ10671.1, -, PTHR11139.orig.30.pi, -,1.4e-228,761.7,43.5,5e-229,760.3,43.5,GCA_000002445.1
AAZ10633.1, -, PTHR11139.orig.30.pi, -,1.6e-216,721.6,32.7,4e-217,721.1,32.7,GCA_000002445.1
CAJ16242.1, -, PTHR11139.orig.30.pi, -,2.8e-205,684.4,46.7,5e-205,681.2,46.7,GCA_000002445.1
EAN80414.1, -, PTHR11139.orig.30.pi, -,5.9e-164,547.2,23.3,9e-165,547.2,23.3,GCA_000002445.1
AAQ15683.1, -, PTHR11139.orig.30.pi, -,1e-142,476.8,33.9,3e-143,475.7,33.9,GCA_000002445.1
AAZ11348.1, -, PTHR11139.orig.30.pi, -,7.3e-32,109.0,29.9,6.5e-21,72.7,27.6,GCA_000002445.1
AAZ13385.1, -, PTHR11139.orig.30.pi, -,9.4e-19,65.5,4.1,1.4e-17,61.7,4.1,GCA_000002445.1
AAZ10705.1, -, PTHR11139.orig.30.pi, -,7.7e-12,42.6,0.0,2.3e-11,41.0,0.0,GCA_000002445.1
CAJ16098.1, -, PTHR11139.orig.30.pi, -,6.2e-05,19.7,11.2,0.0048,13.4,6.8,GCA_000002445.1
EAN80479.1, -, PTHR11139.orig.30.pi, -,0.0048,13.4,4.8,0.0041,13.7,1.5,GCA_000002445.1
EAN78319.1, -, PTHR11139.orig.30.pi, -,0.037,10.5,5.9,0.66,6.3,0.3,GCA_000002445.1
EAN77864.1, -, PTHR11139.orig.30.pi, -,0.048,10.1,6.4,0.021,11.3,2.3,GCA_000002445.1
EAN79458.1, -, PTHR11139.orig.30.pi, -,0.058,9.8,14.9,0.0023,14.5,0.7,GCA_000002445.1
EAN80579.1, -, PTHR11139.orig.30.pi, -,0.26,7.7,29.1,0.099,9.1,18.9,GCA_000002445.1
CAJ09607.1, -, PTHR11139.orig.30.pi, -,1.1e-303,1010.7,48.4,4e-304,1010.4,48.4,GCA_000002725.2
CAJ08193.1, -, PTHR11139.orig.30.pi, -,2.4e-241,803.9,38.3,3e-241,803.6,38.3,GCA_000002725.2
CAJ08117.1, -, PTHR11139.orig.30.pi, -,6.8e-212,706.2,44.0,7e-212,702.7,43.8,GCA_000002725.2
CAJ04126.1, -, PTHR11139.orig.30.pi, -,3.3e-204,680.7,46.6,7e-194,644.5,10.3,GCA_000002725.2
CAJ08666.1, -, PTHR11139.orig.30.pi, -,5.8e-156,520.7,81.0,1e-155,515.5,81.0,GCA_000002725.2
CBZ11901.1, -, PTHR11139.orig.30.pi, -,1e-139,466.8,3.9,1e-139,466.8,3.9,GCA_000002725.2
CAJ09256.1, -, PTHR11139.orig.30.pi, -,1.3e-56,191.1,26.6,1.3e-56,191.1,26.6,GCA_000002725.2
