"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Chlorophyta","Dunsal1","|Dusal.0123s00017.1"," -"," PTHR19842.orig.30.pi"," -",1.1e-135,451.7,1.4,3e-136,451.4,1.4,3046,"Dunaliella salina CCAP19/18","Chlorophyceae","Chlorophyta","Chlamydomonadales","Dunaliellaceae","Dunaliella","JGI"
"2","Chlorophyta","Chlre5","|Cre17.g713900.t1.2"," -"," PTHR19842.orig.30.pi"," -",5.2e-137,455.9,2,2e-138,455.6,2,3055,"Chlamydomonas reinhardtii CC-503 v5.6","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","JGI"
"3","Chlorophyta","Volca2","4|Vocar.0026s0114.1"," -"," PTHR19842.orig.30.pi"," -",9.1e-138,458.1,3.9,1e-138,457.8,3.9,3067,"Volvox carteri v2.1","Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","JGI"
"4","Chlorophyta","Chloso1230","CSI2_123000000282-R"," -"," PTHR19842.orig.30.pi"," -",1e-137,457.8,2,2e-138,457.5,2,3071,"Chlorella sorokiniana UTEX 1230","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"5","Chlorophyta","Auxeprot1","|2057|XM_011401657."," -"," PTHR19842.orig.30.pi"," -",1.2e-137,456.7,0.3,5e-138,456.5,0.3,3075,"Auxenochlorella protothecoides 0710","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Auxenochlorella","JGI"
"6","Chlorophyta","Chloso1602","21_0095"," -"," PTHR19842.orig.30.pi"," -",6e-142,471.3,2.3,1e-143,471.1,2.3,3076,"Chlorella sorokiniana UTEX 1602","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"7","Chlorophyta","Scedim1","X_transcript/39954"," -"," PTHR19842.orig.30.pi"," -",4.9e-141,469.2,3,6e-141,468.9,3,3087,"Scenedesmus dimorphus UTEX 1237 v1.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","JGI"
"8","Chlorophyta","Acuobl2326","O_transcript/14288"," -"," PTHR19842.orig.30.pi"," -",4.8e-141,469.2,3,8e-142,468.9,3,3088,"Scenedesmus obliquus SAG 2326 v1.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI"
"9","Chlorophyta","Tetrobl72","P_transcript/54811"," -"," PTHR19842.orig.30.pi"," -",4.8e-141,469.2,3,8e-142,468.9,3,3088,"Tetradesmus obliquus UTEX 72 v1.1","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI"
"10","Chlorophyta","Pedmin1","2|Pedmi_jg5986.t1"," -"," PTHR19842.orig.30.pi"," -",2e-141,469.7,3.9,4e-142,469.5,3.9,3159,"Pedinomonas minor SAG 1965-3","Pedinophyceae","Chlorophyta","Pedinomonadales","Pedinomonadaceae","Pedinomonas","JGI"
"11","Chlorophyta","Tetstr1","45603|TSEL_003409.t"," -"," PTHR19842.orig.30.pi"," -",5e-142,473.9,4.1,9e-143,473.6,4.1,3165,"Tetraselmis striata","Chlorodendrophyceae","Chlorophyta","Chlorodendrales","Chlorodendraceae","Tetraselmis","JGI"
"12","Chlorophyta","Chrzof2",""," -"," PTHR19842.orig.30.pi"," -",2.8e-138,460,2.8,4e-139,459.8,2.8,31302,"Chromochloris zofingiensis var. SAG 211-14 v6.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Chromochloridaceae","Chromochloris","JGI"
"13","Chlorophyta","Gonpec1","npec1|3912|rna6207"," -"," PTHR19842.orig.30.pi"," -",6.7e-137,455.5,7.6,8e-137,455.3,7.6,33097,"Gonium pectorale NIES-2863","Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Gonium","JGI"
"14","Chlorophyta","MicrAD1","ssed-gene-0.2-mRNA-"," -"," PTHR19842.orig.30.pi"," -",5e-53,179.4,0,5.4e-53,179.3,0,38832,"Micromonas sp. AD1 metagenome extracted assembly","Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","JGI"
"15","Chlorophyta","Monmin1","TY_DN25692_c0_g1_i1"," -"," PTHR19842.orig.30.pi"," -",2.3e-137,457,1.7,7e-138,456.7,1.7,39955,"Monoraphidium minutum 26B-AM v1.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","JGI"
"16","Chlorophyta","SymretAf1",""," -"," PTHR19842.orig.30.pi"," -",4.1e-132,439.4,4,5e-132,439.2,4,40981,"Symbiochloris reticulata Africa extracted metagenome v1.0","Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Symbiochloris","JGI"
"17","Chlorophyta","Myrbis2043","1|4170|KAK9806852.1"," -"," PTHR19842.orig.30.pi"," -",1e-138,461,1.9,3e-139,460.7,1.9,41462,"Myrmecia bisecta SAG 2043","Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Myrmecia","JGI"
"18","Chlorophyta","Haeplu1","ITY_DN3810_c0_g1_i1"," -"," PTHR19842.orig.30.pi"," -",3.8e-136,453.4,5.8,5e-137,453.2,5.8,44745,"Haematococcus lacustris Liv1 v1.2","Chlorophyceae","Chlorophyta","Chlamydomonadales","Haematococcaceae","Haematococcus","JGI"
"19","Chlorophyta","Edade1","ade1|18113|g1900.t1"," -"," PTHR19842.orig.30.pi"," -",7.9e-138,458.9,2.1,5e-139,458.6,2.1,47281,"Edaphochlamys debaryana CCAP 11/70","Chlorophyceae","Chlorophyta","Chlamydomonadales",NA,"Edaphochlamys","JGI"
