"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","GCA_000002435.2","Metamonada",5741,"Giardia intestinalis",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"2","GCA_000002825.3","Metamonada",412133,"Trichomonas vaginalis G3",NA,"M","H","H","M",NA,NA,"Parabasalia","Trichomonadida","Trichomonadidae","Trichomonas","NCBI"
"3","GCA_000182405.1","Metamonada",598745,"Giardia intestinalis ATCC 50581",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"4","GCA_000182665.1","Metamonada",658858,"Giardia lamblia P15",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"5","GCA_000497125.2","Metamonada",348837,"Spironucleus salmonicida",NA,NA,"M","H",NA,NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Spironucleus","NCBI"
"6","GCA_001543975.1","Metamonada",1394984,"Giardia intestinalis assemblage B",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"7","GCA_001643675.2","Metamonada",2049356,"Monocercomonoides exilis",NA,NA,"H","H","L",NA,NA,"Preaxostyla","Oxymonadida","Polymastigidae","Monocercomonoides","NCBI"
"8","GCA_001839685.2","Metamonada",1144522,"Tritrichomonas foetus",NA,"M","H","H","M",NA,NA,"Parabasalia","Tritrichomonadida","Tritrichomonadidae","Tritrichomonas","NCBI"
"9","GCA_003568945.1","Metamonada",797122,"Kipferlia bialata",NA,"L","M","H","L",NA,NA,"Fornicata",NA,NA,"Kipferlia","NCBI"
"10","GCA_006247105.1","Metamonada",5742,"Giardia muris",NA,"H","M","H","L",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"11","GCA_008636045.1","Metamonada",222440,"Streblomastix strix",NA,NA,"H","H","L",NA,NA,"Preaxostyla","Oxymonadida","Streblomastigidae","Streblomastix","NCBI"
"12","GCA_019828565.1","Metamonada",201153,"Carpediemonas membranifera",NA,"H","H","H","M",NA,NA,"Fornicata",NA,NA,"Carpediemonas","NCBI"
"13","GCA_020184695.1","Metamonada",135588,"Histomonas meleagridis",NA,"M","M","H","M",NA,NA,"Parabasalia","Tritrichomonadida","Dientamoebidae","Histomonas","NCBI"
"14","GCA_024181965.1","Metamonada",2918883,"Aduncisulcus paluster",NA,NA,"M","H","L",NA,NA,"Fornicata",NA,NA,"Aduncisulcus","NCBI"
"15","GCA_027625915.1","Metamonada",1746091,"Anaeramoeba flamelloides","L","H","H","H","H",NA,NA,NA,NA,"Anaeramoebidae","Anaeramoeba","NCBI"
"16","GCA_027972325.1","Metamonada",342808,"Paratrimastix pyriformis",NA,NA,"H","H","H",NA,NA,"Preaxostyla",NA,"Paratrimastigidae","Paratrimastix","NCBI"
"17","GCA_028826165.1","Metamonada",1746090,"Anaeramoeba ignava","L","H","H","H","H",NA,NA,NA,NA,"Anaeramoebidae","Anaeramoeba","NCBI"
"18","GCA_033064195.1","Metamonada",2049346,"Blattamonas nauphoetae",NA,"L","H","H","L",NA,NA,"Preaxostyla","Oxymonadida",NA,"Blattamonas","NCBI"
"19","GCA_039105265.1","Metamonada",1915356,"Tritrichomonas musculus",NA,"M","H","H","M",NA,NA,"Parabasalia","Tritrichomonadida","Tritrichomonadidae","Tritrichomonas","NCBI"
"20","GCA_040285745.1","Metamonada",2654837,"Barthelona sp. PCE",NA,"M","H","H","M",NA,NA,NA,NA,NA,"Barthelona","NCBI"
"21","GCA_963988835.2","Metamonada",28002,"Hexamita inflata",NA,NA,"M","H","L",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Hexamita","NCBI"
"22","GCA_000002445.1","Discoba",185431,"Trypanosoma brucei brucei TREU927",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"23","GCA_000002725.2","Discoba",347515,"Leishmania major strain Friedlin",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"24","GCA_000002845.2","Discoba",420245,"Leishmania braziliensis MHOM/BR/75/M2904",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"25","GCA_000002875.2","Discoba",435258,"Leishmania infantum JPCM5",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"26","GCA_000004985.1","Discoba",5762,"Naegleria gruberi",NA,"M","H","H","H",NA,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria","NCBI"
"27","GCA_000188675.2","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"28","GCA_000210295.1","Discoba",679716,"Trypanosoma brucei gambiense DAL972",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"29","GCA_000227135.2","Discoba",5661,"Leishmania donovani",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"30","GCA_000227375.1","Discoba",1055687,"Trypanosoma vivax Y486",NA,NA,NA,NA,NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"31","GCA_000227395.2","Discoba",1068625,"Trypanosoma congolense IL3000",NA,NA,NA,NA,NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"32","GCA_000234665.4","Discoba",929439,"Leishmania mexicana MHOM/GT/2001/U1103",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"33","GCA_000300495.1","Discoba",85056,"Trypanosoma cruzi marinkellei",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"34","GCA_000442495.1","Discoba",28005,"Strigomonas culicis",NA,NA,"H","H",NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Strigomonas","NCBI"
"35","GCA_000442575.2","Discoba",59799,"Angomonas deanei",NA,"M","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Angomonas","NCBI"
"36","GCA_000492115.1","Discoba",429131,"Trypanosoma rangeli SC58",NA,"H","H","H",NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"37","GCA_000496795.1","Discoba",1416333,"Trypanosoma cruzi Dm28c",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"38","GCA_000582765.1","Discoba",479712,"Phytomonas sp. EM1",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Phytomonas","NCBI"
"39","GCA_000691245.1","Discoba",71804,"Trypanosoma grayi",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"40","GCA_000755165.1","Discoba",5679,"Leishmania panamensis",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"41","GCA_000982615.1","Discoba",223615,"Phytomonas sp. Hart1",NA,"L","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Phytomonas","NCBI"
"42","GCA_001235845.1","Discoba",1314962,"Perkinsela sp. CCAP 1560/4",NA,NA,NA,"H",NA,NA,"Kinetoplastea","Euglenozoa",NA,"Ichthyobodonidae","Perkinsela","NCBI"
"43","GCA_001293395.1","Discoba",157538,"Leptomonas pyrrhocoris",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leptomonas","NCBI"
"44","GCA_001299535.1","Discoba",5684,"Leptomonas seymouri",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leptomonas","NCBI"
"45","GCA_001457755.2","Discoba",5694,"Trypanosoma equiperdum",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"46","GCA_001460835.1","Discoba",75058,"Bodo saltans",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Eubodonida","Bodonidae","Bodo","NCBI"
"47","GCA_002087225.1","Discoba",67003,"Trypanosoma theileri",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"48","GCA_002219105.2","Discoba",85057,"Trypanosoma cruzi cruzi",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"49","GCA_003324165.2","Discoba",51637,"Naegleria lovaniensis",NA,"H","H","H","H",NA,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria","NCBI"
"50","GCA_003543875.1","Discoba",630700,"Trypanosoma brucei equiperdum",NA,"H",NA,"H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"51","GCA_003719475.1","Discoba",5698,"Trypanosoma rangeli",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"52","GCA_003719485.1","Discoba",83891,"Trypanosoma conorhini",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"53","GCA_008403515.1","Discoba",5763,"Naegleria fowleri",NA,"H","H","H","L",NA,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria","NCBI"
"54","GCA_009731335.1","Discoba",5689,"Leishmania tarentolae",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"55","GCA_017916305.1","Discoba",5663,"Leishmania enriettii",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"56","GCA_017916325.1","Discoba",1580590,"Leishmania martiniquensis",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"57","GCA_017916335.1","Discoba",2249476,"Leishmania orientalis",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"58","GCA_017918215.1","Discoba",2803181,"Leishmania sp. Ghana 2012 LV757",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"59","GCA_017918225.1","Discoba",2802991,"Leishmania sp. Namibia",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"60","GCA_017918235.1","Discoba",2761500,"Porcisia hertigi",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Porcisia","NCBI"
"61","GCA_019188245.1","Discoba",1808958,"Novymonas esmeraldas",NA,NA,"H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Novymonas","NCBI"
"62","GCA_019425475.1","Discoba",5699,"Trypanosoma vivax",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"63","GCA_022059095.1","Discoba",715481,"Trypanosoma melophagium",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
