tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,6.2e-09,36.5,22.9,6.2e-09,36.5,22.9,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,1.1e-05,25.7,25.7,1.4e-05,25.4,25.8,Euggra1_SIN1
1_protein_coding.1, -, PTHR13335.orig.30.pi, -,1.3e-05,25.5,8.2,1.7e-05,25.1,8.2,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,7.3e-05,23.0,13.4,7.3e-05,23.0,13.4,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.00011,22.4,2.7,0.00014,22.0,2.7,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,0.00052,20.2,8.2,0.00087,19.5,8.2,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,0.00088,19.5,21.3,0.0009,19.4,21.3,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.0011,19.2,15.7,0.043,13.8,1.4,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.0012,19.0,17.1,0.0014,18.8,17.1,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,0.0013,18.9,1.2,0.0013,18.9,1.2,Euggra1_SIN1
1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.0034,17.5,6.3,0.0044,17.1,6.3,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,0.0063,16.6,23.4,0.0063,16.6,23.4,Euggra1_SIN1
1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.011,15.9,10.8,0.011,15.8,10.8,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,0.011,15.9,19.2,0.013,15.5,19.2,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,0.023,14.8,3.4,0.027,14.5,3.4,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.036,14.1,24.2,0.5,10.3,7.0,Euggra1_SIN1
2_protein_coding.2, -, PTHR13335.orig.30.pi, -,0.073,13.1,3.6,0.09,12.8,3.6,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.27,11.2,8.9,0.28,11.2,8.9,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.42,10.6,21.1,0.5,10.3,21.1,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,0.46,10.5,21.8,0.61,10.1,21.8,Euggra1_SIN1
t2_protein_coding.2, -, PTHR13335.orig.30.pi, -,0.6,10.1,4.8,0.69,9.9,4.8,Euggra1_SIN1
1_protein_coding.1, -, PTHR13335.orig.30.pi, -,0.68,9.9,3.5,0.96,9.4,3.5,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,3.1,7.7,51.0,6.2,6.7,51.0,Euggra1_SIN1
.t1_protein_coding., -, PTHR13335.orig.30.pi, -,4.3,7.3,18.2,6.6,6.6,18.2,Euggra1_SIN1
t1_protein_coding.1, -, PTHR13335.orig.30.pi, -,8.2,6.3,21.9,1.9,8.5,9.4,Euggra1_SIN1
7290|XM_001324244.1, -, PTHR13335.orig.30.pi, -,3.8e-05,24.6,31.2,5.2e-05,24.1,31.2,Trivag1_SIN1
39223|XM_001579435., -, PTHR13335.orig.30.pi, -,0.00014,22.7,10.7,0.00014,22.7,10.7,Trivag1_SIN1
20960|XM_001319579., -, PTHR13335.orig.30.pi, -,0.074,13.7,21.9,0.11,13.2,21.9,Trivag1_SIN1
57971|XM_001303408., -, PTHR13335.orig.30.pi, -,0.81,10.3,23.2,0.92,10.1,23.2,Trivag1_SIN1
358|XM_001583046.1, -, PTHR13335.orig.30.pi, -,3.5,8.1,32.8,4.2,7.9,32.8,Trivag1_SIN1
7581|XM_001288262.1, -, PTHR13335.orig.30.pi, -,4.5,7.8,29.6,5.6,7.5,29.6,Trivag1_SIN1
6517|XM_001288584.1, -, PTHR13335.orig.30.pi, -,10.0,6.7,32.0,13.0,6.3,32.0,Trivag1_SIN1
ru1|7381|XM_840115., -, PTHR13335.orig.30.pi, -,0.011,13.7,25.5,0.015,13.2,25.5,Trybru1_SIN1
