tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
KAE8305121.1, -, PTHR13298.orig.30.pi, -,0.0,1181.6,26.5,0.0,1181.3,26.5,GCA_000002435.2
KAE8302009.1, -, PTHR13298.orig.30.pi, -,0.055,8.9,0.0,0.11,7.8,0.0,GCA_000002435.2
EAY10910.1, -, PTHR13298.orig.30.pi, -,3.6e-105,354.2,13.4,8.4e-75,253.6,4.9,GCA_000002825.3
EAY13054.1, -, PTHR13298.orig.30.pi, -,1.3e-100,339.1,0.0,1.5e-73,249.4,0.0,GCA_000002825.3
EAY13914.1, -, PTHR13298.orig.30.pi, -,7e-93,313.5,19.0,2.9e-73,248.5,8.3,GCA_000002825.3
EAY13939.1, -, PTHR13298.orig.30.pi, -,1.5e-92,312.4,15.1,1.3e-72,246.4,2.1,GCA_000002825.3
EAY11738.1, -, PTHR13298.orig.30.pi, -,1.4e-89,302.5,0.0,2.3e-63,215.8,0.0,GCA_000002825.3
EAX90459.1, -, PTHR13298.orig.30.pi, -,3.8e-74,251.4,21.4,1.3e-57,196.7,9.2,GCA_000002825.3
EAY10420.1, -, PTHR13298.orig.30.pi, -,1.3e-32,113.9,0.0,1.7e-32,113.5,0.0,GCA_000002825.3
EAY09750.1, -, PTHR13298.orig.30.pi, -,0.00037,19.6,0.7,0.0012,17.9,0.4,GCA_000002825.3
EAY15815.1, -, PTHR13298.orig.30.pi, -,0.0014,17.7,0.0,0.13,11.2,0.6,GCA_000002825.3
EAY14049.1, -, PTHR13298.orig.30.pi, -,0.073,12.0,4.5,0.033,13.2,0.2,GCA_000002825.3
EAX95412.1, -, PTHR13298.orig.30.pi, -,0.078,12.0,3.6,0.33,9.9,0.0,GCA_000002825.3
EAY04738.1, -, PTHR13298.orig.30.pi, -,0.11,11.4,6.9,0.048,12.7,1.8,GCA_000002825.3
EAX91424.1, -, PTHR13298.orig.30.pi, -,0.13,11.2,0.1,0.26,10.2,0.1,GCA_000002825.3
EAY19326.1, -, PTHR13298.orig.30.pi, -,0.22,10.4,0.1,0.26,10.2,0.1,GCA_000002825.3
EAX96629.1, -, PTHR13298.orig.30.pi, -,1.1,8.1,3.8,1.8,7.4,3.8,GCA_000002825.3
EET02066.1, -, PTHR13298.orig.30.pi, -,7.3e-294,975.4,31.9,2e-295,975.1,31.9,GCA_000182405.1
EES98778.1, -, PTHR13298.orig.30.pi, -,0.049,8.9,0.0,0.1,7.8,0.0,GCA_000182405.1
EFO62343.1, -, PTHR13298.orig.30.pi, -,0.0,1066.1,31.2,0.0,1065.8,31.2,GCA_000182665.1
EFO65019.1, -, PTHR13298.orig.30.pi, -,0.057,8.8,0.0,0.12,7.8,0.0,GCA_000182665.1
KAH0570678.1, -, PTHR13298.orig.30.pi, -,0.1,8.8,6.3,0.57,6.3,0.4,GCA_000497125.2
ESU35878.1, -, PTHR13298.orig.30.pi, -,0.0,1177.3,26.6,0.0,1176.9,26.6,GCA_000498715.1
ESU42048.1, -, PTHR13298.orig.30.pi, -,2.6e-221,735.5,26.4,4e-222,735.2,26.4,GCA_000498735.1
ESU42049.1, -, PTHR13298.orig.30.pi, -,8.2e-70,233.8,1.1,1e-69,233.5,1.1,GCA_000498735.1
ESU44932.1, -, PTHR13298.orig.30.pi, -,0.067,8.9,0.0,0.14,7.8,0.0,GCA_000498735.1
KWX12060.1, -, PTHR13298.orig.30.pi, -,9.6e-293,971.9,31.6,2e-293,971.5,31.6,GCA_001543975.1
KWX15230.1, -, PTHR13298.orig.30.pi, -,0.054,8.9,0.0,0.11,7.8,0.0,GCA_001543975.1
KAH7829516.1, -, PTHR13298.orig.30.pi, -,4.4e-34,117.0,25.8,4.7e-26,90.4,0.0,GCA_001643675.2
KAH7814923.1, -, PTHR13298.orig.30.pi, -,0.01,13.1,0.4,0.011,13.0,0.4,GCA_001643675.2
KAH7830921.1, -, PTHR13298.orig.30.pi, -,0.26,8.5,7.3,0.055,10.7,0.3,GCA_001643675.2
KAH7825066.1, -, PTHR13298.orig.30.pi, -,1.2,6.3,3.1,9.6,3.3,0.1,GCA_001643675.2
KAH7816215.1, -, PTHR13298.orig.30.pi, -,1.2,6.3,3.1,9.6,3.3,0.1,GCA_001643675.2
KAH7817379.1, -, PTHR13298.orig.30.pi, -,2.0,5.6,4.9,2.2,5.4,4.9,GCA_001643675.2
OHT16176.1, -, PTHR13298.orig.30.pi, -,1.9e-90,304.1,11.5,1.3e-65,221.9,3.2,GCA_001839685.2
OHS95167.1, -, PTHR13298.orig.30.pi, -,2.2e-82,277.5,17.9,4.5e-56,190.3,10.5,GCA_001839685.2
OHT00872.1, -, PTHR13298.orig.30.pi, -,5.4e-77,259.6,15.4,5.1e-57,193.5,1.5,GCA_001839685.2
OHT16392.1, -, PTHR13298.orig.30.pi, -,4.8e-75,253.2,18.5,3.5e-48,164.2,5.0,GCA_001839685.2
OHT01773.1, -, PTHR13298.orig.30.pi, -,2.2e-70,237.8,17.7,8.1e-54,182.9,9.9,GCA_001839685.2
OHS95463.1, -, PTHR13298.orig.30.pi, -,9.5e-69,232.3,21.8,3.5e-42,144.3,15.7,GCA_001839685.2
OHT12507.1, -, PTHR13298.orig.30.pi, -,0.0024,15.7,0.1,0.067,10.9,0.0,GCA_001839685.2
OHS95861.1, -, PTHR13298.orig.30.pi, -,0.0026,15.6,0.2,0.0047,14.7,0.2,GCA_001839685.2
OHT02059.1, -, PTHR13298.orig.30.pi, -,0.0028,15.5,0.0,0.0045,14.8,0.0,GCA_001839685.2
OHT08761.1, -, PTHR13298.orig.30.pi, -,0.0062,14.3,2.5,0.0081,14.0,2.5,GCA_001839685.2
OHT07609.1, -, PTHR13298.orig.30.pi, -,0.0081,14.0,0.3,0.0081,14.0,0.3,GCA_001839685.2
OHT01757.1, -, PTHR13298.orig.30.pi, -,0.018,12.8,0.6,0.23,9.1,0.0,GCA_001839685.2
OHS99947.1, -, PTHR13298.orig.30.pi, -,0.019,12.8,1.5,0.03,12.1,1.5,GCA_001839685.2
OHS98750.1, -, PTHR13298.orig.30.pi, -,0.023,12.4,2.0,0.04,11.7,1.4,GCA_001839685.2
OHT09596.1, -, PTHR13298.orig.30.pi, -,0.024,12.4,0.0,0.036,11.8,0.0,GCA_001839685.2
OHS93797.1, -, PTHR13298.orig.30.pi, -,0.034,11.9,0.0,0.06,11.1,0.0,GCA_001839685.2
GIQ83417.1, -, PTHR13298.orig.30.pi, -,8.3e-34,116.1,0.0,3e-30,104.3,0.0,GCA_003568945.1
GIQ81157.1, -, PTHR13298.orig.30.pi, -,5.1e-16,57.1,0.0,2.3e-15,55.0,0.0,GCA_003568945.1
GIQ88955.1, -, PTHR13298.orig.30.pi, -,0.034,11.4,0.6,0.54,7.4,0.5,GCA_003568945.1
GIQ80695.1, -, PTHR13298.orig.30.pi, -,0.28,8.3,0.6,0.43,7.7,0.6,GCA_003568945.1
TNJ27686.1, -, PTHR13298.orig.30.pi, -,2.6e-97,324.5,0.0,1.3e-95,318.9,0.0,GCA_006247105.1
KAA6376714.1, -, PTHR13298.orig.30.pi, -,4.2e-11,42.6,1.1,5e-11,42.3,1.1,GCA_008636045.1
KAA6395583.1, -, PTHR13298.orig.30.pi, -,2.4e-09,36.8,1.0,2.6e-09,36.6,1.0,GCA_008636045.1
KAA6403441.1, -, PTHR13298.orig.30.pi, -,0.0032,16.5,0.4,0.012,14.5,0.1,GCA_008636045.1
KAA6361480.1, -, PTHR13298.orig.30.pi, -,0.015,14.2,0.6,0.029,13.3,0.1,GCA_008636045.1
KAA6388071.1, -, PTHR13298.orig.30.pi, -,0.03,13.3,0.2,0.042,12.8,0.2,GCA_008636045.1
KAA6357614.1, -, PTHR13298.orig.30.pi, -,0.042,12.8,0.8,0.42,9.4,0.2,GCA_008636045.1
KAA6354576.1, -, PTHR13298.orig.30.pi, -,0.043,12.7,0.0,0.061,12.2,0.0,GCA_008636045.1
KAA6375935.1, -, PTHR13298.orig.30.pi, -,0.11,11.4,0.7,0.11,11.4,0.7,GCA_008636045.1
KAA6392879.1, -, PTHR13298.orig.30.pi, -,0.37,9.6,4.2,0.88,8.4,2.1,GCA_008636045.1
KAA6373008.1, -, PTHR13298.orig.30.pi, -,0.63,8.9,3.4,2.8,6.7,0.1,GCA_008636045.1
KAG9395139.1, -, PTHR13298.orig.30.pi, -,1.5e-148,495.1,0.0,2e-149,494.5,0.0,GCA_019828565.1
KAG9394856.1, -, PTHR13298.orig.30.pi, -,9.7e-05,18.7,0.6,0.024,10.8,0.0,GCA_019828565.1
KAG9396588.1, -, PTHR13298.orig.30.pi, -,0.00082,15.6,1.5,0.13,8.4,0.0,GCA_019828565.1
KAG9390539.1, -, PTHR13298.orig.30.pi, -,0.001,15.4,0.2,0.001,15.4,0.2,GCA_019828565.1
KAG9390502.1, -, PTHR13298.orig.30.pi, -,0.0054,12.9,0.5,0.084,9.0,0.0,GCA_019828565.1
KAG9395784.1, -, PTHR13298.orig.30.pi, -,0.22,7.6,1.7,1.4,5.0,0.3,GCA_019828565.1
KAG9395858.1, -, PTHR13298.orig.30.pi, -,0.33,7.0,1.1,3.5,3.6,0.0,GCA_019828565.1
KAH0790274.1, -, PTHR13298.orig.30.pi, -,2.8e-89,299.2,12.6,3.5e-66,222.6,2.5,GCA_020184695.1
KAH0794414.1, -, PTHR13298.orig.30.pi, -,3.9e-87,292.0,15.9,2.7e-59,199.8,4.8,GCA_020184695.1
KAH0788539.1, -, PTHR13298.orig.30.pi, -,4.4e-81,272.0,14.1,2e-59,200.2,9.1,GCA_020184695.1
KAH0794073.1, -, PTHR13298.orig.30.pi, -,6.2e-75,251.6,10.0,6.5e-57,192.0,3.1,GCA_020184695.1
KAH0793239.1, -, PTHR13298.orig.30.pi, -,2e-74,249.9,33.5,4.2e-53,179.3,14.2,GCA_020184695.1
KAH0786388.1, -, PTHR13298.orig.30.pi, -,2e-69,233.4,1.9,6.7e-52,175.4,0.1,GCA_020184695.1
KAH0794645.1, -, PTHR13298.orig.30.pi, -,4.6e-05,20.2,0.6,9.1e-05,19.2,0.6,GCA_020184695.1
KAH0787753.1, -, PTHR13298.orig.30.pi, -,0.00079,16.1,0.1,0.0014,15.3,0.1,GCA_020184695.1
KAH0790708.1, -, PTHR13298.orig.30.pi, -,0.0026,14.4,0.4,0.085,9.4,0.1,GCA_020184695.1
KAH0787199.1, -, PTHR13298.orig.30.pi, -,0.0044,13.7,0.2,0.006,13.2,0.2,GCA_020184695.1
KAH0788452.1, -, PTHR13298.orig.30.pi, -,0.0067,13.1,0.1,0.1,9.1,0.0,GCA_020184695.1
KAH0794332.1, -, PTHR13298.orig.30.pi, -,0.0072,13.0,0.3,2.0,4.8,0.0,GCA_020184695.1
KAH0785876.1, -, PTHR13298.orig.30.pi, -,0.0076,12.9,0.4,0.018,11.6,0.2,GCA_020184695.1
KAH0789944.1, -, PTHR13298.orig.30.pi, -,0.039,10.5,0.4,0.4,7.2,0.1,GCA_020184695.1
KAH0792659.1, -, PTHR13298.orig.30.pi, -,0.065,9.8,0.1,0.096,9.2,0.1,GCA_020184695.1
KAH0794427.1, -, PTHR13298.orig.30.pi, -,0.29,7.7,22.4,0.0021,14.7,2.2,GCA_020184695.1
KAH0798618.1, -, PTHR13298.orig.30.pi, -,2.8e-89,299.2,12.6,3.5e-66,222.6,2.5,GCA_020186115.1
KAH0796207.1, -, PTHR13298.orig.30.pi, -,3.9e-87,292.0,15.9,2.7e-59,199.8,4.8,GCA_020186115.1
