tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
CAI76906.1,-,PTHR13298.orig.30.pi,-,0.011,10.7,0.6,0.37,5.7,0.0
EEQ97606.1,-,PTHR13298.orig.30.pi,-,5e-46,157.0,2.3,1.1e-31,109.5,0.0
EEQ97607.1,-,PTHR13298.orig.30.pi,-,4.1e-21,74.5,0.0,1.1e-14,53.2,0.0
EER08630.1,-,PTHR13298.orig.30.pi,-,9.1e-05,20.3,0.0,0.0062,14.2,0.0
EEA05451.1,-,PTHR13298.orig.30.pi,-,0.0029,12.8,0.1,0.0054,11.9,0.1
EPT27312.1,-,PTHR13298.orig.30.pi,-,2.4e-21,73.8,0.0,8.6e-08,28.8,0.0
EPT27342.1,-,PTHR13298.orig.30.pi,-,1.2e-07,28.4,0.0,0.00037,16.8,0.0
EPT28932.1,-,PTHR13298.orig.30.pi,-,0.062,9.4,0.6,0.24,7.5,0.1
EPT29097.1,-,PTHR13298.orig.30.pi,-,0.065,9.4,0.4,4.8,3.2,0.1
EPR62414.1,-,PTHR13298.orig.30.pi,-,6.1e-21,72.4,0.0,2.2e-07,27.5,0.0
EPR62413.1,-,PTHR13298.orig.30.pi,-,3.9e-08,30.0,0.0,5.9e-05,19.5,0.0
EPR64227.1,-,PTHR13298.orig.30.pi,-,0.041,10.0,0.4,3.5,3.7,0.0
EPR64311.1,-,PTHR13298.orig.30.pi,-,0.063,9.4,0.6,0.25,7.5,0.1
ESS32806.1,-,PTHR13298.orig.30.pi,-,2.9e-21,73.5,0.0,1.1e-07,28.5,0.0
ESS32805.1,-,PTHR13298.orig.30.pi,-,4.3e-08,29.8,0.0,6.5e-05,19.3,0.0
ESS35545.1,-,PTHR13298.orig.30.pi,-,0.055,9.6,0.4,4.5,3.3,0.1
ESS35718.1,-,PTHR13298.orig.30.pi,-,0.062,9.4,0.6,0.24,7.5,0.1
EAK87834.1,-,PTHR13298.orig.30.pi,-,0.0074,11.4,0.2,0.011,10.8,0.2
CAK94867.1,-,PTHR13298.orig.30.pi,-,1e-270,896.6,8.8,6e-270,896.4,8.8
CAK68924.1,-,PTHR13298.orig.30.pi,-,0.0022,16.5,0.4,0.0028,16.1,0.4
CAK90617.1,-,PTHR13298.orig.30.pi,-,0.0045,15.4,4.2,0.0049,15.3,4.2
CAK60429.1,-,PTHR13298.orig.30.pi,-,0.0066,14.9,1.0,0.054,11.9,0.3
CAK56636.1,-,PTHR13298.orig.30.pi,-,0.051,12.0,2.9,0.069,11.5,2.9
CAK94702.1,-,PTHR13298.orig.30.pi,-,0.2,10.0,5.5,1.2,7.4,0.2
CAK68199.1,-,PTHR13298.orig.30.pi,-,0.6,8.4,5.0,1.5,7.1,1.6
EDK31723.1,-,PTHR13298.orig.30.pi,-,3e-193,641.8,9.3,1e-192,638.1,9.3
EAR95655.2,-,PTHR13298.orig.30.pi,-,1e-184,612.2,6.1,7e-184,610.0,6.1
EAR88916.3,-,PTHR13298.orig.30.pi,-,0.036,11.9,2.1,6.2,4.5,0.0
CBZ54074.1,-,PTHR13298.orig.30.pi,-,8.1e-31,104.8,0.0,8.3e-07,25.3,0.0
CBZ53388.1,-,PTHR13298.orig.30.pi,-,0.077,8.9,0.9,0.2,7.5,0.0
EGR34184.1,-,PTHR13298.orig.30.pi,-,2.9e-83,278.7,6.4,3.6e-83,278.5,6.4
EGR30964.1,-,PTHR13298.orig.30.pi,-,7.4e-77,257.5,5.4,4.3e-76,255.0,5.4
EGR34185.1,-,PTHR13298.orig.30.pi,-,3.8e-59,198.9,2.9,4.9e-59,198.5,2.9
EGR30963.1,-,PTHR13298.orig.30.pi,-,9.1e-37,124.8,0.3,9.1e-37,124.8,0.3
EGR34405.1,-,PTHR13298.orig.30.pi,-,0.034,10.2,7.9,0.072,9.2,7.9
