"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Has_D1","Ciliate_Check","Organism_Taxonomic_ID","Organism.Name","C.score","Frag.score"
"1","GCA_933822405.4","CAJ1965648.1"," -"," PTHR12848.orig.30.pi"," -",0,1109.1,2.8,0,1108.4,2.8,FALSE,FALSE,2856,"Cylindrotheca closterium",97,1
"2","GCA_000310025.1","CBJ28834.1"," -"," PTHR12848.orig.30.pi"," -",2e-202,675.3,0,5e-203,675,0,FALSE,FALSE,2880,"Ectocarpus siliculosus",97,3
"3","GCA_004359215.2","TDH70902.1"," -"," PTHR12848.orig.30.pi"," -",0,1356.8,2.2,0,1356.4,2.2,FALSE,FALSE,4779,"Bremia lactucae",95,2
"4","GCA_004359215.2","TDH70902.1"," -"," PTHR12848.orig.30.pi"," -",0,1356.8,2.2,0,1356.4,2.2,FALSE,FALSE,4779,"Bremia lactucae",95,2
"5","GCA_900000015.1","CEG40643.1"," -"," PTHR12848.orig.30.pi"," -",0,1384,0.8,0,1383.6,0.8,FALSE,FALSE,4781,"Plasmopara halstedii",100,0
"6","GCA_016618375.1","KAG1683862.1"," -"," PTHR12848.orig.30.pi"," -",0,1368.1,0,0,1367.7,0,FALSE,FALSE,4784,"Phytophthora capsici",99,0
"7","GCA_029747605.1","KAJ8546679.1"," -"," PTHR12848.orig.30.pi"," -",3.1e-215,718,0,8e-216,717.7,0,FALSE,FALSE,4785,"Phytophthora cinnamomi",46,17
"8","GCA_012552325.1","KAF4137872.1"," -"," PTHR12848.orig.30.pi"," -",0,1372.1,0,0,1371.7,0,FALSE,FALSE,4787,"Phytophthora infestans",96,0
"9","GCA_000509525.1","ETM49323.1"," -"," PTHR12848.orig.30.pi"," -",0,1364.9,0,0,1364.5,0,FALSE,FALSE,4792,"Phytophthora nicotianae",99,0
"10","GCA_031305395.1","KAK1939264.1"," -"," PTHR12848.orig.30.pi"," -",0,1094.8,0,0,1094.5,0,FALSE,FALSE,4793,"Phytophthora citrophthora",91,1
"11","GCA_002215365.1","OWZ24664.1"," -"," PTHR12848.orig.30.pi"," -",0,1377,0,0,1376.6,0,FALSE,FALSE,4795,"Phytophthora megakarya",91,3
"12","GCA_002911725.1","POM75381.1"," -"," PTHR12848.orig.30.pi"," -",1.1e-54,186.5,0.2,1.2e-54,186.3,0.2,FALSE,FALSE,4796,"Phytophthora palmivora",81,12
"13","GCA_027925865.1","DBA03474.1"," -"," PTHR12848.orig.30.pi"," -",0,1379.6,0,0,1379.2,0,FALSE,FALSE,4803,"Lagenidium giganteum",92,0
"14","GCA_000151665.1","CBK19577.2"," -"," PTHR12848.orig.30.pi"," -",1.9e-94,316.1,1,2.7e-94,315.7,1,FALSE,FALSE,12968,"Blastocystis hominis",87,13
"15","GCA_016865085.1","KAG3188353.1"," -"," PTHR12848.orig.30.pi"," -",0,1373,0,0,1372.6,0,FALSE,FALSE,29920,"Phytophthora cactorum",100,0
"16","GCA_008330645.1","KAA0149597.1"," -"," PTHR12848.orig.30.pi"," -",2.3e-147,492,0,3e-148,491.4,0,FALSE,FALSE,33653,"Cafeteria roenbergensis",89,2
"17","GCA_918797485.1","CAH0368053.1"," -"," PTHR12848.orig.30.pi"," -",0,1035,0.4,0,1022.2,0.4,FALSE,FALSE,35677,"Pelagomonas calceolata",89,1
"18","GCA_005966545.1","TMW63135.1"," -"," PTHR12848.orig.30.pi"," -",0,1369.4,0,0,1369,0,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"19","GCA_005966545.1","TMW63135.1"," -"," PTHR12848.orig.30.pi"," -",0,1369.4,0,0,1369,0,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"20","GCA_021029045.1","KAH8060586.1"," -"," PTHR12848.orig.30.pi"," -",8.3e-191,636.6,0,7e-158,525.2,0,TRUE,FALSE,44056,"Aureococcus anophagefferens",69,10
"21","GCA_009733125.1","KAE9361345.1"," -"," PTHR12848.orig.30.pi"," -",0,1226.8,0.1,3e-275,914.2,3.1,FALSE,FALSE,53985,"Phytophthora fragariae",100,0
"22","GCA_016865095.1","KAG3114144.1"," -"," PTHR12848.orig.30.pi"," -",0,1372,0,0,1371.6,0,FALSE,FALSE,53986,"Phytophthora idaei",99,1
"23","GCA_016880175.1","KAG3173689.1"," -"," PTHR12848.orig.30.pi"," -",0,1372,0,0,1371.6,0,FALSE,FALSE,53986,"Phytophthora idaei",99,1
"24","GCA_016880985.1","KAG3248615.1"," -"," PTHR12848.orig.30.pi"," -",0,1372,0,0,1371.6,0,FALSE,FALSE,53986,"Phytophthora idaei",100,0
"25","GCA_001078535.1","CCI46968.1"," -"," PTHR12848.orig.30.pi"," -",0,1311.4,11.3,0,1311.1,11.3,FALSE,FALSE,65357,"Albugo candida",99,1
"26","GCA_000149755.2","EGZ23737.1"," -"," PTHR12848.orig.30.pi"," -",0,1357,0,0,1356.6,0,FALSE,FALSE,67593,"Phytophthora sojae",99,1
"27","GCA_000569095.1","EWM30537.1"," -"," PTHR12848.orig.30.pi"," -",1.1e-239,798.1,0,5e-240,797.7,0,TRUE,FALSE,72520,"Nannochloropsis gaditana",86,9
"28","GCA_002081575.1","OQR89222.1"," -"," PTHR12848.orig.30.pi"," -",5.7e-179,597.3,5.9,9e-180,597,5.9,FALSE,FALSE,74557,"Thraustotheca clavata",100,0
"29","GCA_006386115.1","KAF1324552.1"," -"," PTHR12848.orig.30.pi"," -",0,1371.6,0,0,1371.3,0,FALSE,FALSE,82926,"Globisporangium splendens",92,0
"30","GCA_006386115.1","KAF1324552.1"," -"," PTHR12848.orig.30.pi"," -",0,1371.6,0,0,1371.3,0,FALSE,FALSE,82926,"Globisporangium splendens",92,0
"31","GCA_947650345.1","CAI5732884.1"," -"," PTHR12848.orig.30.pi"," -",0,1370.1,0,0,1369.7,0,FALSE,FALSE,86335,"Peronospora destructor",96,3
"32","GCA_009835175.1","KAF0722257.1"," -"," PTHR12848.orig.30.pi"," -",0,1177.8,11.2,6e-265,879.8,11.9,FALSE,FALSE,100861,"Aphanomyces euteiches",100,0
"33","GCA_019155685.1","KAG7402357.1"," -"," PTHR12848.orig.30.pi"," -",1.3e-92,311.1,0,1.6e-92,310.8,0,FALSE,FALSE,109152,"Phytophthora boehmeriae",92,0
"34","GCA_000520075.1","ETV64798.1"," -"," PTHR12848.orig.30.pi"," -",6e-266,886.4,10.5,6e-266,883.5,9.8,FALSE,FALSE,112090,"Aphanomyces astaci",100,0
"35","GCA_026401375.1","KAJ0411710.1"," -"," PTHR12848.orig.30.pi"," -",0,1355.5,0,0,1355.1,0,FALSE,FALSE,114742,"Pythium insidiosum",96,2
"36","GCA_009835185.1","KAF0700295.1"," -"," PTHR12848.orig.30.pi"," -",0,1203.7,2.4,9e-271,899.1,5.2,FALSE,FALSE,120398,"Aphanomyces stellatus",97,1
"37","GCA_009733145.1","KAE9349943.1"," -"," PTHR12848.orig.30.pi"," -",0,1372.6,0,0,1372.2,0,FALSE,FALSE,129364,"Phytophthora rubi",100,0
"38","GCA_920940705.1","CAH0492228.1"," -"," PTHR12848.orig.30.pi"," -",0,1362.9,0,0,1362.5,0,FALSE,FALSE,134698,"Peronospora farinosa",98,0
"39","GCA_947646735.1","CAI5736169.1"," -"," PTHR12848.orig.30.pi"," -",0,1362.9,0,0,1362.5,0,FALSE,FALSE,134698,"Peronospora farinosa",98,0
"40","GCA_000520115.1","ETV91087.1"," -"," PTHR12848.orig.30.pi"," -",0,1190.4,11.6,0,1181.5,11.6,FALSE,FALSE,157072,"Aphanomyces invadans",99,1
"41","GCA_000296195.2","EJK67574.1"," -"," PTHR12848.orig.30.pi"," -",0,1119.5,0,0,1119.1,0,TRUE,FALSE,159749,"Thalassiosira oceanica",89,7
"42","GCA_947650285.1","CAI5738678.1"," -"," PTHR12848.orig.30.pi"," -",0,1360.1,0,0,1359.8,0,FALSE,FALSE,162125,"Hyaloperonospora brassicae",99,0
"43","GCA_020800235.1","KAH7509045.1"," -"," PTHR12848.orig.30.pi"," -",0,1378.2,0,0,1377.8,0,FALSE,FALSE,164328,"Phytophthora ramorum",100,0
"44","GCA_900660405.1","VEU36756.1"," -"," PTHR12848.orig.30.pi"," -",8.5e-283,941.1,2.1,1e-170,566.4,0,TRUE,FALSE,183589,"Pseudo-nitzschia multistriata",86,1
"45","GCA_022925895.1","KAI2512997.1"," -"," PTHR12848.orig.30.pi"," -",1e-159,534.5,11.4,3e-160,534.1,11.4,TRUE,FALSE,210448,"Fragilaria crotonensis",75,6
"46","GCA_026184515.1","KAI9922345.1"," -"," PTHR12848.orig.30.pi"," -",0,1361.9,0,0,1361.5,0,FALSE,FALSE,230839,"Peronosclerospora sorghi",81,4
"47","GCA_030871285.1","KAK1746919.1"," -"," PTHR12848.orig.30.pi"," -",0,1189.9,0,0,1189.4,0,TRUE,FALSE,267567,"Skeletonema marinoi",87,7
"48","GCA_000149405.2","EED89335.1"," -"," PTHR12848.orig.30.pi"," -",0,1297.3,0,0,1296.8,0,TRUE,FALSE,296543,"Thalassiosira pseudonana CCMP1335",97,3
"49","GCA_017506865.1","KAG5178632.1"," -"," PTHR12848.orig.30.pi"," -",0,1223.8,0,6e-204,679.1,0,FALSE,FALSE,303371,"Tribonema minus",93,2
"50","GCA_019154785.2","KAG7373952.1"," -"," PTHR12848.orig.30.pi"," -",0,1091.4,0,0,1090.1,0,TRUE,FALSE,303405,"Nitzschia inconspicua",100,0
"51","GCA_000785725.3","KAG2533368.1"," -"," PTHR12848.orig.30.pi"," -",2.1e-73,247.2,0.1,2.5e-73,246.9,0.1,FALSE,FALSE,325452,"Phytophthora kernoviae",96,3
"52","GCA_001707905.2","RLN26882.1"," -"," PTHR12848.orig.30.pi"," -",2.1e-73,247.2,0.1,2.5e-73,246.9,0.1,FALSE,FALSE,325452,"Phytophthora kernoviae",96,3
"53","GCA_000142945.1","EEY69298.1"," -"," PTHR12848.orig.30.pi"," -",0,1298.8,0,0,1298.6,0,FALSE,FALSE,403677,"Phytophthora infestans T30-4",100,0
"54","GCA_021927905.1","GFH48815.1"," -"," PTHR12848.orig.30.pi"," -",0,1106.1,14.5,0,1106,13.6,TRUE,FALSE,426638,"Chaetoceros tenuissimus",95,0
