tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
ETO12503.1, -, PTHR13335.orig.30.pi, -,1.7e-05,25.1,19.6,2.6e-05,24.5,19.6,GCA_000512085.1
ETO24436.1, -, PTHR13335.orig.30.pi, -,2.3e-05,24.7,6.1,2.6e-05,24.5,6.1,GCA_000512085.1
ETO15674.1, -, PTHR13335.orig.30.pi, -,4.2e-05,23.9,22.5,4.2e-05,23.9,22.5,GCA_000512085.1
ETO25018.1, -, PTHR13335.orig.30.pi, -,4.9e-05,23.6,0.1,4.9e-05,23.6,0.1,GCA_000512085.1
ETO35429.1, -, PTHR13335.orig.30.pi, -,5e-05,23.6,0.2,0.00034,20.9,0.1,GCA_000512085.1
ETO09151.1, -, PTHR13335.orig.30.pi, -,7.5e-05,23.0,10.4,7.5e-05,23.0,10.4,GCA_000512085.1
ETO17856.1, -, PTHR13335.orig.30.pi, -,0.00014,22.1,3.1,0.00014,22.1,3.1,GCA_000512085.1
ETO24815.1, -, PTHR13335.orig.30.pi, -,0.00025,21.3,39.1,0.00034,20.8,39.1,GCA_000512085.1
ETO00988.1, -, PTHR13335.orig.30.pi, -,0.00049,20.3,0.1,0.00056,20.1,0.1,GCA_000512085.1
ETO35063.1, -, PTHR13335.orig.30.pi, -,0.00058,20.1,27.0,0.00088,19.5,27.0,GCA_000512085.1
ETO28305.1, -, PTHR13335.orig.30.pi, -,0.00074,19.7,25.5,0.0012,19.1,24.9,GCA_000512085.1
ETO18920.1, -, PTHR13335.orig.30.pi, -,0.00089,19.5,0.2,0.0016,18.7,0.1,GCA_000512085.1
ETO24978.1, -, PTHR13335.orig.30.pi, -,0.0012,19.1,2.9,0.0016,18.6,2.9,GCA_000512085.1
ETO19952.1, -, PTHR13335.orig.30.pi, -,0.0013,18.9,0.1,0.0013,18.9,0.1,GCA_000512085.1
ETO22717.1, -, PTHR13335.orig.30.pi, -,0.0015,18.7,14.1,0.0018,18.5,14.1,GCA_000512085.1
ETO13899.1, -, PTHR13335.orig.30.pi, -,0.0021,18.2,2.6,0.0028,17.8,2.6,GCA_000512085.1
