"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Has_D1","Ciliate_Check","Organism_Taxonomic_ID","Organism.Name","C.score","Frag.score"
"1","GCA_004359215.2","TDH65527.1"," -"," PTHR13335.orig.30.pi"," -",5.1e-63,213.2,1.2,9.7e-63,212.3,1.2,FALSE,FALSE,4779,"Bremia lactucae",95,2
"2","GCA_004359215.2","TDH65527.1"," -"," PTHR13335.orig.30.pi"," -",5.1e-63,213.2,1.2,9.7e-63,212.3,1.2,FALSE,FALSE,4779,"Bremia lactucae",95,2
"3","GCA_900000015.1","CEG46546.1"," -"," PTHR13335.orig.30.pi"," -",5.5e-67,227,2.4,7.1e-67,226.6,2.4,FALSE,FALSE,4781,"Plasmopara halstedii",100,0
"4","GCA_016618375.1","KAG1703728.1"," -"," PTHR13335.orig.30.pi"," -",4e-67,228.1,0,4.8e-67,227.8,0,FALSE,FALSE,4784,"Phytophthora capsici",99,0
"5","GCA_018691715.1","KAG6622494.1"," -"," PTHR13335.orig.30.pi"," -",3.1e-67,228.2,0,3.9e-67,228,0,FALSE,FALSE,4785,"Phytophthora cinnamomi",100,0
"6","GCA_012552325.1","KAF4130166.1"," -"," PTHR13335.orig.30.pi"," -",6.3e-70,237.3,0.4,7.9e-70,237,0.4,FALSE,FALSE,4787,"Phytophthora infestans",96,0
"7","GCA_000509465.1","ETK90153.1"," -"," PTHR13335.orig.30.pi"," -",3.7e-69,235,0.5,4.5e-69,234.7,0.5,FALSE,FALSE,4792,"Phytophthora nicotianae",99,0
"8","GCA_000509485.1","ETL43563.1"," -"," PTHR13335.orig.30.pi"," -",3.7e-69,235,0.5,4.5e-69,234.7,0.5,FALSE,FALSE,4792,"Phytophthora nicotianae",99,0
"9","GCA_000509505.1","ETL96737.1"," -"," PTHR13335.orig.30.pi"," -",3.6e-69,235,0.5,4.5e-69,234.7,0.5,FALSE,FALSE,4792,"Phytophthora nicotianae",99,0
"10","GCA_000509525.1","ETM49887.1"," -"," PTHR13335.orig.30.pi"," -",3.7e-69,235,0.5,4.5e-69,234.7,0.5,FALSE,FALSE,4792,"Phytophthora nicotianae",99,0
"11","GCA_031305395.1","KAK1931908.1"," -"," PTHR13335.orig.30.pi"," -",6.6e-66,223.5,0,9.3e-66,223,0,FALSE,FALSE,4793,"Phytophthora citrophthora",91,1
"12","GCA_002215365.1","OWZ21542.1"," -"," PTHR13335.orig.30.pi"," -",1.2e-59,203.9,0,1.5e-59,203.6,0,FALSE,FALSE,4795,"Phytophthora megakarya",91,3
"13","GCA_002911725.1","POM74049.1"," -"," PTHR13335.orig.30.pi"," -",1.6e-43,150.2,0,2.1e-43,149.7,0,FALSE,FALSE,4796,"Phytophthora palmivora",81,12
"14","GCA_027925865.1","DBA01184.1"," -"," PTHR13335.orig.30.pi"," -",1.3e-60,205.7,0.1,1.8e-60,205.2,0.1,FALSE,FALSE,4803,"Lagenidium giganteum",92,0
"15","GCA_017309695.1","KAG4242123.1"," -"," PTHR13335.orig.30.pi"," -",8e-71,240.9,0.2,9.9e-71,240.6,0.2,FALSE,FALSE,29920,"Phytophthora cactorum",99,1
"16","GCA_005966545.1","TMW63624.1"," -"," PTHR13335.orig.30.pi"," -",1.7e-61,208.8,0.9,2.3e-61,208.4,0.9,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"17","GCA_005966545.1","TMW63624.1"," -"," PTHR13335.orig.30.pi"," -",1.7e-61,208.8,0.9,2.3e-61,208.4,0.9,FALSE,FALSE,41045,"Pythium oligandrum",100,0
"18","GCA_009729455.1","KAE8907541.1"," -"," PTHR13335.orig.30.pi"," -",1.8e-67,230,0.2,2.2e-67,229.7,0.2,FALSE,FALSE,53985,"Phytophthora fragariae",94,0
"19","GCA_016865095.1","KAG3120945.1"," -"," PTHR13335.orig.30.pi"," -",1.6e-70,239.5,0.3,2e-70,239.2,0.3,FALSE,FALSE,53986,"Phytophthora idaei",99,1
"20","GCA_001078535.1","CCI39969.1"," -"," PTHR13335.orig.30.pi"," -",7.4e-61,206.5,10.8,9.5e-61,206.2,10.8,FALSE,FALSE,65357,"Albugo candida",99,1
"21","GCA_000149755.2","EGZ24229.1"," -"," PTHR13335.orig.30.pi"," -",1.9e-63,216.1,0,2.2e-63,215.9,0,FALSE,FALSE,67593,"Phytophthora sojae",99,1
"22","GCA_002081575.1","OQS00219.1"," -"," PTHR13335.orig.30.pi"," -",1.9e-45,155.6,0,3.1e-45,154.9,0,FALSE,FALSE,74557,"Thraustotheca clavata",100,0
"23","GCA_006386115.1","KAF1332338.1"," -"," PTHR13335.orig.30.pi"," -",1.2e-58,199.6,3.2,2.1e-58,198.8,3.2,FALSE,FALSE,82926,"Globisporangium splendens",92,0
"24","GCA_006386115.1","KAF1332338.1"," -"," PTHR13335.orig.30.pi"," -",1.2e-58,199.6,3.2,2.1e-58,198.8,3.2,FALSE,FALSE,82926,"Globisporangium splendens",92,0
"25","GCA_947650345.1","CAI5745195.1"," -"," PTHR13335.orig.30.pi"," -",1.3e-62,212.3,1.3,2.2e-62,211.6,1.3,FALSE,FALSE,86335,"Peronospora destructor",96,3
"26","GCA_021527685.1","KAH9094055.1"," -"," PTHR13335.orig.30.pi"," -",1.9e-57,196,0.7,3.5e-57,195.1,0.7,FALSE,FALSE,100861,"Aphanomyces euteiches",98,2
"27","GCA_019155685.1","KAG7401100.1"," -"," PTHR13335.orig.30.pi"," -",5e-65,220.1,0,6.5e-65,219.8,0,FALSE,FALSE,109152,"Phytophthora boehmeriae",92,0
"28","GCA_000520075.1","ETV76193.1"," -"," PTHR13335.orig.30.pi"," -",5.3e-46,158.4,0.1,2.8e-45,156,0.1,FALSE,FALSE,112090,"Aphanomyces astaci",100,0
"29","GCA_019828595.1","KAG9414222.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-55,189.7,0.1,1.7e-55,189.4,0.1,FALSE,FALSE,112091,"Aphanomyces cochlioides",80,2
"30","GCA_001029375.2","GLD97617.1"," -"," PTHR13335.orig.30.pi"," -",2.3e-59,202.2,0.1,4.2e-59,201.3,0.1,FALSE,FALSE,114742,"Pythium insidiosum",94,4
"31","GCA_009835185.1","KAF0714247.1"," -"," PTHR13335.orig.30.pi"," -",8.1e-49,167.7,1,2.6e-48,166,0.1,FALSE,FALSE,120398,"Aphanomyces stellatus",97,1
"32","GCA_009733145.1","KAE9356134.1"," -"," PTHR13335.orig.30.pi"," -",1e-68,233.9,0.1,1.3e-68,233.6,0.1,FALSE,FALSE,129364,"Phytophthora rubi",100,0
"33","GCA_920940705.1","CAH0492207.1"," -"," PTHR13335.orig.30.pi"," -",7.4e-61,206.1,5.6,1.7e-60,204.9,5.6,FALSE,FALSE,134698,"Peronospora farinosa",98,0
"34","GCA_947646735.1","CAI5715406.1"," -"," PTHR13335.orig.30.pi"," -",7.8e-61,206.1,5.6,1.7e-60,204.9,5.6,FALSE,FALSE,134698,"Peronospora farinosa",98,0
"35","GCA_000520115.1","ETV95354.1"," -"," PTHR13335.orig.30.pi"," -",3.8e-49,168.5,0.2,4.5e-49,168.2,0.2,FALSE,FALSE,157072,"Aphanomyces invadans",99,1
"36","GCA_947650285.1","CAI5726826.1"," -"," PTHR13335.orig.30.pi"," -",5.8e-62,209.8,0,7.1e-62,209.5,0,FALSE,FALSE,162125,"Hyaloperonospora brassicae",99,0
"37","GCA_020800215.1","KAH7477120.1"," -"," PTHR13335.orig.30.pi"," -",1e-74,252.6,0,1.2e-74,252.3,0,FALSE,FALSE,164328,"Phytophthora ramorum",99,1
"38","GCA_020800235.1","KAH7508705.1"," -"," PTHR13335.orig.30.pi"," -",1e-74,252.6,0,1.2e-74,252.3,0,FALSE,FALSE,164328,"Phytophthora ramorum",100,0
"39","GCA_000785725.3","KAG2530060.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-66,225,0,1.8e-66,224.6,0,FALSE,FALSE,325452,"Phytophthora kernoviae",96,3
"40","GCA_000785735.3","KAG2528466.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-66,225,0,1.8e-66,224.6,0,FALSE,FALSE,325452,"Phytophthora kernoviae",95,3
"41","GCA_001707905.2","RLM95373.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-66,225,0,1.8e-66,224.6,0,FALSE,FALSE,325452,"Phytophthora kernoviae",96,3
"42","GCA_001712715.2","RLN82112.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-66,225,0,1.8e-66,224.6,0,FALSE,FALSE,325452,"Phytophthora kernoviae",95,3
"43","GCA_000142945.1","EEY57262.1"," -"," PTHR13335.orig.30.pi"," -",5.3e-69,233.8,0.4,6.4e-69,233.6,0.4,FALSE,FALSE,403677,"Phytophthora infestans T30-4",100,0
"44","GCA_947641895.1","CAI5723973.1"," -"," PTHR13335.orig.30.pi"," -",1.4e-60,205.3,7.1,3.2e-60,204.1,7.1,FALSE,FALSE,542832,"Peronospora effusa",99,0
"45","GCA_921012115.1","CAH0517451.1"," -"," PTHR13335.orig.30.pi"," -",2.9e-65,220.6,2.9,4.6e-65,219.9,2.9,FALSE,FALSE,622444,"Peronospora belbahrii",99,0
"46","GCA_000151545.2","KDO29708.1"," -"," PTHR13335.orig.30.pi"," -",9e-48,163.9,0,1.4e-47,163.2,0,FALSE,FALSE,695850,"Saprolegnia parasitica CBS 223.65",98,1
"47","GCA_000281045.1","EQC38912.1"," -"," PTHR13335.orig.30.pi"," -",3.1e-47,162,0,4.3e-47,161.5,0,FALSE,FALSE,1156394,"Saprolegnia diclina VS20",99,0
"48","GCA_002081595.1","OQR99815.1"," -"," PTHR13335.orig.30.pi"," -",8.3e-49,166.8,0,9.7e-49,166.6,0,FALSE,FALSE,1202772,"Achlya hypogyna",99,1
"49","GCA_000333075.3","KAF4323422.1"," -"," PTHR13335.orig.30.pi"," -",1.7e-66,225,0,2.1e-66,224.6,0,FALSE,FALSE,1284355,"Phytophthora kernoviae 00238/432",95,4
"50","GCA_000365545.1","ETP20044.1"," -"," PTHR13335.orig.30.pi"," -",3.8e-69,235,0.5,4.8e-69,234.7,0.5,FALSE,FALSE,1317063,"Phytophthora nicotianae CJ01A1",99,0
