Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_034226045.1	ASM3422604v1	Picochlorum sp. SENEW3	1470871	4091095	Complete Genome
GCA_020887355.1	COCOBI_1.0	Coccomyxa sp. Obi	2315456	50164111	Chromosome
GCA_040144395.1	ASM4014439v1	[Myrmecia] bisecta	41462	83484054	Scaffold
GCA_040144335.1	ASM4014433v1	Elliptochloris bilobata	381761	52254682	Scaffold
GCA_040144405.1	ASM4014440v1	Symbiochloris irregularis	706552	65271117	Scaffold
GCA_023343905.1	cvul	Chlorella vulgaris	3077	40180792	Scaffold
GCA_000733215.1	ASM73321v1	Auxenochlorella protothecoides	3075	22924637	Scaffold
GCA_000147415.1	v 1.0	Chlorella variabilis	554065	46159512	Scaffold
GCA_000258705.1	Coccomyxa subellipsoidae v2.0	Coccomyxa subellipsoidea C-169	574566	48826616	Contig
GCA_031763795.1	ASM3176379v1	Prototheca wickerhamii	3111	17200027	Contig
GCA_002245815.2	ASM224581v2	Micractinium conductrix	554055	60773875	Contig
GCA_040206745.1	ASM4020674v1	Trebouxia sp. C0006	2905655	68275875	Contig
GCA_964261555.1	Celongata_SAG216_3B_v1	Coccomyxa elongata	1965095	51390890	Scaffold
GCA_964019345.2	ucCocViri1.2a	Coccomyxa viridis	1274662	50911578	Scaffold
GCA_019044685.2	LANL_Cdes_v1.1	Chlorella desiccata (nom. nud.)	1650286	21550525	Contig
GCA_040144355.1	ASM4014435v1	Apatococcus lobatus	904363	106452463	Scaffold
GCA_025209345.1	ASM2520934v1	Picochlorum sp. BPE23	2696299	14824110	Contig
GCA_040206735.1	ASM4020673v1	Trebouxia sp. C0004	2905653	70863246	Scaffold
GCA_040206755.1	ASM4020675v1	Trebouxia sp. C0005	2905654	62215734	Scaffold
GCA_008636185.1	ASM863618v1	Trebouxia sp. A1-2	2608996	52896788	Scaffold
GCA_040144375.1	ASM4014437v1	Apatococcus fuscideae	2026836	102683555	Scaffold
GCA_025026875.1	ASM2502687v1	Chlorella ohadii	2649997	57091209	Scaffold
GCA_000690575.1	Helico_v1.0	Helicosporidium sp. ATCC 50920	1291522	12373820	Contig
GCA_034226945.1	ASM3422694v1	Picochlorum sp. SENEW3	1470871	13740543	Complete Genome
GCA_040182555.1	ASM4018255v1	Coccomyxa subellipsoidea	248742	50915843	Scaffold
GCA_002245835.2	Chlorella_sorokiniana 2.0	Chlorella sorokiniana	3076	59371605	Contig
GCA_003709365.1	ASM370936v1	Auxenochlorella protothecoides	3075	21075690	Scaffold
GCA_963575595.1	GTX0488_nuclear_assembly	Coccomyxa viridis	1274662	45727155	Contig
GCA_045269315.1	ASM4526931v1	Trebouxia sp. C0010 RCD-2024	3373145	66155697	Contig
GCA_045269255.1	ASM4526925v1	Trebouxia sp. C0009 RCD-2024	3373144	73882637	Contig
GCA_019202925.1	LANL_v2	Chlorella desiccata (nom. nud.)	1650286	20738005	Contig
GCA_025209375.1	ASM2520937v1	Picochlorum sp. BPE23	2696299	13436362	Contig
