"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Stramenopiles","Cylclo1","1|70570|Ccl_14092.t"," -"," PTHR12848.orig.30.pi"," -",0,1109.1,2.8,0,1108.4,2.8,2856,"Cylindrotheca closterium","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Cylindrotheca","JGI"
"2","Stramenopiles","Nithil2","hil2|1877|g12973.t1"," -"," PTHR12848.orig.30.pi"," -",0,1091.4,0,0,1090.1,0,2857,"Nitzschia inconspicua GAI-293 v2.0","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia","JGI"
"3","Stramenopiles","Ectsil1","tsil1|25456|rna8613"," -"," PTHR12848.orig.30.pi"," -",2e-202,675.3,0,5e-203,675,0,2880,"Ectocarpus siliculosus Ec 32","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","JGI"
"4","Stramenopiles","Alaesc1","iso1"," -"," PTHR12848.orig.30.pi"," -",0,1058.3,0,1e-228,759.2,0,2889,"Alaria esculenta A1","Phaeophyceae",NA,"Laminariales","Alariaceae","Alaria","JGI"
"5","Stramenopiles","Brelac1","|966|CCR75_009469.1"," -"," PTHR12848.orig.30.pi"," -",0,1356.8,2.2,0,1356.4,2.2,4779,"Bremia lactucae SF5",NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia","JGI"
"6","Stramenopiles","Blahom1","Blahom1|42|rna41"," -"," PTHR12848.orig.30.pi"," -",2e-94,316.1,1,2.7e-94,315.7,1,12968,"Blastocystis hominis Singapore isolate B (sub-type 7)","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","JGI"
"7","Stramenopiles","Cyccr2","8355|CCRYP_005406-R"," -"," PTHR12848.orig.30.pi"," -",0,1209.8,0.8,0,1209.2,0.8,29204,"Cyclotella cryptica CCMP332 v2.0","Coscinodiscophyceae","Bacillariophyta","Stephanodiscales","Stephanodiscaceae","Cyclotella","JGI"
"8","Stramenopiles","Cafroe1",""," -"," PTHR12848.orig.30.pi"," -",2.3e-147,492,0,3e-148,491.4,0,33653,"Cafeteria roenbergensis BVI","Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria","JGI"
"9","Stramenopiles","Mosaich1","_gw1.310.2.1"," -"," PTHR12848.orig.30.pi"," -",4.1e-284,945.6,7,3e-175,582,0.9,33852,"Bacillariophyceae sp. bin 90 v1.0","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae",NA,"JGI"
"10","Stramenopiles","Macpyr2",""," -"," PTHR12848.orig.30.pi"," -",1.5e-179,600.2,0,1e-153,509.7,0,35122,"Macrocystis pyrifera CI_03 v1.0","Phaeophyceae",NA,"Laminariales","Laminariaceae","Macrocystis","JGI"
"11","Stramenopiles","Psemu1",""," -"," PTHR12848.orig.30.pi"," -",0,1106.5,0,0,1106.1,0,37319,"Pseudo-nitzschia multiseries CLN-47","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Pseudo-nitzschia","JGI"
"12","Stramenopiles","Parimp1","TY_DN10242_c0_g1_i5"," -"," PTHR12848.orig.30.pi"," -",0,1081.7,0,0,1081.3,0,37642,"Paraphysomonas imperforata CCMP1604 v1.4","Chrysophyceae",NA,"Chromulinales","Paraphysomonadaceae","Paraphysomonas","JGI"
"13","Stramenopiles","Hypcat1","A-1"," -"," PTHR12848.orig.30.pi"," -",8.3e-106,355.4,0,1e-105,355.1,0,42384,"Hyphochytrium catenoides ATCC 18719","Hyphochytriomycetes",NA,NA,"Hyphochytriaceae","Hyphochytrium","JGI"
"14","Stramenopiles","Auran1","jgi|Auran1|3291"," -"," PTHR12848.orig.30.pi"," -",9.2e-152,507,0,1e-151,506.8,0,44056,"Aureococcus anophagefferens clone 1984 v1.0","Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus","JGI"
"15","Stramenopiles","VisC74","ontig_23_g159500.t1"," -"," PTHR12848.orig.30.pi"," -",0,1270.7,0,0,1270.3,0,44431,"Vischeria strain C74","Eustigmatophyceae",NA,"Eustigmatales","Chlorobotryaceae","Vischeria","JGI"
"16","Stramenopiles","NanspC018","k4.C_3_t10416"," -"," PTHR12848.orig.30.pi"," -",0,1234.2,0,0,1231.3,0,52230,"Nannochloropsis oceanica C018 v1.0","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"17","Stramenopiles","Physo3",""," -"," PTHR12848.orig.30.pi"," -",0,1357,0,0,1356.6,0,67593,"Phytophthora sojae v3.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"18","Stramenopiles","Nangad1894","CM00_9051_g01230.t2"," -"," PTHR12848.orig.30.pi"," -",0,1208.2,0,0,1207.7,0,72520,"Nannochloropsis gaditana CCMP1894","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"19","Stramenopiles","Undpi1","caffold_10.g04455.m"," -"," PTHR12848.orig.30.pi"," -",9.8e-300,997.3,0,7e-225,745.9,0,74381,"Undaria pinnatifida M23","Phaeophyceae",NA,"Laminariales","Alariaceae","Undaria","JGI"
"20","Stramenopiles","Aplke1","_#_2"," -"," PTHR12848.orig.30.pi"," -",1.2e-298,993.6,8.7,6e-299,993.2,8.7,87111,"Aplanochytrium kerguelense PBS07 v1.0","Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Aplanochytrium","JGI"
