"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Has_D1","Ciliate_Check","Organism_Taxonomic_ID","Organism.Name","C.score","Frag.score"
"1","GCA_001939145.1","OLQ03942.1"," -"," PTHR11139.orig.30.pi"," -",8.5e-139,466.1,19.3,5e-140,466.1,19.3,TRUE,FALSE,2951,"Symbiodinium microadriaticum",78.95,10.53
"2","GCA_000499425.1","CDI78636.1"," -"," PTHR11139.orig.30.pi"," -",6.6e-84,281.3,1.9,6.6e-84,281.3,1.9,FALSE,FALSE,5801,"Eimeria acervulina",89.44,7.57
"3","GCA_000499545.1","CDJ44819.1"," -"," PTHR11139.orig.30.pi"," -",6.4e-64,215.4,0.8,7.2e-64,215.2,0.8,FALSE,FALSE,5802,"Eimeria tenella",89.24,7.57
"4","GCA_015245375.1","QOY42173.1"," -"," PTHR11139.orig.30.pi"," -",5e-133,443.5,21.4,3e-133,442.1,21.4,FALSE,FALSE,5807,"Cryptosporidium parvum",98.21,0.4
"5","GCA_035232765.1","WRK31852.1"," -"," PTHR11139.orig.30.pi"," -",5.1e-133,443.5,21.4,3e-133,442.1,21.4,FALSE,FALSE,5807,"Cryptosporidium parvum",98.61,0.2
"6","GCA_013099955.1","KAF4639745.1"," -"," PTHR11139.orig.30.pi"," -",5.4e-213,709.9,19.4,4e-214,709.9,19.4,FALSE,FALSE,5811,"Toxoplasma gondii",100,0
"7","GCA_000981445.1","CDR95978.1"," -"," PTHR11139.orig.30.pi"," -",8.5e-102,340.3,3.6,5e-103,340.3,3.6,FALSE,FALSE,5866,"Babesia bigemina",97.53,0.53
"8","GCA_023705535.2","GFE55202.1"," -"," PTHR11139.orig.30.pi"," -",1.7e-100,335.4,34.9,6e-101,334.8,34.9,FALSE,FALSE,5869,"Babesia ovis",90.04,2.38
"9","GCA_024862765.1","GIX63350.1"," -"," PTHR11139.orig.30.pi"," -",1.3e-89,300,6.3,1.3e-89,300,6.3,FALSE,FALSE,5871,"Babesia caballi",79.03,5.9
"10","GCA_000003225.1","CAI76684.1"," -"," PTHR11139.orig.30.pi"," -",1.8e-49,166.3,5,1.8e-49,166.3,5,FALSE,FALSE,5874,"Theileria annulata",93.74,2.47
"11","GCA_905182975.1","CAD8100040.1"," -"," PTHR11139.orig.30.pi"," -",0,1178.3,57.6,0,1178,57.6,FALSE,TRUE,5886,"Paramecium primaurelia",97.08,1.17
"12","GCA_000165425.1","CAK95129.1"," -"," PTHR11139.orig.30.pi"," -",0,1157.5,53.4,0,1157.2,53.4,FALSE,TRUE,5888,"Paramecium tetraurelia",98.83,0.58
"13","GCA_000220395.1","EGR30890.1"," -"," PTHR11139.orig.30.pi"," -",0,1094.2,29.7,0,1093.7,29.7,FALSE,TRUE,5932,"Ichthyophthirius multifiliis",82.46,5.26
"14","GCA_946863485.1","CAI2378982.1"," -"," PTHR11139.orig.30.pi"," -",9.1e-120,402.4,6.9,1e-121,402.4,6.9,FALSE,TRUE,5936,"Moneuplotes crassus",91.81,21.64
"15","GCA_000751175.1","CDW74011.1"," -"," PTHR11139.orig.30.pi"," -",0,1180.2,27.9,0,1179.9,27.9,FALSE,TRUE,5949,"Stylonychia lemnae",97.66,1.17
"16","GCA_013115115.1","KAF4669531.1"," -"," PTHR11139.orig.30.pi"," -",0,1157.6,7,0,1157.2,7,FALSE,FALSE,32597,"Perkinsus olseni",89.47,2.34
"17","GCA_030849525.1","KAK1444037.1"," -"," PTHR11139.orig.30.pi"," -",1.4e-100,335.7,2.3,4e-101,335.7,2.3,FALSE,FALSE,33632,"Babesia gibsoni",94.19,1.15
"18","GCA_905182995.1","CAD8184910.1"," -"," PTHR11139.orig.30.pi"," -",0,1183.9,53.4,0,1183.6,53.4,FALSE,TRUE,43137,"Paramecium octaurelia",96.49,1.75
"19","GCA_905183005.1","CAD8188355.1"," -"," PTHR11139.orig.30.pi"," -",0,1177.8,57.7,0,1177.5,57.7,FALSE,TRUE,43138,"Paramecium pentaurelia",98.25,1.17
"20","GCA_000499725.1","CDJ48096.1"," -"," PTHR11139.orig.30.pi"," -",6.8e-55,185.4,0.1,6.8e-55,185.4,0.1,FALSE,FALSE,51314,"Eimeria brunetti",76.29,9.96
"21","GCA_905182985.1","CAD8108929.1"," -"," PTHR11139.orig.30.pi"," -",0,1187.2,56.1,0,1187,56.1,FALSE,TRUE,65129,"Paramecium sonneborni",98.83,0.58
"22","GCA_003072545.4","UKJ90681.2"," -"," PTHR11139.orig.30.pi"," -",2.7e-51,172.3,0,1.7e-46,156.4,0,FALSE,FALSE,68886,"Theileria orientalis",95.15,1.41
"23","GCA_014529505.1","KAF7459283.1"," -"," PTHR11139.orig.30.pi"," -",4.9e-142,473.3,19,9e-143,472.8,19,FALSE,FALSE,83540,"Cryptosporidium felis",91.04,2.19
"24","GCA_000769155.2","OEH74707.1"," -"," PTHR11139.orig.30.pi"," -",4.7e-86,288.5,0,5.5e-86,288.3,0,FALSE,FALSE,88456,"Cyclospora cayetanensis",94.02,3.19
