tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
e1_1|57011|g13236.t, -, PTHR11139.orig.30.pi, -,1.2e-67,228.8,0.0,1.3e-67,228.6,0.0,Amoce1_1
e1_1|51787|g696.t1, -, PTHR11139.orig.30.pi, -,3.7e-54,184.1,0.0,4.3e-54,183.8,0.0,Amoce1_1
e1_1|59394|g2465.t1, -, PTHR11139.orig.30.pi, -,1.3e-18,66.1,0.1,4e-18,64.5,0.1,Amoce1_1
e1_1|57012|g13237.t, -, PTHR11139.orig.30.pi, -,7e-11,40.5,0.0,9.3e-11,40.1,0.0,Amoce1_1
e1_1|46293|g19262.t, -, PTHR11139.orig.30.pi, -,4.3e-07,27.9,0.2,8.2e-07,27.0,0.2,Amoce1_1
e1_1|58339|g14215.t, -, PTHR11139.orig.30.pi, -,4.9e-05,21.1,1.6,6e-05,20.8,1.6,Amoce1_1
symbB.v1.2.029032.t, -, PTHR11139.orig.30.pi, -,8.2e-133,446.4,34.0,2e-134,446.4,34.0,Bremi1
symbB.v1.2.040344.t, -, PTHR11139.orig.30.pi, -,1.2e-94,319.7,6.3,1.5e-94,319.4,6.3,Bremi1
symbB.v1.2.040393.t, -, PTHR11139.orig.30.pi, -,8.1e-30,104.7,17.5,1e-29,104.3,17.5,Bremi1
symbB.v1.2.036835.t, -, PTHR11139.orig.30.pi, -,1.3e-18,67.5,3.8,1.4e-17,64.0,3.8,Bremi1
symbB.v1.2.027726.t, -, PTHR11139.orig.30.pi, -,1.8e-11,43.8,4.8,1.8e-09,37.1,0.0,Bremi1
symbB.v1.2.000974.t, -, PTHR11139.orig.30.pi, -,2.1e-11,43.6,1.7,1.3e-10,41.0,1.7,Bremi1
symbB.v1.2.000974.t, -, PTHR11139.orig.30.pi, -,5e-09,35.7,2.8,4.3e-08,32.6,2.8,Bremi1
symbB.v1.2.030881.t, -, PTHR11139.orig.30.pi, -,9.8e-08,31.4,0.1,1.6e-07,30.7,0.1,Bremi1
symbB.v1.2.030881.t, -, PTHR11139.orig.30.pi, -,1.1e-07,31.3,0.1,1.8e-07,30.5,0.1,Bremi1
symbB.v1.2.009285.t, -, PTHR11139.orig.30.pi, -,5e-06,25.8,0.0,1.1e-05,24.6,0.0,Bremi1
symbB.v1.2.005897.t, -, PTHR11139.orig.30.pi, -,5e-06,25.7,0.2,1e-05,24.7,0.2,Bremi1
symbB.v1.2.005897.t, -, PTHR11139.orig.30.pi, -,1e-05,24.7,0.2,1e-05,24.7,0.2,Bremi1
symbB.v1.2.006382.t, -, PTHR11139.orig.30.pi, -,1.1e-05,24.6,12.9,0.015,14.2,7.8,Bremi1
symbB.v1.2.031529.t, -, PTHR11139.orig.30.pi, -,0.00092,18.2,9.6,0.37,9.6,9.6,Bremi1
symbB.v1.2.000014.t, -, PTHR11139.orig.30.pi, -,0.001,18.1,4.4,0.016,14.2,4.4,Bremi1
ymbB.v1.2.020155.t1, -, PTHR11139.orig.30.pi, -,0.0012,17.9,1.6,0.0012,17.9,1.6,Bremi1
symbB.v1.2.000974.t, -, PTHR11139.orig.30.pi, -,0.0023,16.9,0.1,0.0045,16.0,0.1,Bremi1
ymbB.v1.2.020953.t1, -, PTHR11139.orig.30.pi, -,0.017,14.0,8.8,0.02,13.8,8.8,Bremi1
