tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
KAE8304266.1, -, PTHR19842.orig.30.pi, -,5.8e-58,194.4,0.0,6.8e-58,194.2,0.0,GCA_000002435.2
KAE8304281.1, -, PTHR19842.orig.30.pi, -,5.8e-58,194.4,0.0,6.8e-58,194.2,0.0,GCA_000002435.2
KAE8302476.1, -, PTHR19842.orig.30.pi, -,9.7e-36,121.4,0.4,2.7e-15,54.2,0.0,GCA_000002435.2
KAE8303542.1, -, PTHR19842.orig.30.pi, -,1.4e-34,117.6,2.1,1.6e-13,48.4,0.2,GCA_000002435.2
KAE8303584.1, -, PTHR19842.orig.30.pi, -,7.7e-29,98.7,16.2,8.9e-11,39.4,3.0,GCA_000002435.2
KAE8304469.1, -, PTHR19842.orig.30.pi, -,1.7e-28,97.6,0.3,2.8e-09,34.4,0.0,GCA_000002435.2
KAE8304759.1, -, PTHR19842.orig.30.pi, -,1.8e-25,87.6,0.0,1e-15,55.6,0.0,GCA_000002435.2
KAE8302256.1, -, PTHR19842.orig.30.pi, -,9.1e-24,82.1,0.1,2.1e-17,61.2,0.1,GCA_000002435.2
KAE8303766.1, -, PTHR19842.orig.30.pi, -,1.2e-23,81.7,2.0,4.2e-15,53.6,0.2,GCA_000002435.2
KAE8304502.1, -, PTHR19842.orig.30.pi, -,4.4e-22,76.5,0.0,1.4e-17,61.7,0.0,GCA_000002435.2
KAE8303429.1, -, PTHR19842.orig.30.pi, -,1.3e-20,71.6,0.0,1.2e-11,42.2,0.0,GCA_000002435.2
KAE8303318.1, -, PTHR19842.orig.30.pi, -,2.3e-20,70.9,0.0,1e-15,55.6,0.0,GCA_000002435.2
KAE8305906.1, -, PTHR19842.orig.30.pi, -,2.6e-20,70.7,0.2,4.7e-17,60.0,0.0,GCA_000002435.2
KAE8304362.1, -, PTHR19842.orig.30.pi, -,2e-17,61.2,1.2,4.4e-08,30.5,0.0,GCA_000002435.2
KAE8304496.1, -, PTHR19842.orig.30.pi, -,3.1e-17,60.6,0.0,3.8e-17,60.3,0.0,GCA_000002435.2
KAE8302658.1, -, PTHR19842.orig.30.pi, -,5.8e-17,59.7,0.0,7.4e-10,36.3,0.0,GCA_000002435.2
KAE8301678.1, -, PTHR19842.orig.30.pi, -,2.8e-16,57.5,0.0,4.3e-16,56.8,0.0,GCA_000002435.2
KAE8301657.1, -, PTHR19842.orig.30.pi, -,4.9e-16,56.6,0.0,8e-08,29.6,0.0,GCA_000002435.2
KAE8302626.1, -, PTHR19842.orig.30.pi, -,1e-15,55.6,0.0,0.00018,18.6,0.0,GCA_000002435.2
KAE8302239.1, -, PTHR19842.orig.30.pi, -,1.4e-15,55.2,0.1,1.7e-09,35.1,0.0,GCA_000002435.2
KAE8301636.1, -, PTHR19842.orig.30.pi, -,3.1e-14,50.7,0.4,5.2e-14,50.0,0.4,GCA_000002435.2
KAE8301775.1, -, PTHR19842.orig.30.pi, -,8.1e-14,49.4,0.1,8.5e-08,29.6,0.1,GCA_000002435.2
KAE8304311.1, -, PTHR19842.orig.30.pi, -,1.3e-13,48.7,0.1,1.3e-07,28.9,0.0,GCA_000002435.2
KAE8301833.1, -, PTHR19842.orig.30.pi, -,2.5e-13,47.7,0.1,8.3e-12,42.7,0.1,GCA_000002435.2
KAE8302889.1, -, PTHR19842.orig.30.pi, -,7e-13,46.3,0.0,9.7e-12,42.5,0.0,GCA_000002435.2
KAE8303731.1, -, PTHR19842.orig.30.pi, -,1.2e-12,45.5,0.0,4.6e-05,20.6,0.0,GCA_000002435.2
KAE8305980.1, -, PTHR19842.orig.30.pi, -,2.8e-12,44.3,0.0,1.5e-05,22.2,0.0,GCA_000002435.2
KAE8301271.1, -, PTHR19842.orig.30.pi, -,3.3e-12,44.1,0.0,9.8e-12,42.5,0.0,GCA_000002435.2
