"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism.Name","Source","RAPTOR"
"1","GCA_013115895.1","KAF4724186.1"," -"," PTHR12848.orig.30.pi"," -",5.4e-93,313.8,0.3,8.7e-93,313.1,0.1,32597,"Perkinsus olseni","NCBI","H"
"2","GCA_963575745.1","CAK0813462.1"," -"," PTHR12848.orig.30.pi"," -",3.6e-97,329.4,0,4.6e-97,329.1,0,89957,"Polarella glacialis","NCBI","L"
"3","GCA_013115145.1","KAF4652602.1"," -"," PTHR12848.orig.30.pi"," -",6e-66,222.6,0.8,8.6e-66,222.1,0.8,330153,"Perkinsus chesapeaki","NCBI","M"
"4","GCA_000006405.1","EER16646.1"," -"," PTHR12848.orig.30.pi"," -",3.8e-65,221.1,0.4,3.8e-65,221.1,0.4,423536,"Perkinsus marinus ATCC 50983","NCBI","M"
"5","GCA_001179505.1","CEM03489.1"," -"," PTHR12848.orig.30.pi"," -",3.6e-195,651.7,0,2e-119,396.2,0.3,1169540,"Vitrella brassicaformis CCMP3155","NCBI","H"
"6","Polgl2088","4|scaffold_10051.1"," -"," PTHR12848.orig.30.pi"," -",2.8e-38,133.2,0,4e-38,132.7,0,89957,"Polarella glacialis CCMP2088","JGI","L"
"7","Chrveli1","|27856|Cvel_11299.t"," -"," PTHR12848.orig.30.pi"," -",1e-124,418.8,0,6e-101,338,0,1169474,"Chromera velia CCMP2878","JGI","H"
"8","Vitbras1","|8853|Vbra_1562.t1"," -"," PTHR12848.orig.30.pi"," -",3.7e-195,651.7,0,2e-119,396.2,0.3,1169540,"Vitrella brassicaformis CCMP3155","JGI","H"
