Clade,Name,Accession,BUSCO Status,Completed Single Copy,Completed Duplicated Copy,Fragmented,Missing,Orthologs searched,C score,Frag score,Notes,links ,TBLASTN,SIN1,RICTOR,RAPTOR,LST8,TOR
Alveolata,plasmodium yoeli,,Done,2352,5,385,900,3642,64.72%,10.57%,,,,,,,,
Alveolata,plasmodium vivax,GCA_000002415.2,Done,3454,15,40,133,3642,95.25%,1.10%,,,,,,,,
Alveolata,Plasmodium reichenowi,GCA_000723685.1,Done,3603,2,4,33,3642,98.98%,0.11%,,,,,,,,
Alveolata,Theileria orientalis,GCA_000740895.1,Done,1066,4,7,38,1135,94.27%,0.62%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000002765.3,Done ,3570,40,0,32,3642,99.12%,0.00%,,,,,,,,
Alveolata,Plasmodium yoelii yoelii ,GCA_000003085.2,Done ,2359,5,378,900,3642,64.91%,10.38%,,,,,,,,
Alveolata,Theileria annulata,GCA_000003225.1,Done,1063,1,28,43,1135,93.74%,2.47%,,,,,,,,
Alveolata,plasmodium knowlesi,GCA_000006355.3,Done ,3603,9,2,28,3642,99.18%,0.05%,,,,,,,,
Alveolata,perkinus marinus,GCA_000006405.1,Done,74,92,2,3,171,97.08%,1.17%,,,,,,,,
Alveolata,Cryptosporidium muris,GCA_000006515.1,Done ,498,0,2,2,502,99.20%,0.40%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000006565.2,Done,502,0,0,0,502,100.00%,0.00%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000149665.2,Done ,3119,5,148,370,3642,85.78%,4.06%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000149715.2,Done ,502,0,0,0,502,100.00%,0.00%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000149795.1,Done,1867,4,242,1529,3642,51.37%,6.64%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000150015.2,Done,499,0,3,0,502,99.40%,0.60%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000150435.3,Done ,3230,46,159,207,3642,89.95%,4.37%,,,,,,,,
Alveolata,Cryptosporidium parvum Iowa II,GCA_000165345.1,Done ,485,0,10,7,502,96.61%,1.99%,,,,,,,,
Alveolata,Theileria parva strain Muguga,GCA_000165365.1,Done ,1111,2,7,15,1135,98.06%,0.62%,,,,,,,,
Alveolata,Babesia bovis t2bo,GCA_000165395.2,Done,1109,8,1,7,1135,98.41%,0.09%,,,,,,,,
Alveolata,Paramecium tetraurelia,GCA_000165425.1,Done,53,116,1,1,171,98.83%,0.58%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000186025.2,Done,893,3,718,2028,3642,24.60%,19.71%,,,,,,,,
Alveolata,Plasmodium falciparum,GCA_000186055.2,Done,2714,10,168,750,3642,74.79%,4.61%,,,,,,,,
Alveolata,Tetrahymena thermophila,GCA_000189635.1,Done ,165,4,0,2,171,98.83%,0.00%,,,,,,,,
Alveolata,Neospora caninum,GCA_000208865.2,Done ,492,1,4,5,502,98.21%,0.80%,,,,,,,,
Alveolata,Cryptosporidium parvum Iowa II,GCA_000209695.1,Done ,71,1,2,428,502,14.34%,0.40%,,,,,,,,
Alveolata,Ichthyophthirius multifiliis,GCA_000220395.1,Done,132,9,9,21,171,82.46%,5.26%,,,,,,,,
Alveolata,Gregarina niphandrodes,GCA_000223845.4,Done ,314,16,17,155,502,65.74%,3.39%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000224805.2,Done ,445,5,43,9,502,89.64%,8.57%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000224845.2,Done ,464,4,26,8,502,93.23%,5.18%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000224865.2,Done ,442,9,34,17,502,89.84%,6.77%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000224885.2,Done ,452,5,32,13,502,91.04%,6.37%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000224905.2,Done ,439,4,40,19,502,88.25%,7.97%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000250965.2,Done ,463,2,29,8,502,92.63%,5.78%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000256705.2,Done ,456,7,27,12,502,92.23%,5.38%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000256725.2,Done ,461,1,31,9,502,92.03%,6.18%,,,,,,,,
Alveolata,Hammondia hammondi,GCA_000258005.2,Done ,500,1,1,0,502,99.80%,0.20%,,,,,,,,
Alveolata,plasmodium vivax,GCA_000320625.2,Done ,3415,17,88,122,3642,94.23%,2.42%,,,,,,,,
Alveolata,plasmodium vivax,GCA_000320645.2,Done ,3454,19,64,105,3642,95.36%,1.76%,,,,,,,,
Alveolata,plasmodium vivax,GCA_000320665.2,Done,3437,33,58,114,3642,95.28%,1.59%,,,,,,,,
Alveolata,plasmodium vivax,GCA_000320685.2,Done,3418,30,80,114,3642,94.67%,2.20%,,,,,,,,
Alveolata,Plasmodium cynomolgi,GCA_000321355.1,Done,2935,1,373,333,3642,80.62%,10.24%,,,,,,,,
Alveolata,toxoplasma gondii,GCA_000325525.2,Done,467,1,26,8,502,93.23%,5.18%,,,,,,,,
Alveolata,Theileria equi strain WA,GCA_000342415.1,Done,1060,11,43,21,1135,94.36%,3.79%,,,,,,,,
