"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_933822405.4","CAJ1965648.1"," -"," PTHR12848.orig.30.pi"," -",0,1109.1,2.8,0,1108.4,2.8,"NCBI",2856,"Cylindrotheca closterium"
"2","GCA_000310025.1","CBJ28834.1"," -"," PTHR12848.orig.30.pi"," -",2e-202,675.3,0,5e-203,675,0,"NCBI",2880,"Ectocarpus siliculosus"
"3","GCA_004359215.2","TDH70902.1"," -"," PTHR12848.orig.30.pi"," -",0,1356.8,2.2,0,1356.4,2.2,"NCBI",4779,"Bremia lactucae"
"4","GCA_900000015.1","CEG40643.1"," -"," PTHR12848.orig.30.pi"," -",0,1384,0.8,0,1383.6,0.8,"NCBI",4781,"Plasmopara halstedii"
"5","GCA_016618375.1","KAG1683862.1"," -"," PTHR12848.orig.30.pi"," -",0,1368.1,0,0,1367.7,0,"NCBI",4784,"Phytophthora capsici"
"6","GCA_029747605.1","KAJ8546679.1"," -"," PTHR12848.orig.30.pi"," -",3.1e-215,718,0,8e-216,717.7,0,"NCBI",4785,"Phytophthora cinnamomi"
"7","GCA_012552325.1","KAF4137872.1"," -"," PTHR12848.orig.30.pi"," -",0,1372.1,0,0,1371.7,0,"NCBI",4787,"Phytophthora infestans"
"8","GCA_000509525.1","ETM49323.1"," -"," PTHR12848.orig.30.pi"," -",0,1364.9,0,0,1364.5,0,"NCBI",4792,"Phytophthora nicotianae"
"9","GCA_031305395.1","KAK1939264.1"," -"," PTHR12848.orig.30.pi"," -",0,1094.8,0,0,1094.5,0,"NCBI",4793,"Phytophthora citrophthora"
"10","GCA_002215365.1","OWZ24664.1"," -"," PTHR12848.orig.30.pi"," -",0,1377,0,0,1376.6,0,"NCBI",4795,"Phytophthora megakarya"
"11","GCA_002911725.1","POM75381.1"," -"," PTHR12848.orig.30.pi"," -",1.1e-54,186.5,0.2,1.2e-54,186.3,0.2,"NCBI",4796,"Phytophthora palmivora"
"12","GCA_027925865.1","DBA03474.1"," -"," PTHR12848.orig.30.pi"," -",0,1379.6,0,0,1379.2,0,"NCBI",4803,"Lagenidium giganteum"
"13","GCA_000151665.1","CBK19577.2"," -"," PTHR12848.orig.30.pi"," -",1.9e-94,316.1,1,2.7e-94,315.7,1,"NCBI",12968,"Blastocystis hominis"
"14","GCA_016865085.1","KAG3188353.1"," -"," PTHR12848.orig.30.pi"," -",0,1373,0,0,1372.6,0,"NCBI",29920,"Phytophthora cactorum"
"15","GCA_008330645.1","KAA0149597.1"," -"," PTHR12848.orig.30.pi"," -",2.3e-147,492,0,3e-148,491.4,0,"NCBI",33653,"Cafeteria roenbergensis"
"16","GCA_918797485.1","CAH0368053.1"," -"," PTHR12848.orig.30.pi"," -",0,1035,0.4,0,1022.2,0.4,"NCBI",35677,"Pelagomonas calceolata"
"17","GCA_005966545.1","TMW63135.1"," -"," PTHR12848.orig.30.pi"," -",0,1369.4,0,0,1369,0,"NCBI",41045,"Pythium oligandrum"
"18","GCA_021029045.1","KAH8060586.1"," -"," PTHR12848.orig.30.pi"," -",8.3e-191,636.6,0,7e-158,525.2,0,"NCBI",44056,"Aureococcus anophagefferens"
"19","GCA_009733125.1","KAE9361345.1"," -"," PTHR12848.orig.30.pi"," -",0,1226.8,0.1,3e-275,914.2,3.1,"NCBI",53985,"Phytophthora fragariae"
"20","GCA_016865095.1","KAG3114144.1"," -"," PTHR12848.orig.30.pi"," -",0,1372,0,0,1371.6,0,"NCBI",53986,"Phytophthora idaei"
"21","GCA_001078535.1","CCI46968.1"," -"," PTHR12848.orig.30.pi"," -",0,1311.4,11.3,0,1311.1,11.3,"NCBI",65357,"Albugo candida"
"22","GCA_000149755.2","EGZ23737.1"," -"," PTHR12848.orig.30.pi"," -",0,1357,0,0,1356.6,0,"NCBI",67593,"Phytophthora sojae"
"23","GCA_000569095.1","EWM30537.1"," -"," PTHR12848.orig.30.pi"," -",1.1e-239,798.1,0,5e-240,797.7,0,"NCBI",72520,"Nannochloropsis gaditana"
"24","GCA_002081575.1","OQR89222.1"," -"," PTHR12848.orig.30.pi"," -",5.7e-179,597.3,5.9,9e-180,597,5.9,"NCBI",74557,"Thraustotheca clavata"
"25","GCA_006386115.1","KAF1324552.1"," -"," PTHR12848.orig.30.pi"," -",0,1371.6,0,0,1371.3,0,"NCBI",82926,"Globisporangium splendens"
"26","GCA_947650345.1","CAI5732884.1"," -"," PTHR12848.orig.30.pi"," -",0,1370.1,0,0,1369.7,0,"NCBI",86335,"Peronospora destructor"
"27","GCA_021527745.1","KAH9151009.1"," -"," PTHR12848.orig.30.pi"," -",0,1178,11.2,1e-265,880.1,11.9,"NCBI",100861,"Aphanomyces euteiches"
"28","GCA_019155685.1","KAG7402357.1"," -"," PTHR12848.orig.30.pi"," -",1.3e-92,311.1,0,1.6e-92,310.8,0,"NCBI",109152,"Phytophthora boehmeriae"
"29","GCA_000520075.1","ETV64798.1"," -"," PTHR12848.orig.30.pi"," -",6e-266,886.4,10.5,6e-266,883.5,9.8,"NCBI",112090,"Aphanomyces astaci"
"30","GCA_026401375.1","KAJ0411710.1"," -"," PTHR12848.orig.30.pi"," -",0,1355.5,0,0,1355.1,0,"NCBI",114742,"Pythium insidiosum"
"31","GCA_009835185.1","KAF0700295.1"," -"," PTHR12848.orig.30.pi"," -",0,1203.7,2.4,9e-271,899.1,5.2,"NCBI",120398,"Aphanomyces stellatus"
"32","GCA_009733145.1","KAE9349943.1"," -"," PTHR12848.orig.30.pi"," -",0,1372.6,0,0,1372.2,0,"NCBI",129364,"Phytophthora rubi"
"33","GCA_920940705.1","CAH0492228.1"," -"," PTHR12848.orig.30.pi"," -",0,1362.9,0,0,1362.5,0,"NCBI",134698,"Peronospora farinosa"
"34","GCA_000520115.1","ETV91087.1"," -"," PTHR12848.orig.30.pi"," -",0,1190.4,11.6,0,1181.5,11.6,"NCBI",157072,"Aphanomyces invadans"
"35","GCA_000296195.2","EJK67574.1"," -"," PTHR12848.orig.30.pi"," -",0,1119.5,0,0,1119.1,0,"NCBI",159749,"Thalassiosira oceanica"
"36","GCA_947650285.1","CAI5738678.1"," -"," PTHR12848.orig.30.pi"," -",0,1360.1,0,0,1359.8,0,"NCBI",162125,"Hyaloperonospora brassicae"
"37","GCA_020800235.1","KAH7509045.1"," -"," PTHR12848.orig.30.pi"," -",0,1378.2,0,0,1377.8,0,"NCBI",164328,"Phytophthora ramorum"
"38","GCA_900660405.1","VEU36756.1"," -"," PTHR12848.orig.30.pi"," -",8.5e-283,941.1,2.1,1e-170,566.4,0,"NCBI",183589,"Pseudo-nitzschia multistriata"
"39","GCA_022925895.1","KAI2512997.1"," -"," PTHR12848.orig.30.pi"," -",1e-159,534.5,11.4,3e-160,534.1,11.4,"NCBI",210448,"Fragilaria crotonensis"
"40","GCA_019155715.1","KAG7391288.1"," -"," PTHR12848.orig.30.pi"," -",0,1356.8,0,0,1356.4,0,"NCBI",221518,"Phytophthora pseudosyringae"
"41","GCA_026184515.1","KAI9922345.1"," -"," PTHR12848.orig.30.pi"," -",0,1361.9,0,0,1361.5,0,"NCBI",230839,"Peronosclerospora sorghi"
"42","GCA_030871285.1","KAK1746919.1"," -"," PTHR12848.orig.30.pi"," -",0,1189.9,0,0,1189.4,0,"NCBI",267567,"Skeletonema marinoi"
"43","GCA_000149405.2","EED89335.1"," -"," PTHR12848.orig.30.pi"," -",0,1297.3,0,0,1296.8,0,"NCBI",296543,"Thalassiosira pseudonana CCMP1335"
"44","GCA_017506865.1","KAG5178632.1"," -"," PTHR12848.orig.30.pi"," -",0,1223.8,0,6e-204,679.1,0,"NCBI",303371,"Tribonema minus"
"45","GCA_019154785.2","KAG7373952.1"," -"," PTHR12848.orig.30.pi"," -",0,1091.4,0,0,1090.1,0,"NCBI",303405,"Nitzschia inconspicua"
"46","GCA_000785725.3","KAG2533368.1"," -"," PTHR12848.orig.30.pi"," -",2.1e-73,247.2,0.1,2.5e-73,246.9,0.1,"NCBI",325452,"Phytophthora kernoviae"
"47","GCA_000142945.1","EEY69298.1"," -"," PTHR12848.orig.30.pi"," -",0,1298.8,0,0,1298.6,0,"NCBI",403677,"Phytophthora infestans T30-4"
"48","GCA_021927905.1","GFH48815.1"," -"," PTHR12848.orig.30.pi"," -",0,1106.1,14.5,0,1106,13.6,"NCBI",426638,"Chaetoceros tenuissimus"
"49","GCA_039096935.1","KAK8825121.1"," -"," PTHR12848.orig.30.pi"," -",2.4e-170,567.8,7.9,2e-171,567.5,7.9,"NCBI",478820,"Blastocystis sp. ATCC 50177/Nand II"
"50","GCA_026770575.1","KAJ1454106.1"," -"," PTHR12848.orig.30.pi"," -",3.5e-301,1002.7,0,2e-299,993.4,0,"NCBI",483370,"Pelagophyceae sp. CCMP2097"
"51","GCA_026770595.1","KAJ1443491.1"," -"," PTHR12848.orig.30.pi"," -",0,1106.1,0,0,1105.7,0,"NCBI",483371,"Ochromonadaceae sp. CCMP2298"
"52","GCA_003704535.1","RMX67898.1"," -"," PTHR12848.orig.30.pi"," -",0,1364.8,0,0,1364.4,0,"NCBI",542832,"Peronospora effusa"
"53","GCA_000150955.2","ACI65831.1"," -"," PTHR12848.orig.30.pi"," -",0,1021,0.2,0,1020.1,0.2,"NCBI",556484,"Phaeodactylum tricornutum CCAP 1055/1"
"54","GCA_903772945.1","CAB9503552.1"," -"," PTHR12848.orig.30.pi"," -",0,1123.4,0,0,1122.9,0,"NCBI",568900,"Seminavis robusta"
"55","GCA_920618645.1","CAH0476322.1"," -"," PTHR12848.orig.30.pi"," -",0,1367.8,0,0,1367.4,0,"NCBI",622444,"Peronospora belbahrii"
"56","GCA_001750085.1","OEU07733.1"," -"," PTHR12848.orig.30.pi"," -",0,1128.9,0,0,1128.7,0,"NCBI",635003,"Fragilariopsis cylindrus CCMP1102"
"57","GCA_000151545.2","KDO19921.1"," -"," PTHR12848.orig.30.pi"," -",9.6e-272,905.2,3.6,3e-272,904,3.6,"NCBI",695850,"Saprolegnia parasitica CBS 223.65"
"58","GCA_030267965.1","GMI33080.1"," -"," PTHR12848.orig.30.pi"," -",0,1140.7,0,0,1138.5,0,"NCBI",722753,"Triparma columacea"
"59","GCA_000247585.2","ETN22937.1"," -"," PTHR12848.orig.30.pi"," -",0,1362.4,0,0,1362,0,"NCBI",761204,"Phytophthora nicotianae INRA-310"
"60","GCA_902602495.3","CAB1110418.1"," -"," PTHR12848.orig.30.pi"," -",6.6e-259,863.1,0,7e-168,560.3,0,"NCBI",867726,"Ectocarpus sp. CCAP 1310/34"
"61","GCA_000743755.1","KNB42791.1"," -"," PTHR12848.orig.30.pi"," -",3.9e-107,358.1,5,8e-108,357.8,5,"NCBI",944170,"Blastocystis sp. subtype 4"
"62","GCA_004565275.1","TFJ87559.1"," -"," PTHR12848.orig.30.pi"," -",0,1207.6,0,0,1207.2,0,"NCBI",1027361,"Nannochloropsis salina CCMP1776"
"63","GCA_000240725.1","EKU23172.1"," -"," PTHR12848.orig.30.pi"," -",0,1099.7,0,0,1099.2,0,"NCBI",1093141,"Nannochloropsis gaditana CCMP526"
"64","GCA_000281045.1","EQC38711.1"," -"," PTHR12848.orig.30.pi"," -",0,1266.5,5,0,1264.5,5,"NCBI",1156394,"Saprolegnia diclina VS20"
"65","GCA_002081595.1","OQR91926.1"," -"," PTHR12848.orig.30.pi"," -",0,1136.8,0,8e-166,550.3,0.1,"NCBI",1202772,"Achlya hypogyna"
"66","GCA_000333075.3","KAF4324174.1"," -"," PTHR12848.orig.30.pi"," -",2.4e-73,247.2,0.1,2.9e-73,246.9,0.1,"NCBI",1284355,"Phytophthora kernoviae 00238/432"
"67","GCA_000365545.1","ETP19383.1"," -"," PTHR12848.orig.30.pi"," -",0,1361.6,0,0,1361.2,0,"NCBI",1317063,"Phytophthora nicotianae CJ01A1"
"68","GCA_000367145.1","ETP47384.1"," -"," PTHR12848.orig.30.pi"," -",0,1362.3,0,0,1361.9,0,"NCBI",1317064,"Phytophthora nicotianae P10297"
"69","GCA_000365505.1","ETI49828.1"," -"," PTHR12848.orig.30.pi"," -",0,1363,0,0,1362.6,0,"NCBI",1317065,"Phytophthora nicotianae P1569"
"70","GCA_000365525.1","ETO78334.1"," -"," PTHR12848.orig.30.pi"," -",0,1363.6,0,0,1363.2,0,"NCBI",1317066,"Phytophthora nicotianae P1976"
"71","GCA_008271595.1","TYZ69200.1"," -"," PTHR12848.orig.30.pi"," -",0,1263.9,0,0,1263.2,0,"NCBI",1485010,"[Pythium] brassicae (nom. inval.)"
"72","GCA_030267785.1","GMF17385.1"," -"," PTHR12848.orig.30.pi"," -",0,1109.1,0,0,1108.8,0,"NCBI",1490495,"Phytophthora fragariaefolia"
"73","GCA_002217885.1","GAX13032.1"," -"," PTHR12848.orig.30.pi"," -",0,1104.1,0,0,1102.5,0,"NCBI",1519565,"Fistulifera solaris"
"74","GCA_030267945.1","GMH77935.1"," -"," PTHR12848.orig.30.pi"," -",0,1122.4,0,0,1121.9,0,"NCBI",1606541,"Triparma strigata"
"75","GCA_030267905.1","GMI10943.1"," -"," PTHR12848.orig.30.pi"," -",0,1124.4,0,0,1123.9,0,"NCBI",1606542,"Triparma verrucosa"
"76","GCA_012489335.1","GMH48477.1"," -"," PTHR12848.orig.30.pi"," -",0,1041.8,0,0,1041.4,0,"NCBI",1714386,"Triparma laevis f. inornata"
"77","GCA_030267805.1","GMI11615.1"," -"," PTHR12848.orig.30.pi"," -",0,1129.9,0,0,1129.6,0,"NCBI",1714387,"Triparma laevis f. longispina"
"78","GCA_030267725.1","GMF12431.1"," -"," PTHR12848.orig.30.pi"," -",0,1094.8,0,0,1094.5,0,"NCBI",2077276,"Phytophthora lilii"
"79","GCA_002897355.1","GBG26510.1"," -"," PTHR12848.orig.30.pi"," -",0,1050.3,0.7,0,1047.4,0.7,"NCBI",2315210,"Hondaea fermentalgiana"
"80","GCA_029834535.1","KAJ8607480.1"," -"," PTHR12848.orig.30.pi"," -",0,1047.8,0,4e-254,842,0,"NCBI",2483200,"Chrysophaeum taylorii"
"81","GCA_001712635.2","RLN87818.1"," -"," PTHR12848.orig.30.pi"," -",0,1286,0,0,1285.6,0,"NCBI",2483409,"Nothophytophthora sp. Chile5"
"82","GCA_018873745.1","KAG6966602.1"," -"," PTHR12848.orig.30.pi"," -",0,1166.9,0.5,0,1120.6,0.4,"NCBI",2496075,"Phytophthora aleatoria"
"83","GCA_030267625.1","GMH51246.1"," -"," PTHR12848.orig.30.pi"," -",0,1102.4,0,2e-263,877.2,0,"NCBI",2557542,"Triparma retinervis"
"84","GCA_027923505.1","GKY94719.1"," -"," PTHR12848.orig.30.pi"," -",0,1113.7,0,0,1113.3,0,"NCBI",2872254,"Mayamaea pseudoterrestris"
"85","GCA_921007115.2","CAK7933674.1"," -"," PTHR12848.orig.30.pi"," -",0,1358.8,0,0,1358.4,0,"NCBI",2874970,"Peronospora matthiolae"
