Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000090985.2	ASM9098v2	Micromonas commoda	296587	20989326	Complete Genome
GCA_030272155.1	ASM3027215v1	Tetradesmus obliquus	3088	104665984	Complete Genome
GCA_023205875.1	ASM2320587v1	Chloropicon primus	1764295	17584162	Complete Genome
GCA_000092065.1	ASM9206v1	Ostreococcus lucimarinus CCE9901	436017	13204888	Complete Genome
GCA_034226045.1	ASM3422604v1	Picochlorum sp. SENEW3	1470871	4091095	Complete Genome
GCA_038396805.1	Version 1	Chloropicon roscoffensis	1461544	16820234	Complete Genome
GCA_000214015.2	version 140606	Ostreococcus tauri	70448	12916858	Chromosome
GCA_002220235.1	ASM222023v1	Bathycoccus prasinos	41875	14958006	Chromosome
GCA_000002595.3	Chlamydomonas_reinhardtii_v5.5	Chlamydomonas reinhardtii	3055	111098438	Chromosome
GCA_020887355.1	COCOBI_1.0	Coccomyxa sp. Obi	2315456	50164111	Chromosome
GCA_014905635.1	UMN_S.PABB004_v1	Scenedesmus sp. PABB004	2742167	39756104	Chromosome
GCA_000611645.1	mono_v1	Monoraphidium neglectum	145388	69482627	Scaffold
GCA_040144395.1	ASM4014439v1	[Myrmecia] bisecta	41462	83484054	Scaffold
GCA_040144335.1	ASM4014433v1	Elliptochloris bilobata	381761	52254682	Scaffold
GCA_040144405.1	ASM4014440v1	Symbiochloris irregularis	706552	65271117	Scaffold
GCA_023343905.1	cvul	Chlorella vulgaris	3077	40180792	Scaffold
GCA_002284615.2	Dunsal1 v. 2	Dunaliella salina	3046	343704392	Scaffold
GCA_030144725.1	ASM3014472v1	Haematococcus lacustris	44745	309350987	Scaffold
GCA_000143455.1	v1.0	Volvox carteri f. nagariensis	3068	137684403	Scaffold
GCA_000733215.1	ASM73321v1	Auxenochlorella protothecoides	3075	22924637	Scaffold
GCA_000147415.1	v 1.0	Chlorella variabilis	554065	46159512	Scaffold
GCA_000258705.1	Coccomyxa subellipsoidae v2.0	Coccomyxa subellipsoidea C-169	574566	48826616	Contig
GCA_031763795.1	ASM3176379v1	Prototheca wickerhamii	3111	17200027	Contig
GCA_003203535.1	Rsub_1.0	Raphidocelis subcapitata	307507	51162697	Scaffold
GCA_002335675.1	C.eustigma genome v1.0	Chlamydomonas eustigma	1157962	66605202	Scaffold
GCA_030268105.1	VaThai_1.0	Volvox africanus	51714	141009466	Contig
GCA_030267565.1	PlestBisexual_1.0	Pleodorina starrii	330485	136124605	Contig
GCA_021605115.1	Astre_guber_v1.0	Astrephomene gubernaculifera	47775	103829650	Contig
GCA_002245815.2	ASM224581v2	Micractinium conductrix	554055	60773875	Contig
GCA_001247695.2	ASM124769v2	Cymbomonas tetramitiformis	36881	914255959	Scaffold
GCA_001584585.1	ASM158458v1	Gonium pectorale	33097	148806073	Scaffold
GCA_030272585.1	Bryopsis_sp._KO-2023_v1.0	Bryopsis sp. KO-2023	3041901	90654258	Contig
GCA_040206745.1	ASM4020674v1	Trebouxia sp. C0006	2905655	68275875	Contig
GCA_964261555.1	Celongata_SAG216_3B_v1	Coccomyxa elongata	1965095	51390890	Scaffold
GCA_964019345.2	ucCocViri1.2a	Coccomyxa viridis	1274662	50911578	Scaffold
GCA_040746525.1	ASM4074652v1	Sanguina aurantia	2578422	101539680	Scaffold
GCA_019650235.1	Vretifemale_1.0	Volvox reticuliferus	1737510	133065142	Contig
GCA_019044685.2	LANL_Cdes_v1.1	Chlorella desiccata (nom. nud.)	1650286	21550525	Contig
GCA_016834605.1	ASM1683460v1	Chlamydomonas incerta	51695	129236421	Contig
GCA_040144355.1	ASM4014435v1	Apatococcus lobatus	904363	106452463	Scaffold
GCA_025209345.1	ASM2520934v1	Picochlorum sp. BPE23	2696299	14824110	Contig
