tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,2.1e-70,238.2,20.3,2.8e-26,93.3,1.8,Euggra1_LST8
_protein_coding.1, -, PTHR19842.orig.30.pi, -,2.8e-62,211.5,0.1,2.4e-24,86.9,0.0,Euggra1_LST8
.t1_protein_coding., -, PTHR19842.orig.30.pi, -,3.2e-60,204.8,0.0,1.1e-15,58.5,0.0,Euggra1_LST8
.t1_protein_coding., -, PTHR19842.orig.30.pi, -,4e-60,204.5,0.3,7.7e-22,78.7,0.2,Euggra1_LST8
.t1_protein_coding., -, PTHR19842.orig.30.pi, -,2.1e-59,202.1,0.0,1.4e-22,81.1,0.0,Euggra1_LST8
.t2_protein_coding., -, PTHR19842.orig.30.pi, -,9.7e-59,199.9,0.0,3.7e-21,76.4,0.2,Euggra1_LST8
.t2_protein_coding., -, PTHR19842.orig.30.pi, -,2.1e-58,198.8,0.0,2e-22,80.5,0.2,Euggra1_LST8
_protein_coding.1, -, PTHR19842.orig.30.pi, -,1.8e-57,195.8,0.1,6e-25,88.9,0.0,Euggra1_LST8
t1_protein_coding.2, -, PTHR19842.orig.30.pi, -,6.7e-56,190.6,1.1,5.5e-18,66.0,0.1,Euggra1_LST8
t2_protein_coding.2, -, PTHR19842.orig.30.pi, -,1.4e-55,189.5,1.5,1.5e-18,67.8,0.1,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,9.9e-55,186.7,5.4,7.7e-20,72.1,0.2,Euggra1_LST8
t2_protein_coding.1, -, PTHR19842.orig.30.pi, -,1.8e-54,185.9,1.5,4.9e-18,66.2,0.1,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,2.2e-53,182.3,4.4,8.7e-16,58.8,1.1,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,1.1e-46,160.3,0.7,1.2e-12,48.4,0.1,Euggra1_LST8
1_protein_coding.1, -, PTHR19842.orig.30.pi, -,1.4e-40,140.2,4.4,3.1e-17,63.5,0.1,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,2e-40,139.8,4.7,4.1e-30,105.8,0.5,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,9.6e-40,137.5,4.6,1.8e-24,87.3,1.3,Euggra1_LST8
1_protein_coding.1, -, PTHR19842.orig.30.pi, -,4.6e-38,132.0,2.3,1.1e-13,51.8,0.0,Euggra1_LST8
1_protein_coding.1, -, PTHR19842.orig.30.pi, -,5.2e-36,125.2,2.6,6.6e-13,49.3,0.1,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,6.6e-36,124.9,8.4,2.7e-13,50.6,0.1,Euggra1_LST8
1_protein_coding.1, -, PTHR19842.orig.30.pi, -,1.1e-35,124.2,8.3,3.4e-13,50.2,0.1,Euggra1_LST8
t1_protein_coding.2, -, PTHR19842.orig.30.pi, -,1.8e-35,123.4,8.2,5.1e-13,49.7,0.1,Euggra1_LST8
t2_protein_coding.1, -, PTHR19842.orig.30.pi, -,1.9e-35,123.4,8.1,3.9e-13,50.1,0.1,Euggra1_LST8
1_protein_coding.1, -, PTHR19842.orig.30.pi, -,3.2e-35,122.6,0.1,8.8e-19,68.6,0.0,Euggra1_LST8
_protein_coding.1, -, PTHR19842.orig.30.pi, -,3.5e-35,122.5,0.3,9.3e-19,68.5,0.0,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,4.6e-35,122.1,5.6,6.8e-22,78.8,0.3,Euggra1_LST8
t1_protein_coding.1, -, PTHR19842.orig.30.pi, -,5.7e-35,121.8,0.1,5.7e-18,66.0,0.1,Euggra1_LST8
.t1_protein_coding., -, PTHR19842.orig.30.pi, -,6.5e-35,121.6,2.0,1e-12,48.7,0.0,Euggra1_LST8
