tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
BAM79904.1, -, PTHR19842.orig.30.pi, -,2.3e-84,281.1,0.1,2.6e-84,281.0,0.1,GCA_000091205.1
BAM79080.1, -, PTHR19842.orig.30.pi, -,1.4e-47,160.2,0.0,5.1e-17,59.8,0.0,GCA_000091205.1
BAM80712.1, -, PTHR19842.orig.30.pi, -,3.5e-42,142.5,4.5,4.5e-31,106.0,1.5,GCA_000091205.1
BAM80924.1, -, PTHR19842.orig.30.pi, -,2.4e-39,133.2,10.6,5.7e-14,49.8,0.0,GCA_000091205.1
BAM81262.1, -, PTHR19842.orig.30.pi, -,1.1e-35,121.1,0.0,1.2e-15,55.4,0.0,GCA_000091205.1
BAM82429.1, -, PTHR19842.orig.30.pi, -,1.9e-32,110.6,0.0,3.1e-18,63.8,0.0,GCA_000091205.1
BAM81452.1, -, PTHR19842.orig.30.pi, -,2.8e-32,110.0,0.0,6.3e-25,85.8,0.0,GCA_000091205.1
BAM82111.1, -, PTHR19842.orig.30.pi, -,3.1e-32,109.8,4.4,1.8e-16,58.1,0.2,GCA_000091205.1
BAM80140.1, -, PTHR19842.orig.30.pi, -,4e-32,109.5,1.7,4.2e-16,56.8,0.2,GCA_000091205.1
BAM82815.1, -, PTHR19842.orig.30.pi, -,1.9e-29,100.6,0.0,3.6e-17,60.3,0.0,GCA_000091205.1
BAM79217.1, -, PTHR19842.orig.30.pi, -,2.5e-29,100.3,0.0,4.6e-11,40.3,0.5,GCA_000091205.1
BAM79274.1, -, PTHR19842.orig.30.pi, -,2.8e-29,100.1,0.0,2.7e-13,47.6,0.0,GCA_000091205.1
BAM80080.1, -, PTHR19842.orig.30.pi, -,3.9e-28,96.4,0.0,1.2e-08,32.3,0.0,GCA_000091205.1
BAM78816.1, -, PTHR19842.orig.30.pi, -,2.1e-27,94.0,0.1,2.4e-21,74.1,0.1,GCA_000091205.1
BAM79796.1, -, PTHR19842.orig.30.pi, -,1.5e-26,91.2,1.6,1.5e-14,51.7,0.2,GCA_000091205.1
BAM79003.1, -, PTHR19842.orig.30.pi, -,2.1e-26,90.7,0.0,5.2e-14,49.9,0.0,GCA_000091205.1
BAM80434.1, -, PTHR19842.orig.30.pi, -,5.2e-25,86.1,0.1,9.2e-12,42.5,0.0,GCA_000091205.1
BAM83439.1, -, PTHR19842.orig.30.pi, -,2.2e-24,84.0,0.1,1.2e-21,75.1,0.0,GCA_000091205.1
BAM83516.1, -, PTHR19842.orig.30.pi, -,4.8e-24,82.9,0.0,5.6e-11,40.0,0.0,GCA_000091205.1
BAM82845.1, -, PTHR19842.orig.30.pi, -,5.5e-23,79.4,0.1,4.5e-13,46.9,0.0,GCA_000091205.1
BAM80214.1, -, PTHR19842.orig.30.pi, -,1.7e-21,74.5,1.5,1.1e-10,39.1,0.1,GCA_000091205.1
BAM82143.1, -, PTHR19842.orig.30.pi, -,2.6e-21,73.9,0.0,5.3e-14,49.9,0.0,GCA_000091205.1
BAM82487.1, -, PTHR19842.orig.30.pi, -,6.6e-21,72.6,0.0,2.9e-09,34.4,0.1,GCA_000091205.1
BAM82751.1, -, PTHR19842.orig.30.pi, -,2.6e-20,70.7,0.3,1.4e-08,32.1,0.1,GCA_000091205.1
BAM80018.1, -, PTHR19842.orig.30.pi, -,2.7e-20,70.6,0.0,3.2e-17,60.5,0.0,GCA_000091205.1
BAM79070.1, -, PTHR19842.orig.30.pi, -,4.8e-20,69.8,1.5,5.6e-12,43.3,0.4,GCA_000091205.1
BAM78826.1, -, PTHR19842.orig.30.pi, -,1.6e-19,68.1,0.7,3.7e-09,34.0,0.0,GCA_000091205.1
BAM82517.1, -, PTHR19842.orig.30.pi, -,3.1e-19,67.1,0.0,1.4e-09,35.4,0.0,GCA_000091205.1
BAM82128.1, -, PTHR19842.orig.30.pi, -,2.5e-18,64.1,0.0,1.2e-08,32.4,0.0,GCA_000091205.1
BAM81697.1, -, PTHR19842.orig.30.pi, -,4.9e-18,63.2,0.1,8.8e-16,55.8,0.4,GCA_000091205.1
BAM81705.1, -, PTHR19842.orig.30.pi, -,9.4e-18,62.2,0.9,1.5e-14,51.7,0.4,GCA_000091205.1
BAM82233.1, -, PTHR19842.orig.30.pi, -,1.5e-17,61.6,0.0,1e-11,42.4,0.0,GCA_000091205.1
BAM81889.1, -, PTHR19842.orig.30.pi, -,1.8e-17,61.3,0.0,2.1e-12,44.7,0.0,GCA_000091205.1
BAM80810.1, -, PTHR19842.orig.30.pi, -,4.3e-17,60.1,0.0,2.4e-06,24.8,0.0,GCA_000091205.1
BAM78887.1, -, PTHR19842.orig.30.pi, -,1.4e-16,58.3,0.0,1.9e-16,58.0,0.0,GCA_000091205.1
BAM80541.1, -, PTHR19842.orig.30.pi, -,2e-16,57.9,0.0,1.7e-12,45.0,0.0,GCA_000091205.1
BAM81905.1, -, PTHR19842.orig.30.pi, -,2.7e-15,54.2,0.0,8.3e-14,49.3,0.0,GCA_000091205.1
BAM82221.1, -, PTHR19842.orig.30.pi, -,2.2e-14,51.2,0.0,6.2e-07,26.7,0.0,GCA_000091205.1
BAM79976.1, -, PTHR19842.orig.30.pi, -,5.9e-14,49.8,0.0,3.9e-06,24.1,0.1,GCA_000091205.1
BAM81760.1, -, PTHR19842.orig.30.pi, -,8.7e-14,49.2,0.0,4.9e-07,27.0,0.0,GCA_000091205.1
BAM82442.1, -, PTHR19842.orig.30.pi, -,9.9e-14,49.0,0.1,1e-05,22.7,0.0,GCA_000091205.1
BAM83269.1, -, PTHR19842.orig.30.pi, -,2.1e-13,47.9,0.0,1.2e-07,29.0,0.0,GCA_000091205.1
BAM80105.1, -, PTHR19842.orig.30.pi, -,6.9e-13,46.3,0.0,0.00035,17.6,0.0,GCA_000091205.1
BAM82628.1, -, PTHR19842.orig.30.pi, -,7e-13,46.2,0.1,6.8e-12,43.0,0.1,GCA_000091205.1
BAM81977.1, -, PTHR19842.orig.30.pi, -,3.7e-12,43.8,0.0,1.8e-11,41.6,0.0,GCA_000091205.1
BAM79035.1, -, PTHR19842.orig.30.pi, -,3.9e-12,43.8,0.0,6.4e-07,26.6,0.1,GCA_000091205.1
BAM82411.1, -, PTHR19842.orig.30.pi, -,5.2e-12,43.4,0.0,3e-06,24.5,0.0,GCA_000091205.1
BAM79927.1, -, PTHR19842.orig.30.pi, -,8.6e-12,42.7,0.0,1.2e-10,38.9,0.0,GCA_000091205.1
BAM80159.1, -, PTHR19842.orig.30.pi, -,2.7e-11,41.0,0.0,8.7e-06,22.9,0.0,GCA_000091205.1
BAM79995.1, -, PTHR19842.orig.30.pi, -,9.3e-11,39.3,0.0,8.8e-07,26.2,0.0,GCA_000091205.1
BAM82341.1, -, PTHR19842.orig.30.pi, -,1.4e-10,38.7,0.0,8.2e-07,26.3,0.0,GCA_000091205.1
BAM83381.1, -, PTHR19842.orig.30.pi, -,3e-10,37.6,0.0,9.9e-09,32.6,0.0,GCA_000091205.1
BAM79287.1, -, PTHR19842.orig.30.pi, -,4.1e-10,37.1,0.1,0.00062,16.8,0.0,GCA_000091205.1
BAM80772.1, -, PTHR19842.orig.30.pi, -,4.5e-10,37.0,0.0,2.6e-07,27.9,0.0,GCA_000091205.1
BAM79621.1, -, PTHR19842.orig.30.pi, -,7.2e-10,36.3,0.0,4.3e-07,27.2,0.0,GCA_000091205.1
BAM80247.1, -, PTHR19842.orig.30.pi, -,2.8e-09,34.4,0.0,3.3e-07,27.6,0.0,GCA_000091205.1
BAM83204.1, -, PTHR19842.orig.30.pi, -,4e-09,33.9,0.0,0.00036,17.6,0.0,GCA_000091205.1
BAM80323.1, -, PTHR19842.orig.30.pi, -,4.1e-09,33.8,0.0,1.5e-08,32.0,0.0,GCA_000091205.1
BAM79106.1, -, PTHR19842.orig.30.pi, -,4.2e-09,33.8,0.0,0.00021,18.4,0.0,GCA_000091205.1
BAM79788.1, -, PTHR19842.orig.30.pi, -,4.9e-09,33.6,0.0,2.3e-05,21.6,0.0,GCA_000091205.1
BAM80720.1, -, PTHR19842.orig.30.pi, -,1.6e-08,31.9,0.0,3.2e-06,24.3,0.0,GCA_000091205.1
BAM78900.1, -, PTHR19842.orig.30.pi, -,3.2e-08,30.9,0.1,2.1e-07,28.3,0.0,GCA_000091205.1
BAM81952.1, -, PTHR19842.orig.30.pi, -,5.2e-08,30.2,0.1,0.00019,18.5,0.0,GCA_000091205.1
BAM79565.1, -, PTHR19842.orig.30.pi, -,7.9e-08,29.6,0.0,1.3e-07,28.9,0.0,GCA_000091205.1
BAM79858.1, -, PTHR19842.orig.30.pi, -,1e-07,29.3,0.0,0.0033,14.4,0.0,GCA_000091205.1
BAM80603.1, -, PTHR19842.orig.30.pi, -,1e-07,29.2,0.0,7.5e-07,26.4,0.0,GCA_000091205.1
BAM78853.1, -, PTHR19842.orig.30.pi, -,1.6e-07,28.6,0.0,1.7e-06,25.2,0.0,GCA_000091205.1
BAM82664.1, -, PTHR19842.orig.30.pi, -,2.4e-06,24.8,0.0,3.9e-05,20.8,0.0,GCA_000091205.1
BAM83495.1, -, PTHR19842.orig.30.pi, -,5.1e-06,23.7,0.0,0.0028,14.7,0.0,GCA_000091205.1
BAM82016.1, -, PTHR19842.orig.30.pi, -,2.6e-05,21.3,0.0,0.0024,14.9,0.0,GCA_000091205.1
BAM82554.1, -, PTHR19842.orig.30.pi, -,4e-05,20.7,0.2,0.05,10.6,0.0,GCA_000091205.1
BAM78934.1, -, PTHR19842.orig.30.pi, -,0.00021,18.4,0.0,0.0042,14.1,0.0,GCA_000091205.1
BAM82315.1, -, PTHR19842.orig.30.pi, -,0.00023,18.3,0.0,0.0005,17.1,0.0,GCA_000091205.1
BAM79881.1, -, PTHR19842.orig.30.pi, -,0.00038,17.5,0.1,0.23,8.4,0.0,GCA_000091205.1
BAM81132.1, -, PTHR19842.orig.30.pi, -,0.00043,17.4,0.1,0.0026,14.8,0.0,GCA_000091205.1
BAM81684.1, -, PTHR19842.orig.30.pi, -,0.0017,15.4,0.0,0.0025,14.9,0.0,GCA_000091205.1
BAM79934.1, -, PTHR19842.orig.30.pi, -,0.002,15.2,0.0,0.016,12.2,0.0,GCA_000091205.1
BAM81430.1, -, PTHR19842.orig.30.pi, -,0.0029,14.6,0.0,0.0093,13.0,0.0,GCA_000091205.1
BAM79514.1, -, PTHR19842.orig.30.pi, -,0.0043,14.1,0.0,0.015,12.3,0.0,GCA_000091205.1
BAM80736.1, -, PTHR19842.orig.30.pi, -,0.032,11.2,0.0,0.13,9.2,0.0,GCA_000091205.1
EME27328.1, -, PTHR19842.orig.30.pi, -,1.1e-57,194.0,0.9,1.4e-57,193.7,0.9,GCA_000341285.1
EME27329.1, -, PTHR19842.orig.30.pi, -,1.1e-57,194.0,0.9,1.4e-57,193.7,0.9,GCA_000341285.1
EME30058.1, -, PTHR19842.orig.30.pi, -,5.8e-54,181.8,0.7,7.6e-54,181.4,0.7,GCA_000341285.1
EME28696.1, -, PTHR19842.orig.30.pi, -,4.1e-50,169.1,0.0,5.2e-50,168.8,0.0,GCA_000341285.1
EME28950.1, -, PTHR19842.orig.30.pi, -,1.1e-44,151.3,0.0,4.6e-17,60.5,0.0,GCA_000341285.1
EME32611.1, -, PTHR19842.orig.30.pi, -,1.5e-42,144.3,0.4,2e-17,61.7,0.0,GCA_000341285.1
EME31822.1, -, PTHR19842.orig.30.pi, -,1.5e-40,137.7,10.3,6e-20,70.0,0.6,GCA_000341285.1
EME31450.1, -, PTHR19842.orig.30.pi, -,6.9e-40,135.5,0.0,2.3e-12,45.1,0.1,GCA_000341285.1
EME32141.1, -, PTHR19842.orig.30.pi, -,2.6e-39,133.7,5.2,2.3e-12,45.1,0.1,GCA_000341285.1
EME32520.1, -, PTHR19842.orig.30.pi, -,1.7e-38,131.0,0.7,7.8e-22,76.2,0.0,GCA_000341285.1
EME31516.1, -, PTHR19842.orig.30.pi, -,4.2e-37,126.4,4.2,5.2e-12,43.9,0.0,GCA_000341285.1
EME27398.1, -, PTHR19842.orig.30.pi, -,6.5e-37,125.8,1.5,1.4e-20,72.1,0.1,GCA_000341285.1
