"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Order.name","Phylum.name","Family.name","Genus.name","Source"
"1","Paumic1","Rhizaria",1928728,"Paulinella micropora KR01","L","H","H","H","H",NA,"Imbricatea","Euglyphida","Cercozoa","Paulinellidae","Paulinella","JGI"
"2","Retfil1","Rhizaria",46433,"Reticulomyxa filosa",NA,"M","M","H","M",NA,NA,NA,"Foraminifera","Reticulomyxidae","Reticulomyxa","JGI"
"3","Bigna1","Rhizaria",753081,"Bigelowiella natans CCMP2755 v1.0",NA,"H","H","H","H",NA,"Chlorarachniophyceae",NA,"Cercozoa",NA,"Bigelowiella","JGI"
"4","GCA_000698435.2","Rhizaria",641309,"Lotharella oceanica",NA,NA,NA,NA,NA,"H","Chlorarachniophyceae",NA,"Cercozoa",NA,"Lotharella","NCBI"
"5","GCA_001049375.1","Rhizaria",37360,"Plasmodiophora brassicae",NA,"H","H","M","L",NA,"Phytomyxea","Plasmodiophorida","Endomyxa","Plasmodiophoridae","Plasmodiophora","NCBI"
"6","GCA_039583845.1","Rhizaria",2184066,"Marteilia pararefringens",NA,NA,NA,"L",NA,NA,"Ascetosporea","Paramyxida","Endomyxa","Marteiliidae","Marteilia","NCBI"
"7","GCA_040357525.1","Rhizaria",126728,"Bonamia ostreae",NA,"L",NA,"L","L",NA,"Ascetosporea","Haplosporida","Endomyxa",NA,"Bonamia","NCBI"
"8","GCA_040357535.1","Rhizaria",2844372,"Paramarteilia canceri",NA,NA,"L","L",NA,NA,"Ascetosporea","Paramyxida","Endomyxa","Marteiliidae","Paramarteilia","NCBI"
"9","GCA_040357565.1","Rhizaria",1215613,"Cercozoa sp. M6MM",NA,NA,NA,"L","L",NA,NA,NA,"Cercozoa",NA,NA,"NCBI"
