tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
CAI76906.1, -, PTHR13298.orig.30.pi, -,0.011,10.7,0.6,0.37,5.7,0.0,GCA_000003225.1
EEQ97606.1, -, PTHR13298.orig.30.pi, -,5e-46,157.0,2.3,1.1e-31,109.5,0.0,GCA_000006405.1
EEQ97607.1, -, PTHR13298.orig.30.pi, -,4.1e-21,74.5,0.0,1.1e-14,53.2,0.0,GCA_000006405.1
EER08630.1, -, PTHR13298.orig.30.pi, -,9.1e-05,20.3,0.0,0.0062,14.2,0.0,GCA_000006405.1
EEA05451.1, -, PTHR13298.orig.30.pi, -,0.0029,12.8,0.1,0.0054,11.9,0.1,GCA_000006515.1
EPT27312.1, -, PTHR13298.orig.30.pi, -,2.4e-21,73.8,0.0,8.6e-08,28.8,0.0,GCA_000006565.2
EPT27342.1, -, PTHR13298.orig.30.pi, -,1.2e-07,28.4,0.0,0.00037,16.8,0.0,GCA_000006565.2
EPT28932.1, -, PTHR13298.orig.30.pi, -,0.062,9.4,0.6,0.24,7.5,0.1,GCA_000006565.2
EPT29097.1, -, PTHR13298.orig.30.pi, -,0.065,9.4,0.4,4.8,3.2,0.1,GCA_000006565.2
EPR62414.1, -, PTHR13298.orig.30.pi, -,6.1e-21,72.4,0.0,2.2e-07,27.5,0.0,GCA_000149715.2
EPR62413.1, -, PTHR13298.orig.30.pi, -,3.9e-08,30.0,0.0,5.9e-05,19.5,0.0,GCA_000149715.2
EPR64227.1, -, PTHR13298.orig.30.pi, -,0.041,10.0,0.4,3.5,3.7,0.0,GCA_000149715.2
EPR64311.1, -, PTHR13298.orig.30.pi, -,0.063,9.4,0.6,0.25,7.5,0.1,GCA_000149715.2
ESS32806.1, -, PTHR13298.orig.30.pi, -,2.9e-21,73.5,0.0,1.1e-07,28.5,0.0,GCA_000150015.2
ESS32805.1, -, PTHR13298.orig.30.pi, -,4.3e-08,29.8,0.0,6.5e-05,19.3,0.0,GCA_000150015.2
ESS35545.1, -, PTHR13298.orig.30.pi, -,0.055,9.6,0.4,4.5,3.3,0.1,GCA_000150015.2
ESS35718.1, -, PTHR13298.orig.30.pi, -,0.062,9.4,0.6,0.24,7.5,0.1,GCA_000150015.2
EAK87834.1, -, PTHR13298.orig.30.pi, -,0.0074,11.4,0.2,0.011,10.8,0.2,GCA_000165345.1
CAK94867.1, -, PTHR13298.orig.30.pi, -,4.1e-269,896.6,28.8,6e-270,896.4,28.8,GCA_000165425.1
CAK68924.1, -, PTHR13298.orig.30.pi, -,0.0022,16.5,0.4,0.0028,16.1,0.4,GCA_000165425.1
CAK90617.1, -, PTHR13298.orig.30.pi, -,0.0045,15.4,4.2,0.0049,15.3,4.2,GCA_000165425.1
CAK60429.1, -, PTHR13298.orig.30.pi, -,0.0066,14.9,1.0,0.054,11.9,0.3,GCA_000165425.1
CAK56636.1, -, PTHR13298.orig.30.pi, -,0.051,12.0,2.9,0.069,11.5,2.9,GCA_000165425.1
CAK94702.1, -, PTHR13298.orig.30.pi, -,0.2,10.0,5.5,1.2,7.4,0.2,GCA_000165425.1
CAK68199.1, -, PTHR13298.orig.30.pi, -,0.6,8.4,5.0,1.5,7.1,1.6,GCA_000165425.1
EDK31723.1, -, PTHR13298.orig.30.pi, -,2.3e-192,641.8,29.3,1e-192,638.1,29.3,GCA_000189635.1
EAR95655.2, -, PTHR13298.orig.30.pi, -,2.1e-183,612.2,36.1,7e-184,610.0,36.1,GCA_000189635.1
EAR88916.3, -, PTHR13298.orig.30.pi, -,0.036,11.9,2.1,6.2,4.5,0.0,GCA_000189635.1
CBZ54074.1, -, PTHR13298.orig.30.pi, -,8.1e-31,104.8,0.0,8.3e-07,25.3,0.0,GCA_000208865.2
CBZ53388.1, -, PTHR13298.orig.30.pi, -,0.077,8.9,0.9,0.2,7.5,0.0,GCA_000208865.2
EGR34184.1, -, PTHR13298.orig.30.pi, -,2.9e-83,278.7,6.4,3.6e-83,278.5,6.4,GCA_000220395.1
EGR30964.1, -, PTHR13298.orig.30.pi, -,7.4e-77,257.5,25.4,4.3e-76,255.0,25.4,GCA_000220395.1
EGR34185.1, -, PTHR13298.orig.30.pi, -,3.8e-59,198.9,2.9,4.9e-59,198.5,2.9,GCA_000220395.1
EGR30963.1, -, PTHR13298.orig.30.pi, -,9.1e-37,124.8,0.3,9.1e-37,124.8,0.3,GCA_000220395.1
EGR34405.1, -, PTHR13298.orig.30.pi, -,0.034,10.2,17.9,0.072,9.2,17.9,GCA_000220395.1
EZG69284.1, -, PTHR13298.orig.30.pi, -,0.003,13.4,0.8,0.84,5.3,0.0,GCA_000223845.4
KFG65693.1, -, PTHR13298.orig.30.pi, -,4.2e-21,73.2,0.0,1.6e-07,28.2,0.0,GCA_000224805.2
KFG65692.1, -, PTHR13298.orig.30.pi, -,4.7e-08,30.0,0.0,7e-05,19.5,0.0,GCA_000224805.2
KFG63487.1, -, PTHR13298.orig.30.pi, -,0.032,10.7,0.5,3.2,4.0,0.0,GCA_000224805.2
KFG63705.1, -, PTHR13298.orig.30.pi, -,0.076,9.4,0.6,0.29,7.5,0.1,GCA_000224805.2
KFH12813.1, -, PTHR13298.orig.30.pi, -,4e-21,73.1,0.0,1.5e-07,28.2,0.0,GCA_000224845.2
KFH12814.1, -, PTHR13298.orig.30.pi, -,4.4e-08,30.0,0.0,6.6e-05,19.4,0.0,GCA_000224845.2
KFH11143.1, -, PTHR13298.orig.30.pi, -,0.011,12.1,0.7,0.025,10.9,0.0,GCA_000224845.2
KFH10034.1, -, PTHR13298.orig.30.pi, -,3.9e-21,73.3,0.0,1.5e-07,28.3,0.0,GCA_000224865.2
KFH10035.1, -, PTHR13298.orig.30.pi, -,1.3e-07,28.6,0.0,0.00025,17.6,0.0,GCA_000224865.2
KFH17628.1, -, PTHR13298.orig.30.pi, -,0.011,12.2,0.5,2.0,4.7,0.0,GCA_000224865.2
KFH17406.1, -, PTHR13298.orig.30.pi, -,0.082,9.3,0.6,0.29,7.5,0.1,GCA_000224865.2
KFG42238.1, -, PTHR13298.orig.30.pi, -,4.1e-21,73.2,0.0,1.5e-07,28.2,0.0,GCA_000224885.2
KFG42237.1, -, PTHR13298.orig.30.pi, -,6.1e-08,29.6,0.0,9.1e-05,19.0,0.0,GCA_000224885.2
KFG50682.1, -, PTHR13298.orig.30.pi, -,0.0082,12.6,0.5,1.7,4.9,0.0,GCA_000224885.2
KFG51055.1, -, PTHR13298.orig.30.pi, -,0.072,9.4,0.6,0.28,7.5,0.1,GCA_000224885.2
KFG52232.1, -, PTHR13298.orig.30.pi, -,7.2e-21,72.4,0.0,2.7e-07,27.5,0.0,GCA_000224905.2
KFG52231.1, -, PTHR13298.orig.30.pi, -,4.7e-08,30.0,0.0,7e-05,19.5,0.0,GCA_000224905.2
KFG55373.1, -, PTHR13298.orig.30.pi, -,0.21,7.9,3.6,0.13,8.6,0.1,GCA_000224905.2
KYF43504.1, -, PTHR13298.orig.30.pi, -,6e-14,49.5,0.0,2.7e-05,20.8,0.0,GCA_000250965.2
KYF43503.1, -, PTHR13298.orig.30.pi, -,1.9e-08,31.3,0.0,3e-05,20.7,0.0,GCA_000250965.2
KYF43488.1, -, PTHR13298.orig.30.pi, -,6.3e-06,22.9,0.0,6.3e-06,22.9,0.0,GCA_000250965.2
KYF45914.1, -, PTHR13298.orig.30.pi, -,0.0072,12.8,0.1,2.2,4.5,0.1,GCA_000250965.2
KYF46123.1, -, PTHR13298.orig.30.pi, -,0.074,9.4,0.6,0.29,7.5,0.1,GCA_000250965.2
RQX74296.1, -, PTHR13298.orig.30.pi, -,6.8e-21,72.4,0.0,2.5e-07,27.5,0.0,GCA_000256705.2
RQX74297.1, -, PTHR13298.orig.30.pi, -,4.4e-08,30.0,0.0,6.6e-05,19.5,0.0,GCA_000256705.2
RQX68239.1, -, PTHR13298.orig.30.pi, -,0.017,11.5,0.4,2.6,4.3,0.0,GCA_000256705.2
RQX75852.1, -, PTHR13298.orig.30.pi, -,0.07,9.4,0.6,0.28,7.5,0.1,GCA_000256705.2
KYK65117.1, -, PTHR13298.orig.30.pi, -,3.5e-21,73.5,0.0,1.3e-07,28.5,0.0,GCA_000256725.2
KYK65116.1, -, PTHR13298.orig.30.pi, -,1.5e-08,31.7,0.0,2.2e-05,21.2,0.0,GCA_000256725.2
KYK63786.1, -, PTHR13298.orig.30.pi, -,0.012,12.1,0.7,0.028,10.9,0.0,GCA_000256725.2
KYK67697.1, -, PTHR13298.orig.30.pi, -,0.065,9.7,0.4,4.3,3.6,0.2,GCA_000256725.2
KEP67751.1, -, PTHR13298.orig.30.pi, -,6e-21,72.4,0.0,2e-07,27.6,0.0,GCA_000258005.2
KEP59821.1, -, PTHR13298.orig.30.pi, -,0.03,10.4,0.4,1.5,4.8,0.0,GCA_000258005.2
KEP63753.1, -, PTHR13298.orig.30.pi, -,0.21,7.6,3.6,0.14,8.2,0.1,GCA_000258005.2
KMZ82624.1, -, PTHR13298.orig.30.pi, -,2.7,3.7,10.3,0.13,8.1,0.0,GCA_000320625.2
KMZ89018.1, -, PTHR13298.orig.30.pi, -,2.0,4.1,9.3,0.15,7.8,0.0,GCA_000320645.2
KMZ95429.1, -, PTHR13298.orig.30.pi, -,0.95,5.1,8.7,0.14,7.9,0.0,GCA_000320665.2
KNA01908.1, -, PTHR13298.orig.30.pi, -,0.49,6.2,6.0,0.13,8.1,0.0,GCA_000320685.2
KFG44941.1, -, PTHR13298.orig.30.pi, -,6.5e-21,72.4,0.0,2.4e-07,27.5,0.0,GCA_000325525.2
KFG44942.1, -, PTHR13298.orig.30.pi, -,4.2e-08,30.0,0.0,6.3e-05,19.5,0.0,GCA_000325525.2
KFG48018.1, -, PTHR13298.orig.30.pi, -,0.017,11.5,0.4,2.5,4.3,0.0,GCA_000325525.2
KFG48557.1, -, PTHR13298.orig.30.pi, -,0.13,8.5,0.6,0.4,6.9,0.1,GCA_000325525.2
AFZ81743.1, -, PTHR13298.orig.30.pi, -,0.051,9.1,0.6,0.29,6.6,0.0,GCA_000342415.1
AFZ80897.1, -, PTHR13298.orig.30.pi, -,4.7,2.6,14.6,11.0,1.3,0.1,GCA_000342415.1
CDJ66075.1, -, PTHR13298.orig.30.pi, -,0.046,9.9,0.3,0.057,9.6,0.3,GCA_000499385.1
CDJ67841.1, -, PTHR13298.orig.30.pi, -,0.068,9.3,7.6,0.082,9.1,7.6,GCA_000499385.1
CDJ65436.1, -, PTHR13298.orig.30.pi, -,0.36,6.9,2.7,0.62,6.2,2.0,GCA_000499385.1
CDI78433.1, -, PTHR13298.orig.30.pi, -,0.0062,12.5,0.8,0.0089,12.0,0.8,GCA_000499425.1
