tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
BAM82307.1, -, PTHR11139.orig.30.pi, -,0.0,1087.7,69.5,0.0,1087.4,69.5,GCA_000091205.1
BAM81435.1, -, PTHR11139.orig.30.pi, -,1.2e-194,648.2,87.9,7e-195,647.7,87.9,GCA_000091205.1
BAM81203.1, -, PTHR11139.orig.30.pi, -,3.1e-175,583.8,65.7,7e-176,583.2,65.7,GCA_000091205.1
BAM82862.1, -, PTHR11139.orig.30.pi, -,1.6e-07,27.4,0.1,3.3e-07,26.4,0.1,GCA_000091205.1
BAM80121.1, -, PTHR11139.orig.30.pi, -,3e-05,19.9,6.7,0.00093,14.9,0.1,GCA_000091205.1
BAM79136.1, -, PTHR11139.orig.30.pi, -,0.08,8.5,13.4,0.23,7.0,13.4,GCA_000091205.1
EME32349.1, -, PTHR11139.orig.30.pi, -,0.0,1258.3,47.2,0.0,1257.9,47.2,GCA_000341285.1
EME28648.1, -, PTHR11139.orig.30.pi, -,0.0,1115.3,48.3,0.0,1114.5,48.3,GCA_000341285.1
EME27567.1, -, PTHR11139.orig.30.pi, -,1.8e-176,588.5,17.8,8e-177,588.5,17.8,GCA_000341285.1
EME31587.1, -, PTHR11139.orig.30.pi, -,8.4e-146,486.7,8.8,4e-147,486.7,8.8,GCA_000341285.1
EME32841.1, -, PTHR11139.orig.30.pi, -,6.1e-137,457.3,77.0,7e-138,456.8,77.0,GCA_000341285.1
EME28937.1, -, PTHR11139.orig.30.pi, -,1.3e-15,54.9,0.2,1.3e-15,54.9,0.2,GCA_000341285.1
EME30989.1, -, PTHR11139.orig.30.pi, -,2.1e-08,30.9,3.0,4.5e-08,29.8,0.4,GCA_000341285.1
EME32498.1, -, PTHR11139.orig.30.pi, -,3.4e-06,23.6,5.1,5.3e-06,22.9,5.1,GCA_000341285.1
EME28204.1, -, PTHR11139.orig.30.pi, -,0.006,12.8,0.6,0.019,11.2,0.2,GCA_000341285.1
EME31274.1, -, PTHR11139.orig.30.pi, -,0.015,11.5,0.4,0.049,9.8,0.3,GCA_000341285.1
EME28831.1, -, PTHR11139.orig.30.pi, -,0.015,11.5,0.0,0.02,11.1,0.0,GCA_000341285.1
EME28891.1, -, PTHR11139.orig.30.pi, -,0.016,11.4,0.0,0.017,11.3,0.0,GCA_000341285.1
CDF35341.1, -, PTHR11139.orig.30.pi, -,1.3e-277,924.5,17.0,6e-278,924.2,17.0,GCA_000350225.2
CDF32511.1, -, PTHR11139.orig.30.pi, -,6.5e-198,660.1,41.3,8e-199,659.5,41.3,GCA_000350225.2
CDF36547.1, -, PTHR11139.orig.30.pi, -,1.7e-178,595.7,34.7,3e-179,595.2,34.7,GCA_000350225.2
CDF34145.1, -, PTHR11139.orig.30.pi, -,4.4e-138,461.6,58.5,3e-138,460.0,58.5,GCA_000350225.2
CDF38036.1, -, PTHR11139.orig.30.pi, -,1.6e-14,51.7,0.1,6e-14,49.8,0.1,GCA_000350225.2
CDF35607.1, -, PTHR11139.orig.30.pi, -,1.3e-09,35.4,0.2,4.4e-09,33.6,0.2,GCA_000350225.2
CDF40415.1, -, PTHR11139.orig.30.pi, -,7.1e-06,23.0,0.3,1.3e-05,22.1,0.3,GCA_000350225.2
CDF40810.1, -, PTHR11139.orig.30.pi, -,3.3e-05,20.8,2.5,4.1e-05,20.4,2.5,GCA_000350225.2
CDF77580.1, -, PTHR11139.orig.30.pi, -,6.4e-05,19.8,4.7,0.00012,18.8,4.8,GCA_000350225.2
CDF33403.1, -, PTHR11139.orig.30.pi, -,6.9e-05,19.7,0.1,0.013,12.2,0.0,GCA_000350225.2
CDF39865.1, -, PTHR11139.orig.30.pi, -,0.11,9.1,0.5,0.11,9.1,0.5,GCA_000350225.2
OSX78512.1, -, PTHR11139.orig.30.pi, -,0.0,1089.1,10.2,0.0,1088.7,10.2,GCA_002049455.2
OSX78492.1, -, PTHR11139.orig.30.pi, -,6.3e-223,743.5,0.9,6e-224,743.3,0.9,GCA_002049455.2
OSX72820.1, -, PTHR11139.orig.30.pi, -,1.2e-79,268.2,0.1,1.4e-79,267.9,0.1,GCA_002049455.2
OSX75812.1, -, PTHR11139.orig.30.pi, -,1.4e-62,211.6,14.0,1.9e-62,211.1,14.0,GCA_002049455.2
OSX75809.1, -, PTHR11139.orig.30.pi, -,9.1e-62,208.9,6.3,1.2e-61,208.5,6.3,GCA_002049455.2
