tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
PNW88495.1, -, PTHR13298.orig.30.pi, -,0.019,12.3,1.8,0.017,12.5,0.7,GCA_000002595.3
PNW72230.1, -, PTHR13298.orig.30.pi, -,0.13,9.6,0.0,0.21,8.9,0.0,GCA_000002595.3
PNW71688.1, -, PTHR13298.orig.30.pi, -,0.3,8.4,5.9,5.3,4.3,2.6,GCA_000002595.3
ACO62814.1, -, PTHR13298.orig.30.pi, -,0.00011,18.8,0.3,0.0075,12.8,0.0,GCA_000090985.2
ACO68161.1, -, PTHR13298.orig.30.pi, -,0.034,10.6,0.1,0.062,9.7,0.1,GCA_000090985.2
ACO67779.1, -, PTHR13298.orig.30.pi, -,0.077,9.4,0.1,0.12,8.8,0.1,GCA_000090985.2
ACO66079.1, -, PTHR13298.orig.30.pi, -,0.14,8.6,0.0,0.19,8.1,0.0,GCA_000090985.2
ACO62835.1, -, PTHR13298.orig.30.pi, -,0.25,7.7,1.8,0.33,7.3,1.8,GCA_000090985.2
ACO62956.1, -, PTHR13298.orig.30.pi, -,0.42,7.0,2.0,3.4,4.0,0.0,GCA_000090985.2
ABO99442.1, -, PTHR13298.orig.30.pi, -,0.0002,17.5,1.2,0.00034,16.8,1.2,GCA_000092065.1
ABP01165.1, -, PTHR13298.orig.30.pi, -,0.00021,17.5,1.2,0.00035,16.8,1.2,GCA_000092065.1
ABO99569.1, -, PTHR13298.orig.30.pi, -,0.015,11.3,2.4,0.2,7.6,0.1,GCA_000092065.1
ABO99535.1, -, PTHR13298.orig.30.pi, -,0.016,11.3,2.4,0.21,7.6,0.1,GCA_000092065.1
ABO94700.1, -, PTHR13298.orig.30.pi, -,0.052,9.6,9.8,0.059,9.4,9.8,GCA_000092065.1
ABO99519.1, -, PTHR13298.orig.30.pi, -,0.085,8.9,0.1,0.11,8.4,0.1,GCA_000092065.1
ABO99554.1, -, PTHR13298.orig.30.pi, -,0.085,8.9,0.1,0.11,8.4,0.1,GCA_000092065.1
ABO99452.1, -, PTHR13298.orig.30.pi, -,1.9,4.4,6.2,0.51,6.3,0.2,GCA_000092065.1
ABP01155.1, -, PTHR13298.orig.30.pi, -,1.9,4.4,6.2,0.51,6.3,0.2,GCA_000092065.1
EFJ43516.1, -, PTHR13298.orig.30.pi, -,0.012,12.5,1.4,0.017,12.1,1.0,GCA_000143455.1
EFJ46508.1, -, PTHR13298.orig.30.pi, -,0.013,12.4,0.0,0.074,10.0,0.0,GCA_000143455.1
EFJ49536.1, -, PTHR13298.orig.30.pi, -,0.054,10.4,0.2,0.065,10.2,0.2,GCA_000143455.1
EFJ42176.1, -, PTHR13298.orig.30.pi, -,0.11,9.4,1.8,0.35,7.7,0.2,GCA_000143455.1
EFJ50371.1, -, PTHR13298.orig.30.pi, -,3.5,4.4,7.1,0.99,6.2,1.3,GCA_000143455.1
EFN56645.1, -, PTHR13298.orig.30.pi, -,0.00037,17.0,5.7,0.28,7.5,0.0,GCA_000147415.1
EFN57516.1, -, PTHR13298.orig.30.pi, -,0.0094,12.4,0.2,0.66,6.3,0.0,GCA_000147415.1
EFN51458.1, -, PTHR13298.orig.30.pi, -,0.03,10.7,0.0,0.063,9.6,0.0,GCA_000147415.1
EFN53864.1, -, PTHR13298.orig.30.pi, -,0.033,10.6,0.5,0.5,6.7,0.1,GCA_000147415.1
EFN54807.1, -, PTHR13298.orig.30.pi, -,0.084,9.2,0.4,0.13,8.6,0.0,GCA_000147415.1
EFN52786.1, -, PTHR13298.orig.30.pi, -,0.14,8.5,0.1,0.23,7.8,0.1,GCA_000147415.1
EFN50588.1, -, PTHR13298.orig.30.pi, -,0.17,8.2,1.3,5.9,3.1,0.2,GCA_000147415.1
EFN54954.1, -, PTHR13298.orig.30.pi, -,0.64,6.3,9.2,0.75,6.1,0.2,GCA_000147415.1
EEH57905.1, -, PTHR13298.orig.30.pi, -,0.00011,18.9,1.9,0.0048,13.4,0.1,GCA_000151265.1
EEH52418.1, -, PTHR13298.orig.30.pi, -,0.016,11.7,0.0,0.03,10.8,0.0,GCA_000151265.1
EEH58329.1, -, PTHR13298.orig.30.pi, -,0.035,10.6,0.0,0.11,8.9,0.0,GCA_000151265.1
EEH55559.1, -, PTHR13298.orig.30.pi, -,0.15,8.5,3.2,0.034,10.6,0.2,GCA_000151265.1
CEF99159.1, -, PTHR13298.orig.30.pi, -,0.051,9.6,0.0,1.0,5.3,0.0,GCA_000214015.2
CEG01721.1, -, PTHR13298.orig.30.pi, -,0.11,8.5,0.0,0.17,7.9,0.0,GCA_000214015.2
EIE22726.1, -, PTHR13298.orig.30.pi, -,0.00015,18.4,0.1,0.00092,15.7,0.0,GCA_000258705.1
EIE22561.1, -, PTHR13298.orig.30.pi, -,0.039,10.4,0.0,0.058,9.8,0.0,GCA_000258705.1
EIE22844.1, -, PTHR13298.orig.30.pi, -,0.19,8.1,12.7,0.39,7.0,9.6,GCA_000258705.1
EIE20987.1, -, PTHR13298.orig.30.pi, -,0.41,6.9,4.2,0.53,6.6,0.4,GCA_000258705.1
KIY93390.1, -, PTHR13298.orig.30.pi, -,0.00086,16.6,0.2,0.085,10.0,0.0,GCA_000611645.1
KIZ05944.1, -, PTHR13298.orig.30.pi, -,0.22,8.6,5.6,0.27,8.3,5.6,GCA_000611645.1
KFM28431.1, -, PTHR13298.orig.30.pi, -,0.091,8.6,1.9,0.37,6.6,0.3,GCA_000733215.1
KFM25199.1, -, PTHR13298.orig.30.pi, -,0.32,6.8,3.5,5.3,2.8,0.3,GCA_000733215.1
KAK3265428.1, -, PTHR13298.orig.30.pi, -,1.5e-101,342.2,3.6,2e-101,341.7,3.6,GCA_001247695.2
KAK3280023.1, -, PTHR13298.orig.30.pi, -,0.016,14.2,2.2,0.023,13.7,2.2,GCA_001247695.2
KAK3287628.1, -, PTHR13298.orig.30.pi, -,0.022,13.7,2.3,0.59,9.0,0.2,GCA_001247695.2
KAK3248241.1, -, PTHR13298.orig.30.pi, -,0.082,11.8,1.8,0.16,10.9,1.1,GCA_001247695.2
KAK3252560.1, -, PTHR13298.orig.30.pi, -,0.098,11.6,0.2,1.6,7.5,0.1,GCA_001247695.2
KAK3240775.1, -, PTHR13298.orig.30.pi, -,0.3,10.0,1.4,1.6,7.6,0.1,GCA_001247695.2
KAK3289274.1, -, PTHR13298.orig.30.pi, -,0.32,9.9,0.1,3.5,6.4,0.0,GCA_001247695.2
