"","Accn","Phylum","Organism_Taxonomic_ID","Organism_Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class name","Phylum name","Order name","Family name","Genus name"
"1","GCA_000002445.1","Discoba",185431,"Trypanosoma brucei brucei TREU927",NA,"H","H","H","H",NA,97.69,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"2","GCA_000002725.2","Discoba",347515,"Leishmania major strain Friedlin",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"3","GCA_000002845.2","Discoba",420245,"Leishmania braziliensis MHOM/BR/75/M2904",NA,"H","H","H","H",NA,96.92,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"4","GCA_000002875.2","Discoba",435258,"Leishmania infantum JPCM5",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"5","GCA_000004985.1","Discoba",5762,"Naegleria gruberi",NA,"M","H","H","H",NA,77.65,10.2,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria"
"6","GCA_000188675.2","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,93.08,4.62,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"7","GCA_000209065.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,97.69,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"8","GCA_000210295.1","Discoba",679716,"Trypanosoma brucei gambiense DAL972",NA,"H","H","H","H",NA,98.46,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"9","GCA_000227135.2","Discoba",5661,"Leishmania donovani",NA,"H","H","H","H",NA,99.23,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"10","GCA_000227375.1","Discoba",1055687,"Trypanosoma vivax Y486",NA,NA,NA,NA,NA,NA,9.23,2.31,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"11","GCA_000227395.2","Discoba",1068625,"Trypanosoma congolense IL3000",NA,NA,NA,NA,NA,NA,34.62,14.62,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"12","GCA_000234665.4","Discoba",929439,"Leishmania mexicana MHOM/GT/2001/U1103",NA,"H","H","H","H",NA,99.23,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"13","GCA_000300495.1","Discoba",85056,"Trypanosoma cruzi marinkellei",NA,"H","H","H","M",NA,98.46,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"14","GCA_000442495.1","Discoba",28005,"Strigomonas culicis",NA,NA,"H","H",NA,NA,73.08,20,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Strigomonas"
"15","GCA_000442575.2","Discoba",59799,"Angomonas deanei",NA,"M","H","H","M",NA,79.23,16.92,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Angomonas"
"16","GCA_000492115.1","Discoba",429131,"Trypanosoma rangeli SC58",NA,"H","H","H",NA,NA,94.62,3.85,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"17","GCA_000496795.1","Discoba",1416333,"Trypanosoma cruzi Dm28c",NA,"H","H","H","M",NA,90.77,8.46,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"18","GCA_000582765.1","Discoba",479712,"Phytomonas sp. EM1",NA,"H","H","H","M",NA,90,9.23,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Phytomonas"
"19","GCA_000691245.1","Discoba",71804,"Trypanosoma grayi",NA,"H","H","H","M",NA,95.38,3.85,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"20","GCA_000755165.1","Discoba",5679,"Leishmania panamensis",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"21","GCA_000982615.1","Discoba",223615,"Phytomonas sp. Hart1",NA,"L","H","H","M",NA,80,19.23,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Phytomonas"
"22","GCA_001235845.1","Discoba",1314962,"Perkinsela sp. CCAP 1560/4",NA,NA,NA,"H",NA,NA,65.38,6.92,"Kinetoplastea","Euglenozoa",NA,"Ichthyobodonidae","Perkinsela"
"23","GCA_001293395.1","Discoba",157538,"Leptomonas pyrrhocoris",NA,"H","H","H","M",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leptomonas"
"24","GCA_001299535.1","Discoba",5684,"Leptomonas seymouri",NA,"H","H","H","M",NA,99.23,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leptomonas"
"25","GCA_001457755.2","Discoba",5694,"Trypanosoma equiperdum",NA,"H","H","H","H",NA,94.62,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"26","GCA_001460835.1","Discoba",75058,"Bodo saltans",NA,"H","H","H","M",NA,89.23,8.46,"Kinetoplastea","Euglenozoa","Eubodonida","Bodonidae","Bodo"
"27","GCA_002087225.1","Discoba",67003,"Trypanosoma theileri",NA,"H","H","H","M",NA,99.23,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"28","GCA_002219105.2","Discoba",85057,"Trypanosoma cruzi cruzi",NA,"H","H","H","M",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"29","GCA_003177095.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,99.23,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"30","GCA_003177105.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,89.23,10.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"31","GCA_003324165.2","Discoba",51637,"Naegleria lovaniensis",NA,"H","H","H","H",NA,86.27,4.71,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria"
"32","GCA_003543875.1","Discoba",630700,"Trypanosoma brucei equiperdum",NA,"H",NA,"H","H",NA,76.15,4.62,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"33","GCA_003719155.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,83.85,13.08,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"34","GCA_003719455.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,96.92,3.08,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"35","GCA_003719475.1","Discoba",5698,"Trypanosoma rangeli",NA,"H","H","H","M",NA,96.15,3.85,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"36","GCA_003719485.1","Discoba",83891,"Trypanosoma conorhini",NA,"H","H","H","M",NA,97.69,1.54,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
"37","GCA_003719575.1","Discoba",5661,"Leishmania donovani",NA,"H","H","H","H",NA,100,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"38","GCA_003730175.1","Discoba",5661,"Leishmania donovani",NA,"H","H","H","H",NA,99.23,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"39","GCA_003730215.1","Discoba",5661,"Leishmania donovani",NA,"H","H","H","H",NA,99.23,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"40","GCA_008403515.1","Discoba",5763,"Naegleria fowleri",NA,"H","H","H","L",NA,85.88,3.14,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria"
"41","GCA_009731335.1","Discoba",5689,"Leishmania tarentolae",NA,"H","H","H","H",NA,98.46,0.77,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania"
"42","GCA_013358655.1","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,98.46,0,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma"
