"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class name","Phylum name","Order name","Family name","Genus name"
"1","GCA_000002415.2","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,95.25,1.1,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"2","GCA_000002765.3","Alveolata",36329,"Plasmodium falciparum 3D7",NA,NA,NA,NA,NA,NA,99.12,0,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"3","GCA_000003085.2","Alveolata",73239,"Plasmodium yoelii yoelii",NA,NA,NA,NA,NA,NA,64.91,10.38,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"4","GCA_000003225.1","Alveolata",5874,"Theileria annulata",NA,NA,NA,"M",NA,NA,93.74,2.47,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"5","GCA_000006355.3","Alveolata",5851,"Plasmodium knowlesi strain H",NA,NA,NA,NA,NA,NA,99.18,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"6","GCA_000006405.1","Alveolata",423536,"Perkinsus marinus ATCC 50983",NA,"L","M","H","M",NA,97.08,1.17,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"7","GCA_000006515.1","Alveolata",441375,"Cryptosporidium muris RN66",NA,NA,NA,"H",NA,NA,99.2,0.4,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"8","GCA_000006565.2","Alveolata",508771,"Toxoplasma gondii ME49",NA,NA,NA,"H","L",NA,100,0,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"9","GCA_000149665.2","Alveolata",137071,"Plasmodium falciparum HB3",NA,NA,NA,NA,NA,NA,85.78,4.06,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"10","GCA_000149715.2","Alveolata",507601,"Toxoplasma gondii GT1",NA,NA,NA,"H","L",NA,100,0,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"11","GCA_000149795.1","Alveolata",57267,"Plasmodium falciparum Dd2",NA,NA,NA,NA,NA,NA,51.37,6.64,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"12","GCA_000150015.2","Alveolata",432359,"Toxoplasma gondii VEG",NA,NA,NA,"H","L",NA,99.4,0.6,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"13","GCA_000150435.3","Alveolata",57266,"Plasmodium falciparum 7G8",NA,NA,NA,NA,NA,NA,89.95,4.37,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"14","GCA_000165345.1","Alveolata",353152,"Cryptosporidium parvum Iowa II",NA,NA,NA,"H",NA,NA,96.61,1.99,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"15","GCA_000165365.1","Alveolata",333668,"Theileria parva strain Muguga",NA,NA,NA,"M",NA,NA,98.06,0.62,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"16","GCA_000165395.2","Alveolata",484906,"Babesia bovis T2Bo",NA,NA,NA,"H",NA,NA,98.41,0.09,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"17","GCA_000165425.1","Alveolata",5888,"Paramecium tetraurelia","M","H",NA,"H","H",NA,98.83,0.58,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"18","GCA_000186025.2","Alveolata",580058,"Plasmodium falciparum RAJ116",NA,NA,NA,NA,NA,NA,24.6,19.71,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"19","GCA_000186055.2","Alveolata",580059,"Plasmodium falciparum IGH-CR14",NA,NA,NA,NA,NA,NA,74.79,4.61,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"20","GCA_000189635.1","Alveolata",312017,"Tetrahymena thermophila SB210",NA,"H",NA,"H","M",NA,98.83,0,"Oligohymenophorea","Ciliophora","Hymenostomatida","Tetrahymenidae","Tetrahymena"
"21","GCA_000208865.2","Alveolata",572307,"Neospora caninum Liverpool",NA,NA,NA,"H","L",NA,98.21,0.8,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Neospora"
"22","GCA_000209695.1","Alveolata",5807,"Cryptosporidium parvum",NA,NA,NA,"H",NA,NA,14.34,0.4,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"23","GCA_000220395.1","Alveolata",5932,"Ichthyophthirius multifiliis",NA,"M",NA,"H","M",NA,82.46,5.26,"Oligohymenophorea","Ciliophora","Hymenostomatida",NA,"Ichthyophthirius"
"24","GCA_000223845.4","Alveolata",110365,"Gregarina niphandrodes",NA,NA,NA,"H",NA,NA,65.74,3.39,"Conoidasida","Apicomplexa","Eugregarinorida","Gregarinidae","Gregarina"
"25","GCA_000224805.2","Alveolata",935652,"Toxoplasma gondii RUB",NA,NA,NA,"H","L",NA,89.64,8.57,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"26","GCA_000224845.2","Alveolata",933077,"Toxoplasma gondii VAND",NA,NA,NA,"H","L",NA,93.23,5.18,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"27","GCA_000224865.2","Alveolata",943118,"Toxoplasma gondii MAS",NA,NA,NA,"H","L",NA,89.84,6.77,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"28","GCA_000224885.2","Alveolata",943119,"Toxoplasma gondii p89",NA,NA,NA,"H","L",NA,91.04,6.37,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"29","GCA_000224905.2","Alveolata",943167,"Toxoplasma gondii FOU",NA,NA,NA,"H","L",NA,88.25,7.97,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"30","GCA_000250965.2","Alveolata",1074872,"Toxoplasma gondii ARI",NA,NA,NA,"H","L",NA,92.63,5.78,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"31","GCA_000256705.2","Alveolata",943122,"Toxoplasma gondii CAST",NA,NA,NA,"H","L",NA,92.23,5.38,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"32","GCA_000256725.2","Alveolata",1130821,"Toxoplasma gondii TgCatPRC2",NA,NA,NA,"H","L",NA,92.03,6.18,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"33","GCA_000258005.2","Alveolata",99158,"Hammondia hammondi",NA,NA,NA,"H","L",NA,99.8,0.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Hammondia"
"34","GCA_000320625.2","Alveolata",1077284,"Plasmodium vivax India VII",NA,NA,NA,NA,NA,NA,94.23,2.42,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"35","GCA_000320645.2","Alveolata",1033975,"Plasmodium vivax Brazil I",NA,NA,NA,NA,NA,NA,95.36,1.76,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"36","GCA_000320665.2","Alveolata",1035515,"Plasmodium vivax Mauritania I",NA,NA,NA,NA,NA,NA,95.28,1.59,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"37","GCA_000320685.2","Alveolata",1035514,"Plasmodium vivax North Korean",NA,NA,NA,NA,NA,NA,94.67,2.2,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"38","GCA_000321355.1","Alveolata",1120755,"Plasmodium cynomolgi strain B",NA,NA,NA,NA,NA,NA,80.62,10.24,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"39","GCA_000325525.2","Alveolata",1130820,"Toxoplasma gondii GAB2-2007-GAL-DOM2",NA,NA,NA,"H","L",NA,93.23,5.18,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
