"","X.1","X","Accn","Super.Group","Organism_Taxonomic_ID","Organism_Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class.name","Phylum.name","Order.name","Family.name","Genus.name"
"1",1,1,"GCA_000142945.1","Stramenopiles",403677,"Phytophthora infestans T30-4","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"2",2,2,"GCA_000149405.2","Stramenopiles",296543,"Thalassiosira pseudonana CCMP1335",NA,NA,"H","H","H","M",97,3,"Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira"
"3",3,3,"GCA_000149755.2","Stramenopiles",67593,"Phytophthora sojae","M","H","H","H","M",NA,99,1,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"4",4,4,"GCA_000150955.2","Stramenopiles",556484,"Phaeodactylum tricornutum CCAP 1055/1",NA,NA,"H","H","H",NA,96,4,"Bacillariophyceae","Bacillariophyta","Naviculales","Phaeodactylaceae","Phaeodactylum"
"5",5,5,"GCA_000151545.2","Stramenopiles",695850,"Saprolegnia parasitica CBS 223.65","M","H","H","H","H",NA,98,1,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Saprolegnia"
"6",6,6,"GCA_000151665.1","Stramenopiles",12968,"Blastocystis hominis",NA,"H","H","H","M",NA,87,13,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"7",7,7,"GCA_000186865.1","Stramenopiles",44056,"Aureococcus anophagefferens",NA,NA,"H","H","H","H",84,11,"Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus"
"8",8,8,"GCA_000240725.1","Stramenopiles",1093141,"Nannochloropsis gaditana CCMP526",NA,NA,"H","H",NA,NA,40,9,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis"
"9",9,9,"GCA_000281045.1","Stramenopiles",1156394,"Saprolegnia diclina VS20","M","H","H","H","H",NA,99,0,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Saprolegnia"
"10",10,10,"GCA_000296195.2","Stramenopiles",159749,"Thalassiosira oceanica",NA,NA,"H","H","M","H",89,7,"Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira"
"11",11,11,"GCA_000310025.1","Stramenopiles",2880,"Ectocarpus siliculosus",NA,"H","H","H","H",NA,97,3,"Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus"
"12",12,12,"GCA_000333075.3","Stramenopiles",1284355,"Phytophthora kernoviae 00238/432","M","H","M","H","H",NA,95,4,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"13",13,13,"GCA_000365505.1","Stramenopiles",1317065,"Phytophthora nicotianae P1569","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"14",14,14,"GCA_000365525.1","Stramenopiles",1317066,"Phytophthora nicotianae P1976","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"15",15,15,"GCA_000365545.1","Stramenopiles",1317063,"Phytophthora nicotianae CJ01A1","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"16",16,16,"GCA_000367145.1","Stramenopiles",1317064,"Phytophthora nicotianae P10297","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"17",17,17,"GCA_000509465.1","Stramenopiles",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"18",18,18,"GCA_000509485.1","Stramenopiles",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"19",19,19,"GCA_000509505.1","Stramenopiles",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"20",20,20,"GCA_000509525.1","Stramenopiles",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"21",21,21,"GCA_000520075.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,100,0,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"22",22,22,"GCA_000520115.1","Stramenopiles",157072,"Aphanomyces invadans","M","H","H","H","H",NA,99,1,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"23",23,23,"GCA_000569095.1","Stramenopiles",72520,"Nannochloropsis gaditana",NA,NA,"H","H","H","H",86,9,"Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis"
"24",24,24,"GCA_000743755.1","Stramenopiles",944170,"Blastocystis sp. subtype 4",NA,"H","H","H","M",NA,98,2,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"25",25,25,"GCA_000785725.3","Stramenopiles",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,96,3,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"26",26,26,"GCA_000785735.3","Stramenopiles",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,95,3,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"27",27,27,"GCA_001029375.2","Stramenopiles",114742,"Pythium insidiosum","M","H","H","H","H",NA,94,4,NA,"Oomycota","Pythiales","Pythiaceae","Pythium"
"28",28,28,"GCA_001078535.1","Stramenopiles",65357,"Albugo candida","M","H","H","H","H",NA,99,1,NA,"Oomycota","Albuginales","Albuginaceae","Albugo"
"29",29,29,"GCA_001482985.1","Stramenopiles",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,91,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"30",30,30,"GCA_001483015.1","Stramenopiles",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,99,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"31",31,31,"GCA_001651215.1","Stramenopiles",478820,"Blastocystis sp. ATCC 50177/Nand II",NA,"H","H","H","M",NA,99,0,"Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"32",32,32,"GCA_001707905.2","Stramenopiles",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,96,3,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"33",33,33,"GCA_001712635.2","Stramenopiles",2483409,"Nothophytophthora sp. Chile5",NA,"H","H","H","H",NA,89,4,NA,"Oomycota","Peronosporales","Peronosporaceae","Nothophytophthora"
"34",34,34,"GCA_001712645.2","Stramenopiles",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,96,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"35",35,35,"GCA_001712705.2","Stramenopiles",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,96,2,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"36",36,36,"GCA_001712715.2","Stramenopiles",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,95,3,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"37",37,37,"GCA_001750085.1","Stramenopiles",635003,"Fragilariopsis cylindrus CCMP1102",NA,NA,"H","H","H",NA,94,5,"Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Fragilariopsis"
"38",38,38,"GCA_002081575.1","Stramenopiles",74557,"Thraustotheca clavata","M","H","H","H","H",NA,100,0,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Thraustotheca"
"39",39,39,"GCA_002081595.1","Stramenopiles",1202772,"Achlya hypogyna","M","H","H","H","H",NA,99,1,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Achlya"
"40",40,40,"GCA_002197585.2","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,85,9,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"41",41,41,"GCA_002215365.1","Stramenopiles",4795,"Phytophthora megakarya","M",NA,"H","H",NA,NA,91,3,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"42",42,42,"GCA_002217885.1","Stramenopiles",1519565,"Fistulifera solaris",NA,NA,"H","H","H",NA,97,1,"Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Fistulifera"
"43",43,43,"GCA_002897355.1","Stramenopiles",2315210,"Hondaea fermentalgiana",NA,"H","H","H","H",NA,95,2,"Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Hondaea"
"44",44,44,"GCA_002911725.1","Stramenopiles",4796,"Phytophthora palmivora","L","H","M","H","H",NA,81,12,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"45",45,45,"GCA_003287315.1","Stramenopiles",29920,"Phytophthora cactorum","M","H","H","H","H",NA,100,0,NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"46",46,46,"GCA_003546525.1","Stramenopiles",157072,"Aphanomyces invadans","M","H","H","H","H",NA,76,11,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"47",47,47,"GCA_003546545.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,80,12,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"48",48,48,"GCA_003546565.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,82,12,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"49",49,49,"GCA_003546585.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,82,11,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"50",50,50,"GCA_003546605.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,79,14,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"51",51,51,"GCA_003546625.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,84,9,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"52",52,52,"GCA_003546765.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,86,11,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"53",53,53,"GCA_003546785.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,74,13,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"54",54,54,"GCA_003546805.1","Stramenopiles",112090,"Aphanomyces astaci","M","H","H","H","H",NA,84,8,NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
