tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EDL46846.1, -, PTHR11139.orig.30.pi, -,3.4e-12,43.1,0.0,1.2e-11,41.3,0.0,GCA_000002415.2
EDL44077.1, -, PTHR11139.orig.30.pi, -,1.1e-11,41.3,3.4,1.1e-11,41.3,3.4,GCA_000002415.2
EDL43543.1, -, PTHR11139.orig.30.pi, -,1.1e-10,38.1,0.0,3.1e-10,36.6,0.0,GCA_000002415.2
EDL45382.1, -, PTHR11139.orig.30.pi, -,9.1e-09,31.7,0.0,1.4e-08,31.1,0.0,GCA_000002415.2
EDL44218.1, -, PTHR11139.orig.30.pi, -,0.0069,12.2,0.3,0.0078,12.0,0.3,GCA_000002415.2
EDL45695.1, -, PTHR11139.orig.30.pi, -,0.0072,12.1,4.6,0.0079,12.0,4.6,GCA_000002415.2
CAD51517.1, -, PTHR11139.orig.30.pi, -,4.9e-15,52.5,1.0,1.2e-14,51.2,1.0,GCA_000002765.3
CAX51867.2, -, PTHR11139.orig.30.pi, -,3.6e-10,36.4,0.0,5e-10,35.9,0.0,GCA_000002765.3
CAD51463.1, -, PTHR11139.orig.30.pi, -,2e-09,33.9,0.0,6e-09,32.3,0.0,GCA_000002765.3
CZT99416.1, -, PTHR11139.orig.30.pi, -,0.26,6.9,5.0,2.8,3.6,0.0,GCA_000002765.3
EAA22859.1, -, PTHR11139.orig.30.pi, -,1.2e-15,55.1,0.7,2.5e-15,54.0,0.7,GCA_000003085.2
EAA21348.1, -, PTHR11139.orig.30.pi, -,1.5e-10,38.1,0.8,3.4e-09,33.7,0.3,GCA_000003085.2
EAA15852.1, -, PTHR11139.orig.30.pi, -,2.1e-08,31.0,0.1,6.2e-08,29.5,0.1,GCA_000003085.2
EAA17511.1, -, PTHR11139.orig.30.pi, -,0.00047,16.6,0.5,0.11,8.7,0.1,GCA_000003085.2
EAA20453.1, -, PTHR11139.orig.30.pi, -,0.0011,15.4,4.4,0.0012,15.2,4.4,GCA_000003085.2
CAI76684.1, -, PTHR11139.orig.30.pi, -,1.8e-49,166.3,5.0,1.8e-49,166.3,5.0,GCA_000003225.1
CAI74196.1, -, PTHR11139.orig.30.pi, -,8.4e-30,101.0,0.1,1.8e-25,86.6,0.0,GCA_000003225.1
CAI73280.1, -, PTHR11139.orig.30.pi, -,8.4e-10,34.6,0.1,8.4e-10,34.6,0.1,GCA_000003225.1
CAI76428.1, -, PTHR11139.orig.30.pi, -,1.6e-08,30.4,2.8,1.6e-08,30.4,2.8,GCA_000003225.1
CAI76513.1, -, PTHR11139.orig.30.pi, -,0.0003,16.2,2.2,0.0026,13.1,2.2,GCA_000003225.1
CAI76906.1, -, PTHR11139.orig.30.pi, -,0.0018,13.6,0.1,0.0028,13.0,0.1,GCA_000003225.1
CAA9988685.1, -, PTHR11139.orig.30.pi, -,3.3e-13,46.4,3.2,4.4e-13,46.0,0.6,GCA_000006355.3
CAA9988742.1, -, PTHR11139.orig.30.pi, -,2.6e-10,36.8,0.0,8.8e-10,35.1,0.0,GCA_000006355.3
CAA9987012.1, -, PTHR11139.orig.30.pi, -,7.2e-09,32.0,0.1,1.5e-08,31.0,0.1,GCA_000006355.3
CAA9990639.1, -, PTHR11139.orig.30.pi, -,7.6e-08,28.6,0.0,0.00034,16.5,0.1,GCA_000006355.3
CAA9988382.1, -, PTHR11139.orig.30.pi, -,0.012,11.4,0.0,0.018,10.8,0.0,GCA_000006355.3
CAA9989667.1, -, PTHR11139.orig.30.pi, -,0.05,9.3,9.2,0.011,11.6,4.2,GCA_000006355.3
CAA9988333.1, -, PTHR11139.orig.30.pi, -,0.12,8.0,2.0,0.16,7.7,2.0,GCA_000006355.3
EER05739.1, -, PTHR11139.orig.30.pi, -,0.0,1096.2,19.2,0.0,1095.8,19.2,GCA_000006405.1
EER05115.1, -, PTHR11139.orig.30.pi, -,2.9e-107,360.6,0.0,3e-108,360.4,0.0,GCA_000006405.1
EER18323.1, -, PTHR11139.orig.30.pi, -,3.5e-50,171.2,0.3,3.5e-50,171.2,0.3,GCA_000006405.1
EER06532.1, -, PTHR11139.orig.30.pi, -,7.7e-40,136.9,0.2,8.7e-40,136.7,0.2,GCA_000006405.1
EER10536.1, -, PTHR11139.orig.30.pi, -,5.7e-26,90.9,0.3,1.2e-25,89.8,0.1,GCA_000006405.1
EER03280.1, -, PTHR11139.orig.30.pi, -,4.3e-14,51.5,1.4,1.6e-13,49.6,0.3,GCA_000006405.1
EER15349.1, -, PTHR11139.orig.30.pi, -,1.4e-07,29.9,2.3,0.00014,20.0,1.7,GCA_000006405.1
EER05740.1, -, PTHR11139.orig.30.pi, -,6.6e-07,27.7,0.1,6.8e-07,27.6,0.1,GCA_000006405.1
EER09232.1, -, PTHR11139.orig.30.pi, -,1.3e-06,26.7,0.3,3.2e-06,25.4,0.0,GCA_000006405.1
EEQ99987.1, -, PTHR11139.orig.30.pi, -,1.9e-06,26.1,0.1,2.5e-06,25.7,0.1,GCA_000006405.1
EER00341.1, -, PTHR11139.orig.30.pi, -,5.2e-06,24.7,1.1,5.8e-06,24.5,0.1,GCA_000006405.1
EER05239.1, -, PTHR11139.orig.30.pi, -,0.00082,17.4,1.2,0.0011,17.0,1.2,GCA_000006405.1
EER19209.1, -, PTHR11139.orig.30.pi, -,0.0019,16.2,1.0,0.0023,15.9,1.0,GCA_000006405.1
EER05270.1, -, PTHR11139.orig.30.pi, -,0.0021,16.0,0.0,0.0065,14.4,0.0,GCA_000006405.1
EER10761.1, -, PTHR11139.orig.30.pi, -,0.0028,15.6,0.0,0.012,13.5,0.0,GCA_000006405.1
EER20601.1, -, PTHR11139.orig.30.pi, -,0.054,11.4,0.1,0.097,10.5,0.1,GCA_000006405.1
EER12366.1, -, PTHR11139.orig.30.pi, -,0.093,10.6,0.1,0.16,9.8,0.1,GCA_000006405.1
EER07800.1, -, PTHR11139.orig.30.pi, -,0.13,10.1,0.8,0.14,10.0,0.8,GCA_000006405.1
EER15821.1, -, PTHR11139.orig.30.pi, -,0.26,9.1,5.0,4.4,5.0,0.0,GCA_000006405.1
EER16117.1, -, PTHR11139.orig.30.pi, -,0.34,8.7,0.8,0.45,8.3,0.8,GCA_000006405.1
EEA06018.1, -, PTHR11139.orig.30.pi, -,2.7e-134,447.7,12.5,7e-135,447.7,12.5,GCA_000006515.1
EEA06324.1, -, PTHR11139.orig.30.pi, -,6.7e-91,303.7,91.9,7e-91,303.7,12.9,GCA_000006515.1
EEA06322.1, -, PTHR11139.orig.30.pi, -,2.8e-15,52.9,7.7,3.2e-15,52.7,1.2,GCA_000006515.1
EEA05113.1, -, PTHR11139.orig.30.pi, -,3.2e-07,26.1,5.5,3.8e-06,22.5,0.0,GCA_000006515.1
EEA08004.1, -, PTHR11139.orig.30.pi, -,6.7e-07,25.1,0.0,1.9e-06,23.6,0.0,GCA_000006515.1
EEA07498.1, -, PTHR11139.orig.30.pi, -,0.00067,15.1,0.6,0.0017,13.7,0.3,GCA_000006515.1
EEA06996.1, -, PTHR11139.orig.30.pi, -,2.9,3.1,10.4,4.0,2.6,10.4,GCA_000006515.1
