Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000002435.2	UU_WB_2.1	Giardia intestinalis	5741	12078186	Chromosome
GCA_000497125.2	ASM49712v2	Spironucleus salmonicida	348837	14545911	Chromosome
GCA_006247105.1	UU_GM_1.1	Giardia muris	5742	9777924	Chromosome
GCA_963988835.2	Hexamita_inflata_n_2024_07_v3	Hexamita inflata	28002	142673955	Scaffold
GCA_003568945.1	KIPB_1.0	Kipferlia bialata	797122	51027740	Scaffold
GCA_024181965.1	APAL_1.0	Aduncisulcus paluster	2918883	29553547	Scaffold
GCA_019828565.1	ASM1982856v1	Carpediemonas membranifera	201153	24237836	Scaffold
GCA_000498715.1	ASM49871v1	Giardia intestinalis	5741	10703894	Contig
GCA_000498735.1	ASM49873v1	Giardia intestinalis	5741	12009633	Contig
GCA_001543975.1	G_duodenalis_AssB_BAH15c1	Giardia intestinalis assemblage B	1394984	10396494	Scaffold
GCA_000182665.1	ASM18266v1	Giardia lamblia P15	658858	11522052	Contig
GCA_000182405.1	ASM18240v1	Giardia intestinalis ATCC 50581	598745	11001532	Contig
