Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000002435.2	UU_WB_2.1	Giardia intestinalis	5741	12078186	Chromosome
GCA_026262505.1	NYU_TvagG3_2	Trichomonas vaginalis G3	412133	181466644	Chromosome
GCA_000497125.2	ASM49712v2	Spironucleus salmonicida	348837	14545911	Chromosome
GCA_006247105.1	UU_GM_1.1	Giardia muris	5742	9777924	Chromosome
GCA_001839685.2	ASM183968v2	Tritrichomonas foetus	1144522	67585029	Scaffold
GCA_020186115.1	ASM2018611v1	Histomonas meleagridis	135588	43414808	Scaffold
GCA_039105265.1	ASM3910526v1	Tritrichomonas musculus	1915356	193486829	Contig
GCA_001643675.2	ASM164367v2	Monocercomonoides exilis	2049356	82301135	Contig
GCA_027972325.1	PAPYR1.0	Paratrimastix pyriformis	342808	56627582	Scaffold
GCA_963988835.2	Hexamita_inflata_n_2024_07_v3	Hexamita inflata	28002	142673955	Scaffold
GCA_003568945.1	KIPB_1.0	Kipferlia bialata	797122	51027740	Scaffold
GCA_024181965.1	APAL_1.0	Aduncisulcus paluster	2918883	29553547	Scaffold
GCA_027625915.1	ASM2762591v1	Anaeramoeba flamelloides	1746091	254083758	Contig
GCA_040285745.1	ASM4028574v1	Barthelona sp. PCE	2654837	10234662	Contig
GCA_028826165.1	ASM2882616v1	Anaeramoeba ignava	1746090	42843398	Contig
GCA_019828565.1	ASM1982856v1	Carpediemonas membranifera	201153	24237836	Scaffold
GCA_033064195.1	ASM3306419v1	Blattamonas nauphoetae	2049346	88537989	Contig
GCA_008636045.1	CUV_Sstr_1.0	Streblomastix strix	222440	152152197	Scaffold
GCA_000498715.1	ASM49871v1	Giardia intestinalis	5741	10703894	Contig
GCA_000498735.1	ASM49873v1	Giardia intestinalis	5741	12009633	Contig
GCA_001543975.1	G_duodenalis_AssB_BAH15c1	Giardia intestinalis assemblage B	1394984	10396494	Scaffold
GCA_000182665.1	ASM18266v1	Giardia lamblia P15	658858	11522052	Contig
GCA_000182405.1	ASM18240v1	Giardia intestinalis ATCC 50581	598745	11001532	Contig
GCA_000002825.3	ASM282v3	Trichomonas vaginalis G3	412133	176420065	Scaffold
GCA_020184695.1	ASM2018469v1	Histomonas meleagridis	135588	43133364	Contig
GCA_028892595.1	DAL_ANA_SC	Anaeramoeba flamelloides	1746091	259028678	Contig
