tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
EEY66214.1,-,PTHR13298.orig.30.pi,-,0.0,1114.3,0.0,0.0,1114.0,0.0
EEY66144.1,-,PTHR13298.orig.30.pi,-,0.048,10.9,0.0,0.065,10.5,0.0
EEY65834.1,-,PTHR13298.orig.30.pi,-,0.19,9.0,0.0,0.46,7.7,0.0
EEY55368.1,-,PTHR13298.orig.30.pi,-,0.34,8.1,4.5,0.51,7.5,0.2
EED95072.1,-,PTHR13298.orig.30.pi,-,0.00065,16.5,1.5,0.00075,16.3,1.5
EED92002.1,-,PTHR13298.orig.30.pi,-,0.027,11.1,0.4,0.59,6.7,0.0
EED88719.1,-,PTHR13298.orig.30.pi,-,0.16,8.5,4.0,0.092,9.4,0.7
EGZ28645.1,-,PTHR13298.orig.30.pi,-,0.0,1122.5,0.0,0.0,1122.1,0.0
EGZ29017.1,-,PTHR13298.orig.30.pi,-,0.0068,14.3,7.0,0.026,12.4,0.0
EGZ18906.1,-,PTHR13298.orig.30.pi,-,0.013,13.3,0.1,0.039,11.8,0.0
EGZ28174.1,-,PTHR13298.orig.30.pi,-,0.069,10.9,1.7,6.0,4.5,0.0
EGZ07108.1,-,PTHR13298.orig.30.pi,-,0.094,10.5,0.3,0.097,10.5,0.3
EGZ26191.1,-,PTHR13298.orig.30.pi,-,0.18,9.6,2.5,0.24,9.1,0.7
EGZ28203.1,-,PTHR13298.orig.30.pi,-,0.25,9.1,0.0,0.73,7.6,0.0
EEC47119.1,-,PTHR13298.orig.30.pi,-,0.00064,16.3,4.2,0.00079,16.0,4.2
ACI65309.1,-,PTHR13298.orig.30.pi,-,0.014,11.9,0.9,0.069,9.6,0.1
EEC46037.1,-,PTHR13298.orig.30.pi,-,0.015,11.8,0.0,0.018,11.5,0.0
EEC51514.1,-,PTHR13298.orig.30.pi,-,0.026,11.0,0.0,0.066,9.7,0.0
EEC46783.1,-,PTHR13298.orig.30.pi,-,0.05,10.1,0.0,0.12,8.8,0.0
KDO20660.1,-,PTHR13298.orig.30.pi,-,1e-266,883.3,0.0,4e-266,882.3,0.0
KDO29672.1,-,PTHR13298.orig.30.pi,-,0.025,12.0,0.1,0.039,11.4,0.1
KDO32727.1,-,PTHR13298.orig.30.pi,-,0.038,11.4,1.0,0.047,11.1,1.0
KDO22841.1,-,PTHR13298.orig.30.pi,-,0.084,10.3,4.8,8.7,3.6,0.0
KDO20756.1,-,PTHR13298.orig.30.pi,-,0.18,9.2,0.2,0.27,8.6,0.2
KDO31191.1,-,PTHR13298.orig.30.pi,-,0.21,8.9,0.8,0.005,14.3,3.1
KDO32303.1,-,PTHR13298.orig.30.pi,-,0.33,8.3,0.5,0.48,7.8,0.5
KDO29401.1,-,PTHR13298.orig.30.pi,-,0.45,7.9,0.1,1.3,6.4,0.4
KDO29844.1,-,PTHR13298.orig.30.pi,-,0.59,7.5,2.0,13.0,3.0,0.2
KDO29389.1,-,PTHR13298.orig.30.pi,-,0.79,7.0,0.6,0.5,7.7,1.6
KDO23550.1,-,PTHR13298.orig.30.pi,-,2.2,5.6,6.0,0.35,8.2,2.4
CBK24979.2,-,PTHR13298.orig.30.pi,-,4e-103,342.3,2.3,1e-103,341.7,2.3
CBK24502.2,-,PTHR13298.orig.30.pi,-,2.5e-33,112.9,1.1,3.3e-33,112.6,1.1
CBK24503.2,-,PTHR13298.orig.30.pi,-,1.2e-25,87.5,0.7,1.6e-25,87.1,0.7
CBK20489.2,-,PTHR13298.orig.30.pi,-,0.2,7.3,3.9,0.16,7.6,2.7
EGB02136.1,-,PTHR13298.orig.30.pi,-,0.001,15.8,0.3,0.031,10.9,0.0
EGB02195.1,-,PTHR13298.orig.30.pi,-,0.001,15.8,1.6,0.092,9.3,0.1
EGB12370.1,-,PTHR13298.orig.30.pi,-,0.002,14.9,0.1,0.053,10.1,0.0
EGB11333.1,-,PTHR13298.orig.30.pi,-,0.013,12.2,1.3,0.53,6.8,0.2
EGB10280.1,-,PTHR13298.orig.30.pi,-,0.025,11.2,1.2,0.028,11.1,0.0
EGB06424.1,-,PTHR13298.orig.30.pi,-,0.03,11.0,0.6,0.75,6.3,0.0
EGB10846.1,-,PTHR13298.orig.30.pi,-,0.044,10.4,2.3,4.5,3.8,0.2
EGB06027.1,-,PTHR13298.orig.30.pi,-,0.064,9.9,0.0,0.068,9.8,0.0
EGB02633.1,-,PTHR13298.orig.30.pi,-,0.08,9.5,0.0,3.9,4.0,0.0
EKU21114.1,-,PTHR13298.orig.30.pi,-,0.00013,17.1,0.7,0.0068,11.4,0.2
ETN07310.1,-,PTHR13298.orig.30.pi,-,0.0,1116.0,0.0,0.0,1115.7,0.0
ETN18566.1,-,PTHR13298.orig.30.pi,-,0.012,13.5,0.3,0.018,13.0,0.3
ETN05258.1,-,PTHR13298.orig.30.pi,-,0.24,9.2,0.0,0.76,7.6,0.0
ETN07001.1,-,PTHR13298.orig.30.pi,-,0.33,8.8,1.5,4.6,5.0,0.3
EQC36467.1,-,PTHR13298.orig.30.pi,-,6e-263,871.2,0.0,9e-262,870.1,0.0
EQC37272.1,-,PTHR13298.orig.30.pi,-,2.7e-06,25.0,1.4,0.013,12.8,0.0
EQC37284.1,-,PTHR13298.orig.30.pi,-,0.0029,15.0,1.9,0.068,10.4,0.0
EQC36541.1,-,PTHR13298.orig.30.pi,-,0.016,12.5,3.5,0.028,11.7,3.5
EQC38880.1,-,PTHR13298.orig.30.pi,-,0.023,12.0,0.2,0.036,11.4,0.2
EQC25021.1,-,PTHR13298.orig.30.pi,-,1.7,5.8,3.5,7.9,3.6,0.5
EJK61197.1,-,PTHR13298.orig.30.pi,-,0.00075,17.8,0.4,0.00093,17.5,0.4
EJK44086.1,-,PTHR13298.orig.30.pi,-,0.082,11.1,2.9,14.0,3.7,0.4
CBN77350.1,-,PTHR13298.orig.30.pi,-,2e-156,519.5,0.0,1.8e-89,300.4,0.0
CBJ31341.1,-,PTHR13298.orig.30.pi,-,0.035,11.2,0.0,0.035,11.2,0.0
CBN74149.1,-,PTHR13298.orig.30.pi,-,0.038,11.1,0.2,0.056,10.5,0.2
CBN75745.1,-,PTHR13298.orig.30.pi,-,0.07,10.2,2.0,0.67,7.0,0.3
CBJ28776.1,-,PTHR13298.orig.30.pi,-,0.24,8.5,1.6,0.58,7.2,0.2
CBJ29191.1,-,PTHR13298.orig.30.pi,-,0.33,8.0,2.8,5.2,4.0,0.4
CBJ28683.1,-,PTHR13298.orig.30.pi,-,2.3,5.2,3.8,8.3,3.4,0.1
CBJ27535.1,-,PTHR13298.orig.30.pi,-,6.0,3.8,1.3,3.4,4.6,2.4
KAF4322931.1,-,PTHR13298.orig.30.pi,-,9e-266,881.6,3.2,2e-244,810.5,0.6
KAF4316815.1,-,PTHR13298.orig.30.pi,-,0.026,11.2,0.0,2.6,4.6,0.0
KAF4319787.1,-,PTHR13298.orig.30.pi,-,0.03,11.0,0.8,0.47,7.0,0.3
KAF4325022.1,-,PTHR13298.orig.30.pi,-,0.11,9.1,0.0,0.29,7.7,0.0
ETI43479.1,-,PTHR13298.orig.30.pi,-,0.0,1103.4,0.0,0.0,1103.1,0.0
ETI36088.1,-,PTHR13298.orig.30.pi,-,0.012,13.5,0.3,0.018,13.0,0.3
ETI37634.1,-,PTHR13298.orig.30.pi,-,0.24,9.2,0.0,0.76,7.6,0.0
ETI56774.1,-,PTHR13298.orig.30.pi,-,0.31,8.9,0.8,22.0,2.7,0.0
ETI43757.1,-,PTHR13298.orig.30.pi,-,0.34,8.7,1.6,4.6,5.0,0.3
ETI41058.1,-,PTHR13298.orig.30.pi,-,1.5,6.6,6.9,1.6,6.5,0.1
ETO72123.1,-,PTHR13298.orig.30.pi,-,0.0,1116.0,0.0,0.0,1115.7,0.0
ETO64809.1,-,PTHR13298.orig.30.pi,-,0.012,13.5,0.3,0.018,13.0,0.3
ETO66428.1,-,PTHR13298.orig.30.pi,-,0.24,9.2,0.0,0.76,7.6,0.0
ETO85506.1,-,PTHR13298.orig.30.pi,-,0.31,8.9,0.8,22.0,2.7,0.0
ETO72433.1,-,PTHR13298.orig.30.pi,-,0.35,8.7,1.6,4.6,5.0,0.3
ETO69712.1,-,PTHR13298.orig.30.pi,-,3.5,5.4,6.2,1.5,6.6,0.1
ETP13305.1,-,PTHR13298.orig.30.pi,-,0.0,1103.3,0.0,0.0,1102.9,0.0
ETP05899.1,-,PTHR13298.orig.30.pi,-,0.05,11.5,0.3,0.075,10.9,0.3
ETP10803.1,-,PTHR13298.orig.30.pi,-,0.073,11.0,2.4,1.1,7.0,0.1
ETP07543.1,-,PTHR13298.orig.30.pi,-,0.24,9.2,0.0,0.76,7.6,0.0
ETP13568.1,-,PTHR13298.orig.30.pi,-,0.33,8.8,1.6,4.6,5.0,0.3
ETP41369.1,-,PTHR13298.orig.30.pi,-,0.0,1103.4,0.0,0.0,1103.1,0.0
ETP34019.1,-,PTHR13298.orig.30.pi,-,0.012,13.5,0.3,0.018,13.0,0.3
ETP35571.1,-,PTHR13298.orig.30.pi,-,0.24,9.2,0.0,0.76,7.6,0.0
ETP41631.1,-,PTHR13298.orig.30.pi,-,0.33,8.8,1.6,4.6,5.0,0.3
ETP38949.1,-,PTHR13298.orig.30.pi,-,3.5,5.4,6.2,1.5,6.6,0.1
ETP35620.1,-,PTHR13298.orig.30.pi,-,6.4,4.5,4.5,13.0,3.5,0.0
ETP35619.1,-,PTHR13298.orig.30.pi,-,6.8,4.4,4.4,13.0,3.5,0.0
ETK83562.1,-,PTHR13298.orig.30.pi,-,0.0,1103.8,0.0,0.0,1103.4,0.0
ETK76311.1,-,PTHR13298.orig.30.pi,-,0.0053,14.7,0.3,0.0076,14.1,0.3
ETK94144.1,-,PTHR13298.orig.30.pi,-,0.12,10.2,0.0,0.12,10.2,0.0
ETK77900.1,-,PTHR13298.orig.30.pi,-,0.23,9.2,0.0,0.73,7.6,0.0
ETK96559.1,-,PTHR13298.orig.30.pi,-,0.3,8.9,0.8,21.0,2.7,0.0
ETK83823.1,-,PTHR13298.orig.30.pi,-,0.31,8.8,1.5,4.4,5.0,0.3
