tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
MES1916822.1, -, PTHR13335.orig.30.pi, -,2.4e-14,52.5,21.7,2.4e-14,52.5,21.7,GCA_040357565.1
MES1912382.1, -, PTHR13335.orig.30.pi, -,1.5e-07,30.1,39.2,1.5e-07,30.1,39.2,GCA_040357565.1
MES1907688.1, -, PTHR13335.orig.30.pi, -,3.9e-07,28.7,12.3,3.9e-07,28.7,12.3,GCA_040357565.1
MES1907689.1, -, PTHR13335.orig.30.pi, -,4.4e-07,28.6,13.3,4.4e-07,28.6,13.3,GCA_040357565.1
MES1911840.1, -, PTHR13335.orig.30.pi, -,3.6e-06,25.5,2.4,3.6e-06,25.5,2.4,GCA_040357565.1
MES1909399.1, -, PTHR13335.orig.30.pi, -,5.1e-06,25.0,15.4,7.9e-06,24.4,15.4,GCA_040357565.1
MES1917132.1, -, PTHR13335.orig.30.pi, -,5.5e-06,24.9,14.9,7.1e-06,24.6,14.9,GCA_040357565.1
MES1909448.1, -, PTHR13335.orig.30.pi, -,7.4e-05,21.2,6.9,0.00017,20.0,5.0,GCA_040357565.1
MES1909541.1, -, PTHR13335.orig.30.pi, -,8.9e-05,20.9,3.6,8.9e-05,20.9,3.6,GCA_040357565.1
MES1917427.1, -, PTHR13335.orig.30.pi, -,0.00021,19.7,15.6,0.00021,19.7,15.6,GCA_040357565.1
MES1915779.1, -, PTHR13335.orig.30.pi, -,0.00037,18.9,3.1,0.00037,18.9,3.1,GCA_040357565.1
MES1912515.1, -, PTHR13335.orig.30.pi, -,0.00039,18.8,13.6,0.00039,18.8,13.6,GCA_040357565.1
MES1912976.1, -, PTHR13335.orig.30.pi, -,0.00061,18.2,5.7,0.00073,17.9,5.7,GCA_040357565.1
MES1912516.1, -, PTHR13335.orig.30.pi, -,0.00073,17.9,14.4,0.00073,17.9,14.4,GCA_040357565.1
MES1917323.1, -, PTHR13335.orig.30.pi, -,0.00074,17.9,8.8,0.0057,15.0,8.9,GCA_040357565.1
MES1910238.1, -, PTHR13335.orig.30.pi, -,0.00077,17.9,3.0,0.0011,17.4,3.0,GCA_040357565.1
MES1911741.1, -, PTHR13335.orig.30.pi, -,0.0011,17.3,10.5,0.0011,17.3,10.5,GCA_040357565.1
MES1917075.1, -, PTHR13335.orig.30.pi, -,0.0018,16.6,16.7,0.0017,16.7,16.7,GCA_040357565.1
MES1911333.1, -, PTHR13335.orig.30.pi, -,0.002,16.5,9.6,0.0024,16.2,9.6,GCA_040357565.1
MES1909212.1, -, PTHR13335.orig.30.pi, -,0.0029,15.9,9.2,0.004,15.5,9.2,GCA_040357565.1
MES1913869.1, -, PTHR13335.orig.30.pi, -,0.0033,15.7,1.4,0.0032,15.8,1.4,GCA_040357565.1
MES1907450.1, -, PTHR13335.orig.30.pi, -,0.0063,14.8,11.3,0.0078,14.5,11.3,GCA_040357565.1
MES1907449.1, -, PTHR13335.orig.30.pi, -,0.0097,14.2,13.3,0.012,13.9,13.3,GCA_040357565.1
MES1908939.1, -, PTHR13335.orig.30.pi, -,0.012,13.9,21.5,0.015,13.6,21.5,GCA_040357565.1
