tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
CDO65259.1, -, PTHR19842.orig.30.pi, -,9.4e-38,128.2,21.3,3.2e-18,64.0,0.2,GCA_000723685.1
CDO64035.1, -, PTHR19842.orig.30.pi, -,2.1e-36,123.8,8.5,7.4e-17,59.5,1.3,GCA_000723685.1
CDO62989.1, -, PTHR19842.orig.30.pi, -,3.1e-35,119.9,6.1,8.3e-21,72.5,2.2,GCA_000723685.1
CDO62448.1, -, PTHR19842.orig.30.pi, -,6.6e-29,99.1,3.1,4e-17,60.4,1.7,GCA_000723685.1
CDO63799.1, -, PTHR19842.orig.30.pi, -,1e-26,92.0,19.8,3.3e-11,40.9,0.0,GCA_000723685.1
CDO63996.1, -, PTHR19842.orig.30.pi, -,5.9e-26,89.4,0.8,5.9e-15,53.3,0.1,GCA_000723685.1
CDO65478.1, -, PTHR19842.orig.30.pi, -,7.8e-26,89.0,7.4,3.4e-12,44.2,2.2,GCA_000723685.1
CDO62201.1, -, PTHR19842.orig.30.pi, -,9.3e-24,82.2,0.2,2.3e-23,80.9,0.2,GCA_000723685.1
CDO62741.1, -, PTHR19842.orig.30.pi, -,2.4e-23,80.8,2.0,4.3e-15,53.7,0.6,GCA_000723685.1
CDO64119.1, -, PTHR19842.orig.30.pi, -,3.2e-23,80.4,1.4,1.6e-19,68.3,1.5,GCA_000723685.1
CDO62513.1, -, PTHR19842.orig.30.pi, -,2.5e-22,77.5,15.1,1.3e-11,42.3,0.1,GCA_000723685.1
CDO65685.1, -, PTHR19842.orig.30.pi, -,4e-22,76.8,6.0,1.6e-12,45.3,0.6,GCA_000723685.1
CDO65906.1, -, PTHR19842.orig.30.pi, -,3.5e-21,73.8,0.8,1.2e-10,39.1,0.0,GCA_000723685.1
CDO66223.1, -, PTHR19842.orig.30.pi, -,1.1e-20,72.1,18.3,1.7e-18,64.9,17.4,GCA_000723685.1
CDO64695.1, -, PTHR19842.orig.30.pi, -,2.3e-20,71.0,16.4,1.1e-18,65.6,4.7,GCA_000723685.1
CDO63255.1, -, PTHR19842.orig.30.pi, -,4.2e-20,70.2,3.6,1.9e-10,38.5,1.0,GCA_000723685.1
CDO66271.1, -, PTHR19842.orig.30.pi, -,9e-20,69.1,3.5,4.5e-13,47.1,1.6,GCA_000723685.1
CDO66944.1, -, PTHR19842.orig.30.pi, -,4.3e-19,66.9,31.3,2.8e-08,31.4,0.0,GCA_000723685.1
CDO66899.1, -, PTHR19842.orig.30.pi, -,3.3e-17,60.7,1.4,1.7e-10,38.6,0.0,GCA_000723685.1
CDO63809.1, -, PTHR19842.orig.30.pi, -,1.2e-16,58.8,3.4,9e-09,33.0,0.1,GCA_000723685.1
CDO65650.1, -, PTHR19842.orig.30.pi, -,9.7e-16,55.8,16.5,6.8e-10,36.6,5.0,GCA_000723685.1
CDO63626.1, -, PTHR19842.orig.30.pi, -,1.3e-15,55.4,0.0,2.8e-06,24.8,0.1,GCA_000723685.1
CDO66800.1, -, PTHR19842.orig.30.pi, -,2.6e-15,54.4,7.0,6.1e-09,33.5,2.5,GCA_000723685.1
