Assembly Accession,Assembly Name,Organism Name,Organism_Taxonomic_ID,Assembly Stats Total Sequence Length,Assembly Level
GCA_021491655.1,ASM2149165v1,Peronospora effusa,542832,58578433,Chromosome
GCA_000150955.2,ASM15095v2,Phaeodactylum tricornutum CCAP 1055/1,556484,27450724,Chromosome
GCA_000149405.2,ASM14940v2,Thalassiosira pseudonana CCMP1335,296543,32437365,Chromosome
GCA_000310025.1,ASM31002v1,Ectocarpus siliculosus,2880,195810619,Chromosome
GCA_004359215.2,BlacSF5v2,Bremia lactucae,4779,115935664,Chromosome
GCA_026184515.1,PsorP6_UCD_v1,Peronosclerospora sorghi,230839,325250994,Chromosome
GCA_000142945.1,ASM14294v1,Phytophthora infestans T30-4,403677,228543505,Scaffold
GCA_027923505.1,Mpse_1.0,Mayamaea pseudoterrestris,2872254,30627229,Contig
GCA_018873745.1,NZ4037v1,Phytophthora aleatoria,2496075,50587315,Scaffold
GCA_030267785.1,ASM3026778v1,Phytophthora fragariaefolia,1490495,85995646,Contig
GCA_000149755.2,P.sojae V3.0,Phytophthora sojae,67593,82597641,Scaffold
GCA_000247585.2,PP_INRA-310_V2,Phytophthora nicotianae INRA-310,761204,82389172,Scaffold
GCA_020800215.1,PR-102_v3_p,Phytophthora ramorum,164328,57451392,Scaffold
GCA_016864655.1,ASM1686465v1,Phytophthora cactorum,29920,65959694,Contig
GCA_000240725.1,ASM24072v1,Nannochloropsis gaditana CCMP526,1093141,33986952,Scaffold
GCA_000186865.1,v 1.0,Aureococcus anophagefferens,44056,56660572,Scaffold
GCA_018691715.1,ASM1869171v1,Phytophthora cinnamomi,4785,109702272,Scaffold
GCA_000151665.1,ASM15166v1,Blastocystis hominis,12968,18817245,Scaffold
GCA_900660405.1,ASM90066040v1,Pseudo-nitzschia multistriata,183589,56765209,Scaffold
GCA_900000015.1,Plasmopara halstedii genome,Plasmopara halstedii,4781,75321785,Scaffold
GCA_006386115.1,DCB_P.spl,Globisporangium splendens,82926,53361008,Scaffold
GCA_000520075.1,Apha_asta_APO3_V1,Aphanomyces astaci,112090,75844385,Scaffold
GCA_004565275.1,ASM456527v1,Nannochloropsis salina CCMP1776,1027361,27600439,Scaffold
GCA_918797485.1,CNM_v1,Pelagomonas calceolata,35677,32445274,Contig
GCA_021527685.1,ASM2152768v1,Aphanomyces euteiches,100861,73284099,Contig
GCA_008330645.1,CrBVI,Cafeteria roenbergensis,33653,36283887,Contig
GCA_933822405.4,Cyc-CA1.15-REFERENCE-ANNOTATED,Cylindrotheca closterium,2856,55068444,Scaffold
GCA_903772945.1,Semro_V1,Seminavis robusta,568900,125572603,Scaffold
GCA_021927905.1,Cten210_1.0,Chaetoceros tenuissimus,426638,41001288,Scaffold
GCA_019155715.1,JHI_pseudo_1.0,Phytophthora pseudosyringae,221518,48923166,Scaffold
GCA_002081595.1,ACH_lane_v1,Achlya hypogyna,1202772,43398470,Scaffold
GCA_000520115.1,Apha_inva_NJM9701_V1,Aphanomyces invadans,157072,71402472,Scaffold
GCA_000743755.1,ASM74375v1,Blastocystis sp. subtype 4,944170,12919355,Scaffold
GCA_000151545.2,ASM15154v2,Saprolegnia parasitica CBS 223.65,695850,53093248,Scaffold
GCA_012489335.1,Parmale_b_g1,Triparma laevis f. inornata,1714386,42573550,Scaffold
GCA_031305395.1,STE-U-9442,Phytophthora citrophthora,4793,48424770,Scaffold
GCA_920618645.1,pbs3_v1,Peronospora belbahrii,622444,32894831,Contig
GCA_000281045.1,Sap_diclina_VS20_V1,Saprolegnia diclina VS20,1156394,62885792,Scaffold
GCA_002081575.1,Thrcla_v1,Thraustotheca clavata,74557,39100730,Scaffold
GCA_002215365.1,ASM221536v1,Phytophthora megakarya,4795,101504516,Scaffold
GCA_026770595.1,Ochro2298_1,Ochromonadaceae sp. CCMP2298,483371,61116754,Scaffold
GCA_019154785.2,GAI293_CANU_175m_combined,Nitzschia inconspicua,303405,99706970,Contig
GCA_019828595.1,UMN_Aphcoc_1.0,Aphanomyces cochlioides,112091,76219371,Contig
GCA_039096225.1,ASM3909622v1,Blastocystis sp. Blastoise,3128533,33340088,Contig
GCA_039096195.1,ASM3909619v1,Blastocystis sp. BT1,3128534,15276989,Scaffold
GCA_921007115.2,pm1_v2,Peronospora matthiolae,2874970,124125055,Contig
GCA_017506865.1,ASM1750686v1,Tribonema minus,303371,158345074,Contig
GCA_039096215.1,ASM3909621v1,Blastocystis sp. NMH,3128537,14631750,Contig
GCA_039096365.1,ASM3909636v1,Blastocystis sp. JDR,3128536,17519069,Contig
GCA_039096925.1,ASM3909692v1,Blastocystis sp. DL,3128535,13959358,Contig
GCA_947646735.1,Pf2,Peronospora farinosa,134698,48717171,Contig
GCA_947650285.1,Hp1,Hyaloperonospora brassicae,162125,102623141,Scaffold
GCA_029834535.1,CTAYLR_1.1,Chrysophaeum taylorii,2483200,70683391,Contig
GCA_022925895.1,ASM2292589v1,Fragilaria crotonensis,210448,61849504,Contig
GCA_030267905.1,TrVE_01,Triparma verrucosa,1606542,35535122,Scaffold
GCA_030267945.1,TrST_01,Triparma strigata,1606541,35156025,Scaffold
GCA_016880985.1,ASM1688098v1,Phytophthora idaei,53986,60469986,Scaffold
GCA_030267725.1,ASM3026772v1,Phytophthora lilii,2077276,49544847,Contig
GCA_009835185.1,As_578.67_v1,Aphanomyces stellatus,120398,62115503,Scaffold
GCA_030267965.1,TrCOL_01,Triparma columacea,722753,42982915,Scaffold
GCA_030267985.1,ScalyP_01,Parmales sp. scaly parma,2962637,30979897,Scaffold
GCA_001712635.2,PfChile5v2.0,Nothophytophthora sp. Chile5,2483409,84445542,Scaffold
GCA_026770575.1,Pelago2097_1,Pelagophyceae sp. CCMP2097,483370,85824453,Scaffold
GCA_902602495.3,Esub_Assebmy2,Ectocarpus sp. CCAP 1310/34,867726,242356113,Scaffold
