##,name,portal,NCBI Taxon,assembly length,#of genes,is restricted,is public,is published,is superseded,superseded by,publication(s),pubmed id(s),doi id(s)
1,Amoebophrya ceratii AT5.2,Amoce1_1,1775427,87690817,18158,N,Y,Y,N,,"John U et al.,2019",31032404,
2,Polarella glacialis CCMP2088,Polgl2088_1_1,89957,2147483647,34066,N,Y,Y,N,,"Stephens TG et al.,2020",32448240,
3,Polarella glacialis CCMP1383,Polgl1383_1_1,89957,2147483647,37736,N,Y,Y,N,,"Stephens TG et al.,2020",32448240,
4,Chromera velia CCMP2878,Chrveli1,1169474,193889730,24133,N,Y,Y,N,,"Woo YH et al.,2015",26175406,
5,Fugacium kawagutii CCMP2468,Fugka2468_1,2697096,1048482934,26609,N,Y,Y,N,,"Lin S et al.,2015~Liu H et al.,2018",26542574 30271976,
6,Cladocopium goreaui SCF055-01,Clago1,2562237,1027792016,35913,N,Y,Y,N,,"Liu H et al.,2018",30271976,
7,Breviolum minutum,Bremi1,2499525,609476485,47014,N,Y,Y,N,,"Shoguchi E et al.,2013",23850284,
8,Vitrella brassicaformis CCMP3155,Vitbras1,1169540,72700666,21239,N,Y,Y,N,,"Woo YH et al.,2015",26175406,
9,Tetrahymena thermophila SB210,Tetthe1,312017,103014375,26994,N,Y,Y,N,,"Eisen JA et al.,2006",16933976,
10,Plasmodium falciparum 3D7,Plafal1,36329,23326872,5392,N,Y,Y,N,,"Gardner MJ et al.,2002",12368864,
11,Toxoplasma gondii ME49,Toxgon1,508771,65668120,8318,N,Y,Y,N,,"Kissinger JC et al.,2003",12519989,
12,Oxytricha trifallax JRB310,Oxytri1,1172189,67158112,24578,N,Y,Y,N,,"Swart EC et al.,2013",23382650,
13,Paramecium tetraurelia d4_2,Partet1,412030,72094543,39580,N,Y,Y,N,,"Aury JM et al.,2006",17086204,
14,Symbiodinium microadriaticum CCMP2467,Symmic1,2951,808226712,43403,N,Y,Y,N,,"Aranda M et al.,2016",28004835,
