tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
, -, PTHR13298.orig.30.pi, -,2.6e-05,21.7,0.5,0.0041,14.4,0.0,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.00032,18.0,3.3,0.0016,15.7,0.1,Acuobl2326_1_RICTOR
ITY_DN3669_c2_g1_i1, -, PTHR13298.orig.30.pi, -,0.00094,16.5,5.0,0.005,14.1,0.3,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.0041,14.4,0.1,1.0,6.5,0.0,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.005,14.1,0.0,0.12,9.5,0.0,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.082,10.1,3.2,0.12,9.6,3.2,Acuobl2326_1_RICTOR
0179, -, PTHR13298.orig.30.pi, -,0.11,9.6,0.2,2.8,5.0,0.0,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.12,9.5,31.7,0.0052,14.0,1.7,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.14,9.3,3.6,1.1,6.4,0.3,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.16,9.1,0.0,0.18,8.9,0.0,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.28,8.3,2.7,0.25,8.4,0.3,Acuobl2326_1_RICTOR
NITY_DN1265_c1_g3_i, -, PTHR13298.orig.30.pi, -,0.35,8.0,0.6,9.0,3.3,0.1,Acuobl2326_1_RICTOR
, -, PTHR13298.orig.30.pi, -,0.48,7.5,5.3,0.25,8.5,0.1,Acuobl2326_1_RICTOR
O_transcript/6034, -, PTHR13298.orig.30.pi, -,0.83,6.7,2.1,0.85,6.7,0.4,Acuobl2326_1_RICTOR
ITY_DN1304_c13_g1_i, -, PTHR13298.orig.30.pi, -,0.94,6.6,5.5,0.46,7.6,0.8,Acuobl2326_1_RICTOR
1|10995|KAK9817398., -, PTHR13298.orig.30.pi, -,8.9e-09,32.4,0.6,3e-06,24.0,0.1,Apalob2145_1_RICTOR
1|9207|KAK9818938.1, -, PTHR13298.orig.30.pi, -,0.0012,15.4,5.0,0.015,11.8,2.5,Apalob2145_1_RICTOR
1|12061|KAK9834386., -, PTHR13298.orig.30.pi, -,0.016,11.7,0.2,0.085,9.3,0.1,Apalob2145_1_RICTOR
1|6162|KAK9841192.1, -, PTHR13298.orig.30.pi, -,0.037,10.5,0.2,0.055,9.9,0.2,Apalob2145_1_RICTOR
1|8930|KAK9838788.1, -, PTHR13298.orig.30.pi, -,0.15,8.5,16.3,0.069,9.6,4.5,Apalob2145_1_RICTOR
1|1732|KAK9832185.1, -, PTHR13298.orig.30.pi, -,0.45,6.9,2.7,0.41,7.0,0.3,Apalob2145_1_RICTOR
1|5649|KAK9824794.1, -, PTHR13298.orig.30.pi, -,6.3,3.1,18.8,0.57,6.5,0.8,Apalob2145_1_RICTOR
