Accn,one_line_summary,C.score,Complete.BUSCOs,Single.copy.percentage,Single.copy.BUSCOs,Multi.copy.percentage,Multi.copy.BUSCOs,Frag.score,Fragmented.BUSCOs,Missing.percentage,Missing.BUSCOs,n_markers,avg_identity,domain,internal_stop_codon_count,internal_stop_codon_percent
Alaesc1,"C:95.0%[S:95.0%,D:0.0%],F:2.0%,M:3.0%,n:100",95,95,95,95,0,0,2,2,3,3,100,NULL,eukaryota,0,0
Aplke1,"C:94.0%[S:91.0%,D:3.0%],F:3.0%,M:3.0%,n:100",94,94,91,91,3,3,3,3,3,3,100,NULL,eukaryota,0,0
Auran1,"C:84.0%[S:81.0%,D:3.0%],F:11.0%,M:5.0%,n:100",84,84,81,81,3,3,11,11,5,5,100,NULL,eukaryota,0,0
Aurli1,"C:94.0%[S:87.0%,D:7.0%],F:2.0%,M:4.0%,n:100",94,94,87,87,7,7,2,2,4,4,100,NULL,eukaryota,0,0
Blahom1,"C:87.0%[S:80.0%,D:7.0%],F:13.0%,M:0.0%,n:100",87,87,80,80,7,7,13,13,0,0,100,NULL,eukaryota,0,0
Brelac1,"C:93.0%[S:87.0%,D:6.0%],F:2.0%,M:5.0%,n:100",93,93,87,87,6,6,2,2,5,5,100,NULL,eukaryota,0,0
Cafroe1,"C:89.0%[S:88.0%,D:1.0%],F:2.0%,M:9.0%,n:100",89,89,88,88,1,1,2,2,9,9,100,NULL,eukaryota,0,0
Chaten1,"C:95.0%[S:90.0%,D:5.0%],F:0.0%,M:5.0%,n:100",95,95,90,90,5,5,0,0,5,5,100,NULL,eukaryota,0,0
Claok1,"C:97.0%[S:89.0%,D:8.0%],F:1.0%,M:2.0%,n:100",97,97,89,89,8,8,1,1,2,2,100,NULL,eukaryota,0,0
Conwei1,"C:95.0%[S:87.0%,D:8.0%],F:4.0%,M:1.0%,n:100",95,95,87,87,8,8,4,4,1,1,100,NULL,eukaryota,0,0
Cyccr2_2,"C:96.0%[S:95.0%,D:1.0%],F:1.0%,M:3.0%,n:100",96,96,95,95,1,1,1,1,3,3,100,NULL,eukaryota,0,0
Cylclo1,"C:97.0%[S:95.0%,D:2.0%],F:1.0%,M:2.0%,n:100",97,97,95,95,2,2,1,1,2,2,100,NULL,eukaryota,0,0
Ectsil1,"C:97.0%[S:97.0%,D:0.0%],F:3.0%,M:0.0%,n:100",97,97,97,97,0,0,3,3,0,0,100,NULL,eukaryota,0,0
Ent11IV18_1,"C:96.0%[S:87.0%,D:9.0%],F:1.0%,M:3.0%,n:100",96,96,87,87,9,9,1,1,3,3,100,NULL,eukaryota,0,0
Fisso2,"C:97.0%[S:71.0%,D:26.0%],F:1.0%,M:2.0%,n:100",97,97,71,71,26,26,1,1,2,2,100,NULL,eukaryota,0,0
Fracro1,"C:75.0%[S:67.0%,D:8.0%],F:6.0%,M:19.0%,n:100",75,75,67,67,8,8,6,6,19,19,100,NULL,eukaryota,0,0
Honfer1,"C:95.0%[S:90.0%,D:5.0%],F:2.0%,M:3.0%,n:100",95,95,90,90,5,5,2,2,3,3,100,NULL,eukaryota,0,0
Hyaar1,"C:87.0%[S:84.0%,D:3.0%],F:5.0%,M:8.0%,n:100",87,87,84,84,3,3,5,5,8,8,100,NULL,eukaryota,0,0
Hypcat1,"C:74.0%[S:72.0%,D:2.0%],F:15.0%,M:11.0%,n:100",74,74,72,72,2,2,15,15,11,11,100,NULL,eukaryota,0,0
LabyHa_1,"C:77.0%[S:75.0%,D:2.0%],F:3.0%,M:20.0%,n:100",77,77,75,75,2,2,3,3,20,20,100,NULL,eukaryota,0,0
Macpyr2,"C:88.0%[S:87.0%,D:1.0%],F:6.0%,M:6.0%,n:100",88,88,87,87,1,1,6,6,6,6,100,NULL,eukaryota,0,0
Maypse1,"C:95.0%[S:89.0%,D:6.0%],F:1.0%,M:4.0%,n:100",95,95,89,89,6,6,1,1,4,4,100,NULL,eukaryota,0,0
Mintr2,"C:94.0%[S:73.0%,D:21.0%],F:3.0%,M:3.0%,n:100",94,94,73,73,21,21,3,3,3,3,100,NULL,eukaryota,0,0
MonC141_1,"C:100.0%[S:99.0%,D:1.0%],F:0.0%,M:0.0%,n:100",100,100,99,99,1,1,0,0,0,0,100,NULL,eukaryota,0,0
MonC73_1,"C:100.0%[S:99.0%,D:1.0%],F:0.0%,M:0.0%,n:100",100,100,99,99,1,1,0,0,0,0,100,NULL,eukaryota,0,0
Mosaich1_1,"C:97.0%[S:96.0%,D:1.0%],F:1.0%,M:2.0%,n:100",97,97,96,96,1,1,1,1,2,2,100,NULL,eukaryota,0,0
Nangad1,"C:86.0%[S:83.0%,D:3.0%],F:9.0%,M:5.0%,n:100",86,86,83,83,3,3,9,9,5,5,100,NULL,eukaryota,0,0
Nangad1894_1,"C:96.0%[S:96.0%,D:0.0%],F:0.0%,M:4.0%,n:100",96,96,96,96,0,0,0,0,4,4,100,NULL,eukaryota,0,0
Nanoce1779_2,"C:96.0%[S:96.0%,D:0.0%],F:1.0%,M:3.0%,n:100",96,96,96,96,0,0,1,1,3,3,100,NULL,eukaryota,0,0
Nanoce84910_1,"C:94.0%[S:94.0%,D:0.0%],F:4.0%,M:2.0%,n:100",94,94,94,94,0,0,4,4,2,2,100,NULL,eukaryota,0,0
Nansal1776_1_1,"C:92.0%[S:91.0%,D:1.0%],F:4.0%,M:4.0%,n:100",92,92,91,91,1,1,4,4,4,4,100,NULL,eukaryota,0,0
NanspC018_1,"C:97.0%[S:97.0%,D:0.0%],F:1.0%,M:2.0%,n:100",97,97,97,97,0,0,1,1,2,2,100,NULL,eukaryota,0,0
Nemde1,"C:97.0%[S:86.0%,D:11.0%],F:2.0%,M:1.0%,n:100",97,97,86,86,11,11,2,2,1,1,100,NULL,eukaryota,0,0
Nithil2,"C:100.0%[S:95.0%,D:5.0%],F:0.0%,M:0.0%,n:100",100,100,95,95,5,5,0,0,0,0,100,NULL,eukaryota,0,0
Nitput1,"C:97.0%[S:96.0%,D:1.0%],F:1.0%,M:2.0%,n:100",97,97,96,96,1,1,1,1,2,2,100,NULL,eukaryota,0,0
Ochro1393_1_4,"C:94.0%[S:66.0%,D:28.0%],F:3.0%,M:3.0%,n:100",94,94,66,66,28,28,3,3,3,3,100,NULL,eukaryota,0,0
Ochro2298_1,"C:80.0%[S:71.0%,D:9.0%],F:11.0%,M:9.0%,n:100",80,80,71,71,9,9,11,11,9,9,100,NULL,eukaryota,0,0
Parimp1_4,"C:98.0%[S:81.0%,D:17.0%],F:0.0%,M:2.0%,n:100",98,98,81,81,17,17,0,0,2,2,100,NULL,eukaryota,0,0
Pelago2097_1,"C:96.0%[S:94.0%,D:2.0%],F:0.0%,M:4.0%,n:100",96,96,94,94,2,2,0,0,4,4,100,NULL,eukaryota,0,0
Pereff1,"C:95.0%[S:94.0%,D:1.0%],F:2.0%,M:3.0%,n:100",95,95,94,94,1,1,2,2,3,3,100,NULL,eukaryota,0,0
Persor1,"C:79.0%[S:79.0%,D:0.0%],F:4.0%,M:17.0%,n:100",79,79,79,79,0,0,4,4,17,17,100,NULL,eukaryota,0,0
Phyci1,"C:96.0%[S:94.0%,D:2.0%],F:4.0%,M:0.0%,n:100",96,96,94,94,2,2,4,4,0,0,100,NULL,eukaryota,0,0
Phyinf1,"C:100.0%[S:99.0%,D:1.0%],F:0.0%,M:0.0%,n:100",100,100,99,99,1,1,0,0,0,0,100,NULL,eukaryota,0,0
Physo3,"C:99.0%[S:98.0%,D:1.0%],F:1.0%,M:0.0%,n:100",99,99,98,98,1,1,1,1,0,0,100,NULL,eukaryota,0,0
Psemu1,"C:98.0%[S:97.0%,D:1.0%],F:2.0%,M:0.0%,n:100",98,98,97,97,1,1,2,2,0,0,100,NULL,eukaryota,0,0
