"","Accn","C.score","Frag.score"
"1","GCA_000002595.3",99.01,0.26
"2","GCA_000090985.2",98.03,0.99
"3","GCA_000092065.1",97.37,1.38
"4","GCA_000143455.1",96.58,1.12
"5","GCA_000147415.1",92.36,3.09
"6","GCA_000151265.1",96.77,1.38
"7","GCA_000214015.2",98.29,0.39
"8","GCA_000258705.1",98.09,0.79
"9","GCA_000611645.1",73.14,18.24
"10","GCA_000690575.1",61.88,14.09
"11","GCA_000733215.1",93.81,2.37
"12","GCA_001247695.2",83.54,5.33
"13","GCA_001584585.1",91.64,5
"14","GCA_002158475.1",94.21,0.92
"15","GCA_002220235.1",96.51,0.92
"16","GCA_002245815.2",95.98,0.72
"17","GCA_002245835.2",97.5,0.59
"18","GCA_002284615.2",81.7,7.11
"19","GCA_002335675.1",97.24,0.66
"20","GCA_002891735.1",60.37,19.75
"21","GCA_003203535.1",96.12,1.18
"22","GCA_003709365.1",87.76,2.7
"23","GCA_007859695.1",91.44,0.46
"24","GCA_008636185.1",87.36,1.97
"25","GCA_011766145.1",40.16,16
"26","GCA_014080715.1",93.15,2.17
"27","GCA_014905635.1",90.19,0.46
"28","GCA_015473125.1",85.98,0.92
"29","GCA_016618255.1",82.49,2.5
"30","GCA_016834595.1",97.83,0.79
"31","GCA_016834605.1",95.92,1.97
"32","GCA_016858145.1",96.84,1.38
"33","GCA_019044685.2",96.45,0.39
"34","GCA_019202925.1",94.54,0.79
"35","GCA_019650175.1",89.27,0.92
"36","GCA_019650235.1",90.85,0.79
"37","GCA_019650255.1",90.65,0.53
"38","GCA_020887355.1",98.75,0.2
"39","GCA_021605115.1",83.15,3.42
"40","GCA_023205875.1",91.38,0.46
"41","GCA_023343905.1",98.95,0.26
"42","GCA_025026875.1",95.39,1.32
"43","GCA_025201885.1",96.38,0.86
"44","GCA_025209345.1",95.26,0.59
"45","GCA_025209375.1",95.39,0.66
"46","GCA_030144725.1",87.82,1.32
"47","GCA_030267485.1",97.3,0.26
"48","GCA_030267565.1",95.79,0.59
"49","GCA_030267705.1",96.12,0.2
"50","GCA_030268105.1",91.77,0.53
"51","GCA_030272055.1",94.87,1.32
"52","GCA_030272155.1",96.97,1.18
"53","GCA_030272585.1",95.33,0.33
"54","GCA_031763795.1",77.88,3.55
"55","GCA_034226045.1",25.54,0.33
"56","GCA_034226945.1",91.71,0.46
"57","GCA_038396805.1",91.24,0.33
"58","GCA_040144335.1",93.75,1.12
"59","GCA_040144355.1",95.59,0.46
"60","GCA_040144375.1",75.77,2.5
"61","GCA_040144395.1",96.91,0.99
"62","GCA_040144405.1",91.05,1.45
"63","GCA_040182555.1",95.46,0.99
"64","GCA_040206735.1",96.51,0.66
"65","GCA_040206745.1",94.34,1.91
"66","GCA_040206755.1",93.22,1.97
