tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
94.1, -, PTHR12848.orig.30.pi, -,9e-124,415.2,1.4,1e-124,414.9,1.4,Bigna1_RAPTOR
8.1, -, PTHR12848.orig.30.pi, -,8.1e-106,355.7,1.5,4e-106,354.9,1.5,Bigna1_RAPTOR
nesh1_pg.C_530022, -, PTHR12848.orig.30.pi, -,6.6e-29,100.9,15.2,2.2e-16,59.4,0.7,Bigna1_RAPTOR
3.1, -, PTHR12848.orig.30.pi, -,2.2e-24,85.9,13.3,6.5e-13,47.9,3.3,Bigna1_RAPTOR
ewise1Plus.C_420006, -, PTHR12848.orig.30.pi, -,5.9e-19,67.9,2.3,7e-19,67.7,2.3,Bigna1_RAPTOR
3.1, -, PTHR12848.orig.30.pi, -,1.3e-18,66.8,17.0,2.8e-09,35.9,8.1,Bigna1_RAPTOR
g.31_#_161, -, PTHR12848.orig.30.pi, -,4.7e-18,64.9,0.1,5.5e-18,64.7,0.1,Bigna1_RAPTOR
g.31_#_138, -, PTHR12848.orig.30.pi, -,6.2e-18,64.5,3.6,9e-10,37.5,0.0,Bigna1_RAPTOR
nesh1_pm.C_380001, -, PTHR12848.orig.30.pi, -,1.6e-16,59.9,1.8,6.6e-08,31.3,0.4,Bigna1_RAPTOR
nesh1_pg.C_320076, -, PTHR12848.orig.30.pi, -,4.1e-16,58.5,5.8,9.4e-09,34.1,0.2,Bigna1_RAPTOR
nesh1_pg.C_670086, -, PTHR12848.orig.30.pi, -,4.9e-16,58.3,3.8,6.3e-16,57.9,3.8,Bigna1_RAPTOR
g.7_#_155, -, PTHR12848.orig.30.pi, -,5.6e-16,58.1,9.6,1.4e-15,56.7,2.4,Bigna1_RAPTOR
nesh1_pg.C_290053, -, PTHR12848.orig.30.pi, -,3.3e-15,55.5,0.8,6.8e-15,54.5,0.6,Bigna1_RAPTOR
g21471, -, PTHR12848.orig.30.pi, -,3.4e-15,55.5,2.4,5.9e-15,54.7,2.4,Bigna1_RAPTOR
7119, -, PTHR12848.orig.30.pi, -,5.4e-15,54.8,0.2,4.9e-13,48.3,0.2,Bigna1_RAPTOR
9.1, -, PTHR12848.orig.30.pi, -,6.5e-15,54.5,9.1,5.7e-05,21.6,0.7,Bigna1_RAPTOR
2.1, -, PTHR12848.orig.30.pi, -,1.6e-14,53.2,0.1,6.1e-06,24.8,0.0,Bigna1_RAPTOR
ewise1Plus.C_100002, -, PTHR12848.orig.30.pi, -,2.1e-14,52.8,2.3,6.5e-07,28.0,0.1,Bigna1_RAPTOR
18880, -, PTHR12848.orig.30.pi, -,2.7e-14,52.5,2.5,1.2e-13,50.3,2.2,Bigna1_RAPTOR
7.1, -, PTHR12848.orig.30.pi, -,3.2e-14,52.2,12.7,1.7e-13,49.9,12.0,Bigna1_RAPTOR
nesh1_pg.C_70006, -, PTHR12848.orig.30.pi, -,5.9e-14,51.4,0.1,4.1e-11,41.9,0.1,Bigna1_RAPTOR
3.1, -, PTHR12848.orig.30.pi, -,1.2e-13,50.4,6.4,4.6e-05,21.9,0.6,Bigna1_RAPTOR
nesh1_pg.C_520119, -, PTHR12848.orig.30.pi, -,1.5e-13,50.0,2.1,2.9e-10,39.1,0.0,Bigna1_RAPTOR
g.60_#_108, -, PTHR12848.orig.30.pi, -,2.9e-13,49.0,0.5,3.5e-13,48.8,0.5,Bigna1_RAPTOR
.1, -, PTHR12848.orig.30.pi, -,3.7e-13,48.7,0.9,2e-08,33.0,0.1,Bigna1_RAPTOR
11799, -, PTHR12848.orig.30.pi, -,4e-13,48.6,0.7,6.3e-09,34.7,0.6,Bigna1_RAPTOR
nesh1_pg.C_70029, -, PTHR12848.orig.30.pi, -,4.8e-13,48.4,12.4,3.4e-11,42.2,12.4,Bigna1_RAPTOR
g.7_#_46, -, PTHR12848.orig.30.pi, -,8e-13,47.6,0.0,5.9e-08,31.5,0.0,Bigna1_RAPTOR
ewise1Plus.C_320071, -, PTHR12848.orig.30.pi, -,9.5e-13,47.4,0.7,1.3e-12,46.9,0.7,Bigna1_RAPTOR
23.1, -, PTHR12848.orig.30.pi, -,1e-12,47.3,0.1,3e-11,42.4,0.0,Bigna1_RAPTOR
nesh1_pm.C_70002, -, PTHR12848.orig.30.pi, -,1.1e-12,47.1,1.1,1.4e-12,46.8,1.1,Bigna1_RAPTOR
g.29_#_61, -, PTHR12848.orig.30.pi, -,1.1e-12,47.1,2.3,3.1e-12,45.7,0.2,Bigna1_RAPTOR
g.49_#_56, -, PTHR12848.orig.30.pi, -,1.3e-12,47.0,0.5,1.7e-05,23.3,0.1,Bigna1_RAPTOR
nesh1_pg.C_650134, -, PTHR12848.orig.30.pi, -,2.4e-12,46.0,0.3,2.2e-07,29.6,0.1,Bigna1_RAPTOR
g.77_#_16, -, PTHR12848.orig.30.pi, -,4.1e-12,45.2,0.8,5.2e-10,38.3,0.8,Bigna1_RAPTOR
m.51_#_7, -, PTHR12848.orig.30.pi, -,4.4e-12,45.2,1.1,4.7e-09,35.1,0.3,Bigna1_RAPTOR
m.34_#_4, -, PTHR12848.orig.30.pi, -,4.4e-12,45.2,1.5,1.8e-11,43.1,0.2,Bigna1_RAPTOR
nesh1_pg.C_270042, -, PTHR12848.orig.30.pi, -,5.8e-12,44.7,0.0,3.7e-09,35.5,0.0,Bigna1_RAPTOR
ewise1Plus.C_310119, -, PTHR12848.orig.30.pi, -,6.4e-12,44.6,0.1,1.4e-11,43.5,0.1,Bigna1_RAPTOR
nesh1_pm.C_790003, -, PTHR12848.orig.30.pi, -,2.9e-11,42.5,0.3,4.6e-11,41.8,0.3,Bigna1_RAPTOR
.1, -, PTHR12848.orig.30.pi, -,3.2e-11,42.3,0.1,4e-11,42.0,0.1,Bigna1_RAPTOR
566, -, PTHR12848.orig.30.pi, -,4.2e-11,41.9,0.0,7.1e-10,37.8,0.0,Bigna1_RAPTOR
nesh1_pg.C_30181, -, PTHR12848.orig.30.pi, -,5.6e-11,41.5,0.2,6.7e-11,41.2,0.2,Bigna1_RAPTOR
nesh1_pg.C_250149, -, PTHR12848.orig.30.pi, -,7.7e-11,41.0,0.0,9.1e-07,27.5,0.0,Bigna1_RAPTOR
15922, -, PTHR12848.orig.30.pi, -,9.2e-11,40.8,0.0,4.4e-10,38.5,0.0,Bigna1_RAPTOR
785, -, PTHR12848.orig.30.pi, -,1.1e-10,40.5,21.6,3e-09,35.8,21.6,Bigna1_RAPTOR
nesh1_pg.C_1010044, -, PTHR12848.orig.30.pi, -,1.2e-10,40.4,1.1,4.2e-07,28.7,0.1,Bigna1_RAPTOR
24.1, -, PTHR12848.orig.30.pi, -,1.3e-10,40.3,0.2,2.6e-10,39.3,0.1,Bigna1_RAPTOR
