Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000150955.2	ASM15095v2	Phaeodactylum tricornutum CCAP 1055/1	556484	27450724	Chromosome
GCA_000149405.2	ASM14940v2	Thalassiosira pseudonana CCMP1335	296543	32437365	Chromosome
GCA_000310025.1	ASM31002v1	Ectocarpus siliculosus	2880	195810619	Chromosome
GCA_027923505.1	Mpse_1.0	Mayamaea pseudoterrestris	2872254	30627229	Contig
GCA_000240725.1	ASM24072v1	Nannochloropsis gaditana CCMP526	1093141	33986952	Scaffold
GCA_000186865.1	v 1.0	Aureococcus anophagefferens	44056	56660572	Scaffold
GCA_013187285.2	UArk_CyCryp_3	Cyclotella cryptica	29204	171140631	Scaffold
GCA_900660405.1	ASM90066040v1	Pseudo-nitzschia multistriata	183589	56765209	Scaffold
GCA_004565275.1	ASM456527v1	Nannochloropsis salina CCMP1776	1027361	27600439	Scaffold
GCA_918797485.1	CNM_v1	Pelagomonas calceolata	35677	32445274	Contig
GCA_933822405.4	Cyc-CA1.15-REFERENCE-ANNOTATED	Cylindrotheca closterium	2856	55068444	Scaffold
GCA_903772945.1	Semro_V1	Seminavis robusta	568900	125572603	Scaffold
GCA_021927905.1	Cten210_1.0	Chaetoceros tenuissimus	426638	41001288	Scaffold
GCA_012489335.1	Parmale_b_g1	Triparma laevis f. inornata	1714386	42573550	Scaffold
GCA_026770595.1	Ochro2298_1	Ochromonadaceae sp. CCMP2298	483371	61116754	Scaffold
GCA_019154785.2	GAI293_CANU_175m_combined	Nitzschia inconspicua	303405	99706970	Contig
GCA_017506865.1	ASM1750686v1	Tribonema minus	303371	158345074	Contig
GCA_036939975.2	CyThol2.0	Cyclostephanos tholiformis	382380	177437852	Contig
GCA_036939915.2	ASM3693991v2	Discostella pseudostelligera	259834	39003610	Contig
GCA_029834535.1	CTAYLR_1.1	Chrysophaeum taylorii	2483200	70683391	Contig
GCA_022925895.1	ASM2292589v1	Fragilaria crotonensis	210448	61849504	Contig
GCA_036940135.2	UArk_CyAtom_2	Cyclotella atomus	382360	67031067	Scaffold
GCA_030267905.1	TrVE_01	Triparma verrucosa	1606542	35535122	Scaffold
GCA_030267945.1	TrST_01	Triparma strigata	1606541	35156025	Scaffold
GCA_036939755.2	UArk_PrTri_2	Stephanodiscus triporus	2934178	72812806	Scaffold
GCA_030267965.1	TrCOL_01	Triparma columacea	722753	42982915	Scaffold
GCA_030267985.1	ScalyP_01	Parmales sp. scaly parma	2962637	30979897	Scaffold
GCA_026770575.1	Pelago2097_1	Pelagophyceae sp. CCMP2097	483370	85824453	Scaffold
GCA_902602495.3	Esub_Assebmy2	Ectocarpus sp. CCAP 1310/34	867726	242356113	Scaffold
GCA_030267505.1	TeGR_01	Tetraparma gracilis	2962635	43592913	Scaffold
GCA_030267625.1	TrRE_01	Triparma retinervis	2557542	36536487	Scaffold
GCA_000569095.1	NagaB31_1.0	Nannochloropsis gaditana	72520	27432140	Chromosome
GCA_002217885.1	Fsol_1.0	Fistulifera solaris	1519565	49736633	Scaffold
GCA_021029045.1	ASM2102904v1	Aureococcus anophagefferens	44056	64432857	Contig
GCA_021029115.1	ASM2102911v1	Aureococcus anophagefferens	44056	73614722	Contig
GCA_021029035.1	ASM2102903v1	Aureococcus anophagefferens	44056	57108930	Contig
GCA_037953725.1	AA1851-UTK-EC	Aureococcus anophagefferens	44056	49785054	Scaffold
GCA_030871285.1	GU_Smar_1.1.8	Skeletonema marinoi	267567	54623658	Contig
GCA_000296195.2	ThaOc_1.0	Thalassiosira oceanica	159749	92043847	Contig
GCA_001750085.1	Fracy1	Fragilariopsis cylindrus CCMP1102	635003	80540407	Scaffold
GCA_030267805.1	TrLO_01	Triparma laevis f. longispina	1714387	41411691	Scaffold
GCA_964200375.1	PHAEEsp6S_V1	Ectocarpus sp. 6 AP-2014	1535362	214637081	Contig
GCA_964200265.1	PHAEEsp12dF_V1	Ectocarpus sp. 12 AP-2014	1535356	379873989	Scaffold
GCA_046255265.1	ASM4625526v1	Bacillariaceae sp.	3061772	32539917	Contig
GCA_046255035.1	ASM4625503v1	Bacillariaceae sp.	3061772	28489345	Contig
GCA_046255245.1	ASM4625524v1	Bacillariaceae sp.	3061772	19601997	Contig
