"","Accn","Phylum","Organism_Taxonomic_ID","Organism_Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class name","Phylum name","Order name","Family name","Genus name"
"1","GCA_000002435.2","Metamonada",5741,"Giardia intestinalis",NA,"H","H","H","M",NA,23.92,5.88,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia"
"2","GCA_000002825.3","Metamonada",412133,"Trichomonas vaginalis G3",NA,"M","H","H","M",NA,52.16,6.67,NA,"Parabasalia","Trichomonadida","Trichomonadidae","Trichomonas"
"3","GCA_000182405.1","Metamonada",598745,"Giardia intestinalis ATCC 50581",NA,"H","H","H","M",NA,23.53,6.67,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia"
"4","GCA_000182665.1","Metamonada",658858,"Giardia lamblia P15",NA,"H","H","H","M",NA,23.92,6.27,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia"
"5","GCA_000497125.2","Metamonada",348837,"Spironucleus salmonicida",NA,NA,"M","H",NA,NA,18.82,7.06,NA,"Fornicata","Diplomonadida","Hexamitidae","Spironucleus"
"6","GCA_000498715.1","Metamonada",5741,"Giardia intestinalis",NA,"H","H","H","M",NA,23.53,6.27,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia"
"7","GCA_000498735.1","Metamonada",5741,"Giardia intestinalis",NA,"H","H","H","M",NA,23.14,6.27,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia"
"8","GCA_001543975.1","Metamonada",1394984,"Giardia intestinalis assemblage B",NA,"H","H","H","M",NA,23.14,6.67,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia"
"9","GCA_001643675.2","Metamonada",2049356,"Monocercomonoides exilis",NA,NA,"H","H","L",NA,59.61,5.1,NA,"Preaxostyla","Oxymonadida","Polymastigidae","Monocercomonoides"
"10","GCA_001839685.2","Metamonada",1144522,"Tritrichomonas foetus",NA,"M","H","H","M",NA,50.59,4.71,NA,"Parabasalia","Tritrichomonadida","Tritrichomonadidae","Tritrichomonas"
"11","GCA_003568945.1","Metamonada",797122,"Kipferlia bialata",NA,"L","M","H","L",NA,18.82,21.96,NA,"Fornicata",NA,NA,"Kipferlia"
"12","GCA_006247105.1","Metamonada",5742,"Giardia muris",NA,"H","M","H","L",NA,22.35,7.06,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia"
"13","GCA_008636045.1","Metamonada",222440,"Streblomastix strix",NA,NA,"H","H","L",NA,38.04,18.04,NA,"Preaxostyla","Oxymonadida","Streblomastigidae","Streblomastix"
"14","GCA_019828565.1","Metamonada",201153,"Carpediemonas membranifera",NA,"H","H","H","M",NA,48.63,11.37,NA,"Fornicata",NA,NA,"Carpediemonas"
"15","GCA_020184695.1","Metamonada",135588,"Histomonas meleagridis",NA,"M","M","H","M",NA,46.67,9.8,NA,"Parabasalia","Tritrichomonadida","Dientamoebidae","Histomonas"
"16","GCA_020186115.1","Metamonada",135588,"Histomonas meleagridis",NA,"M","M","H","M",NA,47.84,9.41,NA,"Parabasalia","Tritrichomonadida","Dientamoebidae","Histomonas"
"17","GCA_024181965.1","Metamonada",2918883,"Aduncisulcus paluster",NA,NA,"M","H","L",NA,31.37,11.37,NA,"Fornicata",NA,NA,"Aduncisulcus"
"18","GCA_026262505.1","Metamonada",412133,"Trichomonas vaginalis G3",NA,"M","H","H","M",NA,52.16,6.67,NA,"Parabasalia","Trichomonadida","Trichomonadidae","Trichomonas"
"19","GCA_027625915.1","Metamonada",1746091,"Anaeramoeba flamelloides","L","H","H","H","H",NA,79.61,3.14,NA,NA,NA,"Anaeramoebidae","Anaeramoeba"
"20","GCA_027972325.1","Metamonada",342808,"Paratrimastix pyriformis",NA,NA,"H","H","H",NA,62.35,6.67,NA,"Preaxostyla",NA,"Paratrimastigidae","Paratrimastix"
"21","GCA_028826165.1","Metamonada",1746090,"Anaeramoeba ignava","L","H","H","H","H",NA,77.25,2.75,NA,NA,NA,"Anaeramoebidae","Anaeramoeba"
"22","GCA_028892595.1","Metamonada",1746091,"Anaeramoeba flamelloides","L","H","H","H","H",NA,79.61,2.35,NA,NA,NA,"Anaeramoebidae","Anaeramoeba"
"23","GCA_033064195.1","Metamonada",2049346,"Blattamonas nauphoetae",NA,"L","H","H","L",NA,52.94,9.02,NA,"Preaxostyla","Oxymonadida",NA,"Blattamonas"
"24","GCA_039105265.1","Metamonada",1915356,"Tritrichomonas musculus",NA,"M","H","H","M",NA,54.51,7.06,NA,"Parabasalia","Tritrichomonadida","Tritrichomonadidae","Tritrichomonas"
"25","GCA_040285745.1","Metamonada",2654837,"Barthelona sp. PCE",NA,"M","H","H","M",NA,40.78,7.45,NA,NA,NA,NA,"Barthelona"
"26","GCA_963988835.2","Metamonada",28002,"Hexamita inflata",NA,NA,"M","H","L",NA,24.71,5.88,NA,"Fornicata","Diplomonadida","Hexamitidae","Hexamita"
