tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
KAE8305057.1, -, PTHR12848.orig.30.pi, -,8.4e-261,867.0,33.7,7e-262,866.8,33.7,GCA_000002435.2
KAE8303429.1, -, PTHR12848.orig.30.pi, -,6.2e-15,52.5,0.0,9.8e-11,38.6,0.0,GCA_000002435.2
KAE8303584.1, -, PTHR12848.orig.30.pi, -,3.2e-13,46.8,3.7,5.7e-13,46.0,3.7,GCA_000002435.2
KAE8302476.1, -, PTHR12848.orig.30.pi, -,5.9e-13,45.9,0.4,8.3e-13,45.4,0.4,GCA_000002435.2
KAE8304944.1, -, PTHR12848.orig.30.pi, -,3.1e-12,43.5,9.3,9.1e-12,42.0,9.3,GCA_000002435.2
KAE8302626.1, -, PTHR12848.orig.30.pi, -,9.1e-12,42.0,0.1,1.3e-11,41.5,0.1,GCA_000002435.2
KAE8303731.1, -, PTHR12848.orig.30.pi, -,1.8e-11,41.0,0.0,1.5e-08,31.3,0.0,GCA_000002435.2
KAE8301816.1, -, PTHR12848.orig.30.pi, -,2.9e-11,40.3,0.0,4.3e-11,39.8,0.0,GCA_000002435.2
KAE8301636.1, -, PTHR12848.orig.30.pi, -,9.2e-11,38.7,0.4,1e-10,38.5,0.4,GCA_000002435.2
KAE8304266.1, -, PTHR12848.orig.30.pi, -,1.2e-10,38.3,0.0,1.4e-10,38.1,0.0,GCA_000002435.2
KAE8304281.1, -, PTHR12848.orig.30.pi, -,1.2e-10,38.3,0.0,1.4e-10,38.1,0.0,GCA_000002435.2
KAE8303766.1, -, PTHR12848.orig.30.pi, -,1.3e-10,38.2,0.0,9.6e-07,25.3,0.0,GCA_000002435.2
KAE8304469.1, -, PTHR12848.orig.30.pi, -,1e-09,35.2,0.2,6.2e-07,26.0,0.1,GCA_000002435.2
KAE8305914.1, -, PTHR12848.orig.30.pi, -,1.6e-09,34.5,0.0,1.2e-08,31.7,0.0,GCA_000002435.2
KAE8303271.1, -, PTHR12848.orig.30.pi, -,1.7e-09,34.5,0.0,3.5e-05,20.2,0.0,GCA_000002435.2
KAE8301678.1, -, PTHR12848.orig.30.pi, -,3.8e-09,33.3,0.2,3.8e-09,33.3,0.2,GCA_000002435.2
KAE8304834.1, -, PTHR12848.orig.30.pi, -,7e-09,32.4,0.4,3.2e-05,20.3,0.9,GCA_000002435.2
KAE8305906.1, -, PTHR12848.orig.30.pi, -,1.4e-08,31.5,0.1,2.1e-08,30.8,0.1,GCA_000002435.2
KAE8302256.1, -, PTHR12848.orig.30.pi, -,1.6e-08,31.2,0.2,0.0014,14.8,0.0,GCA_000002435.2
KAE8304502.1, -, PTHR12848.orig.30.pi, -,1.7e-08,31.1,0.0,3.1e-08,30.3,0.0,GCA_000002435.2
KAE8302658.1, -, PTHR12848.orig.30.pi, -,2.4e-08,30.7,0.0,1.7e-07,27.8,0.1,GCA_000002435.2
KAE8304275.1, -, PTHR12848.orig.30.pi, -,5.4e-08,29.5,0.1,9.3e-08,28.7,0.1,GCA_000002435.2
KAE8301657.1, -, PTHR12848.orig.30.pi, -,6.6e-08,29.2,0.0,6.7e-07,25.9,0.0,GCA_000002435.2
KAE8302889.1, -, PTHR12848.orig.30.pi, -,7e-08,29.1,0.0,2.9e-06,23.8,0.0,GCA_000002435.2
KAE8301775.1, -, PTHR12848.orig.30.pi, -,1.5e-07,28.0,0.0,2e-07,27.6,0.0,GCA_000002435.2
KAE8302600.1, -, PTHR12848.orig.30.pi, -,2.3e-07,27.4,0.5,2.3e-07,27.4,0.5,GCA_000002435.2
KAE8302274.1, -, PTHR12848.orig.30.pi, -,2.8e-07,27.1,0.0,1.8e-06,24.5,0.0,GCA_000002435.2
KAE8305980.1, -, PTHR12848.orig.30.pi, -,5.3e-07,26.2,0.0,6.6e-07,25.9,0.0,GCA_000002435.2
KAE8303542.1, -, PTHR12848.orig.30.pi, -,7.6e-07,25.7,0.9,0.00033,16.9,1.6,GCA_000002435.2
KAE8304781.1, -, PTHR12848.orig.30.pi, -,8.2e-07,25.6,0.0,7e-06,22.5,0.0,GCA_000002435.2
KAE8304311.1, -, PTHR12848.orig.30.pi, -,1.1e-06,25.2,0.1,0.00049,16.4,0.0,GCA_000002435.2
KAE8302239.1, -, PTHR12848.orig.30.pi, -,1.3e-06,24.9,1.7,2.1e-05,20.9,0.9,GCA_000002435.2
KAE8305327.1, -, PTHR12848.orig.30.pi, -,2e-06,24.3,0.0,2.2e-06,24.2,0.0,GCA_000002435.2
KAE8303682.1, -, PTHR12848.orig.30.pi, -,2e-06,24.3,0.0,3.6e-06,23.4,0.0,GCA_000002435.2
KAE8304362.1, -, PTHR12848.orig.30.pi, -,1.1e-05,21.9,0.1,0.00086,15.6,0.0,GCA_000002435.2
KAE8303374.1, -, PTHR12848.orig.30.pi, -,3.2e-05,20.3,0.0,0.0036,13.5,0.0,GCA_000002435.2
KAE8305841.1, -, PTHR12848.orig.30.pi, -,7.7e-05,19.0,0.0,0.017,11.3,0.0,GCA_000002435.2
KAE8302009.1, -, PTHR12848.orig.30.pi, -,0.00031,17.0,2.2,0.00036,16.8,2.2,GCA_000002435.2
KAE8302098.1, -, PTHR12848.orig.30.pi, -,0.00039,16.7,0.1,0.00046,16.5,0.1,GCA_000002435.2
KAE8301833.1, -, PTHR12848.orig.30.pi, -,0.00048,16.4,4.4,0.0035,13.5,4.4,GCA_000002435.2
KAE8301271.1, -, PTHR12848.orig.30.pi, -,0.00065,16.0,0.0,0.044,9.9,0.0,GCA_000002435.2
KAE8301518.1, -, PTHR12848.orig.30.pi, -,0.00087,15.5,0.0,0.0025,14.0,0.0,GCA_000002435.2
KAE8305896.1, -, PTHR12848.orig.30.pi, -,0.0011,15.2,0.0,0.018,11.1,0.2,GCA_000002435.2
KAE8305824.1, -, PTHR12848.orig.30.pi, -,0.0033,13.6,0.0,0.0046,13.2,0.0,GCA_000002435.2
KAE8305718.1, -, PTHR12848.orig.30.pi, -,0.0035,13.5,0.0,0.0047,13.1,0.0,GCA_000002435.2
KAE8305378.1, -, PTHR12848.orig.30.pi, -,0.0059,12.8,0.0,0.17,8.0,0.0,GCA_000002435.2
KAE8305419.1, -, PTHR12848.orig.30.pi, -,0.016,11.4,0.0,0.027,10.6,0.0,GCA_000002435.2
KAE8303750.1, -, PTHR12848.orig.30.pi, -,0.026,10.6,0.0,0.027,10.6,0.0,GCA_000002435.2
KAE8301288.1, -, PTHR12848.orig.30.pi, -,0.13,8.3,30.2,0.14,8.2,30.2,GCA_000002435.2
EAY14557.1, -, PTHR12848.orig.30.pi, -,4.2e-151,507.1,22.8,2e-150,502.4,22.8,GCA_000002825.3
EAX85181.1, -, PTHR12848.orig.30.pi, -,7.3e-150,503.0,14.9,6e-149,497.1,14.9,GCA_000002825.3
EAY02083.1, -, PTHR12848.orig.30.pi, -,4e-145,487.3,15.1,3e-143,477.7,15.1,GCA_000002825.3
EAY01925.1, -, PTHR12848.orig.30.pi, -,6.2e-143,480.1,8.5,3e-121,408.3,9.0,GCA_000002825.3
EAY18696.1, -, PTHR12848.orig.30.pi, -,8.3e-142,476.4,16.7,5e-115,386.1,8.7,GCA_000002825.3
EAX98677.1, -, PTHR12848.orig.30.pi, -,2.1e-132,445.2,25.7,3e-111,373.0,16.0,GCA_000002825.3
EAY12495.1, -, PTHR12848.orig.30.pi, -,2.1e-122,412.1,18.9,3e-109,366.4,16.9,GCA_000002825.3
EAX88677.1, -, PTHR12848.orig.30.pi, -,2.3e-116,392.1,22.3,8.8e-93,313.9,16.3,GCA_000002825.3
EAY03835.1, -, PTHR12848.orig.30.pi, -,2.9e-115,388.4,23.0,1.9e-96,326.1,16.5,GCA_000002825.3
EAY13219.1, -, PTHR12848.orig.30.pi, -,3.4e-114,384.9,8.5,9.3e-96,323.8,0.8,GCA_000002825.3
EAY08655.1, -, PTHR12848.orig.30.pi, -,1.2e-112,379.7,27.3,8.1e-95,320.7,22.6,GCA_000002825.3
EAY13810.1, -, PTHR12848.orig.30.pi, -,1.3e-112,379.7,13.5,8.2e-94,317.3,9.6,GCA_000002825.3
EAY21112.1, -, PTHR12848.orig.30.pi, -,3.2e-111,375.0,19.9,2e-83,283.0,15.5,GCA_000002825.3
EAY18006.1, -, PTHR12848.orig.30.pi, -,1.6e-108,366.1,19.2,2.4e-86,292.6,12.0,GCA_000002825.3
EAY12972.1, -, PTHR12848.orig.30.pi, -,4.5e-104,351.3,29.0,2.9e-87,295.7,22.6,GCA_000002825.3
EAY03681.1, -, PTHR12848.orig.30.pi, -,1.4e-100,339.8,18.2,6.3e-99,334.3,18.2,GCA_000002825.3
EAY16293.1, -, PTHR12848.orig.30.pi, -,8.4e-99,333.9,13.3,2.1e-83,282.9,12.6,GCA_000002825.3
EAX87670.1, -, PTHR12848.orig.30.pi, -,6.8e-96,324.3,10.1,8.6e-96,323.9,10.1,GCA_000002825.3
EAX94870.1, -, PTHR12848.orig.30.pi, -,7e-95,320.9,15.8,9.7e-95,320.4,15.8,GCA_000002825.3
EAX98444.1, -, PTHR12848.orig.30.pi, -,6.8e-92,311.0,7.7,8.9e-92,310.6,7.7,GCA_000002825.3
EAY16683.1, -, PTHR12848.orig.30.pi, -,6.8e-90,304.4,7.7,8.7e-90,304.0,7.7,GCA_000002825.3
EAY05162.1, -, PTHR12848.orig.30.pi, -,1.4e-81,276.8,2.2,1.8e-64,220.2,2.8,GCA_000002825.3
EAY19167.1, -, PTHR12848.orig.30.pi, -,3.4e-81,275.6,9.9,5e-81,275.0,9.9,GCA_000002825.3
EAY07925.1, -, PTHR12848.orig.30.pi, -,3.4e-81,275.5,0.8,4.2e-81,275.3,0.8,GCA_000002825.3
EAY14590.1, -, PTHR12848.orig.30.pi, -,6.4e-81,274.6,14.7,9.8e-81,274.0,14.7,GCA_000002825.3
EAY19537.1, -, PTHR12848.orig.30.pi, -,2.6e-60,206.4,8.8,2.8e-59,202.9,8.8,GCA_000002825.3
EAY07924.1, -, PTHR12848.orig.30.pi, -,9.8e-28,98.5,0.1,3.1e-12,47.1,0.0,GCA_000002825.3
EAX93915.1, -, PTHR12848.orig.30.pi, -,5.6e-20,72.8,0.9,1.4e-10,41.6,0.1,GCA_000002825.3
EAY12809.1, -, PTHR12848.orig.30.pi, -,7.7e-19,69.0,10.8,1.2e-07,31.9,1.7,GCA_000002825.3
EAY20189.1, -, PTHR12848.orig.30.pi, -,2.8e-16,60.5,0.3,3.2e-16,60.3,0.3,GCA_000002825.3
EAY14905.1, -, PTHR12848.orig.30.pi, -,4.6e-16,59.8,0.0,9.1e-16,58.8,0.0,GCA_000002825.3
EAY09691.1, -, PTHR12848.orig.30.pi, -,1.6e-15,58.0,0.2,9.4e-15,55.5,0.2,GCA_000002825.3
EAY10408.1, -, PTHR12848.orig.30.pi, -,2.7e-15,57.2,0.3,1.5e-09,38.2,0.4,GCA_000002825.3
EAY06897.1, -, PTHR12848.orig.30.pi, -,3.1e-15,57.0,0.2,2.6e-14,54.0,0.3,GCA_000002825.3
EAY18441.1, -, PTHR12848.orig.30.pi, -,1.5e-14,54.8,3.4,1.8e-14,54.5,3.4,GCA_000002825.3
EAY17454.1, -, PTHR12848.orig.30.pi, -,3.2e-14,53.7,0.2,2.5e-12,47.4,0.2,GCA_000002825.3
EAY17352.1, -, PTHR12848.orig.30.pi, -,3.8e-14,53.5,0.3,1.1e-11,45.3,0.2,GCA_000002825.3
EAY22229.1, -, PTHR12848.orig.30.pi, -,4.9e-14,53.1,2.2,6.9e-14,52.6,2.2,GCA_000002825.3
EAY15607.1, -, PTHR12848.orig.30.pi, -,5.1e-14,53.0,0.8,7e-14,52.6,0.5,GCA_000002825.3
EAX89546.1, -, PTHR12848.orig.30.pi, -,2e-13,51.0,1.1,3e-13,50.5,1.1,GCA_000002825.3
EAY14300.1, -, PTHR12848.orig.30.pi, -,3.4e-13,50.3,5.6,5e-13,49.7,5.6,GCA_000002825.3
EAY06770.1, -, PTHR12848.orig.30.pi, -,3.4e-13,50.3,9.0,7.4e-13,49.2,9.0,GCA_000002825.3
EAX86514.1, -, PTHR12848.orig.30.pi, -,4.9e-13,49.8,1.1,4.5e-06,26.7,0.4,GCA_000002825.3
EAY21667.1, -, PTHR12848.orig.30.pi, -,5.8e-13,49.5,0.1,9.2e-09,35.6,0.0,GCA_000002825.3
EAY21239.1, -, PTHR12848.orig.30.pi, -,6e-13,49.5,0.0,7.9e-07,29.2,0.0,GCA_000002825.3
EAY09174.1, -, PTHR12848.orig.30.pi, -,7.7e-13,49.1,0.1,1.3e-12,48.4,0.1,GCA_000002825.3
EAX91117.1, -, PTHR12848.orig.30.pi, -,8.4e-13,49.0,0.2,1.4e-08,35.0,0.0,GCA_000002825.3
EAY18162.1, -, PTHR12848.orig.30.pi, -,1.1e-12,48.6,0.2,1.4e-07,31.7,0.2,GCA_000002825.3
EAX88544.1, -, PTHR12848.orig.30.pi, -,1.3e-12,48.4,0.1,1.5e-12,48.2,0.1,GCA_000002825.3
EAX95818.1, -, PTHR12848.orig.30.pi, -,1.6e-12,48.1,1.4,4.8e-12,46.5,1.4,GCA_000002825.3
EAY22567.1, -, PTHR12848.orig.30.pi, -,1.7e-12,48.0,0.4,1.9e-12,47.8,0.4,GCA_000002825.3
EAY05363.1, -, PTHR12848.orig.30.pi, -,2.1e-12,47.7,0.0,2.1e-12,47.7,0.0,GCA_000002825.3
EAX88256.1, -, PTHR12848.orig.30.pi, -,2.5e-12,47.4,6.6,1.5e-10,41.5,3.7,GCA_000002825.3
EAY11603.1, -, PTHR12848.orig.30.pi, -,3.1e-12,47.1,0.4,4e-12,46.7,0.4,GCA_000002825.3
EAY11496.1, -, PTHR12848.orig.30.pi, -,3.1e-12,47.1,0.0,7.3e-12,45.9,0.0,GCA_000002825.3
EAX99757.1, -, PTHR12848.orig.30.pi, -,3.3e-12,47.0,2.4,5.3e-11,43.0,0.8,GCA_000002825.3
EAX92804.1, -, PTHR12848.orig.30.pi, -,3.5e-12,47.0,0.0,7.2e-12,45.9,0.0,GCA_000002825.3
EAX93769.1, -, PTHR12848.orig.30.pi, -,5.8e-12,46.2,1.7,9.7e-06,25.6,0.0,GCA_000002825.3
EAY11699.1, -, PTHR12848.orig.30.pi, -,7.3e-12,45.9,0.9,5.5e-11,43.0,0.3,GCA_000002825.3
EAY22511.1, -, PTHR12848.orig.30.pi, -,7.5e-12,45.8,0.0,1.9e-11,44.5,0.0,GCA_000002825.3
EAY16565.1, -, PTHR12848.orig.30.pi, -,8.4e-12,45.7,0.1,2.4e-11,44.1,0.1,GCA_000002825.3
EAX99513.1, -, PTHR12848.orig.30.pi, -,1.1e-11,45.2,0.1,1.3e-11,45.0,0.1,GCA_000002825.3
EAX95951.1, -, PTHR12848.orig.30.pi, -,1.2e-11,45.1,0.2,2.7e-05,24.1,0.0,GCA_000002825.3
EAX97364.1, -, PTHR12848.orig.30.pi, -,1.3e-11,45.1,0.1,1.3e-11,45.1,0.1,GCA_000002825.3
EAY07013.1, -, PTHR12848.orig.30.pi, -,1.4e-11,45.0,0.0,4.1e-10,40.1,0.0,GCA_000002825.3
EAY20196.1, -, PTHR12848.orig.30.pi, -,1.5e-11,44.8,0.0,7.2e-08,32.7,0.0,GCA_000002825.3
EAY13089.1, -, PTHR12848.orig.30.pi, -,1.8e-11,44.6,1.1,2.1e-11,44.3,1.1,GCA_000002825.3
EAX96056.1, -, PTHR12848.orig.30.pi, -,1.8e-11,44.5,0.1,2.5e-11,44.1,0.1,GCA_000002825.3
EAY06366.1, -, PTHR12848.orig.30.pi, -,2.1e-11,44.4,0.1,2.8e-11,44.0,0.1,GCA_000002825.3
EAY21377.1, -, PTHR12848.orig.30.pi, -,2.6e-11,44.1,4.7,4.1e-07,30.2,4.7,GCA_000002825.3
EAX94156.1, -, PTHR12848.orig.30.pi, -,2.6e-11,44.1,3.5,6e-08,32.9,0.1,GCA_000002825.3
EAY07006.1, -, PTHR12848.orig.30.pi, -,3.2e-11,43.7,0.8,7.2e-11,42.6,0.5,GCA_000002825.3
EAY17548.1, -, PTHR12848.orig.30.pi, -,3.7e-11,43.6,0.0,4.4e-11,43.3,0.0,GCA_000002825.3
EAY07235.1, -, PTHR12848.orig.30.pi, -,3.7e-11,43.5,0.1,9.4e-08,32.3,0.0,GCA_000002825.3
EAY20110.1, -, PTHR12848.orig.30.pi, -,4.6e-11,43.2,4.6,1.1e-10,42.0,4.6,GCA_000002825.3
EAY05823.1, -, PTHR12848.orig.30.pi, -,5.1e-11,43.1,0.0,6.3e-11,42.8,0.0,GCA_000002825.3
EAY14697.1, -, PTHR12848.orig.30.pi, -,7e-11,42.6,0.1,0.00015,21.7,0.0,GCA_000002825.3
EAY18718.1, -, PTHR12848.orig.30.pi, -,8.2e-11,42.4,5.3,1.6e-10,41.5,5.3,GCA_000002825.3
EAX91916.1, -, PTHR12848.orig.30.pi, -,1.1e-10,42.0,0.8,5.4e-10,39.7,0.9,GCA_000002825.3
EAY02416.1, -, PTHR12848.orig.30.pi, -,1.1e-10,42.0,0.0,2.1e-10,41.0,0.0,GCA_000002825.3
EAY04738.1, -, PTHR12848.orig.30.pi, -,1.1e-10,42.0,7.6,8.6e-10,39.0,4.1,GCA_000002825.3
EAY14976.1, -, PTHR12848.orig.30.pi, -,1.4e-10,41.6,0.0,2.1e-10,41.0,0.0,GCA_000002825.3
EAY01974.1, -, PTHR12848.orig.30.pi, -,1.5e-10,41.6,0.1,2.8e-08,34.0,0.1,GCA_000002825.3
EAX88102.1, -, PTHR12848.orig.30.pi, -,1.7e-10,41.3,0.0,8.5e-05,22.5,0.0,GCA_000002825.3
EAY14520.1, -, PTHR12848.orig.30.pi, -,2.4e-10,40.9,1.2,2.4e-10,40.9,1.2,GCA_000002825.3
EAY13095.1, -, PTHR12848.orig.30.pi, -,2.5e-10,40.8,0.1,2.4e-05,24.3,0.0,GCA_000002825.3
EAX92568.1, -, PTHR12848.orig.30.pi, -,4e-10,40.1,1.1,5.7e-10,39.6,1.1,GCA_000002825.3
EAY21330.1, -, PTHR12848.orig.30.pi, -,5.6e-10,39.6,0.4,7.4e-10,39.2,0.4,GCA_000002825.3
EAY12092.1, -, PTHR12848.orig.30.pi, -,5.9e-10,39.6,0.0,1.5e-09,38.2,0.0,GCA_000002825.3
