tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
.t1_protein_coding., -, PTHR33149.orig.30.pi, -,9.5e-30,104.6,1.1,1.1e-29,104.4,1.1,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,1.2e-20,74.7,8.7,7.2e-20,72.2,8.2,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,1.2e-20,74.7,8.7,7.2e-20,72.2,8.2,Euggra1_D1
.t1_protein_coding., -, PTHR33149.orig.30.pi, -,1.2e-20,74.7,8.7,7.2e-20,72.2,8.2,Euggra1_D1
.t1_protein_coding., -, PTHR33149.orig.30.pi, -,1.2e-20,74.7,8.7,7.2e-20,72.2,8.2,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,1.4e-18,68.0,0.2,5.3e-13,49.6,0.0,Euggra1_D1
1_protein_coding.1, -, PTHR33149.orig.30.pi, -,3.8e-16,60.0,1.7,9e-11,42.3,0.0,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,3.8e-16,60.0,1.7,9e-11,42.3,0.0,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,3.8e-16,60.0,1.7,9e-11,42.3,0.0,Euggra1_D1
.t1_protein_coding., -, PTHR33149.orig.30.pi, -,1.6e-15,57.9,2.0,1.8e-10,41.4,0.0,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,2.3e-14,54.1,4.0,4e-09,36.9,0.1,Euggra1_D1
.t1_protein_coding., -, PTHR33149.orig.30.pi, -,2.8e-10,40.7,0.1,2.8e-10,40.7,0.1,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,3.2e-10,40.5,0.1,3.2e-10,40.5,0.1,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,0.00034,20.7,0.3,0.00059,19.9,0.3,Euggra1_D1
1_protein_coding.1, -, PTHR33149.orig.30.pi, -,0.00034,20.7,0.3,0.00059,19.9,0.3,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,0.00034,20.7,0.3,0.00059,19.9,0.3,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,0.00059,19.9,0.3,0.00059,19.9,0.3,Euggra1_D1
_protein_coding.1, -, PTHR33149.orig.30.pi, -,0.00063,19.8,0.4,0.0011,19.0,0.4,Euggra1_D1
1_protein_coding.1, -, PTHR33149.orig.30.pi, -,0.00079,19.5,0.4,0.0015,18.6,0.4,Euggra1_D1
.t1_protein_coding., -, PTHR33149.orig.30.pi, -,0.00079,19.5,0.4,0.0015,18.6,0.4,Euggra1_D1
.t1_protein_coding., -, PTHR33149.orig.30.pi, -,0.00079,19.5,0.4,0.0015,18.6,0.4,Euggra1_D1
