"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Chlorophyta","Dunsal1","|Dusal.0016s00024.1"," -"," PTHR11139.orig.30.pi"," -",9.7e-275,915.9,28,6e-240,797.2,23.2,3046,"Dunaliella salina CCAP19/18","Chlorophyceae","Chlorophyta","Chlamydomonadales","Dunaliellaceae","Dunaliella","JGI"
"2","Chlorophyta","Chlre5","5|Cre09.g400553.t2."," -"," PTHR11139.orig.30.pi"," -",0,1697.3,0,0,1697,0,3055,"Chlamydomonas reinhardtii CC-503 v5.6","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","JGI"
"3","Chlorophyta","Volca2","8|Vocar.0014s0198.1"," -"," PTHR11139.orig.30.pi"," -",0,1707.2,25.8,0,1706.9,25.8,3067,"Volvox carteri v2.1","Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","JGI"
"4","Chlorophyta","Chloso1230","SI2_123000003921-RA"," -"," PTHR11139.orig.30.pi"," -",0,1577.3,34.2,0,1576.9,34.2,3071,"Chlorella sorokiniana UTEX 1230","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"5","Chlorophyta","Auxeprot1","|6881|XM_011399690."," -"," PTHR11139.orig.30.pi"," -",0,1562.4,40.3,0,1562.1,40.3,3075,"Auxenochlorella protothecoides 0710","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Auxenochlorella","JGI"
"6","Chlorophyta","Chloso1602","LHPG|mrna.C2E21_137"," -"," PTHR11139.orig.30.pi"," -",0,1625.5,40.5,0,1625.2,40.5,3076,"Chlorella sorokiniana UTEX 1602","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"7","Chlorophyta","ScespWC1",""," -"," PTHR11139.orig.30.pi"," -",1e-277,925.6,34.7,4e-278,925.2,34.7,3087,"Scenedesmus sp. WC-1 v1.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","JGI"
"8","Chlorophyta","Sceob152z","27827|Sobl_g27940.t"," -"," PTHR11139.orig.30.pi"," -",0,1619.5,36.2,0,1618.8,36.2,3088,"Scenedesmus obliquus UTEX 3031","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI"
"9","Chlorophyta","Sob3031","11479|Sobl_g27940.t"," -"," PTHR11139.orig.30.pi"," -",0,1619.5,36.2,0,1618.8,36.2,3088,"Scenedesmus obliquus UTEX 3031 haplotype 2","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI"
"10","Chlorophyta","Sob3031","11479|Sobl_g27940.t"," -"," PTHR11139.orig.30.pi"," -",0,1619.5,36.2,0,1618.8,36.2,3088,"Scenedesmus obliquus UTEX 3031 haplotype 1","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI"
